admin0Name,admin0Name_da,admin0Pcode,admin1Name,admin1Name_da,admin1Pcode,admin2AltName1,admin2AltName1_da,admin2AltName2,admin2AltName2_da,admin2Name,admin2Name_da,admin2Pcode,admin2RefName,regionCode,regionName,regionName_da,admin2Name_ref,admin1Name_ref,admin0Name_ref
Afghanistan,افغانستان,AF,Ghazni,غزنی,AF11,NA,NA,NA,NA,Ab Band,آب بند,AF1113,NA,SE,South Eastern,جنوب ختیځه حوزه,ab_band,ghazni,afghanistan
Afghanistan,افغانستان,AF,Badghis,بادغیس,AF31,NA,NA,NA,NA,Ab Kamari,آب کمری,AF3102,NA,WR,Western,لویدیځه حوزه,ab_kamari,badghis,afghanistan
Afghanistan,افغانستان,AF,Nangarhar,ننگرهار,AF06,NA,NA,NA,NA,Achin,اچین,AF0615,NA,ER,Eastern,ختیځه حوزه,achin,nangarhar,afghanistan
Afghanistan,افغانستان,AF,Hirat,هرات,AF32,NA,NA,NA,NA,Adraskan,ادرسکن,AF3209,NA,WR,Western,لویدیځه حوزه,adraskan,hirat,afghanistan
Afghanistan,افغانستان,AF,Paktya,پکتیا,AF13,NA,NA,NA,NA,Ahmadaba,احمد آبا,AF1302,NA,SE,South Eastern,جنوب ختیځه حوزه,ahmadaba,paktya,afghanistan
Afghanistan,افغانستان,AF,Ghazni,غزنی,AF11,NA,NA,NA,NA,Ajristan,اجرستان,AF1118,NA,SE,South Eastern,جنوب ختیځه حوزه,ajristan,ghazni,afghanistan
Afghanistan,افغانستان,AF,Kapisa,کاپیسا,AF02,NA,NA,NA,NA,Alasay,اله سای,AF0207,NA,CR,Capital,مرکزی حوزه,alasay,kapisa,afghanistan
Afghanistan,افغانستان,AF,Kunduz,کندز,AF19,NA,NA,NA,NA,Ali Abad,علی آباد,AF1903,NA,NE,North Eastern,سهیل ختیځه حوزه,ali_abad,kunduz,afghanistan
Afghanistan,افغانستان,AF,Laghman,لغمان,AF07,NA,NA,NA,NA,Alingar,علینگار,AF0704,NA,ER,Eastern,ختیځه حوزه,alingar,laghman,afghanistan
Afghanistan,افغانستان,AF,Laghman,لغمان,AF07,NA,NA,NA,NA,Alishang,علیشنگ,AF0703,NA,ER,Eastern,ختیځه حوزه,alishang,laghman,afghanistan
Afghanistan,افغانستان,AF,Faryab,فاریاب,AF29,NA,NA,NA,NA,Almar,المار,AF2904,NA,NR,Northern,سهیلی حوزه,almar,faryab,afghanistan
Afghanistan,افغانستان,AF,Farah,فراه,AF33,NA,NA,NA,NA,Anar Dara,انار دره,AF3307,NA,WR,Western,لویدیځه حوزه,anar_dara,farah,afghanistan
Afghanistan,افغانستان,AF,Panjsher,پنجشیر,AF08,Onaba,NA,NA,NA,Anawa,عنابه,AF0805,NA,CR,Capital,مرکزی حوزه,anawa,panjsher,afghanistan
Afghanistan,افغانستان,AF,Ghazni,غزنی,AF11,NA,NA,NA,NA,Andar,اندړ,AF1107,NA,SE,South Eastern,جنوب ختیځه حوزه,andar,ghazni,afghanistan
Afghanistan,افغانستان,AF,Baghlan,بغلان,AF09,Banu,NA,NA,NA,Andarab,اندراب,AF0907,NA,NE,North Eastern,سهیل ختیځه حوزه,andarab,baghlan,afghanistan
Afghanistan,افغانستان,AF,Faryab,فاریاب,AF29,NA,NA,NA,NA,Andkhoy,اندخوی,AF2913,NA,NR,Northern,سهیلی حوزه,andkhoy,faryab,afghanistan
Afghanistan,افغانستان,AF,Jawzjan,جوزجان,AF28,NA,NA,NA,NA,Aqcha,آقچه,AF2807,NA,NR,Northern,سهیلی حوزه,aqcha,jawzjan,afghanistan
Afghanistan,افغانستان,AF,Zabul,زابل,AF26,NA,NA,NA,NA,Arghandab,ارغنداب,AF2605,NA,SR,Southern,جنوبی حوزه,arghandab,zabul,afghanistan
Afghanistan,افغانستان,AF,Kandahar,کندهار,AF27,NA,NA,NA,NA,Arghandab,ارغنداب,AF2702,NA,SR,Southern,جنوبی حوزه,arghandab,kandahar,afghanistan
