admin0Name_en,admin0Pcode,admin1Name_en,admin1Pcode,admin2Name_en,admin2Pcode,admin3AltName1_en,admin3AltName2_en,admin3Name_en,admin3Pcode,admin3RefName
Angola,AO,Cuanza Norte,AO06,Banga,AO06038,NA,NA,Aldeia Nova,AO06038138,NA
Angola,AO,Uíge,AO17,Sanza Pombo,AO17155,NA,NA,Alfandega,AO17155500,NA
Angola,AO,Lunda Sul,AO13,Cacolo,AO13110,NA,NA,Alto-Chicapa,AO13110351,NA
Angola,AO,Uíge,AO17,Quimbele,AO17153,NA,NA,Alto-Zaza,AO17153492,NA
Angola,AO,Huambo,AO10,Londuimbale,AO10086,NA,NA,Alto Uama,AO10086278,NA
Angola,AO,Moxico,AO15,Alto Zambeze,AO15128,NA,NA,Alto Zambeze,AO15128415,NA
Angola,AO,Cuanza Sul,AO07,Seles (Uku Seles),AO07059,NA,NA,Amboiva,AO07059196,NA
Angola,AO,Bengo,AO01,Ambriz,AO01001,NA,NA,Ambriz,AO01001001,NA
Angola,AO,Bié,AO03,Andulo,AO03015,NA,NA,Andulo,AO03015058,NA
Angola,AO,Cuanza Sul,AO07,Amboim (Gabela),AO07050,NA,NA,Assango,AO07050170,NA
Angola,AO,Cuanza Sul,AO07,Cassongue,AO07051,NA,NA,Atome,AO07051172,NA
Angola,AO,Benguela,AO02,Ganda,AO02013,NA,NA,Babaera,AO02013048,NA
Angola,AO,Namibe,AO16,Tômbwa (Porto Alexandre),AO16140,NA,NA,Baia dos Tigres,AO16140456,NA
Angola,AO,Benguela,AO02,Baía Farta,AO02006,NA,NA,Baia Farta,AO02006024,NA
Angola,AO,Huambo,AO10,Bailundo,AO10081,NA,NA,Bailundo,AO10081261,NA
Angola,AO,Cuando Cubango,AO05,Cuito Cuanavale,AO05031,NA,NA,Baixo Longa,AO05031114,NA
Angola,AO,Benguela,AO02,Balombo,AO02007,NA,NA,Balombo,AO02007028,NA
Angola,AO,Huíla,AO09,Chipindo,AO09072,NA,NA,Bambi,AO09072239,NA
Angola,AO,Cuanza Norte,AO06,Banga,AO06038,NA,NA,Banga,AO06038139,NA
Angola,AO,Malanje,AO14,Cahombo,AO14118,NA,NA,Bange-Angola,AO14118381,NA
Angola,AO,Bengo,AO01,Dande,AO01002,NA,NA,Barra do Dande,AO01002004,NA
Angola,AO,Bengo,AO01,Ambriz,AO01001,NA,NA,Bela Vista,AO01001002,NA
Angola,AO,Cabinda,AO04,Belize,AO04024,NA,NA,Belize,AO04024094,NA
Angola,AO,Uíge,AO17,Bembe,AO17144,NA,NA,Bembe,AO17144465,NA
Angola,AO,Luanda,AO11,Belas (Samba),AO11098,NA,NA,Benfica,AO11098316,NA
Angola,AO,Uíge,AO17,Cangola (Alto Cauale),AO17142,NA,NA,Bengo,AO17142460,NA
Angola,AO,Benguela,AO02,Benguela,AO02008,NA,NA,Benguela,AO02008031,NA
Angola,AO,Namibe,AO16,Namibe,AO16139,NA,NA,Bentiaba,AO16139453,NA
Angola,AO,Uíge,AO17,Maquela do Zombo,AO17148,NA,NA,Beu,AO17148477,NA
Angola,AO,Namibe,AO16,Bibala,AO16137,NA,NA,Bibala,AO16137446,NA
Angola,AO,Huambo,AO10,Bailundo,AO10081,NA,NA,Bimbe,AO10081262,NA
Angola,AO,Cuanza Norte,AO06,Ambaca,AO06037,NA,NA,Bindo,AO06037133,NA
Angola,AO,Benguela,AO02,Catumbela,AO02164,NA,NA,Biopio,AO02164053,NA
Angola,AO,Benguela,AO02,Bocoio,AO02009,NA,NA,Bocoio,AO02009032,NA
Angola,AO,Cuanza Norte,AO06,Bolongongo,AO06039,NA,NA,Bolongongo,AO06039142,NA
Angola,AO,Benguela,AO02,Chongoroi,AO02011,NA,NA,Bolonguela,AO02011042,NA
Angola,AO,Luanda,AO11,Icolo e Bengo,AO11003,NA,NA,Bom Jesus,AO11003009,NA
Angola,AO,Cuando Cubango,AO05,Cuangar,AO05029,NA,NA,Bondo,AO05029108,NA
