admin0Name_fr,admin0Pcode,admin1Name_fr,admin1Pcode,admin2AltName1_fr,admin2AltName2_fr,admin2Name_fr,admin2Pcode,admin2RefName
Burundi,BDI,Gitega,BDI006,Ryansoro (Gitega),NA,Ryansoro,BDI006010,Ryansoro
Burundi,BDI,Mwaro,BDI013,Ndava (Mwaro),NA,Ndava,BDI013004,Ndava
Burundi,BDI,Rumonge,BDI018,Buyengero (Rumonge),NA,Buyengero,BDI018004,Buyengero
Burundi,BDI,Rumonge,BDI018,Bugarama (Rumonge),NA,Bugarama,BDI018002,Bugarama
Burundi,BDI,Rumonge,BDI018,Rumonge (Rumonge),NA,Rumonge,BDI018005,Rumonge
Burundi,BDI,Rumonge,BDI018,Burambi (Rumonge),NA,Burambi,BDI018003,Burambi
Burundi,BDI,Bujumbura Rural,BDI002,Kanyosha1 (Bujumbura Rural),NA,Kanyosha1,BDI002004,Kanyosha1
Burundi,BDI,Bujumbura Rural,BDI002,Kabezi (Bujumbura Rural),NA,Kabezi,BDI002003,Kabezi
Burundi,BDI,Rumonge,BDI018,Muhuta (Rumonge),NA,Muhuta,BDI018001,Muhuta
Burundi,BDI,Bujumbura Rural,BDI002,Mukike (Bujumbura Rural),NA,Mukike,BDI002008,Mukike
Burundi,BDI,Bujumbura Rural,BDI002,Mutambu (Bujumbura Rural),NA,Mutambu,BDI002009,Mutambu
Burundi,BDI,Bujumbura Rural,BDI002,Nyabiraba (Bujumbura Rural),NA,Nyabiraba,BDI002012,Nyabiraba
Burundi,BDI,Bururi,BDI003,Bururi (Bururi),NA,Bururi,BDI003002,Bururi
Burundi,BDI,Makamba,BDI010,Vugizo (Makamba),NA,Vugizo,BDI010006,Vugizo
Burundi,BDI,Bururi,BDI003,Vyanda (Bururi),NA,Vyanda,BDI003009,Vyanda
Burundi,BDI,Mwaro,BDI013,Rusaka (Mwaro),NA,Rusaka,BDI013006,Rusaka
Burundi,BDI,Bururi,BDI003,Mugamba (Bururi),NA,Mugamba,BDI003005,Mugamba
Burundi,BDI,Bururi,BDI003,Songa (Bururi),NA,Songa,BDI003008,Songa
Burundi,BDI,Bujumbura Rural,BDI002,Mugongomanga (Bujumbura Rural),NA,Mugongomanga,BDI002006,Mugongomanga
Burundi,BDI,Mwaro,BDI013,Gisozi (Mwaro),NA,Gisozi,BDI013002,Gisozi
Burundi,BDI,Mwaro,BDI013,Bisoro (Mwaro),NA,Bisoro,BDI013001,Bisoro
Burundi,BDI,Bururi,BDI003,Matana (Bururi),NA,Matana,BDI003004,Matana
Burundi,BDI,Mwaro,BDI013,Kayokwe (Mwaro),NA,Kayokwe,BDI013003,Kayokwe
Burundi,BDI,Bubanza,BDI001,Mpanda (Bubanza),NA,Mpanda,BDI001003,Mpanda
Burundi,BDI,Cibitoke,BDI005,Murwi (Cibitoke),NA,Murwi,BDI005005,Murwi
Burundi,BDI,Bubanza,BDI001,Bubanza (Bubanza),NA,Bubanza,BDI001001,Bubanza
Burundi,BDI,Kayanza,BDI008,Rango (Kayanza),NA,Rango,BDI008009,Rango
Burundi,BDI,Muramvya,BDI011,Bukeye (Muramvya),NA,Bukeye,BDI011001,Bukeye
Burundi,BDI,Muramvya,BDI011,Muramvya (Muramvya),NA,Muramvya,BDI011004,Muramvya
Burundi,BDI,Bujumbura Rural,BDI002,Isale (Bujumbura Rural),NA,Isale,BDI002002,Isale
Burundi,BDI,Bubanza,BDI001,Rugazi (Bubanza),NA,Rugazi,BDI001005,Rugazi
Burundi,BDI,Bujumbura Rural,BDI002,Mubimbi (Bujumbura Rural),NA,Mubimbi,BDI002005,Mubimbi
Burundi,BDI,Muramvya,BDI011,Rutegama (Muramvya),NA,Rutegama,BDI011005,Rutegama
Burundi,BDI,Muramvya,BDI011,Kiganda (Muramvya),NA,Kiganda,BDI011002,Kiganda
Burundi,BDI,Muramvya,BDI011,Mbuye (Muramvya),NA,Mbuye,BDI011003,Mbuye
Burundi,BDI,Kayanza,BDI008,Gahombo (Kayanza),NA,Gahombo,BDI008002,Gahombo
Burundi,BDI,Kayanza,BDI008,Gatara (Kayanza),NA,Gatara,BDI008003,Gatara
Burundi,BDI,Kayanza,BDI008,Butaganzwa (Kayanza),NA,Butaganzwa,BDI008001,Butaganzwa
Burundi,BDI,Kayanza,BDI008,Kayanza (Kayanza),NA,Kayanza,BDI008005,Kayanza
Burundi,BDI,Gitega,BDI006,Bugendana (Gitega),NA,Bugendana,BDI006001,Bugendana
Burundi,BDI,Rutana,BDI015,Musongati (Rutana),NA,Musongati,BDI015005,Musongati
Burundi,BDI,Rutana,BDI015,Rutana (Rutana),NA,Rutana,BDI015006,Rutana
Burundi,BDI,Rutana,BDI015,Gitanga (Rutana),NA,Gitanga,BDI015003,Gitanga
Burundi,BDI,Makamba,BDI010,Makamba (Makamba),NA,Makamba,BDI010004,Makamba
Burundi,BDI,Bururi,BDI003,Rutovu (Bururi),NA,Rutovu,BDI003007,Rutovu
Burundi,BDI,Gitega,BDI006,Buraza (Gitega),NA,Buraza,BDI006003,Buraza
Burundi,BDI,Gitega,BDI006,Nyanrusange (Gitega),NA,Nyanrusange,BDI006011,Nyanrusange
Burundi,BDI,Gitega,BDI006,Gishubi (Gitega),NA,Gishubi,BDI006005,Gishubi
Burundi,BDI,Mwaro,BDI013,Nyabihanga (Mwaro),NA,Nyabihanga,BDI013005,Nyabihanga
Burundi,BDI,Gitega,BDI006,Giheta (Gitega),NA,Giheta,BDI006004,Giheta
Burundi,BDI,Gitega,BDI006,Itaba (Gitega),NA,Itaba,BDI006007,Itaba
Burundi,BDI,Gitega,BDI006,Bukirasazi (Gitega),NA,Bukirasazi,BDI006002,Bukirasazi
Burundi,BDI,Gitega,BDI006,Gitega (Gitega),NA,Gitega,BDI006006,Gitega
Burundi,BDI,Gitega,BDI006,Makebuko (Gitega),NA,Makebuko,BDI006008,Makebuko
Burundi,BDI,Ruyigi,BDI016,Butaganzwa1 (Ruyigi),NA,Butaganzwa1,BDI016001,Butaganzwa1
Burundi,BDI,Rutana,BDI015,Mpinga-Kayove (Rutana),NA,Mpinga-Kayove,BDI015004,Mpinga-Kayove
