OBJECTID,admin2Name_fr,admin2Pcode,admin2RefName,admin2AltName1_fr,admin2AltName2_fr,admin1Name_fr,admin1Pcode,admin0Name_en,admin0Name_fr,admin0Pcode,date,validOn,validTo
1,Abomey,BJ1201,NA,NA,NA,Zou,BJ12,Benin,Bénin (le),BJ,1438905600000,1565913600000,NA
2,Abomey-Calavi,BJ0301,NA,NA,NA,Atlantique,BJ03,Benin,Bénin (le),BJ,1438905600000,1565913600000,NA
3,Adja-Ouere,BJ1101,NA,NA,NA,Plateau,BJ11,Benin,Bénin (le),BJ,1438905600000,1565913600000,NA
4,Adjarra,BJ1001,NA,NA,NA,Oueme,BJ10,Benin,Bénin (le),BJ,1438905600000,1565913600000,NA
5,Adjohoun,BJ1002,NA,NA,NA,Oueme,BJ10,Benin,Bénin (le),BJ,1438905600000,1565913600000,NA
6,Agbangnizoun,BJ1202,NA,NA,NA,Zou,BJ12,Benin,Bénin (le),BJ,1438905600000,1565913600000,NA
7,Aguegues,BJ1003,NA,NA,NA,Oueme,BJ10,Benin,Bénin (le),BJ,1438905600000,1565913600000,NA
8,Akpo-Misserete,BJ1004,NA,NA,NA,Oueme,BJ10,Benin,Bénin (le),BJ,1438905600000,1565913600000,NA
9,Allada,BJ0302,NA,NA,NA,Atlantique,BJ03,Benin,Bénin (le),BJ,1438905600000,1565913600000,NA
10,Aplahoue,BJ0601,NA,NA,NA,Couffo,BJ06,Benin,Bénin (le),BJ,1438905600000,1565913600000,NA
11,Athieme,BJ0901,NA,NA,NA,Mono,BJ09,Benin,Bénin (le),BJ,1438905600000,1565913600000,NA
12,Avrankou,BJ1005,NA,NA,NA,Oueme,BJ10,Benin,Bénin (le),BJ,1438905600000,1565913600000,NA
13,Banikoara,BJ0101,NA,NA,NA,Alibori,BJ01,Benin,Bénin (le),BJ,1438905600000,1565913600000,NA
14,Bante,BJ0501,NA,NA,NA,Collines,BJ05,Benin,Bénin (le),BJ,1438905600000,1565913600000,NA
