OBJECTID,admin3Name_es,admin3Pcode,admin3RefName,admin3AltName1_es,admin3AltName2_es,admin2Name_es,admin2Pcode,admin1Name_es,admin1Pcode,admin0Name_es,admin0Pcode,date,validOn,validTo
1,Acasio,BO051302,NA,NA,NA,General Bilbao,BO0513,Potosí,BO05,Bolivia (Estado Plurinacional de),BO,1523923200000,1589414400000,NA
2,Achacachi,BO020201,NA,NA,NA,Omasuyos,BO0202,La Paz,BO02,Bolivia (Estado Plurinacional de),BO,1523923200000,1589414400000,NA
3,Achocalla,BO020104,NA,NA,NA,Murillo,BO0201,La Paz,BO02,Bolivia (Estado Plurinacional de),BO,1523923200000,1589414400000,NA
4,Aiquile,BO030201,NA,NA,NA,Campero,BO0302,Cochabamba,BO03,Bolivia (Estado Plurinacional de),BO,1523923200000,1589414400000,NA
5,Alalay,BO031303,NA,NA,NA,Mizque,BO0313,Cochabamba,BO03,Bolivia (Estado Plurinacional de),BO,1523923200000,1589414400000,NA
6,Alcalá,BO010404,Alcala,NA,NA,Tomina,BO0104,Chuquisaca,BO01,Bolivia (Estado Plurinacional de),BO,1523923200000,1589414400000,NA
7,Alto Beni,BO022002,NA,NA,NA,Caranavi,BO0220,La Paz,BO02,Bolivia (Estado Plurinacional de),BO,1523923200000,1589414400000,NA
8,Andamarca,BO041201,NA,NA,NA,Sur Carangas,BO0412,Oruro,BO04,Bolivia (Estado Plurinacional de),BO,1523923200000,1589414400000,NA
9,Antequera,BO040603,NA,NA,NA,Poopó,BO0406,Oruro,BO04,Bolivia (Estado Plurinacional de),BO,1523923200000,1589414400000,NA
10,Anzaldo,BO030402,NA,NA,NA,Esteban Arze,BO0304,Cochabamba,BO03,Bolivia (Estado Plurinacional de),BO,1523923200000,1589414400000,NA
11,Apolo,BO020701,NA,NA,NA,Franz Tamayo,BO0207,La Paz,BO02,Bolivia (Estado Plurinacional de),BO,1523923200000,1589414400000,NA
12,Arampampa,BO051301,NA,NA,NA,General Bilbao,BO0513,Potosí,BO05,Bolivia (Estado Plurinacional de),BO,1523923200000,1589414400000,NA
13,Arani,BO030501,NA,NA,NA,Arani,BO0305,Cochabamba,BO03,Bolivia (Estado Plurinacional de),BO,1523923200000,1589414400000,NA
14,Arbieto,BO030403,NA,NA,NA,Esteban Arze,BO0304,Cochabamba,BO03,Bolivia (Estado Plurinacional de),BO,1523923200000,1589414400000,NA
15,Arque,BO030601,NA,NA,NA,Arque,BO0306,Cochabamba,BO03,Bolivia (Estado Plurinacional de),BO,1523923200000,1589414400000,NA
16,Ascención de Guarayos,BO071501,Ascencion de Guarayos,NA,NA,Guarayos,BO0715,Santa Cruz,BO07,Bolivia (Estado Plurinacional de),BO,1523923200000,1589414400000,NA
17,Atocha,BO050802,NA,NA,NA,Sur Chichas,BO0508,Potosí,BO05,Bolivia (Estado Plurinacional de),BO,1523923200000,1589414400000,NA
18,Aucapata,BO020503,NA,NA,NA,Muñecas,BO0205,La Paz,BO02,Bolivia (Estado Plurinacional de),BO,1523923200000,1589414400000,NA
19,Ayata,BO020502,NA,NA,NA,Muñecas,BO0205,La Paz,BO02,Bolivia (Estado Plurinacional de),BO,1523923200000,1589414400000,NA
20,Ayo Ayo,BO021303,NA,NA,NA,Aroma,BO0213,La Paz,BO02,Bolivia (Estado Plurinacional de),BO,1523923200000,1589414400000,NA
21,Ayopaya,BO030301,NA,NA,NA,Ayopaya,BO0303,Cochabamba,BO03,Bolivia (Estado Plurinacional de),BO,1523923200000,1589414400000,NA
