OBJECTID,admin2Name_en,admin2Pcode,admin2RefName,admin2AltName1_en,admin2AltName2_en,admin1Name_en,admin1Pcode,admin0Name_en,admin0Pcode,date,validOn,validTo
1,Athang,BT01901,NA,NA,NA,Wangduephodrang,BT019,Bhutan,BT,1548979200000,1603670400000,NA
2,Balam,BT00701,NA,NA,NA,Monggar,BT007,Bhutan,BT,1548979200000,1603670400000,NA
3,Bapisa,BT01001,NA,NA,NA,Punakha,BT010,Bhutan,BT,1548979200000,1603670400000,NA
4,Bara,BT01201,NA,NA,NA,Samtse,BT012,Bhutan,BT,1548979200000,1603670400000,NA
5,Bardo,BT02001,NA,NA,NA,Zhemgang,BT020,Bhutan,BT,1548979200000,1603670400000,NA
6,Bartsham,BT01501,NA,NA,NA,Trashigang,BT015,Bhutan,BT,1548979200000,1603670400000,NA
7,Barzhong,BT01801,NA,NA,NA,Tsirang,BT018,Bhutan,BT,1548979200000,1603670400000,NA
8,Beteni,BT01802,NA,NA,NA,Tsirang,BT018,Bhutan,BT,1548979200000,1603670400000,NA
9,Bhur,BT01301,NA,NA,NA,Sarpang,BT013,Bhutan,BT,1548979200000,1603670400000,NA
10,Bidung,BT01502,NA,NA,NA,Trashigang,BT015,Bhutan,BT,1548979200000,1603670400000,NA
11,Biru,BT01202,NA,NA,NA,Samtse,BT012,Bhutan,BT,1548979200000,1603670400000,NA
12,Bjachho,BT00201,NA,NA,NA,Chhukha,BT002,Bhutan,BT,1548979200000,1603670400000,NA
13,Bjena,BT01902,NA,NA,NA,Wangduephodrang,BT019,Bhutan,BT,1548979200000,1603670400000,NA
14,Bji,BT00501,NA,NA,NA,Haa,BT005,Bhutan,BT,1548979200000,1603670400000,NA
15,Bjoka,BT02002,NA,NA,NA,Zhemgang,BT020,Bhutan,BT,1548979200000,1603670400000,NA
16,Bongo,BT00202,NA,NA,NA,Chhukha,BT002,Bhutan,BT,1548979200000,1603670400000,NA
17,Bumdeling,BT01601,NA,NA,NA,Yangtse,BT016,Bhutan,BT,1548979200000,1603670400000,NA
18,Chang,BT01401,NA,NA,NA,Thimphu,BT014,Bhutan,BT,1548979200000,1603670400000,NA
19,Chapchha,BT00203,NA,NA,NA,Chhukha,BT002,Bhutan,BT,1548979200000,1603670400000,NA
20,Chargharay,BT01203,NA,NA,NA,Samtse,BT012,Bhutan,BT,1548979200000,1603670400000,NA
21,Chaskhar,BT00703,NA,NA,NA,Monggar,BT007,Bhutan,BT,1548979200000,1603670400000,NA
22,Chengmari,BT01204,NA,NA,NA,Samtse,BT012,Bhutan,BT,1548979200000,1603670400000,NA
23,Chhali,BT00702,NA,NA,NA,Monggar,BT007,Bhutan,BT,1548979200000,1603670400000,NA
24,Chhimung,BT00901,NA,NA,NA,Pemagatshel,BT009,Bhutan,BT,1548979200000,1603670400000,NA
25,Chhoekhor,BT00101,NA,NA,NA,Bumthang,BT001,Bhutan,BT,1548979200000,1603670400000,NA
26,Chhubu,BT01002,NA,NA,NA,Punakha,BT010,Bhutan,BT,1548979200000,1603670400000,NA
27,Chhume,BT00102,NA,NA,NA,Bumthang,BT001,Bhutan,BT,1548979200000,1603670400000,NA
28,Chhuzagang,BT01302,NA,NA,NA,Sarpang,BT013,Bhutan,BT,1548979200000,1603670400000,NA
29,Chokhorling,BT00902,NA,NA,NA,Pemagatshel,BT009,Bhutan,BT,1548979200000,1603670400000,NA
30,Chongshing,BT00903,NA,NA,NA,Pemagatshel,BT009,Bhutan,BT,1548979200000,1603670400000,NA
31,Daga,BT01903,NA,NA,NA,Wangduephodrang,BT019,Bhutan,BT,1548979200000,1603670400000,NA
32,Dagala,BT01402,NA,NA,NA,Thimphu,BT014,Bhutan,BT,1548979200000,1603670400000,NA
33,Dala,BT00204,NA,NA,NA,Chhukha,BT002,Bhutan,BT,1548979200000,1603670400000,NA
34,Dangchhu,BT01904,NA,NA,NA,Wangduephodrang,BT019,Bhutan,BT,1548979200000,1603670400000,NA
35,Dechhenling,BT00904,NA,NA,NA,Pemagatshel,BT009,Bhutan,BT,1548979200000,1603670400000,NA
36,Dekiling,BT01303,NA,NA,NA,Sarpang,BT013,Bhutan,BT,1548979200000,1603670400000,NA
37,Denchhukha,BT01205,NA,NA,NA,Samtse,BT012,Bhutan,BT,1548979200000,1603670400000,NA
38,Deorali,BT00301,NA,NA,NA,Dagana,BT003,Bhutan,BT,1548979200000,1603670400000,NA
39,Dewathang,BT01101,NA,NA,NA,Samdrupjongkhar,BT011,Bhutan,BT,1548979200000,1603670400000,NA
40,Doban,BT01304,NA,NA,NA,Sarpang,BT013,Bhutan,BT,1548979200000,1603670400000,NA
41,Doga,BT00801,NA,NA,NA,Paro,BT008,Bhutan,BT,1548979200000,1603670400000,NA
42,Dopshari,BT00802,NA,NA,NA,Paro,BT008,Bhutan,BT,1548979200000,1603670400000,NA
43,Dorokha,BT01206,NA,NA,NA,Samtse,BT012,Bhutan,BT,1548979200000,1603670400000,NA
44,Dorona,BT00302,NA,NA,NA,Dagana,BT003,Bhutan,BT,1548979200000,1603670400000,NA
45,Doteng,BT00803,NA,NA,NA,Paro,BT008,Bhutan,BT,1548979200000,1603670400000,NA
46,Dragteng,BT01701,NA,NA,NA,Trongsa,BT017,Bhutan,BT,1548979200000,1603670400000,NA
47,Drametse,BT00704,NA,NA,NA,Monggar,BT007,Bhutan,BT,1548979200000,1603670400000,NA
48,Drepung,BT00705,NA,NA,NA,Monggar,BT007,Bhutan,BT,1548979200000,1603670400000,NA
49,Drugyelgang,BT00303,NA,NA,NA,Dagana,BT003,Bhutan,BT,1548979200000,1603670400000,NA
50,Dunglegang,BT01803,NA,NA,NA,Tsirang,BT018,Bhutan,BT,1548979200000,1603670400000,NA
51,Dungmin,BT00905,NA,NA,NA,Pemagatshel,BT009,Bhutan,BT,1548979200000,1603670400000,NA
52,Dungna,BT00205,NA,NA,NA,Chhukha,BT002,Bhutan,BT,1548979200000,1603670400000,NA
