OBJECTID,admin0Name_fr,admin0Pcode,admin1Name_fr,admin1Pcode,admin2Name_fr,admin2Pcode,admin3Name_fr,admin3Pcode,admin4Name_fr,admin4Pcode,admin4RefName,admin4AltName1_fr,admin4AltName2_fr,date,validOn,validTo
1,Central African Republic,CF,Bangui,CF71,Bangui,CF711,Arrondissement 6,CF7116,Gbanikola II,CF711603,Gbanikola II,NA,NA,1427760000000,1434326400000,NA
2,Central African Republic,CF,Bangui,CF71,Bangui,CF711,Arrondissement 2,CF7112,Iles des Singes,CF711206,Iles des Singes,NA,NA,1427760000000,1434326400000,NA
3,Central African Republic,CF,Bangui,CF71,Bangui,CF711,Arrondissement 6,CF7116,Mbossoro,CF711614,Mbossoro,NA,NA,1427760000000,1434326400000,NA
4,Central African Republic,CF,Bangui,CF71,Bangui,CF711,Arrondissement 6,CF7116,Modoua,CF711615,Modoua,NA,NA,1427760000000,1434326400000,NA
5,Central African Republic,CF,Bangui,CF71,Bangui,CF711,Arrondissement 6,CF7116,Bogbaya,CF711602,Bogbaya,NA,NA,1427760000000,1434326400000,NA
6,Central African Republic,CF,Bangui,CF71,Bangui,CF711,Arrondissement 6,CF7116,Sandoubé,CF711618,Sandoube,NA,NA,1427760000000,1434326400000,NA
7,Central African Republic,CF,Bangui,CF71,Bangui,CF711,Arrondissement 4,CF7114,Cité Jean XXIII I,CF711401,Cite Jean XXIII I,NA,NA,1427760000000,1434326400000,NA
8,Central African Republic,CF,Bangui,CF71,Bangui,CF711,Arrondissement 4,CF7114,Ngoumboutou,CF711422,Ngoumboutou,NA,NA,1427760000000,1434326400000,NA
9,Central African Republic,CF,Bangui,CF71,Bangui,CF711,Arrondissement 4,CF7114,Lando II,CF711419,Lando II,NA,NA,1427760000000,1434326400000,NA
10,Central African Republic,CF,Bangui,CF71,Bangui,CF711,Arrondissement 3,CF7113,Kokoro V,CF711323,Kokoro V,NA,NA,1427760000000,1434326400000,NA
11,Central African Republic,CF,Bangui,CF71,Bangui,CF711,Arrondissement 3,CF7113,Boulata,CF711303,Boulata,NA,NA,1427760000000,1434326400000,NA
12,Central African Republic,CF,Bangui,CF71,Bangui,CF711,Arrondissement 3,CF7113,Gbatoum,CF711314,Gbatoum,NA,NA,1427760000000,1434326400000,NA
13,Central African Republic,CF,Bangui,CF71,Bangui,CF711,Arrondissement 7,CF7117, , , ,NA,NA,1427760000000,1434326400000,NA
14,Central African Republic,CF,Bangui,CF71,Bangui,CF711,Arrondissement 7,CF7117, , , ,NA,NA,1427760000000,1434326400000,NA
15,Central African Republic,CF,Bangui,CF71,Bangui,CF711,Arrondissement 7,CF7117,Saint Paul II,CF711708,Saint Paul II,NA,NA,1427760000000,1434326400000,NA
16,Central African Republic,CF,Bangui,CF71,Bangui,CF711,Arrondissement 7,CF7117, , , ,NA,NA,1427760000000,1434326400000,NA
17,Central African Republic,CF,Bangui,CF71,Bangui,CF711,Arrondissement 7,CF7117, , , ,NA,NA,1427760000000,1434326400000,NA
18,Central African Republic,CF,Bangui,CF71,Bangui,CF711,Arrondissement 4,CF7114,Kagamangoulou,CF711416,Kagamangoulou,NA,NA,1427760000000,1434326400000,NA
19,Central African Republic,CF,Bangui,CF71,Bangui,CF711,Arrondissement 4,CF7114,Gombongo I,CF711410,Gombongo I,NA,NA,1427760000000,1434326400000,NA
20,Central African Republic,CF,Bangui,CF71,Bangui,CF711,Arrondissement 4,CF7114,Gombongo VI,CF711413,Gombongo VI,NA,NA,1427760000000,1434326400000,NA
21,Central African Republic,CF,Bangui,CF71,Bangui,CF711,Arrondissement 4,CF7114,Cité Jean XXIII III,CF711403,Cite Jean XXIII III,NA,NA,1427760000000,1434326400000,NA
22,Central African Republic,CF,Bangui,CF71,Bangui,CF711,Arrondissement 4,CF7114,Cité Jean XXIII II,CF711402,Cite Jean XXIII II,NA,NA,1427760000000,1434326400000,NA
23,Central African Republic,CF,Bangui,CF71,Bangui,CF711,Arrondissement 7,CF7117,Ndress I,CF711705,Ndress I,NA,NA,1427760000000,1434326400000,NA
24,Central African Republic,CF,Bangui,CF71,Bangui,CF711,Arrondissement 1,CF7111,Centre Ville,CF711106,Centre Ville,NA,NA,1427760000000,1434326400000,NA
25,Central African Republic,CF,Bangui,CF71,Bangui,CF711,Arrondissement 2,CF7112,Lakouanga 0,CF711209,Lakouanga 0,NA,NA,1427760000000,1434326400000,NA
26,Central African Republic,CF,Bangui,CF71,Bangui,CF711,Arrondissement 7,CF7117,Camp Kassat,CF711701,Camp Kassat,NA,NA,1427760000000,1434326400000,NA
27,Central African Republic,CF,Bangui,CF71,Bangui,CF711,Arrondissement 7,CF7117, , , ,NA,NA,1427760000000,1434326400000,NA
28,Central African Republic,CF,Bangui,CF71,Bangui,CF711,Arrondissement 7,CF7117, , , ,NA,NA,1427760000000,1434326400000,NA
29,Central African Republic,CF,Bangui,CF71,Bangui,CF711,Arrondissement 7,CF7117, , , ,NA,NA,1427760000000,1434326400000,NA
30,Central African Republic,CF,Bangui,CF71,Bangui,CF711,Arrondissement 6,CF7116,Pétévo,CF711617,Petevo,NA,NA,1427760000000,1434326400000,NA
31,Central African Republic,CF,Bangui,CF71,Bangui,CF711,Arrondissement 6,CF7116,Linguissa II,CF711612,Linguissa II,NA,NA,1427760000000,1434326400000,NA
32,Central African Republic,CF,Bangui,CF71,Bangui,CF711,Arrondissement 6,CF7116,Mandja Otto,CF711613,Mandja Otto,NA,NA,1427760000000,1434326400000,NA
33,Central African Republic,CF,Bangui,CF71,Bangui,CF711,Arrondissement 6,CF7116,Kpéténé I,CF711605,Kpetene I,NA,NA,1427760000000,1434326400000,NA
34,Central African Republic,CF,Bangui,CF71,Bangui,CF711,Arrondissement 6,CF7116,Kpéténé III,CF711607,Kpetene III,NA,NA,1427760000000,1434326400000,NA
35,Central African Republic,CF,Bangui,CF71,Bangui,CF711,Arrondissement 6,CF7116,Kpéténé Saint Jacques,CF711609,Kpetene Saint Jacques,NA,NA,1427760000000,1434326400000,NA
36,Central African Republic,CF,Bangui,CF71,Bangui,CF711,Arrondissement 6,CF7116,Kpéténé II,CF711606,Kpetene II,NA,NA,1427760000000,1434326400000,NA
37,Central African Republic,CF,Bangui,CF71,Bangui,CF711,Arrondissement 6,CF7116,Zoubé,CF711621,Zoube,NA,NA,1427760000000,1434326400000,NA
38,Central African Republic,CF,Bangui,CF71,Bangui,CF711,Arrondissement 3,CF7113,Kokoro II,CF711321,Kokoro II,NA,NA,1427760000000,1434326400000,NA
39,Central African Republic,CF,Bangui,CF71,Bangui,CF711,Arrondissement 3,CF7113,Kokoro III,CF711304,Kokoro III,NA,NA,1427760000000,1434326400000,NA
40,Central African Republic,CF,Bangui,CF71,Bangui,CF711,Arrondissement 3,CF7113,Fatima II Magalé,CF711311,Fatima II Magale,NA,NA,1427760000000,1434326400000,NA
41,Central African Republic,CF,Bangui,CF71,Bangui,CF711,Arrondissement 3,CF7113,Kokoro I,CF711320,Kokoro I,NA,NA,1427760000000,1434326400000,NA
42,Central African Republic,CF,Bangui,CF71,Bangui,CF711,Arrondissement 3,CF7113,Kokoro IV,CF711322,Kokoro IV,NA,NA,1427760000000,1434326400000,NA
43,Central African Republic,CF,Bangui,CF71,Bangui,CF711,Arrondissement 3,CF7113,Gbaya-Ndombia II,CF711317,Gbaya-Ndombia II,NA,NA,1427760000000,1434326400000,NA
44,Central African Republic,CF,Bangui,CF71,Bangui,CF711,Arrondissement 3,CF7113,Gbaya-Ndombia II, ,Gbaya-Ndombia II,NA,NA,1427760000000,1434326400000,NA
45,Central African Republic,CF,Bangui,CF71,Bangui,CF711,Arrondissement 3,CF7113,Fatima,CF711310,Fatima,NA,NA,1427760000000,1434326400000,NA
46,Central African Republic,CF,Bangui,CF71,Bangui,CF711,Arrondissement 6,CF7116,Mokalp,CF711616,Mokalp,NA,NA,1427760000000,1434326400000,NA
47,Central African Republic,CF,Bangui,CF71,Bangui,CF711,Arrondissement 6,CF7116,92 Logements,CF711601,92 Logements,NA,NA,1427760000000,1434326400000,NA
48,Central African Republic,CF,Bangui,CF71,Bangui,CF711,Arrondissement 6,CF7116,Kpéténé V,CF711610,Kpetene V,NA,NA,1427760000000,1434326400000,NA
49,Central African Republic,CF,Bangui,CF71,Bangui,CF711,Arrondissement 6,CF7116,Kpéténé IV,CF711608,Kpetene IV,NA,NA,1427760000000,1434326400000,NA
50,Central African Republic,CF,Bangui,CF71,Bangui,CF711,Arrondissement 3,CF7113,Kangala,CF711319,Kangala,NA,NA,1427760000000,1434326400000,NA
51,Central African Republic,CF,Bangui,CF71,Bangui,CF711,Arrondissement 2,CF7112,Sica III,CF711220,Sica III,NA,NA,1427760000000,1434326400000,NA
52,Central African Republic,CF,Bangui,CF71,Bangui,CF711,Arrondissement 3,CF7113,Castors I,CF711307,Castors I,NA,NA,1427760000000,1434326400000,NA
