OBJECTID,admin3Name_en,admin3Name_fr,admin3Pcode,admin3RefName,admin3AltName1_en,admin3AltName2_en,admin3AltName1_fr,admin3AltName2_fr,admin2Name_en,admin2Name_fr,admin2Pcode,admin1Name_en,admin1Name_fr,admin1Pcode,admin0Name_en,admin0Name_fr,admin0Pcode,date,validOn,validTo
1,NA,Abong-Mbang,CM003002001,NA,NA,NA,NA,NA,NA,Haut-Nyong,CM003002,East,Est,CM003,Cameroon,Cameroun (le),CM,1545004800000,1546560000000,NA
2,NA,Afanloum,CM002005001,NA,NA,NA,NA,NA,NA,Mefou-et-Afamba,CM002005,Centre,Centre,CM002,Cameroon,Cameroun (le),CM,1545004800000,1546560000000,NA
3,NA,Ako,CM007003001,NA,NA,NA,NA,NA,NA,Donga-Mantung,CM007003,North-West,Nord-Ouest,CM007,Cameroon,Cameroun (le),CM,1545004800000,1546560000000,NA
4,NA,Akoeman,CM002010001,NA,NA,NA,NA,NA,NA,Nyong-et-So'o,CM002010,Centre,Centre,CM002,Cameroon,Cameroun (le),CM,1545004800000,1546560000000,NA
5,NA,Akom 2,CM009003001,NA,NA,NA,NA,NA,NA,Océan,CM009003,South,Sud,CM009,Cameroon,Cameroun (le),CM,1545004800000,1546560000000,NA
6,NA,Akono,CM002006001,NA,NA,NA,NA,NA,NA,Mefou-et-Akono,CM002006,Centre,Centre,CM002,Cameroon,Cameroun (le),CM,1545004800000,1546560000000,NA
7,NA,Akonolinga,CM002009001,NA,NA,NA,NA,NA,NA,Nyong-et-Mfoumou,CM002009,Centre,Centre,CM002,Cameroon,Cameroun (le),CM,1545004800000,1546560000000,NA
8,NA,Akwaya,CM010004001,NA,NA,NA,NA,NA,NA,Manyu,CM010004,South-West,Sud-Ouest,CM010,Cameroon,Cameroun (le),CM,1545004800000,1546560000000,NA
9,NA,Alou,CM010003001,NA,NA,NA,NA,NA,NA,Lebialem,CM010003,South-West,Sud-Ouest,CM010,Cameroon,Cameroun (le),CM,1545004800000,1546560000000,NA
10,NA,Ambam,CM009004001,NA,NA,NA,NA,NA,NA,Vallée-du-Ntem,CM009004,South,Sud,CM009,Cameroon,Cameroun (le),CM,1545004800000,1546560000000,NA
11,NA,Assamba,CM002005002,NA,NA,NA,NA,NA,NA,Mefou-et-Afamba,CM002005,Centre,Centre,CM002,Cameroon,Cameroun (le),CM,1545004800000,1546560000000,NA
12,NA,Awae,CM002005003,NA,NA,NA,NA,NA,NA,Mefou-et-Afamba,CM002005,Centre,Centre,CM002,Cameroon,Cameroun (le),CM,1545004800000,1546560000000,NA
13,NA,Ayos,CM002009002,NA,NA,NA,NA,NA,NA,Nyong-et-Mfoumou,CM002009,Centre,Centre,CM002,Cameroon,Cameroun (le),CM,1545004800000,1546560000000,NA
14,NA,Babadjou,CM008001001,NA,NA,NA,NA,NA,NA,Bamboutos,CM008001,West,Ouest,CM008,Cameroon,Cameroun (le),CM,1545004800000,1546560000000,NA
15,NA,Babessi,CM007007001,NA,NA,NA,NA,NA,NA,Ngo-Ketunjia,CM007007,North-West,Nord-Ouest,CM007,Cameroon,Cameroun (le),CM,1545004800000,1546560000000,NA
