OBJECTID,admin2Name_fr,admin2Pcode,admin2RefName,admin2AltName1_fr,admin2AltName2_fr,admin1Name_fr,admin1Pcode,admin0Name_fr,admin0Pcode,date,validOn,validTo
1,Aba,CD5306,NA,NA,NA,Haut-Uele,CD53,République démocratique du Congo (la),CD,1567728000000,1568160000000,NA
2,Aketi,CD5204,NA,NA,NA,Bas-Uele,CD52,République démocratique du Congo (la),CD,1567728000000,1568160000000,NA
3,Ango,CD5207,NA,NA,NA,Bas-Uele,CD52,République démocratique du Congo (la),CD,1567728000000,1568160000000,NA
4,Ariwara,CD5410,NA,NA,NA,Ituri,CD54,République démocratique du Congo (la),CD,1567728000000,1568160000000,NA
5,Aru,CD5409,NA,NA,NA,Ituri,CD54,République démocratique du Congo (la),CD,1567728000000,1568160000000,NA
6,Bafwasende,CD5111,NA,NA,NA,Tshopo,CD51,République démocratique du Congo (la),CD,1567728000000,1568160000000,NA
7,Bagata,CD3202,NA,NA,NA,Kwilu,CD32,République démocratique du Congo (la),CD,1567728000000,1568160000000,NA
8,Bambesa,CD5209,NA,NA,NA,Bas-Uele,CD52,République démocratique du Congo (la),CD,1567728000000,1568160000000,NA
9,Banalia,CD5110,NA,NA,NA,Tshopo,CD51,République démocratique du Congo (la),CD,1567728000000,1568160000000,NA
10,Bandundu,CD3201,NA,NA,NA,Kwilu,CD32,République démocratique du Congo (la),CD,1567728000000,1568160000000,NA
11,Bangu,CD2012,NA,NA,NA,Kongo-Central,CD20,République démocratique du Congo (la),CD,1567728000000,1568160000000,NA
12,Baraka,CD6211,NA,NA,NA,Sud-Kivu,CD62,République démocratique du Congo (la),CD,1567728000000,1568160000000,NA
13,Basankusu,CD4107,NA,NA,NA,Equateur,CD41,République démocratique du Congo (la),CD,1567728000000,1568160000000,NA
14,Basoko,CD5109,NA,NA,NA,Tshopo,CD51,République démocratique du Congo (la),CD,1567728000000,1568160000000,NA
15,Befale,CD4503,NA,NA,NA,Tshuapa,CD45,République démocratique du Congo (la),CD,1567728000000,1568160000000,NA
16,Bena-Dibele,CD8305,NA,NA,NA,Sankuru,CD83,République démocratique du Congo (la),CD,1567728000000,1568160000000,NA
17,Beni,CD6109,NA,NA,NA,Nord-Kivu,CD61,République démocratique du Congo (la),CD,1567728000000,1568160000000,NA
18,Bikoro,CD4102,NA,NA,NA,Equateur,CD41,République démocratique du Congo (la),CD,1567728000000,1568160000000,NA
19,Boende,CD4502,NA,NA,NA,Tshuapa,CD45,République démocratique du Congo (la),CD,1567728000000,1568160000000,NA
20,Bokungu,CD4506,NA,NA,NA,Tshuapa,CD45,République démocratique du Congo (la),CD,1567728000000,1568160000000,NA
21,Bolobo,CD3308,NA,NA,NA,Maï-Ndombe,CD33,République démocratique du Congo (la),CD,1567728000000,1568160000000,NA
22,Bolomba,CD4108,NA,NA,NA,Equateur,CD41,République démocratique du Congo (la),CD,1567728000000,1568160000000,NA
23,Boma,CD2002,NA,NA,NA,Kongo-Central,CD20,République démocratique du Congo (la),CD,1567728000000,1568160000000,NA
24,Bomongo,CD4104,NA,NA,NA,Equateur,CD41,République démocratique du Congo (la),CD,1567728000000,1568160000000,NA
25,Bondo,CD5206,NA,NA,NA,Bas-Uele,CD52,République démocratique du Congo (la),CD,1567728000000,1568160000000,NA
26,Bongandanga,CD4405,NA,NA,NA,Mongala,CD44,République démocratique du Congo (la),CD,1567728000000,1568160000000,NA
27,Bosobolo,CD4306,NA,NA,NA,Nord-Ubangi,CD43,République démocratique du Congo (la),CD,1567728000000,1568160000000,NA
28,Budjala,CD4203,NA,NA,NA,Sud-Ubangi,CD42,République démocratique du Congo (la),CD,1567728000000,1568160000000,NA
29,Bukama,CD7306,NA,NA,NA,Haut-Lomami,CD73,République démocratique du Congo (la),CD,1567728000000,1568160000000,NA
30,Bukavu,CD6201,NA,NA,NA,Sud-Kivu,CD62,République démocratique du Congo (la),CD,1567728000000,1568160000000,NA
31,Bulungu,CD3204,NA,NA,NA,Kwilu,CD32,République démocratique du Congo (la),CD,1567728000000,1568160000000,NA
32,Bumba,CD4404,NA,NA,NA,Mongala,CD44,République démocratique du Congo (la),CD,1567728000000,1568160000000,NA
33,Bunia,CD5401,NA,NA,NA,Ituri,CD54,République démocratique du Congo (la),CD,1567728000000,1568160000000,NA
34,Businga,CD4305,NA,NA,NA,Nord-Ubangi,CD43,République démocratique du Congo (la),CD,1567728000000,1568160000000,NA
35,Buta,CD5202,NA,NA,NA,Bas-Uele,CD52,République démocratique du Congo (la),CD,1567728000000,1568160000000,NA
36,Butembo,CD6110,NA,NA,NA,Nord-Kivu,CD61,République démocratique du Congo (la),CD,1567728000000,1568160000000,NA
37,Dekese,CD9208,NA,NA,NA,Kasaï,CD92,République démocratique du Congo (la),CD,1567728000000,1568160000000,NA
38,Demba,CD9106,NA,NA,NA,Kasaï-Central,CD91,République démocratique du Congo (la),CD,1567728000000,1568160000000,NA
