OBJECTID,admin2Name_fr,admin2Pcode,admin2RefName,admin2AltName1_fr,admin2AltName2_fr,admin1Name_fr,admin1Pcode,admin0Name_fr,admin0Pcode,date,validOn,validTo
1,Abala,CG0901,NA,NA,NA,Plateaux,CG09,Congo (le),CG,1499299200000,1560729600000,NA
2,Allembe,CG0902,NA,NA,NA,Plateaux,CG09,Congo (le),CG,1499299200000,1560729600000,NA
3,Bambama,CG0601,NA,NA,NA,Lekoumou,CG06,Congo (le),CG,1499299200000,1560729600000,NA
4,Banba,CG0801,NA,NA,NA,Niari,CG08,Congo (le),CG,1499299200000,1560729600000,NA
5,Betou,CG0701,NA,NA,NA,Likouala,CG07,Congo (le),CG,1499299200000,1560729600000,NA
6,Boko,CG1101,NA,NA,NA,Pool,CG11,Congo (le),CG,1499299200000,1560729600000,NA
7,Boko-Songho,CG0101,NA,NA,NA,Bouenza,CG01,Congo (le),CG,1499299200000,1560729600000,NA
8,Bouanila,CG0702,NA,NA,NA,Likouala,CG07,Congo (le),CG,1499299200000,1560729600000,NA
9,Boundji,CG0301,NA,NA,NA,Cuvette,CG03,Congo (le),CG,1499299200000,1560729600000,NA
10,Brazzaville,CG0201,NA,NA,NA,Brazzaville,CG02,Congo (le),CG,1499299200000,1560729600000,NA
11,Divenie,CG0802,NA,NA,NA,Niari,CG08,Congo (le),CG,1499299200000,1560729600000,NA
12,Djambala,CG0903,NA,NA,NA,Plateaux,CG09,Congo (le),CG,1499299200000,1560729600000,NA
13,Dongou,CG0703,NA,NA,NA,Likouala,CG07,Congo (le),CG,1499299200000,1560729600000,NA
14,Enyelle,CG0704,NA,NA,NA,Likouala,CG07,Congo (le),CG,1499299200000,1560729600000,NA
15,Epena,CG0705,NA,NA,NA,Likouala,CG07,Congo (le),CG,1499299200000,1560729600000,NA
16,Etoumbi,CG0401,NA,NA,NA,Cuvette-Ouest,CG04,Congo (le),CG,1499299200000,1560729600000,NA
17,Ewo,CG0402,NA,NA,NA,Cuvette-Ouest,CG04,Congo (le),CG,1499299200000,1560729600000,NA
18,Gamboma,CG0904,NA,NA,NA,Plateaux,CG09,Congo (le),CG,1499299200000,1560729600000,NA
19,Goma-Tsetse,CG1102,NA,NA,NA,Pool,CG11,Congo (le),CG,1499299200000,1560729600000,NA
20,Hinda,CG0501,NA,NA,NA,Kouilou,CG05,Congo (le),CG,1499299200000,1560729600000,NA
21,Ignie,CG1103,NA,NA,NA,Pool,CG11,Congo (le),CG,1499299200000,1560729600000,NA
22,Impfondo,CG0706,NA,NA,NA,Likouala,CG07,Congo (le),CG,1499299200000,1560729600000,NA
23,Kakameoka,CG0502,NA,NA,NA,Kouilou,CG05,Congo (le),CG,1499299200000,1560729600000,NA
24,Kelle,CG0403,NA,NA,NA,Cuvette-Ouest,CG04,Congo (le),CG,1499299200000,1560729600000,NA
25,Kibangou,CG0803,NA,NA,NA,Niari,CG08,Congo (le),CG,1499299200000,1560729600000,NA
26,Kimba,CG1104,NA,NA,NA,Pool,CG11,Congo (le),CG,1499299200000,1560729600000,NA
27,Kimongo,CG0804,NA,NA,NA,Niari,CG08,Congo (le),CG,1499299200000,1560729600000,NA
28,Kindamba,CG1105,NA,NA,NA,Pool,CG11,Congo (le),CG,1499299200000,1560729600000,NA
29,Kingoue,CG0102,NA,NA,NA,Bouenza,CG01,Congo (le),CG,1499299200000,1560729600000,NA
30,Kinkala,CG1106,NA,NA,NA,Pool,CG11,Congo (le),CG,1499299200000,1560729600000,NA
31,Komono,CG0602,NA,NA,NA,Lekoumou,CG06,Congo (le),CG,1499299200000,1560729600000,NA
32,Lekana,CG0905,NA,NA,NA,Plateaux,CG09,Congo (le),CG,1499299200000,1560729600000,NA
33,Liranga,CG0707,NA,NA,NA,Likouala,CG07,Congo (le),CG,1499299200000,1560729600000,NA
34,Londela-Kayes,CG0805,NA,NA,NA,Niari,CG08,Congo (le),CG,1499299200000,1560729600000,NA
35,Loudima,CG0103,NA,NA,NA,Bouenza,CG01,Congo (le),CG,1499299200000,1560729600000,NA
36,Louingui,CG1107,NA,NA,NA,Pool,CG11,Congo (le),CG,1499299200000,1560729600000,NA
37,Loukolela,CG0302,NA,NA,NA,Cuvette,CG03,Congo (le),CG,1499299200000,1560729600000,NA
38,Loumo,CG1108,NA,NA,NA,Pool,CG11,Congo (le),CG,1499299200000,1560729600000,NA
39,Louvakou,CG0806,NA,NA,NA,Niari,CG08,Congo (le),CG,1499299200000,1560729600000,NA
40,Mabombo,CG0104,NA,NA,NA,Bouenza,CG01,Congo (le),CG,1499299200000,1560729600000,NA
41,Madingo-Kayes,CG0503,NA,NA,NA,Kouilou,CG05,Congo (le),CG,1499299200000,1560729600000,NA
42,Madingou,CG0105,NA,NA,NA,Bouenza,CG01,Congo (le),CG,1499299200000,1560729600000,NA
43,Makabana,CG0807,NA,NA,NA,Niari,CG08,Congo (le),CG,1499299200000,1560729600000,NA
44,Makotimpoko,CG0906,NA,NA,NA,Plateaux,CG09,Congo (le),CG,1499299200000,1560729600000,NA
45,Makoua,CG0303,NA,NA,NA,Cuvette,CG03,Congo (le),CG,1499299200000,1560729600000,NA
46,Mayama,CG1109,NA,NA,NA,Pool,CG11,Congo (le),CG,1499299200000,1560729600000,NA
47,Mayeye,CG0603,NA,NA,NA,Lekoumou,CG06,Congo (le),CG,1499299200000,1560729600000,NA
48,Mayoko,CG0808,NA,NA,NA,Niari,CG08,Congo (le),CG,1499299200000,1560729600000,NA
49,Mbama,CG0404,NA,NA,NA,Cuvette-Ouest,CG04,Congo (le),CG,1499299200000,1560729600000,NA
50,Mbandza-Ndounga,CG1110,NA,NA,NA,Pool,CG11,Congo (le),CG,1499299200000,1560729600000,NA
51,Mbinda,CG0809,NA,NA,NA,Niari,CG08,Congo (le),CG,1499299200000,1560729600000,NA
52,Mbomo,CG0405,NA,NA,NA,Cuvette-Ouest,CG04,Congo (le),CG,1499299200000,1560729600000,NA
53,Mbon,CG0907,NA,NA,NA,Plateaux,CG09,Congo (le),CG,1499299200000,1560729600000,NA
54,Mfouati,CG0106,NA,NA,NA,Bouenza,CG01,Congo (le),CG,1499299200000,1560729600000,NA
55,Mindouli,CG1111,NA,NA,NA,Pool,CG11,Congo (le),CG,1499299200000,1560729600000,NA
56,Mokeko,CG1201,NA,NA,NA,Sangha,CG12,Congo (le),CG,1499299200000,1560729600000,NA
57,Mossaka,CG0304,NA,NA,NA,Cuvette,CG03,Congo (le),CG,1499299200000,1560729600000,NA
58,Moungoundou-Nord,CG0810,NA,NA,NA,Niari,CG08,Congo (le),CG,1499299200000,1560729600000,NA
59,Moungoundou-Sud,CG0811,NA,NA,NA,Niari,CG08,Congo (le),CG,1499299200000,1560729600000,NA
60,Moutamba,CG0812,NA,NA,NA,Niari,CG08,Congo (le),CG,1499299200000,1560729600000,NA
61,Mouyondzi,CG0107,NA,NA,NA,Bouenza,CG01,Congo (le),CG,1499299200000,1560729600000,NA
62,Mpouya,CG0908,NA,NA,NA,Plateaux,CG09,Congo (le),CG,1499299200000,1560729600000,NA
63,Mvouti,CG0504,NA,NA,NA,Kouilou,CG05,Congo (le),CG,1499299200000,1560729600000,NA
64,Ngabe,CG1112,NA,NA,NA,Pool,CG11,Congo (le),CG,1499299200000,1560729600000,NA
65,Ngbala,CG1202,NA,NA,NA,Sangha,CG12,Congo (le),CG,1499299200000,1560729600000,NA
66,Ngo,CG0909,NA,NA,NA,Plateaux,CG09,Congo (le),CG,1499299200000,1560729600000,NA
67,Ngoko,CG0305,NA,NA,NA,Cuvette,CG03,Congo (le),CG,1499299200000,1560729600000,NA
68,Nkayi,CG0108,NA,NA,NA,Bouenza,CG01,Congo (le),CG,1499299200000,1560729600000,NA
69,Ntokou,CG0306,NA,NA,NA,Cuvette,CG03,Congo (le),CG,1499299200000,1560729600000,NA
