OBJECTID,admin2Name_es,admin2Pcode,admin2RefName,admin2AltName1_es,admin2AltName2_es,admin1Name_es,admin1Pcode,admin0Name_es,admin0Pcode,date,validOn,validTo
1,Abejorral,CO05002,NA,NA,NA,Antioquia,CO05,Colombia,CO,1514764800000,1586995200000,NA
2,Ábrego,CO54003,Ábrego,NA,NA,Norte de Santander,CO54,Colombia,CO,1514764800000,1586995200000,NA
3,Abriaquí,CO05004,Abriaqui,NA,NA,Antioquia,CO05,Colombia,CO,1514764800000,1586995200000,NA
4,Acacías,CO50006,Acacias,NA,NA,Meta,CO50,Colombia,CO,1514764800000,1586995200000,NA
5,Acandí,CO27006,Acandi,NA,NA,Chocó,CO27,Colombia,CO,1514764800000,1586995200000,NA
6,Acevedo,CO41006,NA,NA,NA,Huila,CO41,Colombia,CO,1514764800000,1586995200000,NA
7,Achí,CO13006,Achi,NA,NA,Bolívar,CO13,Colombia,CO,1514764800000,1586995200000,NA
8,Agrado,CO41013,NA,NA,NA,Huila,CO41,Colombia,CO,1514764800000,1586995200000,NA
9,Agua de Dios,CO25001,NA,NA,NA,Cundinamarca,CO25,Colombia,CO,1514764800000,1586995200000,NA
10,Aguachica,CO20011,NA,NA,NA,Cesar,CO20,Colombia,CO,1514764800000,1586995200000,NA
11,Aguada,CO68013,NA,NA,NA,Santander,CO68,Colombia,CO,1514764800000,1586995200000,NA
12,Aguadas,CO17013,NA,NA,NA,Caldas,CO17,Colombia,CO,1514764800000,1586995200000,NA
13,Aguazul,CO85010,NA,NA,NA,Casanare,CO85,Colombia,CO,1514764800000,1586995200000,NA
14,Agustín Codazzi,CO20013,Agustin Codazzi,NA,NA,Cesar,CO20,Colombia,CO,1514764800000,1586995200000,NA
15,Aipe,CO41016,NA,NA,NA,Huila,CO41,Colombia,CO,1514764800000,1586995200000,NA
16,Albán,CO25019,Alban,NA,NA,Cundinamarca,CO25,Colombia,CO,1514764800000,1586995200000,NA
17,Albán,CO52019,Alban,NA,NA,Nariño,CO52,Colombia,CO,1514764800000,1586995200000,NA
18,Albania,CO18029,NA,NA,NA,Caquetá,CO18,Colombia,CO,1514764800000,1586995200000,NA
19,Albania,CO44035,NA,NA,NA,La Guajira,CO44,Colombia,CO,1514764800000,1586995200000,NA
20,Albania,CO68020,NA,NA,NA,Santander,CO68,Colombia,CO,1514764800000,1586995200000,NA
21,Alcalá,CO76020,Alcala,NA,NA,Valle del Cauca,CO76,Colombia,CO,1514764800000,1586995200000,NA
22,Aldana,CO52022,NA,NA,NA,Nariño,CO52,Colombia,CO,1514764800000,1586995200000,NA
23,Alejandría,CO05021,Alejandria,NA,NA,Antioquia,CO05,Colombia,CO,1514764800000,1586995200000,NA
24,Algarrobo,CO47030,NA,NA,NA,Magdalena,CO47,Colombia,CO,1514764800000,1586995200000,NA
25,Algeciras,CO41020,NA,NA,NA,Huila,CO41,Colombia,CO,1514764800000,1586995200000,NA
26,Almaguer,CO19022,NA,NA,NA,Cauca,CO19,Colombia,CO,1514764800000,1586995200000,NA
27,Almeida,CO15022,NA,NA,NA,Boyacá,CO15,Colombia,CO,1514764800000,1586995200000,NA
28,Alpujarra,CO73024,NA,NA,NA,Tolima,CO73,Colombia,CO,1514764800000,1586995200000,NA
29,Altamira,CO41026,NA,NA,NA,Huila,CO41,Colombia,CO,1514764800000,1586995200000,NA
30,Alto Baudó,CO27025,Alto Baudo,NA,NA,Chocó,CO27,Colombia,CO,1514764800000,1586995200000,NA
31,Altos del Rosario,CO13030,NA,NA,NA,Bolívar,CO13,Colombia,CO,1514764800000,1586995200000,NA
32,Alvarado,CO73026,NA,NA,NA,Tolima,CO73,Colombia,CO,1514764800000,1586995200000,NA
33,Amagá,CO05030,Amaga,NA,NA,Antioquia,CO05,Colombia,CO,1514764800000,1586995200000,NA
34,Amalfi,CO05031,NA,NA,NA,Antioquia,CO05,Colombia,CO,1514764800000,1586995200000,NA
