OBJECTID,admin3Name_en,admin3Pcode,admin3RefName,admin3AltName1_en,admin3AltName2_en,admin2Name_en,admin2Pcode,admin1Name_en,admin1Pcode,admin0Name_en,admin0Pcode,date,validOn,validTo
1,Adda,KM121,NA,NA,NA,Mrémani,KM12,Anjouan (Ndzouani),KM1,Comoros (the),KM,1545955200000,1575504000000,NA
2,Bambao Mtrouni,KM141,NA,NA,NA,Ouani,KM14,Anjouan (Ndzouani),KM1,Comoros (the),KM,1545955200000,1575504000000,NA
3,Bambao Mtsanga,KM111,NA,NA,NA,Domoni,KM11,Anjouan (Ndzouani),KM1,Comoros (the),KM,1545955200000,1575504000000,NA
4,Bambao Ya Hari,KM271,NA,NA,NA,Moroni-Bambao,KM27,Grande Comore (Ngazidja),KM2,Comoros (the),KM,1545955200000,1575504000000,NA
5,Bambao Ya Mboini,KM272,NA,NA,NA,Moroni-Bambao,KM27,Grande Comore (Ngazidja),KM2,Comoros (the),KM,1545955200000,1575504000000,NA
6,Bambao Yadjou,KM273,NA,NA,NA,Moroni-Bambao,KM27,Grande Comore (Ngazidja),KM2,Comoros (the),KM,1545955200000,1575504000000,NA
7,Bandrani Ya Chironkamba,KM131,NA,NA,NA,Mutsamudu,KM13,Anjouan (Ndzouani),KM1,Comoros (the),KM,1545955200000,1575504000000,NA
8,Bandrani Ya Mtsangani,KM132,NA,NA,NA,Mutsamudu,KM13,Anjouan (Ndzouani),KM1,Comoros (the),KM,1545955200000,1575504000000,NA
9,Bangaani,KM231,NA,NA,NA,Itsandra-Hamanvou,KM23,Grande Comore (Ngazidja),KM2,Comoros (the),KM,1545955200000,1575504000000,NA
10,Bazimini,KM142,NA,NA,NA,Ouani,KM14,Anjouan (Ndzouani),KM1,Comoros (the),KM,1545955200000,1575504000000,NA
11,Cembenoi Lac Salé,KM261,Cembenoi Lac Sale,NA,NA,Mitsamiouli-Mboudé,KM26,Grande Comore (Ngazidja),KM2,Comoros (the),KM,1545955200000,1575504000000,NA
12,Cembenoi Sada Djoulamlima,KM262,NA,NA,NA,Mitsamiouli-Mboudé,KM26,Grande Comore (Ngazidja),KM2,Comoros (the),KM,1545955200000,1575504000000,NA
13,Chaweni,KM122,NA,NA,NA,Mrémani,KM12,Anjouan (Ndzouani),KM1,Comoros (the),KM,1545955200000,1575504000000,NA
14,Cratère du Karthala,KM291,Cratere du Karthala,NA,NA,Kartala,KM29,Grande Comore (Ngazidja),KM2,Comoros (the),KM,1545955200000,1575504000000,NA
15,Dimani,KM281,NA,NA,NA,Oichili-Dimani,KM28,Grande Comore (Ngazidja),KM2,Comoros (the),KM,1545955200000,1575504000000,NA
16,Djando,KM311,NA,NA,NA,Djando,KM31,Mohéli (Mwali),KM3,Comoros (the),KM,1545955200000,1575504000000,NA
17,Djoumoichongo,KM232,NA,NA,NA,Itsandra-Hamanvou,KM23,Grande Comore (Ngazidja),KM2,Comoros (the),KM,1545955200000,1575504000000,NA
18,Djoumoipangua,KM221,NA,NA,NA,Hambou,KM22,Grande Comore (Ngazidja),KM2,Comoros (the),KM,1545955200000,1575504000000,NA
