OBJECTID,admin2Name_en,admin2Name_ar,admin2Pcode,admin2RefName,admin2AltName1_en,admin2AltName2_en,admin2AltName1_ar,admin2AltName2_ar,admin1Name_en,admin1Name_ar,admin1Pcode,admin0Name_en,admin0Name_ar,admin0Pcode,date,validOn,validTo
1,Adrar,NA,DZ001001,NA,NA,NA,NA,NA,Adrar,أدرا,DZ001,Algeria,الجزائر,DZ,1588032000000,1611100800000,NA
2,Akabili,NA,DZ001002,NA,NA,NA,NA,NA,Adrar,أدرا,DZ001,Algeria,الجزائر,DZ,1588032000000,1611100800000,NA
3,Aougrout,NA,DZ001003,NA,NA,NA,NA,NA,Adrar,أدرا,DZ001,Algeria,الجزائر,DZ,1588032000000,1611100800000,NA
4,Aoulef,NA,DZ001004,NA,NA,NA,NA,NA,Adrar,أدرا,DZ001,Algeria,الجزائر,DZ,1588032000000,1611100800000,NA
5,Bordj Badji Mokhtar,NA,DZ001005,NA,NA,NA,NA,NA,Adrar,أدرا,DZ001,Algeria,الجزائر,DZ,1588032000000,1611100800000,NA
6,Bouda,NA,DZ001006,NA,NA,NA,NA,NA,Adrar,أدرا,DZ001,Algeria,الجزائر,DZ,1588032000000,1611100800000,NA
7,Deldoul,NA,DZ001007,NA,NA,NA,NA,NA,Adrar,أدرا,DZ001,Algeria,الجزائر,DZ,1588032000000,1611100800000,NA
8,Fenoughil,NA,DZ001008,NA,NA,NA,NA,NA,Adrar,أدرا,DZ001,Algeria,الجزائر,DZ,1588032000000,1611100800000,NA
9,Gharouine,NA,DZ001009,NA,NA,NA,NA,NA,Adrar,أدرا,DZ001,Algeria,الجزائر,DZ,1588032000000,1611100800000,NA
10,Inzegmir,NA,DZ001010,NA,NA,NA,NA,NA,Adrar,أدرا,DZ001,Algeria,الجزائر,DZ,1588032000000,1611100800000,NA
11,Ksar Kaddour,NA,DZ001011,NA,NA,NA,NA,NA,Adrar,أدرا,DZ001,Algeria,الجزائر,DZ,1588032000000,1611100800000,NA
12,Metarfa,NA,DZ001012,NA,NA,NA,NA,NA,Adrar,أدرا,DZ001,Algeria,الجزائر,DZ,1588032000000,1611100800000,NA
13,Ouled Ahmed Timi,NA,DZ001013,NA,NA,NA,NA,NA,Adrar,أدرا,DZ001,Algeria,الجزائر,DZ,1588032000000,1611100800000,NA
14,Ouled Aissa,NA,DZ001014,NA,NA,NA,NA,NA,Adrar,أدرا,DZ001,Algeria,الجزائر,DZ,1588032000000,1611100800000,NA
15,Ouled Said,NA,DZ001015,NA,NA,NA,NA,NA,Adrar,أدرا,DZ001,Algeria,الجزائر,DZ,1588032000000,1611100800000,NA
16,Reggane,NA,DZ001016,NA,NA,NA,NA,NA,Adrar,أدرا,DZ001,Algeria,الجزائر,DZ,1588032000000,1611100800000,NA
17,Sali,NA,DZ001017,NA,NA,NA,NA,NA,Adrar,أدرا,DZ001,Algeria,الجزائر,DZ,1588032000000,1611100800000,NA
18,Sebaa,NA,DZ001018,NA,NA,NA,NA,NA,Adrar,أدرا,DZ001,Algeria,الجزائر,DZ,1588032000000,1611100800000,NA
19,Talmine,NA,DZ001019,NA,NA,NA,NA,NA,Adrar,أدرا,DZ001,Algeria,الجزائر,DZ,1588032000000,1611100800000,NA
20,Tamentit,NA,DZ001020,NA,NA,NA,NA,NA,Adrar,أدرا,DZ001,Algeria,الجزائر,DZ,1588032000000,1611100800000,NA
21,Tamest,NA,DZ001021,NA,NA,NA,NA,NA,Adrar,أدرا,DZ001,Algeria,الجزائر,DZ,1588032000000,1611100800000,NA
22,Timiaouine,NA,DZ001022,NA,NA,NA,NA,NA,Adrar,أدرا,DZ001,Algeria,الجزائر,DZ,1588032000000,1611100800000,NA
23,Timimoun,NA,DZ001023,NA,NA,NA,NA,NA,Adrar,أدرا,DZ001,Algeria,الجزائر,DZ,1588032000000,1611100800000,NA
24,Timokten,NA,DZ001024,NA,NA,NA,NA,NA,Adrar,أدرا,DZ001,Algeria,الجزائر,DZ,1588032000000,1611100800000,NA
25,Tinerkouk,NA,DZ001025,NA,NA,NA,NA,NA,Adrar,أدرا,DZ001,Algeria,الجزائر,DZ,1588032000000,1611100800000,NA
26,Tit,NA,DZ001026,NA,NA,NA,NA,NA,Adrar,أدرا,DZ001,Algeria,الجزائر,DZ,1588032000000,1611100800000,NA
27,Tsabit,NA,DZ001027,NA,NA,NA,NA,NA,Adrar,أدرا,DZ001,Algeria,الجزائر,DZ,1588032000000,1611100800000,NA
28,Zaouiet Kounta,NA,DZ001028,NA,NA,NA,NA,NA,Adrar,أدرا,DZ001,Algeria,الجزائر,DZ,1588032000000,1611100800000,NA
29,Ain Benian,NA,DZ002001,NA,NA,NA,NA,NA,Ain-Defla,عين الدفلى,DZ002,Algeria,الجزائر,DZ,1588032000000,1611100800000,NA
30,Ain Bouyahia,NA,DZ002002,NA,NA,NA,NA,NA,Ain-Defla,عين الدفلى,DZ002,Algeria,الجزائر,DZ,1588032000000,1611100800000,NA
31,Ain Lechiakh,NA,DZ002003,NA,NA,NA,NA,NA,Ain-Defla,عين الدفلى,DZ002,Algeria,الجزائر,DZ,1588032000000,1611100800000,NA
32,Ain Soltane,NA,DZ002004,NA,NA,NA,NA,NA,Ain-Defla,عين الدفلى,DZ002,Algeria,الجزائر,DZ,1588032000000,1611100800000,NA
33,Ain Torki,NA,DZ002005,NA,NA,NA,NA,NA,Ain-Defla,عين الدفلى,DZ002,Algeria,الجزائر,DZ,1588032000000,1611100800000,NA
34,Ain-Defla,NA,DZ002006,NA,NA,NA,NA,NA,Ain-Defla,عين الدفلى,DZ002,Algeria,الجزائر,DZ,1588032000000,1611100800000,NA
35,Arib,NA,DZ002007,NA,NA,NA,NA,NA,Ain-Defla,عين الدفلى,DZ002,Algeria,الجزائر,DZ,1588032000000,1611100800000,NA
36,Barbouche,NA,DZ002008,NA,NA,NA,NA,NA,Ain-Defla,عين الدفلى,DZ002,Algeria,الجزائر,DZ,1588032000000,1611100800000,NA
37,Bathia,NA,DZ002009,NA,NA,NA,NA,NA,Ain-Defla,عين الدفلى,DZ002,Algeria,الجزائر,DZ,1588032000000,1611100800000,NA
38,Belaas,NA,DZ002010,NA,NA,NA,NA,NA,Ain-Defla,عين الدفلى,DZ002,Algeria,الجزائر,DZ,1588032000000,1611100800000,NA
39,Ben Allal,NA,DZ002011,NA,NA,NA,NA,NA,Ain-Defla,عين الدفلى,DZ002,Algeria,الجزائر,DZ,1588032000000,1611100800000,NA
40,Bir Ouled Khelifa,NA,DZ002012,NA,NA,NA,NA,NA,Ain-Defla,عين الدفلى,DZ002,Algeria,الجزائر,DZ,1588032000000,1611100800000,NA
41,Bordj Emir Khaled,NA,DZ002013,NA,NA,NA,NA,NA,Ain-Defla,عين الدفلى,DZ002,Algeria,الجزائر,DZ,1588032000000,1611100800000,NA
42,Boumedfaa,NA,DZ002014,NA,NA,NA,NA,NA,Ain-Defla,عين الدفلى,DZ002,Algeria,الجزائر,DZ,1588032000000,1611100800000,NA
43,Bourached,NA,DZ002015,NA,NA,NA,NA,NA,Ain-Defla,عين الدفلى,DZ002,Algeria,الجزائر,DZ,1588032000000,1611100800000,NA
44,Djelida,NA,DZ002016,NA,NA,NA,NA,NA,Ain-Defla,عين الدفلى,DZ002,Algeria,الجزائر,DZ,1588032000000,1611100800000,NA
45,Djemaa Ouled Cheikh,NA,DZ002017,NA,NA,NA,NA,NA,Ain-Defla,عين الدفلى,DZ002,Algeria,الجزائر,DZ,1588032000000,1611100800000,NA
46,Djendel,NA,DZ002018,NA,NA,NA,NA,NA,Ain-Defla,عين الدفلى,DZ002,Algeria,الجزائر,DZ,1588032000000,1611100800000,NA
47,El Abbadia,NA,DZ002019,NA,NA,NA,NA,NA,Ain-Defla,عين الدفلى,DZ002,Algeria,الجزائر,DZ,1588032000000,1611100800000,NA
48,El Amra,NA,DZ002020,NA,NA,NA,NA,NA,Ain-Defla,عين الدفلى,DZ002,Algeria,الجزائر,DZ,1588032000000,1611100800000,NA
49,El Attaf,NA,DZ002021,NA,NA,NA,NA,NA,Ain-Defla,عين الدفلى,DZ002,Algeria,الجزائر,DZ,1588032000000,1611100800000,NA
50,El Hassania,NA,DZ002022,NA,NA,NA,NA,NA,Ain-Defla,عين الدفلى,DZ002,Algeria,الجزائر,DZ,1588032000000,1611100800000,NA
51,El Hoceinia,NA,DZ002023,NA,NA,NA,NA,NA,Ain-Defla,عين الدفلى,DZ002,Algeria,الجزائر,DZ,1588032000000,1611100800000,NA
52,El Mayene,NA,DZ002024,NA,NA,NA,NA,NA,Ain-Defla,عين الدفلى,DZ002,Algeria,الجزائر,DZ,1588032000000,1611100800000,NA
53,Hammam Righa,NA,DZ002025,NA,NA,NA,NA,NA,Ain-Defla,عين الدفلى,DZ002,Algeria,الجزائر,DZ,1588032000000,1611100800000,NA
54,Khemis Miliana,NA,DZ002026,NA,NA,NA,NA,NA,Ain-Defla,عين الدفلى,DZ002,Algeria,الجزائر,DZ,1588032000000,1611100800000,NA
55,Mekhatria,NA,DZ002027,NA,NA,NA,NA,NA,Ain-Defla,عين الدفلى,DZ002,Algeria,الجزائر,DZ,1588032000000,1611100800000,NA
56,Miliana,NA,DZ002028,NA,NA,NA,NA,NA,Ain-Defla,عين الدفلى,DZ002,Algeria,الجزائر,DZ,1588032000000,1611100800000,NA
57,Oued Chorfa,NA,DZ002029,NA,NA,NA,NA,NA,Ain-Defla,عين الدفلى,DZ002,Algeria,الجزائر,DZ,1588032000000,1611100800000,NA
58,Oued Djemaa,NA,DZ002030,NA,NA,NA,NA,NA,Ain-Defla,عين الدفلى,DZ002,Algeria,الجزائر,DZ,1588032000000,1611100800000,NA
59,Rouina,NA,DZ002031,NA,NA,NA,NA,NA,Ain-Defla,عين الدفلى,DZ002,Algeria,الجزائر,DZ,1588032000000,1611100800000,NA
60,Sidi Lakhdar,NA,DZ002032,NA,NA,NA,NA,NA,Ain-Defla,عين الدفلى,DZ002,Algeria,الجزائر,DZ,1588032000000,1611100800000,NA
61,Tachta Zegarra,NA,DZ002033,NA,NA,NA,NA,NA,Ain-Defla,عين الدفلى,DZ002,Algeria,الجزائر,DZ,1588032000000,1611100800000,NA
62,Tarik Ibn Ziad,NA,DZ002034,NA,NA,NA,NA,NA,Ain-Defla,عين الدفلى,DZ002,Algeria,الجزائر,DZ,1588032000000,1611100800000,NA
63,Tiberkanine,NA,DZ002035,NA,NA,NA,NA,NA,Ain-Defla,عين الدفلى,DZ002,Algeria,الجزائر,DZ,1588032000000,1611100800000,NA
64,Zeddine,NA,DZ002036,NA,NA,NA,NA,NA,Ain-Defla,عين الدفلى,DZ002,Algeria,الجزائر,DZ,1588032000000,1611100800000,NA
65,Aghlal,NA,DZ003001,NA,NA,NA,NA,NA,Ain-Temouchent,عين تموشنت,DZ003,Algeria,الجزائر,DZ,1588032000000,1611100800000,NA
66,Ain El Arbaa,NA,DZ003002,NA,NA,NA,NA,NA,Ain-Temouchent,عين تموشنت,DZ003,Algeria,الجزائر,DZ,1588032000000,1611100800000,NA
67,Ain Kihel,NA,DZ003003,NA,NA,NA,NA,NA,Ain-Temouchent,عين تموشنت,DZ003,Algeria,الجزائر,DZ,1588032000000,1611100800000,NA
68,Ain Tolba,NA,DZ003004,NA,NA,NA,NA,NA,Ain-Temouchent,عين تموشنت,DZ003,Algeria,الجزائر,DZ,1588032000000,1611100800000,NA
69,Ain-Temouchent,NA,DZ003005,NA,NA,NA,NA,NA,Ain-Temouchent,عين تموشنت,DZ003,Algeria,الجزائر,DZ,1588032000000,1611100800000,NA
70,Beni Saf,NA,DZ003006,NA,NA,NA,NA,NA,Ain-Temouchent,عين تموشنت,DZ003,Algeria,الجزائر,DZ,1588032000000,1611100800000,NA
71,Bouzedjar,NA,DZ003007,NA,NA,NA,NA,NA,Ain-Temouchent,عين تموشنت,DZ003,Algeria,الجزائر,DZ,1588032000000,1611100800000,NA
72,Chaabet El Ham,NA,DZ003008,NA,NA,NA,NA,NA,Ain-Temouchent,عين تموشنت,DZ003,Algeria,الجزائر,DZ,1588032000000,1611100800000,NA
73,Chentouf,NA,DZ003009,NA,NA,NA,NA,NA,Ain-Temouchent,عين تموشنت,DZ003,Algeria,الجزائر,DZ,1588032000000,1611100800000,NA
74,El Amria,NA,DZ003010,NA,NA,NA,NA,NA,Ain-Temouchent,عين تموشنت,DZ003,Algeria,الجزائر,DZ,1588032000000,1611100800000,NA
75,El Emir Abdelkader,NA,DZ003011,NA,NA,NA,NA,NA,Ain-Temouchent,عين تموشنت,DZ003,Algeria,الجزائر,DZ,1588032000000,1611100800000,NA
76,El M'Said,NA,DZ003013,El MSaid,NA,NA,NA,NA,Ain-Temouchent,عين تموشنت,DZ003,Algeria,الجزائر,DZ,1588032000000,1611100800000,NA
77,El Malah,NA,DZ003012,NA,NA,NA,NA,NA,Ain-Temouchent,عين تموشنت,DZ003,Algeria,الجزائر,DZ,1588032000000,1611100800000,NA
78,Hammam Bouhadjar,NA,DZ003014,NA,NA,NA,NA,NA,Ain-Temouchent,عين تموشنت,DZ003,Algeria,الجزائر,DZ,1588032000000,1611100800000,NA
