OBJECTID,admin3Name_es,admin3Pcode,admin3RefName,admin3AltName1_es,admin3AltName2_es,admin2Name_es,admin2Pcode,admin1Name_es,admin1Pcode,admin0Name_en,admin0Name_es,admin0Pcode,date,validOn,validTo
1,10 de Agosto,EC131752,NA,NA,NA,Pedernales,EC1317,Manabi,EC13,Ecuador,Ecuador (el),EC,1545004800000,1563926400000,NA
2,10 de Agosto,EC210160,NA,NA,NA,Lago Agrio,EC2101,Sucumbios,EC21,Ecuador,Ecuador (el),EC,1545004800000,1563926400000,NA
3,11 de Noviembre (Ilinchisi),EC050157,NA,NA,NA,Latacunga,EC0501,Cotopaxi,EC05,Ecuador,Ecuador (el),EC,1545004800000,1563926400000,NA
4,12 de Diciembre (Cab. en Achiotes),EC111452,NA,NA,NA,Pindal,EC1114,Loja,EC11,Ecuador,Ecuador (el),EC,1545004800000,1563926400000,NA
5,16 de Agosto,EC140455,NA,NA,NA,Palora,EC1404,Morona Santiago,EC14,Ecuador,Ecuador (el),EC,1545004800000,1563926400000,NA
6,27 de Abril (Cab. en la Naranja),EC110654,NA,NA,NA,Espindola,EC1106,Loja,EC11,Ecuador,Ecuador (el),EC,1545004800000,1563926400000,NA
7,28 de Mayo (San Jose de Yacuambi),EC190450,NA,NA,NA,Yacuambi,EC1904,Zamora Chinchipe,EC19,Ecuador,Ecuador (el),EC,1545004800000,1563926400000,NA
8,5 de Junio (Cab. en Uimbi),EC080555,NA,NA,NA,San Lorenzo,EC0805,Esmeraldas,EC08,Ecuador,Ecuador (el),EC,1545004800000,1563926400000,NA
9,6 de Julio de Cuellaje (Cab. en Cuellaje),EC100357,NA,NA,NA,Cotacachi,EC1003,Imbabura,EC10,Ecuador,Ecuador (el),EC,1545004800000,1563926400000,NA
10,Abañin,EC071351,Abanin,NA,NA,Zaruma,EC0713,El Oro,EC07,Ecuador,Ecuador (el),EC,1545004800000,1563926400000,NA
11,Abdon Calderon (La Union),EC010851,NA,NA,NA,Santa Isabel,EC0108,Azuay,EC01,Ecuador,Ecuador (el),EC,1545004800000,1563926400000,NA
12,Abdon Calderon (San Francisco),EC130151,NA,NA,NA,Portoviejo,EC1301,Manabi,EC13,Ecuador,Ecuador (el),EC,1545004800000,1563926400000,NA
13,Achupallas,EC060251,NA,NA,NA,Alausi,EC0602,Chimborazo,EC06,Ecuador,Ecuador (el),EC,1545004800000,1563926400000,NA
14,Aguas Negras,EC210752,NA,NA,NA,Cuyabeno,EC2107,Sucumbios,EC21,Ecuador,Ecuador (el),EC,1545004800000,1563926400000,NA
15,Ahuano,EC150151,NA,NA,NA,Tena,EC1501,Napo,EC15,Ecuador,Ecuador (el),EC,1545004800000,1563926400000,NA
16,Alamor,EC111050,NA,NA,NA,Puyango,EC1110,Loja,EC11,Ecuador,Ecuador (el),EC,1545004800000,1563926400000,NA
17,Alangasi,EC170151,NA,NA,NA,Quito,EC1701,Pichincha,EC17,Ecuador,Ecuador (el),EC,1545004800000,1563926400000,NA
18,Alaques (Alaquez),EC050151,NA,NA,NA,Latacunga,EC0501,Cotopaxi,EC05,Ecuador,Ecuador (el),EC,1545004800000,1563926400000,NA
19,Alausi,EC060250,NA,NA,NA,Alausi,EC0602,Chimborazo,EC06,Ecuador,Ecuador (el),EC,1545004800000,1563926400000,NA
20,Alejandro Labaka,EC220153,NA,NA,NA,Orellana,EC2201,Orellana,EC22,Ecuador,Ecuador (el),EC,1545004800000,1563926400000,NA
21,Alfredo Baquerizo Moreno (Jujan),EC090250,NA,NA,NA,Alfredo Baquerizo Moreno,EC0902,Guayas,EC09,Ecuador,Ecuador (el),EC,1545004800000,1563926400000,NA
22,Alhajuela (Bajo Grande),EC130152,NA,NA,NA,Portoviejo,EC1301,Manabi,EC13,Ecuador,Ecuador (el),EC,1545004800000,1563926400000,NA
23,Alluriquin,EC230151,NA,NA,NA,Santo Domingo,EC2301,Santo Domingo de los Tsachilas,EC23,Ecuador,Ecuador (el),EC,1545004800000,1563926400000,NA
24,Aloag,EC170351,NA,NA,NA,Mejia,EC1703,Pichincha,EC17,Ecuador,Ecuador (el),EC,1545004800000,1563926400000,NA
25,Aloasi,EC170352,NA,NA,NA,Mejia,EC1703,Pichincha,EC17,Ecuador,Ecuador (el),EC,1545004800000,1563926400000,NA
26,Alshi (Cab en 9 de Octubre),EC140151,NA,NA,NA,Morona,EC1401,Morona Santiago,EC14,Ecuador,Ecuador (el),EC,1545004800000,1563926400000,NA
27,Alto Tambo (Cab en Guadual),EC080551,NA,NA,NA,San Lorenzo,EC0805,Esmeraldas,EC08,Ecuador,Ecuador (el),EC,1545004800000,1563926400000,NA
28,Amaguaña,EC170152,Amaguana,NA,NA,Quito,EC1701,Pichincha,EC17,Ecuador,Ecuador (el),EC,1545004800000,1563926400000,NA
29,Amaluza,EC011351,NA,NA,NA,Sevilla de Oro,EC0113,Azuay,EC01,Ecuador,Ecuador (el),EC,1545004800000,1563926400000,NA
30,Amaluza,EC110650,NA,NA,NA,Espindola,EC1106,Loja,EC11,Ecuador,Ecuador (el),EC,1545004800000,1563926400000,NA
31,Amarillos,EC110554,NA,NA,NA,Chaguarpamba,EC1105,Loja,EC11,Ecuador,Ecuador (el),EC,1545004800000,1563926400000,NA
32,Amazonas (Rosario de Cuyes),EC140251,NA,NA,NA,Gualaquiza,EC1402,Morona Santiago,EC14,Ecuador,Ecuador (el),EC,1545004800000,1563926400000,NA
33,Ambatillo,EC180151,NA,NA,NA,Ambato,EC1801,Tungurahua,EC18,Ecuador,Ecuador (el),EC,1545004800000,1563926400000,NA
34,Ambato,EC180150,NA,NA,NA,Ambato,EC1801,Tungurahua,EC18,Ecuador,Ecuador (el),EC,1545004800000,1563926400000,NA
35,Ambuqui,EC100151,NA,NA,NA,Ibarra,EC1001,Imbabura,EC10,Ecuador,Ecuador (el),EC,1545004800000,1563926400000,NA
36,America,EC130651,NA,NA,NA,Jipijapa,EC1306,Manabi,EC13,Ecuador,Ecuador (el),EC,1545004800000,1563926400000,NA
37,Anchayacu,EC080251,NA,NA,NA,Eloy Alfaro,EC0802,Esmeraldas,EC08,Ecuador,Ecuador (el),EC,1545004800000,1563926400000,NA
38,Ancon (Pichangal) (Cab. en Palma Real),EC080552,NA,NA,NA,San Lorenzo,EC0805,Esmeraldas,EC08,Ecuador,Ecuador (el),EC,1545004800000,1563926400000,NA
39,Anconcito,EC240351,NA,NA,NA,Salinas,EC2403,Santa Elena,EC24,Ecuador,Ecuador (el),EC,1545004800000,1563926400000,NA
