OBJECTID,admin2Name_en,admin2Name_ar,admin2Pcode,admin2RefName,admin2AltName1_en,admin2AltName2_en,admin2AltName1_ar,admin2AltName2_ar,admin1Name_en,admin1Name_ar,admin1Pcode,admin0Name_en,admin0Name_ar,admin0Pcode,date,validOn,ValidTo
1,10 Ramadan 1,قسم اول مدينة العاشر من رمضان,EG1309,10 Ramadan 1,NA,NA,NA,NA,Sharkia,الشرقية,EG13,Egypt,مِصر,EG,1136073600000,1492732800000,NA
2,10 Ramadan 2,قسم ثان مدينه العاشر من رمضان,EG1321,10 Ramadan 2,NA,NA,NA,NA,Sharkia,الشرقية,EG13,Egypt,مِصر,EG,1136073600000,1492732800000,NA
3,15 Mayu,قسم  15 مايو,EG0103,15 Mayu,NA,NA,NA,NA,Cairo,القاهرة,EG01,Egypt,مِصر,EG,1136073600000,1492732800000,NA
4,6 October-1,قسم أول 6 أكتوبر,EG2107,6 October-1,NA,NA,NA,NA,Giza,الجيزة,EG21,Egypt,مِصر,EG,1136073600000,1492732800000,NA
5,6 October-2,قسم ثان 6 أكتوبر,EG2121,6 October-2,NA,NA,NA,NA,Giza,الجيزة,EG21,Egypt,مِصر,EG,1136073600000,1492732800000,NA
6,A-Dakhla Oasis,مركز الوحات الداخلة,EG3202,A-Dakhla Oasis,NA,NA,NA,NA,New Valley,الوادى الجديد,EG32,Egypt,مِصر,EG,1136073600000,1492732800000,NA
7,A L Labban,قسم  اللبان,EG0209,A L Labban,NA,NA,NA,NA,Alexandria,الاسكندرية,EG02,Egypt,مِصر,EG,1136073600000,1492732800000,NA
8,Abdin,قسم عابدين,EG0109,Abdin,NA,NA,NA,NA,Cairo,القاهرة,EG01,Egypt,مِصر,EG,1136073600000,1492732800000,NA
9,Abnub,مركز أبنوب,EG2504,Abnub,NA,NA,NA,NA,Assiut,أسيوط,EG25,Egypt,مِصر,EG,1136073600000,1492732800000,NA
10,Abour,قسم العبور,EG1413,Abour,NA,NA,NA,NA,Kalyoubia,القليوبية,EG14,Egypt,مِصر,EG,1136073600000,1492732800000,NA
11,Abshaway,مركز أبشواى,EG2303,Abshaway,NA,NA,NA,NA,Fayoum,الفيوم,EG23,Egypt,مِصر,EG,1136073600000,1492732800000,NA
12,Abu-l-Matamir,مركز ابوالمطامير,EG1803,Abu-l-Matamir,NA,NA,NA,NA,Behera,البحيرة,EG18,Egypt,مِصر,EG,1136073600000,1492732800000,NA
13,Abu Hammad,مركز أبو حماد,EG1304,Abu Hammad,NA,NA,NA,NA,Sharkia,الشرقية,EG13,Egypt,مِصر,EG,1136073600000,1492732800000,NA
14,Abu Hummus,مركز ابوحمص,EG1804,Abu Hummus,NA,NA,NA,NA,Behera,البحيرة,EG18,Egypt,مِصر,EG,1136073600000,1492732800000,NA
15,Abu Kabir,مركز أبوكبير,EG1305,Abu Kabir,NA,NA,NA,NA,Sharkia,الشرقية,EG13,Egypt,مِصر,EG,1136073600000,1492732800000,NA
16,Abu Radis,قسم أبو رديس,EG3503,Abu Radis,NA,NA,NA,NA,South Sinai,جنوب سيناء,EG35,Egypt,مِصر,EG,1136073600000,1492732800000,NA
17,Abu Simbel,مركز أبوسنبل,EG2807,Abu Simbel,NA,NA,NA,NA,Aswan,أسوان,EG28,Egypt,مِصر,EG,1136073600000,1492732800000,NA
18,Abu Tig,مركز أبوتيج,EG2505,Abu Tig,NA,NA,NA,NA,Assiut,أسيوط,EG25,Egypt,مِصر,EG,1136073600000,1492732800000,NA
19,Abu Tisht,مركز أبو طشت,EG2703,Abu Tisht,NA,NA,NA,NA,Qena,قنا,EG27,Egypt,مِصر,EG,1136073600000,1492732800000,NA
20,Adfu,مركز أدفو,EG2803,Adfu,NA,NA,NA,NA,Aswan,أسوان,EG28,Egypt,مِصر,EG,1136073600000,1492732800000,NA
21,Aga,مركز أجا,EG1204,Aga,NA,NA,NA,NA,Dakahlia,الدقهلية,EG12,Egypt,مِصر,EG,1136073600000,1492732800000,NA
22,Ahnasya,مركز أهناسيا,EG2206,Ahnasya,NA,NA,NA,NA,Beni Suef,بنى سويف,EG22,Egypt,مِصر,EG,1136073600000,1492732800000,NA
23,Ain Shams,قسم عين شمس,EG0130,Ain Shams,NA,NA,NA,NA,Cairo,القاهرة,EG01,Egypt,مِصر,EG,1136073600000,1492732800000,NA
24,Akhmim,مركز أخميم,EG2604,Akhmim,NA,NA,NA,NA,Suhag,سوهاج,EG26,Egypt,مِصر,EG,1136073600000,1492732800000,NA
25,Akhmim City,مدينة أخميم الجديدة,EG2618,Akhmim City,NA,NA,NA,NA,Suhag,سوهاج,EG26,Egypt,مِصر,EG,1136073600000,1492732800000,NA
26,Al- Badari,مركز البدارى,EG2506,Al- Badari,NA,NA,NA,NA,Assiut,أسيوط,EG25,Egypt,مِصر,EG,1136073600000,1492732800000,NA
27,Al-Aguza,قسم العجوزة,EG2102,Al-Aguza,NA,NA,NA,NA,Giza,الجيزة,EG21,Egypt,مِصر,EG,1136073600000,1492732800000,NA
28,Al-Ahram,قسم الأهرام,EG2106,Al-Ahram,NA,NA,NA,NA,Giza,الجيزة,EG21,Egypt,مِصر,EG,1136073600000,1492732800000,NA
29,Al-Arab,قسم العرب,EG0302,Al-Arab,NA,NA,NA,NA,Port Said,بورسعيد,EG03,Egypt,مِصر,EG,1136073600000,1492732800000,NA
30,Al-Arbiin,قسم الأربعين,EG0402,Al-Arbiin,NA,NA,NA,NA,Suez,السويس,EG04,Egypt,مِصر,EG,1136073600000,1492732800000,NA
31,Al-Bagur,مركز الباجور,EG1704,Al-Bagur,NA,NA,NA,NA,Menoufia,المنوفية,EG17,Egypt,مِصر,EG,1136073600000,1492732800000,NA
32,Al-Balyana,مركز البلينا,EG2605,Al-Balyana,NA,NA,NA,NA,Suhag,سوهاج,EG26,Egypt,مِصر,EG,1136073600000,1492732800000,NA
33,Al-Dawahy ,قسم الضواحى,EG0305,Al-Dawahy ,NA,NA,NA,NA,Port Said,بورسعيد,EG03,Egypt,مِصر,EG,1136073600000,1492732800000,NA
34,Al-Dilingat,مركز الدلنجات,EG1805,Al-Dilingat,NA,NA,NA,NA,Behera,البحيرة,EG18,Egypt,مِصر,EG,1136073600000,1492732800000,NA
35,Al-Ganayin,قسم الجناين,EG0405,Al-Ganayin,NA,NA,NA,NA,Suez,السويس,EG04,Egypt,مِصر,EG,1136073600000,1492732800000,NA
36,Al-Ganoub,قسم الجنوب,EG0306,Al-Ganoub,NA,NA,NA,NA,Port Said,بورسعيد,EG03,Egypt,مِصر,EG,1136073600000,1492732800000,NA
37,Al-Ganoub 2,قسم ثان الجنوب,EG0311,Al-Ganoub 2,NA,NA,NA,NA,Port Said,بورسعيد,EG03,Egypt,مِصر,EG,1136073600000,1492732800000,NA
38,Al-Ghanayem,مركز الغنايم,EG2508,Al-Ghanayem,NA,NA,NA,NA,Assiut,أسيوط,EG25,Egypt,مِصر,EG,1136073600000,1492732800000,NA
39,Al-Hammam,قسم الحمام,EG3302,Al-Hammam,NA,NA,NA,NA,Matrouh,مطروح,EG33,Egypt,مِصر,EG,1136073600000,1492732800000,NA
40,Al-Hasna,قسم الحسنة,EG3406,Al-Hasna,NA,NA,NA,NA,North Sinai,شمال سيناء,EG34,Egypt,مِصر,EG,1136073600000,1492732800000,NA
41,Al-Husayniya,مركز الحسينية,EG1306,Al-Husayniya,NA,NA,NA,NA,Sharkia,الشرقية,EG13,Egypt,مِصر,EG,1136073600000,1492732800000,NA
42,Al-Kharga Oasis,مركز الواحات الخارجة,EG3201,Al-Kharga Oasis,NA,NA,NA,NA,New Valley,الوادى الجديد,EG32,Egypt,مِصر,EG,1136073600000,1492732800000,NA
43,Al-Mahmudiyya,مركز المحمودية,EG1806,Al-Mahmudiyya,NA,NA,NA,NA,Behera,البحيرة,EG18,Egypt,مِصر,EG,1136073600000,1492732800000,NA
44,Al-Manasra,قسم المناصرة,EG0310,Al-Manasra,NA,NA,NA,NA,Port Said,بورسعيد,EG03,Egypt,مِصر,EG,1136073600000,1492732800000,NA
45,Al-Maragha ,مركز المراغة,EG2606,Al-Maragha ,NA,NA,NA,NA,Suhag,سوهاج,EG26,Egypt,مِصر,EG,1136073600000,1492732800000,NA
46,Al-Minshat,مركز المنشأة,EG2607,Al-Minshat,NA,NA,NA,NA,Suhag,سوهاج,EG26,Egypt,مِصر,EG,1136073600000,1492732800000,NA
47,Al-Munakh,قسم المناخ,EG0303,Al-Munakh,NA,NA,NA,NA,Port Said,بورسعيد,EG03,Egypt,مِصر,EG,1136073600000,1492732800000,NA
48,Al-Qanayat,قسم القنايات,EG1318,Al-Qanayat,NA,NA,NA,NA,Sharkia,الشرقية,EG13,Egypt,مِصر,EG,1136073600000,1492732800000,NA
49,Al-Qusia,مركز القوصية,EG2509,Al-Qusia,NA,NA,NA,NA,Assiut,أسيوط,EG25,Egypt,مِصر,EG,1136073600000,1492732800000,NA
50,Al-Rahmaniyya,مركز الرحمانية,EG1815,Al-Rahmaniyya,NA,NA,NA,NA,Behera,البحيرة,EG18,Egypt,مِصر,EG,1136073600000,1492732800000,NA
51,Al-Salhiyya,قسم الصالحية الجديدة,EG1307,Al-Salhiyya,NA,NA,NA,NA,Sharkia,الشرقية,EG13,Egypt,مِصر,EG,1136073600000,1492732800000,NA
52,Al-Sharq,قسم الشرق,EG0301,Al-Sharq,NA,NA,NA,NA,Port Said,بورسعيد,EG03,Egypt,مِصر,EG,1136073600000,1492732800000,NA
53,Al-Shuhada,مركز الشهداء,EG1705,Al-Shuhada,NA,NA,NA,NA,Menoufia,المنوفية,EG17,Egypt,مِصر,EG,1136073600000,1492732800000,NA
54,Al-Tur,قسم الطور,EG3501,Al-Tur,NA,NA,NA,NA,South Sinai,جنوب سيناء,EG35,Egypt,مِصر,EG,1136073600000,1492732800000,NA
55,Al-Zohour,قسم الزهور,EG0307,Al-Zohour,NA,NA,NA,NA,Port Said,بورسعيد,EG03,Egypt,مِصر,EG,1136073600000,1492732800000,NA
56,Al Amreia,قسم  العامرية,EG0213,Al Amreia,NA,NA,NA,NA,Alexandria,الاسكندرية,EG02,Egypt,مِصر,EG,1136073600000,1492732800000,NA
57,Al Attarin,قسم  العطارين,EG0206,Al Attarin,NA,NA,NA,NA,Alexandria,الاسكندرية,EG02,Egypt,مِصر,EG,1136073600000,1492732800000,NA
