OBJECTID,admin2Name_en,admin2Pcode,admin2RefName,admin2AltName1_en,admin2AltName2_en,admin1Name_en,admin1Pcode,admin0Name_en,admin0Pcode,date,validOn,validTo
1,Adi Keyh,ER606,NA,NA,NA,Debub,ER6,Eritrea,ER,1503014400000,1587945600000,NA
2,Adi Quala,ER609,NA,NA,NA,Debub,ER6,Eritrea,ER,1503014400000,1587945600000,NA
3,Adi Tekeliezan,ER401,NA,NA,NA,Anseba,ER4,Eritrea,ER,1503014400000,1587945600000,NA
4,Adobha,ER310,NA,NA,NA,Semienawi Keih Bahri,ER3,Eritrea,ER,1503014400000,1587945600000,NA
5,Afabet,ER307,NA,NA,NA,Semienawi Keih Bahri,ER3,Eritrea,ER,1503014400000,1587945600000,NA
6,Akurdet,ER503,NA,NA,NA,Gash Barka,ER5,Eritrea,ER,1503014400000,1587945600000,NA
7,Araeta,ER101,NA,NA,NA,Debubawi Keih Bahri,ER1,Eritrea,ER,1503014400000,1587945600000,NA
8,Areza,ER602,NA,NA,NA,Debub,ER6,Eritrea,ER,1503014400000,1587945600000,NA
9,Asmat,ER408,NA,NA,NA,Anseba,ER4,Eritrea,ER,1503014400000,1587945600000,NA
10,Asseb,ER104,NA,NA,NA,Debubawi Keih Bahri,ER1,Eritrea,ER,1503014400000,1587945600000,NA
11,Barentu,ER507,NA,NA,NA,Gash Barka,ER5,Eritrea,ER,1503014400000,1587945600000,NA
12,Berik,ER202,NA,NA,NA,Maekel,ER2,Eritrea,ER,1503014400000,1587945600000,NA
13,Dahlak,ER303,NA,NA,NA,Semienawi Keih Bahri,ER3,Eritrea,ER,1503014400000,1587945600000,NA
14,Dbarwa,ER601,NA,NA,NA,Debub,ER6,Eritrea,ER,1503014400000,1587945600000,NA
15,Debub Deb.Keih Bahri,ER103,NA,NA,NA,Debubawi Keih Bahri,ER1,Eritrea,ER,1503014400000,1587945600000,NA
16,Debubawi Mibrak,ER205,NA,NA,NA,Maekel,ER2,Eritrea,ER,1503014400000,1587945600000,NA
17,Debubawi Mierab,ER206,NA,NA,NA,Maekel,ER2,Eritrea,ER,1503014400000,1587945600000,NA
18,Dekemhare,ER604,NA,NA,NA,Debub,ER6,Eritrea,ER,1503014400000,1587945600000,NA
19,Dige,ER504,NA,NA,NA,Gash Barka,ER5,Eritrea,ER,1503014400000,1587945600000,NA
20,Elabered,ER402,NA,NA,NA,Anseba,ER4,Eritrea,ER,1503014400000,1587945600000,NA
21,Emni Haili,ER610,NA,NA,NA,Debub,ER6,Eritrea,ER,1503014400000,1587945600000,NA
22,Foro,ER302,NA,NA,NA,Semienawi Keih Bahri,ER3,Eritrea,ER,1503014400000,1587945600000,NA
23,Forto,ER509,NA,NA,NA,Gash Barka,ER5,Eritrea,ER,1503014400000,1587945600000,NA
