OBJECTID,admin3Name_en,admin3Pcode,admin3RefName,admin3AltName1_en,admin3AltName2_en,admin2Name_en,admin2Pcode,admin1Name_en,admin1Pcode,admin0Name_en,admin0Pcode,date,validOn,validTo
1,Aba-Korow,ET050699,NA,NA,NA,Shabelle,ET0506,Somali,ET05,Ethiopia,ET,1566172800000,1602115200000,NA
2,Abaala,ET020203,NA,Aba Ala,NA,Kilbati /Zone2,ET0202,Afar,ET02,Ethiopia,ET,1566172800000,1602115200000,NA
3,Abaala town,ET020209,NA,Aba Ala,NA,Kilbati /Zone2,ET0202,Afar,ET02,Ethiopia,ET,1566172800000,1602115200000,NA
4,Ababo,ET041904,NA,NA,NA,Horo Gudru Wellega,ET0419,Oromia,ET04,Ethiopia,ET,1566172800000,1602115200000,NA
5,Abadir,ET130109,NA,NA,NA,Harari,ET1301,Harari,ET13,Ethiopia,ET,1566172800000,1602115200000,NA
6,Abay Chomen,ET041905,NA,NA,NA,Horo Gudru Wellega,ET0419,Oromia,ET04,Ethiopia,ET,1566172800000,1602115200000,NA
7,Abaya,ET041513,NA,NA,NA,West Guji,ET0415,Oromia,ET04,Ethiopia,ET,1566172800000,1602115200000,NA
8,Abe Dongoro,ET041910,NA,NA,NA,Horo Gudru Wellega,ET0419,Oromia,ET04,Ethiopia,ET,1566172800000,1602115200000,NA
9,Abela Abaya,ET070621,NA,NA,NA,Wolayita,ET0706,SNNP,ET07,Ethiopia,ET,1566172800000,1602115200000,NA
10,Abergele (AM),ET030805,NA,NA,NA,Wag Hamra,ET0308,Amhara,ET03,Ethiopia,ET,1566172800000,1602115200000,NA
11,Abergele (TG),ET010210,NA,NA,NA,Central,ET0102,Tigray,ET01,Ethiopia,ET,1566172800000,1602115200000,NA
12,Abeshege,ET070102,NA,NA,NA,Guraghe,ET0701,SNNP,ET07,Ethiopia,ET,1566172800000,1602115200000,NA
13,Abi Adi town,ET010211,NA,NA,NA,Central,ET0102,Tigray,ET01,Ethiopia,ET,1566172800000,1602115200000,NA
14,Abichugna Gne'a,ET040609,Abichugna Gnea,NA,NA,North Shewa (OR),ET0406,Oromia,ET04,Ethiopia,ET,1566172800000,1602115200000,NA
15,Abobo,ET120201,NA,NA,NA,Agnewak,ET1202,Gambela,ET12,Ethiopia,ET,1566172800000,1602115200000,NA
16,Aboker,ET130108,NA,NA,NA,Harari,ET1301,Harari,ET13,Ethiopia,ET,1566172800000,1602115200000,NA
17,Abuna Ginde Beret,ET040516,NA,NA,NA,West Shewa,ET0405,Oromia,ET04,Ethiopia,ET,1566172800000,1602115200000,NA
18,Ada'a,ET040706,Adaa,NA,NA,East Shewa,ET0407,Oromia,ET04,Ethiopia,ET,1566172800000,1602115200000,NA
19,Adaba,ET041710,NA,NA,NA,West Arsi,ET0417,Oromia,ET04,Ethiopia,ET,1566172800000,1602115200000,NA
20,Adadle,ET050602,NA,NA,NA,Shabelle,ET0506,Somali,ET05,Ethiopia,ET,1566172800000,1602115200000,NA
