OBJECTID,admin2Name_fr,admin2Pcode,admin2RefName,admin2AltName1_fr,admin2AltName2_fr,admin1Name_fr,admin1Pcode,admin0Name_fr,admin0Pcode,date,validOn,ValidTo
1,Beyla,GN008001,Beyla,NA,NA,Nzerekore,GN008,Guinea,GN,1452729600000,1457049600000,NA
2,Boffa,GN001001,Boffa,NA,NA,Boke,GN001,Guinea,GN,1452729600000,1457049600000,NA
3,Boke,GN001002,Boke,NA,NA,Boke,GN001,Guinea,GN,1452729600000,1457049600000,NA
4,Conakry,GN002001,Conakry,NA,NA,Conakry,GN002,Guinea,GN,1452729600000,1457049600000,NA
5,Coyah,GN005001,Coyah,NA,NA,Kindia,GN005,Guinea,GN,1452729600000,1457049600000,NA
6,Dabola,GN003001,Dabola,NA,NA,Faranah,GN003,Guinea,GN,1452729600000,1457049600000,NA
7,Dalaba,GN007001,Dalaba,NA,NA,Mamou,GN007,Guinea,GN,1452729600000,1457049600000,NA
8,Dinguiraye,GN003002,Dinguiraye,NA,NA,Faranah,GN003,Guinea,GN,1452729600000,1457049600000,NA
9,Dubreka,GN005002,Dubreka,NA,NA,Kindia,GN005,Guinea,GN,1452729600000,1457049600000,NA
10,Faranah,GN003003,Faranah,NA,NA,Faranah,GN003,Guinea,GN,1452729600000,1457049600000,NA
11,Forecariah,GN005003,Forecariah,NA,NA,Kindia,GN005,Guinea,GN,1452729600000,1457049600000,NA
12,Fria,GN001005,Fria,NA,NA,Boke,GN001,Guinea,GN,1452729600000,1457049600000,NA
13,Gaoual,GN001003,Gaoual,NA,NA,Boke,GN001,Guinea,GN,1452729600000,1457049600000,NA
14,Gueckedou,GN008002,Gueckedou,NA,NA,Nzerekore,GN008,Guinea,GN,1452729600000,1457049600000,NA
15,Kankan,GN004001,Kankan,NA,NA,Kankan,GN004,Guinea,GN,1452729600000,1457049600000,NA
16,Kerouane,GN004002,Kerouane,NA,NA,Kankan,GN004,Guinea,GN,1452729600000,1457049600000,NA
17,Kindia,GN005004,Kindia,NA,NA,Kindia,GN005,Guinea,GN,1452729600000,1457049600000,NA
18,Kissidougou,GN003004,Kissidougou,NA,NA,Faranah,GN003,Guinea,GN,1452729600000,1457049600000,NA
19,Koubia,GN006001,Koubia,NA,NA,Labe,GN006,Guinea,GN,1452729600000,1457049600000,NA
20,Koundara,GN001004,Koundara,NA,NA,Boke,GN001,Guinea,GN,1452729600000,1457049600000,NA
21,Kouroussa,GN004003,Kouroussa,NA,NA,Kankan,GN004,Guinea,GN,1452729600000,1457049600000,NA
22,Labe,GN006002,Labe,NA,NA,Labe,GN006,Guinea,GN,1452729600000,1457049600000,NA
23,Lelouma,GN006003,Lelouma,NA,NA,Labe,GN006,Guinea,GN,1452729600000,1457049600000,NA
24,Lola,GN008003,Lola,NA,NA,Nzerekore,GN008,Guinea,GN,1452729600000,1457049600000,NA
25,Macenta,GN008004,Macenta,NA,NA,Nzerekore,GN008,Guinea,GN,1452729600000,1457049600000,NA
26,Mali,GN006004,Mali,NA,NA,Labe,GN006,Guinea,GN,1452729600000,1457049600000,NA
27,Mamou,GN007002,Mamou,NA,NA,Mamou,GN007,Guinea,GN,1452729600000,1457049600000,NA
28,Mandiana,GN004004,Mandiana,NA,NA,Kankan,GN004,Guinea,GN,1452729600000,1457049600000,NA
29,Nzerekore,GN008005,Nzerekore,NA,NA,Nzerekore,GN008,Guinea,GN,1452729600000,1457049600000,NA
30,Pita,GN007003,Pita,NA,NA,Mamou,GN007,Guinea,GN,1452729600000,1457049600000,NA
31,Siguiri,GN004005,Siguiri,NA,NA,Kankan,GN004,Guinea,GN,1452729600000,1457049600000,NA
32,Telimele,GN005005,Telimele,NA,NA,Kindia,GN005,Guinea,GN,1452729600000,1457049600000,NA
33,Tougue,GN006005,Tougue,NA,NA,Labe,GN006,Guinea,GN,1452729600000,1457049600000,NA
34,Yomou,GN008006,Yomou,NA,NA,Nzerekore,GN008,Guinea,GN,1452729600000,1457049600000,NA
