OBJECTID,admin2Name_es,admin2Pcode,admin2RefName,admin2AltName1_es,admin2AltName2_es,admin1Name_es,admin1Pcode,admin0Name_es,admin0Pcode,date,validOn,validTo
1,Acatenango,GT0411,Acatenango,NA,NA,Chimaltenango,GT04,Guatemala,GT,1537833600000,1549497600000,NA
2,Agua Blanca,GT2204,Agua Blanca,NA,NA,Jutiapa,GT22,Guatemala,GT,1537833600000,1549497600000,NA
3,Aguacatán,GT1327,Aguacatan,NA,NA,Huehuetenango,GT13,Guatemala,GT,1537833600000,1549497600000,NA
4,Almolonga,GT0913,Almolonga,NA,NA,Quetzaltenango,GT09,Guatemala,GT,1537833600000,1549497600000,NA
5,Alotenango,GT0314,Alotenango,NA,NA,Sacatepéquez,GT03,Guatemala,GT,1537833600000,1549497600000,NA
6,Amatitlán,GT0114,Amatitlan,NA,NA,Guatemala,GT01,Guatemala,GT,1537833600000,1549497600000,NA
7,Antigua Guatemala,GT0301,Antigua Guatemala,NA,NA,Sacatepéquez,GT03,Guatemala,GT,1537833600000,1549497600000,NA
8,Asunción Mita,GT2205,Asuncion Mita,NA,NA,Jutiapa,GT22,Guatemala,GT,1537833600000,1549497600000,NA
9,Atescatempa,GT2207,Atescatempa,NA,NA,Jutiapa,GT22,Guatemala,GT,1537833600000,1549497600000,NA
10,Ayutla,GT1217,Ayutla,NA,NA,San Marcos,GT12,Guatemala,GT,1537833600000,1549497600000,NA
11,Barberena,GT0602,Barberena,NA,NA,Santa Rosa,GT06,Guatemala,GT,1537833600000,1549497600000,NA
12,Barillas,GT1326,Barillas,NA,NA,Huehuetenango,GT13,Guatemala,GT,1537833600000,1549497600000,NA
13,Cabañas,GT1907,Cabanas,NA,NA,Zacapa,GT19,Guatemala,GT,1537833600000,1549497600000,NA
14,Cabricán,GT0906,Cabrican,NA,NA,Quetzaltenango,GT09,Guatemala,GT,1537833600000,1549497600000,NA
15,Cahabón,GT1612,Cahabon,NA,NA,Alta Verapaz,GT16,Guatemala,GT,1537833600000,1549497600000,NA
16,Cajolá,GT0907,Cajola,NA,NA,Quetzaltenango,GT09,Guatemala,GT,1537833600000,1549497600000,NA
