OBJECTID,admin1Name_es,admin1Pcode,admin1RefName,admin1AltName1_es,admin1AltName2_es,admin0Name_es,admin0Pcode,date,validOn,validTo
1,Islas de La Bahia,HN11,Islas de La Bahia,NA,NA,Honduras,HN,1435190400000,1475625600000,NA
2,Colon,HN02,Colon,NA,NA,Honduras,HN,1435190400000,1475625600000,NA
3,Atlantida,HN01,Atlantida,NA,NA,Honduras,HN,1435190400000,1475625600000,NA
4,Cortes,HN05,Cortes,NA,NA,Honduras,HN,1435190400000,1475625600000,NA
5,Yoro,HN18,Yoro,NA,NA,Honduras,HN,1435190400000,1475625600000,NA
6,Olancho,HN15,Olancho,NA,NA,Honduras,HN,1435190400000,1475625600000,NA
7,Santa Barbara,HN16,Santa Barbara,NA,NA,Honduras,HN,1435190400000,1475625600000,NA
8,Copan,HN04,Copan,NA,NA,Honduras,HN,1435190400000,1475625600000,NA
9,Lempira,HN13,Lempira,NA,NA,Honduras,HN,1435190400000,1475625600000,NA
10,Comayagua,HN03,Comayagua,NA,NA,Honduras,HN,1435190400000,1475625600000,NA
11,Intibuca,HN10,Intibuca,NA,NA,Honduras,HN,1435190400000,1475625600000,NA
12,Francisco Morazan,HN08,Francisco Morazan,NA,NA,Honduras,HN,1435190400000,1475625600000,NA
13,Ocotepeque,HN14,Ocotepeque,NA,NA,Honduras,HN,1435190400000,1475625600000,NA
14,La Paz,HN12,La Paz,NA,NA,Honduras,HN,1435190400000,1475625600000,NA
15,El Paraiso,HN07,El Paraiso,NA,NA,Honduras,HN,1435190400000,1475625600000,NA
16,Valle,HN17,Valle,NA,NA,Honduras,HN,1435190400000,1475625600000,NA
17,Choluteca,HN06,Choluteca,NA,NA,Honduras,HN,1435190400000,1475625600000,NA
18,Gracias a Dios,HN09,Gracias a Dios,NA,NA,Honduras,HN,1435190400000,1475625600000,NA
