OBJECTID,admin3Name_en,admin3Name_fr,admin3Name_ht,admin3Pcode,admin3RefName,admin3AltName1_en,admin3AltName2_en,admin3AltName1_fr,admin3AltName2_fr,admin3AltName1_ht,admin3AltName2_ht,admin2Name_en,admin2Name_fr,admin2Name_ht,admin2Pcode,admin1Name_en,admin1Name_fr,admin1Name_ht,admin1Pcode,admin0Name_en,admin0Name_fr,admin0Name_ht,admin0Pcode,date,validOn,validTo
1,10e Section des Orangers,10e Section des Orangers, ,HT0131-10,NA,NA,NA,NA,NA,NA,NA,Croix-Des-Bouquets,Croix-Des-Bouquets, ,HT0131,West,Ouest,Lwès,HT01,Haiti,Haïti,Ayiti,HT,1504656000000,1543449600000,NA
2,10e Section des Palmes,10e Section des Palmes, ,HT0122-10,NA,NA,NA,NA,NA,NA,NA,Petit-Goave,Petit-Goâve, ,HT0122,West,Ouest,Lwès,HT01,Haiti,Haïti,Ayiti,HT,1504656000000,1543449600000,NA
3,10e Section Fond d'Oie,10e Section Fond d'Oie, ,HT0121-10,10e Section Fond dOie,NA,NA,NA,NA,NA,NA,Leogane,Léogâne, ,HT0121,West,Ouest,Lwès,HT01,Haiti,Haïti,Ayiti,HT,1504656000000,1543449600000,NA
4,10e Section Guirand,10e Section Guirand, ,HT0731-10,NA,NA,NA,NA,NA,NA,NA,Aquin,Aquin, ,HT0731,South,Sud,Sid,HT07,Haiti,Haïti,Ayiti,HT,1504656000000,1543449600000,NA
5,10e Section La Vanneau,10e Section La Vanneau, ,HT0211-10,NA,NA,NA,NA,NA,NA,NA,Jacmel,Jacmel, ,HT0211,South-East,Sud-Est,Sidès,HT02,Haiti,Haïti,Ayiti,HT,1504656000000,1543449600000,NA
6,10e Section Thor,10e Section Thor, ,HT0113-10,NA,NA,NA,NA,NA,NA,NA,Carrefour,Carrefour, ,HT0113,West,Ouest,Lwès,HT01,Haiti,Haïti,Ayiti,HT,1504656000000,1543449600000,NA
7,11e Section Gros Morne,11e Section Gros Morne, ,HT0121-11,NA,NA,NA,NA,NA,NA,NA,Leogane,Léogâne, ,HT0121,West,Ouest,Lwès,HT01,Haiti,Haïti,Ayiti,HT,1504656000000,1543449600000,NA
8,11e Section La Montagne,11e Section La Montagne, ,HT0211-11,NA,NA,NA,NA,NA,NA,NA,Jacmel,Jacmel, ,HT0211,South-East,Sud-Est,Sidès,HT02,Haiti,Haïti,Ayiti,HT,1504656000000,1543449600000,NA
9,11e Section Ravine Seche,11e Section Ravine Sèche, ,HT0122-11,NA,NA,NA,NA,NA,NA,NA,Petit-Goave,Petit-Goâve, ,HT0122,West,Ouest,Lwès,HT01,Haiti,Haïti,Ayiti,HT,1504656000000,1543449600000,NA
10,11e Section Riviere Froide,11e Section Rivière Froide, ,HT0113-11,NA,NA,NA,NA,NA,NA,NA,Carrefour,Carrefour, ,HT0113,West,Ouest,Lwès,HT01,Haiti,Haïti,Ayiti,HT,1504656000000,1543449600000,NA
11,12e Section Cormiers,12e Section Cormiers, ,HT0121-12,NA,NA,NA,NA,NA,NA,NA,Leogane,Léogâne, ,HT0121,West,Ouest,Lwès,HT01,Haiti,Haïti,Ayiti,HT,1504656000000,1543449600000,NA
12,12e Section des Fourques,12e Section des Fourques, ,HT0122-12,NA,NA,NA,NA,NA,NA,NA,Petit-Goave,Petit-Goâve, ,HT0122,West,Ouest,Lwès,HT01,Haiti,Haïti,Ayiti,HT,1504656000000,1543449600000,NA
13,12e Section Malanga,12e Section Malanga, ,HT0113-12,NA,NA,NA,NA,NA,NA,NA,Carrefour,Carrefour, ,HT0113,West,Ouest,Lwès,HT01,Haiti,Haïti,Ayiti,HT,1504656000000,1543449600000,NA
14,13e Section Corail Thor,13e Section Corail Thor, ,HT0113-13,NA,NA,NA,NA,NA,NA,NA,Carrefour,Carrefour, ,HT0113,West,Ouest,Lwès,HT01,Haiti,Haïti,Ayiti,HT,1504656000000,1543449600000,NA
15,13e Section Petit Harpon,13e Section Petit Harpon, ,HT0121-13,NA,NA,NA,NA,NA,NA,NA,Leogane,Léogâne, ,HT0121,West,Ouest,Lwès,HT01,Haiti,Haïti,Ayiti,HT,1504656000000,1543449600000,NA
16,1er Section Bouzi,1er Section Bouzi, ,HT1013-01,NA,NA,NA,NA,NA,NA,NA,Fonds des Negres,Fonds des Nègres, ,HT1013,Nippes,Nippes,Nip,HT10,Haiti,Haïti,Ayiti,HT,1504656000000,1543449600000,NA
