OBJECTID,admin4Name_en,admin4Pcode,admin4RefName,admin4AltName1_en,admin4AltName2_en,admin3Name_en,admin3Pcode,admin2Name_en,admin2Pcode,admin1Name_en,admin1Pcode,admin0Name_en,admin0Pcode,date,validOn,validTo
1,1 Ilir,ID1671060006,NA,NA,NA,Ilir Timur II,ID1671060,Kota Palembang,ID1671,Sumatera Selatan,ID16,Indonesia,ID,1576800000000,1585699200000,NA
2,1 Ulu,ID1671020008,NA,NA,NA,Seberang Ulu I,ID1671020,Kota Palembang,ID1671,Sumatera Selatan,ID16,Indonesia,ID,1576800000000,1585699200000,NA
3,10 Ilir,ID1671062001,NA,NA,NA,Ilir Timur III,ID1671062,Kota Palembang,ID1671,Sumatera Selatan,ID16,Indonesia,ID,1576800000000,1585699200000,NA
4,11 Ilir,ID1671062002,NA,NA,NA,Ilir Timur III,ID1671062,Kota Palembang,ID1671,Sumatera Selatan,ID16,Indonesia,ID,1576800000000,1585699200000,NA
5,11 Ulu,ID1671030014,NA,NA,NA,Seberang Ulu II,ID1671030,Kota Palembang,ID1671,Sumatera Selatan,ID16,Indonesia,ID,1576800000000,1585699200000,NA
6,12 Ulu,ID1671030013,NA,NA,NA,Seberang Ulu II,ID1671030,Kota Palembang,ID1671,Sumatera Selatan,ID16,Indonesia,ID,1576800000000,1585699200000,NA
7,13 Ilir,ID1671050003,NA,NA,NA,Ilir Timur I,ID1671050,Kota Palembang,ID1671,Sumatera Selatan,ID16,Indonesia,ID,1576800000000,1585699200000,NA
8,13 Ulu,ID1671030012,NA,NA,NA,Seberang Ulu II,ID1671030,Kota Palembang,ID1671,Sumatera Selatan,ID16,Indonesia,ID,1576800000000,1585699200000,NA
9,14 Ilir,ID1671050004,NA,NA,NA,Ilir Timur I,ID1671050,Kota Palembang,ID1671,Sumatera Selatan,ID16,Indonesia,ID,1576800000000,1585699200000,NA
10,14 Ulu,ID1671030011,NA,NA,NA,Seberang Ulu II,ID1671030,Kota Palembang,ID1671,Sumatera Selatan,ID16,Indonesia,ID,1576800000000,1585699200000,NA
11,15 Ilir,ID1671050005,NA,NA,NA,Ilir Timur I,ID1671050,Kota Palembang,ID1671,Sumatera Selatan,ID16,Indonesia,ID,1576800000000,1585699200000,NA
12,15 Ulu,ID1671022001,NA,NA,NA,Jakabaring,ID1671022,Kota Palembang,ID1671,Sumatera Selatan,ID16,Indonesia,ID,1576800000000,1585699200000,NA
13,16 Ilir,ID1671050002,NA,NA,NA,Ilir Timur I,ID1671050,Kota Palembang,ID1671,Sumatera Selatan,ID16,Indonesia,ID,1576800000000,1585699200000,NA
14,16 Ulu,ID1671030008,NA,NA,NA,Seberang Ulu II,ID1671030,Kota Palembang,ID1671,Sumatera Selatan,ID16,Indonesia,ID,1576800000000,1585699200000,NA
15,17 Ilir,ID1671050006,NA,NA,NA,Ilir Timur I,ID1671050,Kota Palembang,ID1671,Sumatera Selatan,ID16,Indonesia,ID,1576800000000,1585699200000,NA
16,18 Ilir,ID1671050001,NA,NA,NA,Ilir Timur I,ID1671050,Kota Palembang,ID1671,Sumatera Selatan,ID16,Indonesia,ID,1576800000000,1585699200000,NA
17,19 Ilir,ID1671041003,NA,NA,NA,Bukit Kecil,ID1671041,Kota Palembang,ID1671,Sumatera Selatan,ID16,Indonesia,ID,1576800000000,1585699200000,NA
18,19 Nopember,ID7404030020,NA,NA,NA,Wundulako,ID7404030,Kolaka,ID7404,Sulawesi Tenggara,ID74,Indonesia,ID,1576800000000,1585699200000,NA
19,2 Ilir,ID1671060008,NA,NA,NA,Ilir Timur II,ID1671060,Kota Palembang,ID1671,Sumatera Selatan,ID16,Indonesia,ID,1576800000000,1585699200000,NA
20,2 Ulu,ID1671020010,NA,NA,NA,Seberang Ulu I,ID1671020,Kota Palembang,ID1671,Sumatera Selatan,ID16,Indonesia,ID,1576800000000,1585699200000,NA
21,20 Ilir I,ID1671050008,NA,NA,NA,Ilir Timur I,ID1671050,Kota Palembang,ID1671,Sumatera Selatan,ID16,Indonesia,ID,1576800000000,1585699200000,NA
22,20 Ilir II,ID1671051003,NA,NA,NA,Kemuning,ID1671051,Kota Palembang,ID1671,Sumatera Selatan,ID16,Indonesia,ID,1576800000000,1585699200000,NA
23,20 Ilir III,ID1671050011,NA,NA,NA,Ilir Timur I,ID1671050,Kota Palembang,ID1671,Sumatera Selatan,ID16,Indonesia,ID,1576800000000,1585699200000,NA
24,20 Ilir IV,ID1671050017,NA,NA,NA,Ilir Timur I,ID1671050,Kota Palembang,ID1671,Sumatera Selatan,ID16,Indonesia,ID,1576800000000,1585699200000,NA
25,22 Ilir,ID1671041002,NA,NA,NA,Bukit Kecil,ID1671041,Kota Palembang,ID1671,Sumatera Selatan,ID16,Indonesia,ID,1576800000000,1585699200000,NA
26,23 Ilir,ID1671041004,NA,NA,NA,Bukit Kecil,ID1671041,Kota Palembang,ID1671,Sumatera Selatan,ID16,Indonesia,ID,1576800000000,1585699200000,NA
27,24 Ilir,ID1671041006,NA,NA,NA,Bukit Kecil,ID1671041,Kota Palembang,ID1671,Sumatera Selatan,ID16,Indonesia,ID,1576800000000,1585699200000,NA
28,26 Ilir,ID1671041005,NA,NA,NA,Bukit Kecil,ID1671041,Kota Palembang,ID1671,Sumatera Selatan,ID16,Indonesia,ID,1576800000000,1585699200000,NA
29,26 Ilir I,ID1671040002,NA,NA,NA,Ilir Barat I,ID1671040,Kota Palembang,ID1671,Sumatera Selatan,ID16,Indonesia,ID,1576800000000,1585699200000,NA
30,27 Ilir,ID1671010012,NA,NA,NA,Ilir Barat II,ID1671010,Kota Palembang,ID1671,Sumatera Selatan,ID16,Indonesia,ID,1576800000000,1585699200000,NA
31,28 Ilir,ID1671010011,NA,NA,NA,Ilir Barat II,ID1671010,Kota Palembang,ID1671,Sumatera Selatan,ID16,Indonesia,ID,1576800000000,1585699200000,NA
32,29 Ilir,ID1671010010,NA,NA,NA,Ilir Barat II,ID1671010,Kota Palembang,ID1671,Sumatera Selatan,ID16,Indonesia,ID,1576800000000,1585699200000,NA
33,3-4 Ulu,ID1671020011,NA,NA,NA,Seberang Ulu I,ID1671020,Kota Palembang,ID1671,Sumatera Selatan,ID16,Indonesia,ID,1576800000000,1585699200000,NA
34,3 Ilir,ID1671060005,NA,NA,NA,Ilir Timur II,ID1671060,Kota Palembang,ID1671,Sumatera Selatan,ID16,Indonesia,ID,1576800000000,1585699200000,NA
35,30 Ilir,ID1671010008,NA,NA,NA,Ilir Barat II,ID1671010,Kota Palembang,ID1671,Sumatera Selatan,ID16,Indonesia,ID,1576800000000,1585699200000,NA
36,32 Ilir,ID1671010007,NA,NA,NA,Ilir Barat II,ID1671010,Kota Palembang,ID1671,Sumatera Selatan,ID16,Indonesia,ID,1576800000000,1585699200000,NA
37,35 Ilir,ID1671010006,NA,NA,NA,Ilir Barat II,ID1671010,Kota Palembang,ID1671,Sumatera Selatan,ID16,Indonesia,ID,1576800000000,1585699200000,NA
38,36 Ilir,ID1671011005,NA,NA,NA,Gandus,ID1671011,Kota Palembang,ID1671,Sumatera Selatan,ID16,Indonesia,ID,1576800000000,1585699200000,NA
39,5 Ilir,ID1671060009,NA,NA,NA,Ilir Timur II,ID1671060,Kota Palembang,ID1671,Sumatera Selatan,ID16,Indonesia,ID,1576800000000,1585699200000,NA
40,5 Ulu,ID1671020012,NA,NA,NA,Seberang Ulu I,ID1671020,Kota Palembang,ID1671,Sumatera Selatan,ID16,Indonesia,ID,1576800000000,1585699200000,NA
41,7 Ulu,ID1671020013,NA,NA,NA,Seberang Ulu I,ID1671020,Kota Palembang,ID1671,Sumatera Selatan,ID16,Indonesia,ID,1576800000000,1585699200000,NA
42,8 Ilir,ID1671062006,NA,NA,NA,Ilir Timur III,ID1671062,Kota Palembang,ID1671,Sumatera Selatan,ID16,Indonesia,ID,1576800000000,1585699200000,NA
43,8 Ulu,ID1671022003,NA,NA,NA,Jakabaring,ID1671022,Kota Palembang,ID1671,Sumatera Selatan,ID16,Indonesia,ID,1576800000000,1585699200000,NA
44,9 Ilir,ID1671062005,NA,NA,NA,Ilir Timur III,ID1671062,Kota Palembang,ID1671,Sumatera Selatan,ID16,Indonesia,ID,1576800000000,1585699200000,NA
45,9/10 Ulu,ID1671022005,NA,NA,NA,Jakabaring,ID1671022,Kota Palembang,ID1671,Sumatera Selatan,ID16,Indonesia,ID,1576800000000,1585699200000,NA
46,A'Bulosibatang,ID7308021006,ABulosibatang,NA,NA,Marusu,ID7308021,Maros,ID7308,Sulawesi Selatan,ID73,Indonesia,ID,1576800000000,1585699200000,NA
47,A Yani Pura,ID6305010002,NA,NA,NA,Binuang,ID6305010,Tapin,ID6305,Kalimantan Selatan,ID63,Indonesia,ID,1576800000000,1585699200000,NA
48,Aan,ID5105020008,NA,NA,NA,Banjarangkan,ID5105020,Klungkung,ID5105,Bali,ID51,Indonesia,ID,1576800000000,1585699200000,NA
49,Ababi,ID5107050001,NA,NA,NA,Abang,ID5107050,Karang Asem,ID5107,Bali,ID51,Indonesia,ID,1576800000000,1585699200000,NA
50,Abadi Jaya,ID7413020008,NA,NA,NA,Maginti,ID7413020,Muna Barat,ID7413,Sulawesi Tenggara,ID74,Indonesia,ID,1576800000000,1585699200000,NA
51,Abadijaya,ID3276030009,NA,NA,NA,Sukma Jaya,ID3276030,Kota Depok,ID3276,Jawa Barat,ID32,Indonesia,ID,1576800000000,1585699200000,NA
52,Abai,ID1310030001,NA,NA,NA,Sangir Batang Hari,ID1310030,Solok Selatan,ID1310,Sumatera Barat,ID13,Indonesia,ID,1576800000000,1585699200000,NA
53,Abai Siat,ID1311011004,NA,NA,NA,Koto Besar,ID1311011,Dharmasraya,ID1311,Sumatera Barat,ID13,Indonesia,ID,1576800000000,1585699200000,NA
54,Abail,ID1101022005,NA,NA,NA,Teupah Tengah,ID1101022,Simeulue,ID1101,Aceh,ID11,Indonesia,ID,1576800000000,1585699200000,NA
55,Abaimaida,ID9434050001,NA,NA,NA,Mapia,ID9434050,Dogiyai,ID9434,Papua,ID94,Indonesia,ID,1576800000000,1585699200000,NA
56,Abak,ID7101060010,NA,NA,NA,Lolayan,ID7101060,Bolaang Mongondow,ID7101,Sulawesi Utara,ID71,Indonesia,ID,1576800000000,1585699200000,NA
57,Abamu,ID9415072009,NA,NA,NA,Unir Sirau,ID9415072,Asmat,ID9415,Papua,ID94,Indonesia,ID,1576800000000,1585699200000,NA
58,Abang,ID5107050003,NA,NA,NA,Abang,ID5107050,Karang Asem,ID5107,Bali,ID51,Indonesia,ID,1576800000000,1585699200000,NA
59,Abang Batu Dinding,ID5106040020,NA,NA,NA,Kintamani,ID5106040,Bangli,ID5106,Bali,ID51,Indonesia,ID,1576800000000,1585699200000,NA
60,Abang Songan,ID5106040021,NA,NA,NA,Kintamani,ID5106040,Bangli,ID5106,Bali,ID51,Indonesia,ID,1576800000000,1585699200000,NA
61,Abar-Abir,ID3525120017,NA,NA,NA,Bungah,ID3525120,Gresik,ID3525,Jawa Timur,ID35,Indonesia,ID,1576800000000,1585699200000,NA
62,Abason,ID7201030012,NA,NA,NA,Totikum,ID7201030,Banggai Kepulauan,ID7201,Sulawesi Tengah,ID72,Indonesia,ID,1576800000000,1585699200000,NA
63,Abat,ID8101052002,NA,NA,NA,Wuar Labobar,ID8101052,Maluku Tenggara Barat,ID8101,Maluku,ID81,Indonesia,ID,1576800000000,1585699200000,NA
