OBJECTID,admin3Name_en,admin3Name_ar,admin3Pcode,admin3RefName,admin3AltName1_en,admin3AltName2_en,admin3AltName1_ar,admin3AltName2_ar,admin2Name_en,admin2Name_ar,admin2Pcode,admin1Name_en,admin1Name_ar,admin1Pcode,admin0Name_en,admin0Name_ar,admin0Pcode,date,validOn,validTo
1,Abi Gharaq,ابي غرق,IQG07Q02N02,NA,NA,NA,NA,NA,Al-Hilla,الحلة,IQG07Q02,Babil,بابل,IQG07,Iraq,العراق,IQ,1559174400000,1559520000000,NA
2,Abu Dalf,ابو دلف,IQG16Q01N02,NA,NA,NA,NA,NA,Al-Daur,الدور,IQG16Q01,Salah Al-Din,صلاح الدين,IQG16,Iraq,العراق,IQ,1559174400000,1559520000000,NA
3,Abu Ghraib,ابي غريب,IQG08Q02N02,NA,NA,NA,NA,NA,Al-Kadhmiyah,الكاظمية,IQG08Q02,Baghdad,بغداد,IQG08,Iraq,العراق,IQ,1559174400000,1559520000000,NA
4,Agjalare,ئاغجة لةر,IQG06Q02N01,NA,NA,NA,NA,NA,Chamchamal,جمجمال,IQG06Q02,Al-Sulaymaniyah,السليمانية,IQG06,Iraq,العراق,IQ,1559174400000,1559520000000,NA
5,Akaika,عكيكة,IQG17Q05N04,NA,NA,NA,NA,NA,Suq Al-Shoyokh,سوق الشيوخ,IQG17Q05,Thi Qar,ذي قار,IQG17,Iraq,العراق,IQ,1559174400000,1559520000000,NA
6,Al-Abbasi,العباسية,IQG13Q01N04,NA,NA,NA,NA,NA,Al-Hawiga,الحويجة,IQG13Q01,Kirkuk,كركوك,IQG13,Iraq,العراق,IQ,1559174400000,1559520000000,NA
7,Al-Adel,العدل,IQG14Q05N02,NA,NA,NA,NA,NA,Al-Mejar Al-Kabir,المجر الكبير,IQG14Q05,Maysan,ميسان,IQG14,Iraq,العراق,IQ,1559174400000,1559520000000,NA
8,Al-Ahrar,الاحرار,IQG18Q03N01,NA,NA,NA,NA,NA,Al-Namaniya,النعمانية,IQG18Q03,Wassit,واسط,IQG18,Iraq,العراق,IQ,1559174400000,1559520000000,NA
9,Al-Alam,العلم,IQG16Q06N02,NA,NA,NA,NA,NA,Tikrit,تكريت,IQG16Q06,Salah Al-Din,صلاح الدين,IQG16,Iraq,العراق,IQ,1559174400000,1559520000000,NA
10,Al-Amirya,العامرية,IQG01Q01N01,NA,NA,NA,NA,NA,Al-Falluja,الفلوجة,IQG01Q01,Al-Anbar,الانبار,IQG01,Iraq,العراق,IQ,1559174400000,1559520000000,NA
11,Al-Atheem,العظيم,IQG10Q01N01,NA,NA,NA,NA,NA,Al-Khalis,الخالص,IQG10Q01,Diyala,ديالى,IQG10,Iraq,العراق,IQ,1559174400000,1559520000000,NA
12,Al-Ayadiya,العياضية,IQG15Q08N02,NA,NA,NA,NA,NA,Telafar,تلعفر,IQG15Q08,Ninewa,نينوى,IQG15,Iraq,العراق,IQ,1559174400000,1559520000000,NA
13,Al-Aziz,العزير,IQG14Q05N01,NA,NA,NA,NA,NA,Al-Mejar Al-Kabir,المجر الكبير,IQG14Q05,Maysan,ميسان,IQG14,Iraq,العراق,IQ,1559174400000,1559520000000,NA
