OBJECTID,admin4Name_en,admin4Pcode,admin4RefName,admin4AltName1_en,admin4AltName2_en,admin3Name_en,admin3Pcode,admin2Name_en,admin2Pcode,admin1Name_en,admin1Pcode,admin0Name_en,admin0Pcode,date,validOn,validTo
1,Rolfeduk City,KDN03060201,Rolfeduk City,NA,NA,Nishtar,KDN030602,Naltar,KDN0306,Rimpar,KDN03,Klanndestan,KDN,1478822400000,1479340800000,NA
2,Shapirogul City,KDN03070301,Shapirogul City,NA,NA,Shapir,KDN030703,Markabad,KDN0307,Rimpar,KDN03,Klanndestan,KDN,1478822400000,1479340800000,NA
3,Muyika City,KDN02010101,Muyika City,NA,NA,Shoabad,KDN020101,Fawabad,KDN0201,Jianmak,KDN02,Klanndestan,KDN,1478822400000,1479340800000,NA
4,Saveriabat City,KDN02020201,Saveriabat City,NA,NA,Jamoosabad,KDN020202,Batkabad,KDN0202,Jianmak,KDN02,Klanndestan,KDN,1478822400000,1479340800000,NA
5,Danielz City,KDN01050301,Danielz City,NA,NA,Sufaid,KDN010503,Kalabad,KDN0105,Birtestan,KDN01,Klanndestan,KDN,1478822400000,1479340800000,NA
6,Metropolis City,KDN03050101,Metropolis City,NA,NA,Summerkand,KDN030501,Agnebad,KDN0305,Rimpar,KDN03,Klanndestan,KDN,1478822400000,1479340800000,NA
7,Somabad,KDN02030101,Somabad,NA,NA,Kimabad,KDN020301,Herbabad,KDN0203,Jianmak,KDN02,Klanndestan,KDN,1478822400000,1479340800000,NA
8,Adam City,KDN03010101,Adam City,NA,NA,Jerome,KDN030101,Talashabad,KDN0301,Rimpar,KDN03,Klanndestan,KDN,1478822400000,1479340800000,NA
9,Boopar City,KDN03090201,Boopar City,NA,NA,Gopiabad,KDN030902,Cassabad,KDN0309,Rimpar,KDN03,Klanndestan,KDN,1478822400000,1479340800000,NA
10,Sabina City,KDN03040101,Sabina City,NA,NA,Samirabad,KDN030401,Sirdarya,KDN0304,Rimpar,KDN03,Klanndestan,KDN,1478822400000,1479340800000,NA
11,Rajan City,KDN03080101,Rajan City,NA,NA,Rawal,KDN030801,Sinjani,KDN0308,Rimpar,KDN03,Klanndestan,KDN,1478822400000,1479340800000,NA
