OBJECTID,admin2Name_en,admin2Pcode,admin2RefName,admin2AltName1_en,admin2AltName2_en,admin1Name_en,admin1Pcode,admin0Name_en,admin0Pcode,date,validOn,validTo
1,Ainabkoi,KE027144,NA,NA,NA,Uasin Gishu,KE027,Kenya,KE,1509667200000,1572480000000,NA
2,Ainamoi,KE035190,NA,NA,NA,Kericho,KE035,Kenya,KE,1509667200000,1572480000000,NA
3,Aldai,KE029152,NA,NA,NA,Nandi,KE029,Kenya,KE,1509667200000,1572480000000,NA
4,Alego Usonga,KE041234,NA,NA,NA,Siaya,KE041,Kenya,KE,1509667200000,1572480000000,NA
5,Awendo,KE044254,NA,NA,NA,Migori,KE044,Kenya,KE,1509667200000,1572480000000,NA
6,Bahati,KE032174,NA,NA,NA,Nakuru,KE032,Kenya,KE,1509667200000,1572480000000,NA
7,Balambala,KE007028,NA,NA,NA,Garissa,KE007,Kenya,KE,1509667200000,1572480000000,NA
8,Banissa,KE009040,NA,NA,NA,Mandera,KE009,Kenya,KE,1509667200000,1572480000000,NA
9,Baringo Central,KE030159,NA,NA,NA,Baringo,KE030,Kenya,KE,1509667200000,1572480000000,NA
10,Baringo North,KE030158,NA,NA,NA,Baringo,KE030,Kenya,KE,1509667200000,1572480000000,NA
11,Baringo South,KE030160,NA,NA,NA,Baringo,KE030,Kenya,KE,1509667200000,1572480000000,NA
12,Belgut,KE035192,NA,NA,NA,Kericho,KE035,Kenya,KE,1509667200000,1572480000000,NA
13,Bobasi,KE045264,NA,NA,NA,Kisii,KE045,Kenya,KE,1509667200000,1572480000000,NA
14,Bomachoge Borabu,KE045263,NA,NA,NA,Kisii,KE045,Kenya,KE,1509667200000,1572480000000,NA
15,Bomachoge Chache,KE045265,NA,NA,NA,Kisii,KE045,Kenya,KE,1509667200000,1572480000000,NA
16,Bomet Central,KE036197,NA,NA,NA,Bomet,KE036,Kenya,KE,1509667200000,1572480000000,NA
17,Bomet East,KE036196,NA,NA,NA,Bomet,KE036,Kenya,KE,1509667200000,1572480000000,NA
18,Bonchari,KE045261,NA,NA,NA,Kisii,KE045,Kenya,KE,1509667200000,1572480000000,NA
19,Bondo,KE041236,NA,NA,NA,Siaya,KE041,Kenya,KE,1509667200000,1572480000000,NA
20,Borabu,KE046273,NA,NA,NA,Nyamira,KE046,Kenya,KE,1509667200000,1572480000000,NA
21,Budalangi,KE040231,NA,NA,NA,Busia,KE040,Kenya,KE,1509667200000,1572480000000,NA
22,Bumula,KE039219,NA,NA,NA,Bungoma,KE039,Kenya,KE,1509667200000,1572480000000,NA
23,Bura,KE004020,NA,NA,NA,Tana River,KE004,Kenya,KE,1509667200000,1572480000000,NA
24,Buret,KE035191,NA,NA,NA,Kericho,KE035,Kenya,KE,1509667200000,1572480000000,NA
25,Butere,KE037207,NA,NA,NA,Kakamega,KE037,Kenya,KE,1509667200000,1572480000000,NA
26,Butula,KE040229,NA,NA,NA,Busia,KE040,Kenya,KE,1509667200000,1572480000000,NA
27,Buuri,KE012057,NA,NA,NA,Meru,KE012,Kenya,KE,1509667200000,1572480000000,NA
28,Cental Imenti,KE012058,NA,NA,NA,Meru,KE012,Kenya,KE,1509667200000,1572480000000,NA
29,Changamwe,KE001001,NA,NA,NA,Mombasa,KE001,Kenya,KE,1509667200000,1572480000000,NA
