OBJECTID,admin3Name_en,admin3Name_ru,admin3Name_ky,admin3Pcode,admin3RefName,admin3AltName1_en,admin3AltName2_en,admin3AltName1_ru,admin3AltName2_ru,admin3AltName1_ky,admin3AltName2_ky,admin2Name_en,admin2Name_ru,admin2Name_ky,admin2Pcode,admin1Name_en,admin1Name_ru,admin1Name_ky,admin1Pcode,admin0Name_en,admin0Name_ru,admin0Name_ky,admin0Pcode,date,validOn,validTo,admin3Type_en,admin3Type_ru,admin3Type_ky
1, , , ,KG02205000901,NA,NA,NA,NA,NA,NA,NA,Ak-Suu,Ак-Суйский,Ак-Суу,KG02205000000,Issyk-Kul,Иссык-Кульская,Ысык-Көл,KG02000000000,Kyrgyzstan,Кыргызская Республика,Кыргыз Республикасы,KG,1535414400000,1542585600000,NA,Forestry,Лесхоз,Токой чарба
2, , , ,KG02205000902,NA,NA,NA,NA,NA,NA,NA,Ak-Suu,Ак-Суйский,Ак-Суу,KG02205000000,Issyk-Kul,Иссык-Кульская,Ысык-Көл,KG02000000000,Kyrgyzstan,Кыргызская Республика,Кыргыз Республикасы,KG,1535414400000,1542585600000,NA,Government reserved land,Госземзапас,Мамлекеттик жер запасы
3, , , ,KG02205000907,NA,NA,NA,NA,NA,NA,NA,Ak-Suu,Ак-Суйский,Ак-Суу,KG02205000000,Issyk-Kul,Иссык-Кульская,Ысык-Көл,KG02000000000,Kyrgyzstan,Кыргызская Республика,Кыргыз Республикасы,KG,1535414400000,1542585600000,NA,Unknown,Неизвестно,Белгисиз
4, , , ,KG02205000908,NA,NA,NA,NA,NA,NA,NA,Ak-Suu,Ак-Суйский,Ак-Суу,KG02205000000,Issyk-Kul,Иссык-Кульская,Ысык-Көл,KG02000000000,Kyrgyzstan,Кыргызская Республика,Кыргыз Республикасы,KG,1535414400000,1542585600000,NA,Unknown,Неизвестно,Белгисиз
5, , , ,KG02210000901,NA,NA,NA,NA,NA,NA,NA,Jeti-Oguz,Жети-Огузский,Жети-Өгүз,KG02210000000,Issyk-Kul,Иссык-Кульская,Ысык-Көл,KG02000000000,Kyrgyzstan,Кыргызская Республика,Кыргыз Республикасы,KG,1535414400000,1542585600000,NA,Forestry,Лесхоз,Токой чарба
6, , , ,KG02210000902,NA,NA,NA,NA,NA,NA,NA,Jeti-Oguz,Жети-Огузский,Жети-Өгүз,KG02210000000,Issyk-Kul,Иссык-Кульская,Ысык-Көл,KG02000000000,Kyrgyzstan,Кыргызская Республика,Кыргыз Республикасы,KG,1535414400000,1542585600000,NA,Government reserved land,Госземзапас,Мамлекеттик жер запасы
7, , , ,KG02210000907,NA,NA,NA,NA,NA,NA,NA,Jeti-Oguz,Жети-Огузский,Жети-Өгүз,KG02210000000,Issyk-Kul,Иссык-Кульская,Ысык-Көл,KG02000000000,Kyrgyzstan,Кыргызская Республика,Кыргыз Республикасы,KG,1535414400000,1542585600000,NA,Unknown,Неизвестно,Белгисиз
8, , , ,KG02210000908,NA,NA,NA,NA,NA,NA,NA,Jeti-Oguz,Жети-Огузский,Жети-Өгүз,KG02210000000,Issyk-Kul,Иссык-Кульская,Ысык-Көл,KG02000000000,Kyrgyzstan,Кыргызская Республика,Кыргыз Республикасы,KG,1535414400000,1542585600000,NA,Unknown,Неизвестно,Белгисиз
9, , , ,KG02215000901,NA,NA,NA,NA,NA,NA,NA,Issyk-Kul,Иссык-Кульский,Ысык-Көл,KG02215000000,Issyk-Kul,Иссык-Кульская,Ысык-Көл,KG02000000000,Kyrgyzstan,Кыргызская Республика,Кыргыз Республикасы,KG,1535414400000,1542585600000,NA,Forestry,Лесхоз,Токой чарба
10, , , ,KG02215000902,NA,NA,NA,NA,NA,NA,NA,Issyk-Kul,Иссык-Кульский,Ысык-Көл,KG02215000000,Issyk-Kul,Иссык-Кульская,Ысык-Көл,KG02000000000,Kyrgyzstan,Кыргызская Республика,Кыргыз Республикасы,KG,1535414400000,1542585600000,NA,Government reserved land,Госземзапас,Мамлекеттик жер запасы
11, , , ,KG02215000907,NA,NA,NA,NA,NA,NA,NA,Issyk-Kul,Иссык-Кульский,Ысык-Көл,KG02215000000,Issyk-Kul,Иссык-Кульская,Ысык-Көл,KG02000000000,Kyrgyzstan,Кыргызская Республика,Кыргыз Республикасы,KG,1535414400000,1542585600000,NA,Unknown,Неизвестно,Белгисиз
12, , , ,KG02220000901,NA,NA,NA,NA,NA,NA,NA,Ton,Тонский,Тоӊ,KG02220000000,Issyk-Kul,Иссык-Кульская,Ысык-Көл,KG02000000000,Kyrgyzstan,Кыргызская Республика,Кыргыз Республикасы,KG,1535414400000,1542585600000,NA,Forestry,Лесхоз,Токой чарба
13, , , ,KG02220000902,NA,NA,NA,NA,NA,NA,NA,Ton,Тонский,Тоӊ,KG02220000000,Issyk-Kul,Иссык-Кульская,Ысык-Көл,KG02000000000,Kyrgyzstan,Кыргызская Республика,Кыргыз Республикасы,KG,1535414400000,1542585600000,NA,Government reserved land,Госземзапас,Мамлекеттик жер запасы
14, , , ,KG02220000907,NA,NA,NA,NA,NA,NA,NA,Ton,Тонский,Тоӊ,KG02220000000,Issyk-Kul,Иссык-Кульская,Ысык-Көл,KG02000000000,Kyrgyzstan,Кыргызская Республика,Кыргыз Республикасы,KG,1535414400000,1542585600000,NA,Unknown,Неизвестно,Белгисиз
15, , , ,KG02220000908,NA,NA,NA,NA,NA,NA,NA,Ton,Тонский,Тоӊ,KG02220000000,Issyk-Kul,Иссык-Кульская,Ысык-Көл,KG02000000000,Kyrgyzstan,Кыргызская Республика,Кыргыз Республикасы,KG,1535414400000,1542585600000,NA,Unknown,Неизвестно,Белгисиз
16, , , ,KG02220000909,NA,NA,NA,NA,NA,NA,NA,Ton,Тонский,Тоӊ,KG02220000000,Issyk-Kul,Иссык-Кульская,Ысык-Көл,KG02000000000,Kyrgyzstan,Кыргызская Республика,Кыргыз Республикасы,KG,1535414400000,1542585600000,NA,Unknown,Неизвестно,Белгисиз
17, , , ,KG02220000910,NA,NA,NA,NA,NA,NA,NA,Ton,Тонский,Тоӊ,KG02220000000,Issyk-Kul,Иссык-Кульская,Ысык-Көл,KG02000000000,Kyrgyzstan,Кыргызская Республика,Кыргыз Республикасы,KG,1535414400000,1542585600000,NA,Unknown,Неизвестно,Белгисиз
18, , , ,KG02220000911,NA,NA,NA,NA,NA,NA,NA,Ton,Тонский,Тоӊ,KG02220000000,Issyk-Kul,Иссык-Кульская,Ысык-Көл,KG02000000000,Kyrgyzstan,Кыргызская Республика,Кыргыз Республикасы,KG,1535414400000,1542585600000,NA,Unknown,Неизвестно,Белгисиз
19, , , ,KG02220000912,NA,NA,NA,NA,NA,NA,NA,Ton,Тонский,Тоӊ,KG02220000000,Issyk-Kul,Иссык-Кульская,Ысык-Көл,KG02000000000,Kyrgyzstan,Кыргызская Республика,Кыргыз Республикасы,KG,1535414400000,1542585600000,NA,Unknown,Неизвестно,Белгисиз
20, , , ,KG02220000913,NA,NA,NA,NA,NA,NA,NA,Ton,Тонский,Тоӊ,KG02220000000,Issyk-Kul,Иссык-Кульская,Ысык-Көл,KG02000000000,Kyrgyzstan,Кыргызская Республика,Кыргыз Республикасы,KG,1535414400000,1542585600000,NA,Unknown,Неизвестно,Белгисиз
21, , , ,KG02220000914,NA,NA,NA,NA,NA,NA,NA,Ton,Тонский,Тоӊ,KG02220000000,Issyk-Kul,Иссык-Кульская,Ысык-Көл,KG02000000000,Kyrgyzstan,Кыргызская Республика,Кыргыз Республикасы,KG,1535414400000,1542585600000,NA,Unknown,Неизвестно,Белгисиз
22, , , ,KG02220000915,NA,NA,NA,NA,NA,NA,NA,Ton,Тонский,Тоӊ,KG02220000000,Issyk-Kul,Иссык-Кульская,Ысык-Көл,KG02000000000,Kyrgyzstan,Кыргызская Республика,Кыргыз Республикасы,KG,1535414400000,1542585600000,NA,Unknown,Неизвестно,Белгисиз
23, , , ,KG02220000916,NA,NA,NA,NA,NA,NA,NA,Ton,Тонский,Тоӊ,KG02220000000,Issyk-Kul,Иссык-Кульская,Ысык-Көл,KG02000000000,Kyrgyzstan,Кыргызская Республика,Кыргыз Республикасы,KG,1535414400000,1542585600000,NA,Unknown,Неизвестно,Белгисиз
24, , , ,KG02220000917,NA,NA,NA,NA,NA,NA,NA,Ton,Тонский,Тоӊ,KG02220000000,Issyk-Kul,Иссык-Кульская,Ысык-Көл,KG02000000000,Kyrgyzstan,Кыргызская Республика,Кыргыз Республикасы,KG,1535414400000,1542585600000,NA,Unknown,Неизвестно,Белгисиз
25, , , ,KG02225000901,NA,NA,NA,NA,NA,NA,NA,Tup,Тюпский,Түп,KG02225000000,Issyk-Kul,Иссык-Кульская,Ысык-Көл,KG02000000000,Kyrgyzstan,Кыргызская Республика,Кыргыз Республикасы,KG,1535414400000,1542585600000,NA,Forestry,Лесхоз,Токой чарба
