OBJECTID,admin3Name_en,admin3Pcode,admin3RefName,admin3AltName1_en,admin3AltName2_en,admin2Name_en,admin2Pcode,admin1Name_en,admin1Pcode,admin0Name_en,admin0Pcode,date,validOn,validTo
1,A Buon Leu,KH110202,NA,NA,NA,Kaoh Nheaek,KH1102,Mondul Kiri,KH11,Cambodia,KH,1413244800000,1538611200000,NA
2,Achar Leak,KH060309,NA,NA,NA,Stueng Saen,KH0603,Kampong Thom,KH06,Cambodia,KH,1413244800000,1538611200000,NA
3,Aekakpheap,KH160603,NA,NA,NA,Ou Chum,KH1606,Ratanak Kiri,KH16,Cambodia,KH,1413244800000,1538611200000,NA
4,Akphivoadth,KH040801,NA,NA,NA,Tuek Phos,KH0408,Kampong Chhnang,KH04,Cambodia,KH,1413244800000,1538611200000,NA
5,Akreiy Ksatr,KH080601,NA,NA,NA,Lvea Aem,KH0806,Kandal,KH08,Cambodia,KH,1413244800000,1538611200000,NA
6,Amleang,KH050801,NA,NA,NA,Thpong,KH0508,Kampong Speu,KH05,Cambodia,KH,1413244800000,1538611200000,NA
7,Ampil,KH030601,NA,NA,NA,Kampong Siem,KH0306,Kampong Cham,KH03,Cambodia,KH,1413244800000,1538611200000,NA
8,Ampil,KH171011,NA,NA,NA,Siem Reap,KH1710,Siemreap,KH17,Cambodia,KH,1413244800000,1538611200000,NA
9,Ampil,KH200401,NA,NA,NA,Romeas Haek,KH2004,Svay Rieng,KH20,Cambodia,KH,1413244800000,1538611200000,NA
10,Ampil,KH220201,NA,NA,NA,Banteay Ampil,KH2202,Oddar Meanchey,KH22,Cambodia,KH,1413244800000,1538611200000,NA
11,Ampil Krau,KH141201,NA,NA,NA,Sithor Kandal,KH1412,Prey Veng,KH14,Cambodia,KH,1413244800000,1538611200000,NA
12,Ampil Pram Daeum,KH020405,NA,NA,NA,Bavel,KH0204,Battambang,KH02,Cambodia,KH,1413244800000,1538611200000,NA
13,Ampil Ta Pok,KH250401,NA,NA,NA,Ou Reang Ov,KH2504,Tboung Khmum,KH25,Cambodia,KH,1413244800000,1538611200000,NA
14,Ampil Tuek,KH040501,NA,NA,NA,Kampong Tralach,KH0405,Kampong Chhnang,KH04,Cambodia,KH,1413244800000,1538611200000,NA
15,Ampov Prey,KH080101,NA,NA,NA,Kandal Stueng,KH0801,Kandal,KH08,Cambodia,KH,1413244800000,1538611200000,NA
16,Andaeuk Haeb,KH020702,NA,NA,NA,Rotonak Mondol,KH0207,Battambang,KH02,Cambodia,KH,1413244800000,1538611200000,NA
17,Andoung Khmer,KH070804,NA,NA,NA,Kampot,KH0708,Kampot,KH07,Cambodia,KH,1413244800000,1538611200000,NA
18,Andoung Pou,KH060112,NA,NA,NA,Baray,KH0601,Kampong Thom,KH06,Cambodia,KH,1413244800000,1538611200000,NA
19,Andoung Pou,KH200402,NA,NA,NA,Romeas Haek,KH2004,Svay Rieng,KH20,Cambodia,KH,1413244800000,1538611200000,NA
20,Andoung Snay,KH040601,NA,NA,NA,Rolea B'ier,KH0406,Kampong Chhnang,KH04,Cambodia,KH,1413244800000,1538611200000,NA
21,Andoung Thma,KH180201,NA,NA,NA,Prey Nob,KH1802,Preah Sihanouk,KH18,Cambodia,KH,1413244800000,1538611200000,NA
22,Andoung Trabaek,KH200403,NA,NA,NA,Romeas Haek,KH2004,Svay Rieng,KH20,Cambodia,KH,1413244800000,1538611200000,NA
23,Andoung Tuek,KH090101,NA,NA,NA,Botum Sakor,KH0901,Koh Kong,KH09,Cambodia,KH,1413244800000,1538611200000,NA
24,Ang Sophy,KH070609,NA,NA,NA,Kampong Trach,KH0706,Kampot,KH07,Cambodia,KH,1413244800000,1538611200000,NA
25,Angk Kaev,KH211006,NA,NA,NA,Treang,KH2110,Takeo,KH21,Cambodia,KH,1413244800000,1538611200000,NA
26,Angk Khnor,KH211002,NA,NA,NA,Treang,KH2110,Takeo,KH21,Cambodia,KH,1413244800000,1538611200000,NA
27,Angk Phnum Touch,KH070101,NA,NA,NA,Angkor Chey,KH0701,Kampot,KH07,Cambodia,KH,1413244800000,1538611200000,NA
