OBJECTID,admin2Name_en,admin2Name_ar,admin2Pcode,admin2RefName,admin2AltName1_en,admin2AltName2_en,admin2AltName1_ar,admin2AltName2_ar,admin1Name_en,admin1Name_ar,admin1Pcode,admin0Name_en,admin0Name_ar,admin0Pcode,date,validOn,ValidTo
1,Akkar,عكار,LB51,NA,NA,NA,NA,NA,Akkar,عكار,LB7,Lebanon,لبنان,LB,1446768000000,1471824000000,NA
2,El Hermel, الهرمل,LB22,NA,NA,NA,NA,NA,Baalbek-El Hermel,بعلبك - الهرمل,LB8,Lebanon,لبنان,LB,1446768000000,1471824000000,NA
3,El Minieh-Dennie,المنية الضنية,LB55,NA,NA,NA,NA,NA,North,الشمال,LB5,Lebanon,لبنان,LB,1446768000000,1471824000000,NA
4,Tripoli,طرابلس,LB56,NA,NA,NA,NA,NA,North,الشمال,LB5,Lebanon,لبنان,LB,1446768000000,1471824000000,NA
5,Zgharta,زغرتا,LB57,NA,NA,NA,NA,NA,North,الشمال,LB5,Lebanon,لبنان,LB,1446768000000,1471824000000,NA
6,Baalbek,بعلبك,LB21,NA,NA,NA,NA,NA,Baalbek-El Hermel,بعلبك - الهرمل,LB8,Lebanon,لبنان,LB,1446768000000,1471824000000,NA
7,El Koura,الكورة,LB54,NA,NA,NA,NA,NA,North,الشمال,LB5,Lebanon,لبنان,LB,1446768000000,1471824000000,NA
8,El Batroun,البترون,LB52,NA,NA,NA,NA,NA,North,الشمال,LB5,Lebanon,لبنان,LB,1446768000000,1471824000000,NA
9,Bcharre, بشري,LB53,NA,NA,NA,NA,NA,North,الشمال,LB5,Lebanon,لبنان,LB,1446768000000,1471824000000,NA
10,Jbeil,جبيل,LB34,NA,NA,NA,NA,NA,Mount Lebanon,جبل لبنان,LB3,Lebanon,لبنان,LB,1446768000000,1471824000000,NA
11,Kesrwane, كسروان,LB35,NA,NA,NA,NA,NA,Mount Lebanon,جبل لبنان,LB3,Lebanon,لبنان,LB,1446768000000,1471824000000,NA
12,El Meten,المتن,LB36,NA,NA,NA,NA,NA,Mount Lebanon,جبل لبنان,LB3,Lebanon,لبنان,LB,1446768000000,1471824000000,NA
13,Zahle,زحلة,LB25,NA,NA,NA,NA,NA,Bekaa,البقاع,LB2,Lebanon,لبنان,LB,1446768000000,1471824000000,NA
14,Beirut,بيروت,LB11,NA,NA,NA,NA,NA,Beirut,بيروت,LB1,Lebanon,لبنان,LB,1446768000000,1471824000000,NA
15,Baabda,بعبدا,LB32,NA,NA,NA,NA,NA,Mount Lebanon,جبل لبنان,LB3,Lebanon,لبنان,LB,1446768000000,1471824000000,NA
16,Aley,عاليه,LB31,NA,NA,NA,NA,NA,Mount Lebanon,جبل لبنان,LB3,Lebanon,لبنان,LB,1446768000000,1471824000000,NA
17,West Bekaa,البقاع الغربي,LB24,NA,NA,NA,NA,NA,Bekaa,البقاع,LB2,Lebanon,لبنان,LB,1446768000000,1471824000000,NA
18,Chouf, الشوف,LB33,NA,NA,NA,NA,NA,Mount Lebanon,جبل لبنان,LB3,Lebanon,لبنان,LB,1446768000000,1471824000000,NA
19,Rachaya,راشيا,LB23,NA,NA,NA,NA,NA,Bekaa,البقاع,LB2,Lebanon,لبنان,LB,1446768000000,1471824000000,NA
20,Jezzine,جزين,LB62,NA,NA,NA,NA,NA,South,الجنوب,LB6,Lebanon,لبنان,LB,1446768000000,1471824000000,NA
21,Saida,صيدا,LB61,NA,NA,NA,NA,NA,South,الجنوب,LB6,Lebanon,لبنان,LB,1446768000000,1471824000000,NA
22,El Nabatieh,النبطية,LB44,NA,NA,NA,NA,NA,El Nabatieh,النبطية,LB4,Lebanon,لبنان,LB,1446768000000,1471824000000,NA
23,Hasbaya,حاصبيا,LB42,NA,NA,NA,NA,NA,El Nabatieh,النبطية,LB4,Lebanon,لبنان,LB,1446768000000,1471824000000,NA
24,Marjaayoun,مرجعيون,LB43,NA,NA,NA,NA,NA,El Nabatieh,النبطية,LB4,Lebanon,لبنان,LB,1446768000000,1471824000000,NA
25,Sour,صور,LB63,NA,NA,NA,NA,NA,South,الجنوب,LB6,Lebanon,لبنان,LB,1446768000000,1471824000000,NA
26,Bent Jbeil,بنت جبيل,LB41,NA,NA,NA,NA,NA,El Nabatieh,النبطية,LB4,Lebanon,لبنان,LB,1446768000000,1471824000000,NA
