OBJECTID,admin2Name_en,admin2Pcode,admin2RefName,admin2AltName1_en,admin2AltName2_en,admin1Name_en,admin1Pcode,admin0Name_en,admin0Pcode,date,validOn,validTo
1,B'hai,LR0601,Bhai,NA,NA,Grand Gedeh,LR06,Liberia,LR,1514332800000,1572825600000,NA
2,Barclayville,LR0701,NA,NA,NA,Grand Kru,LR07,Liberia,LR,1514332800000,1572825600000,NA
3,Beawor,LR1401,NA,NA,NA,Rivercess,LR14,Liberia,LR,1514332800000,1572825600000,NA
4,Belleh,LR0301,NA,NA,NA,Gbarpolu,LR03,Liberia,LR,1514332800000,1572825600000,NA
5,Bleebo,LR0702,NA,NA,NA,Grand Kru,LR07,Liberia,LR,1514332800000,1572825600000,NA
6,Bodae,LR1501,NA,NA,NA,Sinoe,LR15,Liberia,LR,1514332800000,1572825600000,NA
7,Boe & Quilla,LR1201,NA,NA,NA,Nimba,LR12,Liberia,LR,1514332800000,1572825600000,NA
8,Boinsen,LR0201,NA,NA,NA,Bong,LR02,Liberia,LR,1514332800000,1572825600000,NA
9,Bokomu,LR0302,NA,NA,NA,Gbarpolu,LR03,Liberia,LR,1514332800000,1572825600000,NA
10,Bokon,LR1502,NA,NA,NA,Sinoe,LR15,Liberia,LR,1514332800000,1572825600000,NA
11,Bolloh,LR0703,NA,NA,NA,Grand Kru,LR07,Liberia,LR,1514332800000,1572825600000,NA
12,Bopolu,LR0303,NA,NA,NA,Gbarpolu,LR03,Liberia,LR,1514332800000,1572825600000,NA
13,Buah,LR0704,NA,NA,NA,Grand Kru,LR07,Liberia,LR,1514332800000,1572825600000,NA
14,Butaw,LR1503,NA,NA,NA,Sinoe,LR15,Liberia,LR,1514332800000,1572825600000,NA
15,Buu-Yao,LR1202,NA,NA,NA,Nimba,LR12,Liberia,LR,1514332800000,1572825600000,NA
16,Careysburg,LR1101,NA,NA,NA,Montserrado,LR11,Liberia,LR,1514332800000,1572825600000,NA
17,Cavala,LR0602,NA,NA,NA,Grand Gedeh,LR06,Liberia,LR,1514332800000,1572825600000,NA
18,Central Rivercess,LR1402,NA,NA,NA,Rivercess,LR14,Liberia,LR,1514332800000,1572825600000,NA
