OBJECTID,admin2Name_en,admin2Name_ar,admin2Pcode,admin2RefName,admin2AltName1_en,admin2AltName2_en,admin2AltName1_ar,admin2AltName2_ar,admin1Name_en,admin1Name_ar,admin1Pcode,admin0Name_en,admin0Name_ar,admin0Pcode,date,validOn,ValidTo
1,Derna,درنه,LY0101,NA,NA,NA,NA,NA,East,الشرق,LY01,Libya,ليبيا,LY,1480464000000,1525651200000,NA
2,Almarj,المرج,LY0102,NA,NA,NA,NA,NA,East,الشرق,LY01,Libya,ليبيا,LY,1480464000000,1525651200000,NA
3,Benghazi,بنغازي,LY0103,NA,NA,NA,NA,NA,East,الشرق,LY01,Libya,ليبيا,LY,1480464000000,1525651200000,NA
4,Tobruk,طبرق,LY0104,NA,NA,NA,NA,NA,East,الشرق,LY01,Libya,ليبيا,LY,1480464000000,1525651200000,NA
5,Ejdabia,اجدابيا,LY0105,NA,NA,NA,NA,NA,East,الشرق,LY01,Libya,ليبيا,LY,1480464000000,1525651200000,NA
6,Al Jabal Al Akhdar,الجبل الاخضر,LY0106,NA,NA,NA,NA,NA,East,الشرق,LY01,Libya,ليبيا,LY,1480464000000,1525651200000,NA
7,Alkufra,الكفرة,LY0107,NA,NA,NA,NA,NA,East,الشرق,LY01,Libya,ليبيا,LY,1480464000000,1525651200000,NA
8,Sirt,سرت,LY0208,NA,NA,NA,NA,NA,West,الغرب,LY02,Libya,ليبيا,LY,1480464000000,1525651200000,NA
9,Nalut,نالوت,LY0209,NA,NA,NA,NA,NA,West,الغرب,LY02,Libya,ليبيا,LY,1480464000000,1525651200000,NA
10,Almargeb,المرقب,LY0210,NA,NA,NA,NA,NA,West,الغرب,LY02,Libya,ليبيا,LY,1480464000000,1525651200000,NA
11,Tripoli,طرابلس,LY0211,NA,NA,NA,NA,NA,West,الغرب,LY02,Libya,ليبيا,LY,1480464000000,1525651200000,NA
12,Aljfara,الجفارة,LY0212,NA,NA,NA,NA,NA,West,الغرب,LY02,Libya,ليبيا,LY,1480464000000,1525651200000,NA
13,Azzawya,الزاوية,LY0213,NA,NA,NA,NA,NA,West,الغرب,LY02,Libya,ليبيا,LY,1480464000000,1525651200000,NA
14,Misrata,مصراته,LY0214,NA,NA,NA,NA,NA,West,الغرب,LY02,Libya,ليبيا,LY,1480464000000,1525651200000,NA
15,Zwara,زوارة,LY0215,NA,NA,NA,NA,NA,West,الغرب,LY02,Libya,ليبيا,LY,1480464000000,1525651200000,NA
16,Al Jabal Al Gharbi,الجبل الغربي,LY0216,NA,NA,NA,NA,NA,West,الغرب,LY02,Libya,ليبيا,LY,1480464000000,1525651200000,NA
17,Aljufra,الجفرة,LY0317,NA,NA,NA,NA,NA,South,الجنوب,LY03,Libya,ليبيا,LY,1480464000000,1525651200000,NA
18,Wadi Ashshati,وادى الشاطئ,LY0318,NA,NA,NA,NA,NA,South,الجنوب,LY03,Libya,ليبيا,LY,1480464000000,1525651200000,NA
19,Sebha,سبها,LY0319,NA,NA,NA,NA,NA,South,الجنوب,LY03,Libya,ليبيا,LY,1480464000000,1525651200000,NA
20,Ubari,اوباري,LY0320,NA,NA,NA,NA,NA,South,الجنوب,LY03,Libya,ليبيا,LY,1480464000000,1525651200000,NA
21,Murzuq,مرزق,LY0322,NA,NA,NA,NA,NA,South,الجنوب,LY03,Libya,ليبيا,LY,1480464000000,1525651200000,NA
22,Ghat,غات,LY0321,NA,NA,NA,NA,NA,South,الجنوب,LY03,Libya,ليبيا,LY,1480464000000,1525651200000,NA
