OBJECTID,admin2Name_en,admin2Name_ar,admin2Pcode,admin2RefName,admin2AltName1_en,admin2AltName2_en,admin2AltName1_ar,admin2AltName2_ar,admin1Name_en,admin1Name_ar,admin1Pcode,admin0Name_en,admin0Name_ar,admin0Pcode,date,validOn,validTo
1,Agadir Ida Outanane Prefecture, ,MA009001,NA,NA,NA,NA,NA,Souss Massa,سوس - ماسة,MA009,Morocco,المغرب,MA,1588204800000,1606953600000,NA
2,Al Haouz Province, ,MA006001,NA,NA,NA,NA,NA,Marrakech Safi,مراكش - آسفي,MA006,Morocco,المغرب,MA,1588204800000,1606953600000,NA
3,Al Hoceima Province, ,MA010001,NA,NA,NA,NA,NA,Tangier Tetouan Al Hoceima,طنجة - تطوان - الحسيمة,MA010,Morocco,المغرب,MA,1588204800000,1606953600000,NA
4,Assa Zag Province, ,MA005001,NA,NA,NA,NA,NA,Guelmim Oued Noun,كلميم - واد نون,MA005,Morocco,المغرب,MA,1588204800000,1606953600000,NA
5,Berrechid Province, ,MA002001,NA,NA,NA,NA,NA,Casablanca Settat,الدار البيضاء - سطات,MA002,Morocco,المغرب,MA,1588204800000,1606953600000,NA
6,Chefchaouen Province, ,MA010002,NA,NA,NA,NA,NA,Tangier Tetouan Al Hoceima,طنجة - تطوان - الحسيمة,MA010,Morocco,المغرب,MA,1588204800000,1606953600000,NA
7,Chichaoua Province, ,MA006002,NA,NA,NA,NA,NA,Marrakech Safi,مراكش - آسفي,MA006,Morocco,المغرب,MA,1588204800000,1606953600000,NA
8,Chtouka Ait Baha Province, ,MA009002,NA,NA,NA,NA,NA,Souss Massa,سوس - ماسة,MA009,Morocco,المغرب,MA,1588204800000,1606953600000,NA
9,El Jadida Province, ,MA002002,NA,NA,NA,NA,NA,Casablanca Settat,الدار البيضاء - سطات,MA002,Morocco,المغرب,MA,1588204800000,1606953600000,NA
10,Essaouira Province, ,MA006003,NA,NA,NA,NA,NA,Marrakech Safi,مراكش - آسفي,MA006,Morocco,المغرب,MA,1588204800000,1606953600000,NA
11,Fahs Anjra Province, ,MA010003,NA,NA,NA,NA,NA,Tangier Tetouan Al Hoceima,طنجة - تطوان - الحسيمة,MA010,Morocco,المغرب,MA,1588204800000,1606953600000,NA
12,Guelmim Province, ,MA005002,NA,NA,NA,NA,NA,Guelmim Oued Noun,كلميم - واد نون,MA005,Morocco,المغرب,MA,1588204800000,1606953600000,NA
