OBJECTID,admin2Name_es,admin2Pcode,admin2RefName,admin2AltName1_es,admin2AltName2_es,admin1Name_es,admin1Pcode,admin0Name_es,admin0Pcode,date,validOn,validTo
1,Abalá,MX31001,Abala,NA,NA,Yucatán,MX31,México,MX,1517529600000,1592438400000,NA
2,Abasolo,MX05001,NA,NA,NA,Coahuila de Zaragoza,MX05,México,MX,1517529600000,1592438400000,NA
3,Abasolo,MX11001,NA,NA,NA,Guanajuato,MX11,México,MX,1517529600000,1592438400000,NA
4,Abasolo,MX19001,NA,NA,NA,Nuevo León,MX19,México,MX,1517529600000,1592438400000,NA
5,Abasolo,MX28001,NA,NA,NA,Tamaulipas,MX28,México,MX,1517529600000,1592438400000,NA
6,Abejones,MX20001,NA,NA,NA,Oaxaca,MX20,México,MX,1517529600000,1592438400000,NA
7,Acacoyagua,MX07001,NA,NA,NA,Chiapas,MX07,México,MX,1517529600000,1592438400000,NA
8,Acajete,MX21001,NA,NA,NA,Puebla,MX21,México,MX,1517529600000,1592438400000,NA
9,Acajete,MX30001,NA,NA,NA,Veracruz de Ignacio de la Llave,MX30,México,MX,1517529600000,1592438400000,NA
10,Acala,MX07002,NA,NA,NA,Chiapas,MX07,México,MX,1517529600000,1592438400000,NA
11,Acámbaro,MX11002,Acambaro,NA,NA,Guanajuato,MX11,México,MX,1517529600000,1592438400000,NA
12,Acambay,MX15001,NA,NA,NA,México,MX15,México,MX,1517529600000,1592438400000,NA
13,Acanceh,MX31002,NA,NA,NA,Yucatán,MX31,México,MX,1517529600000,1592438400000,NA
14,Acapetahua,MX07003,NA,NA,NA,Chiapas,MX07,México,MX,1517529600000,1592438400000,NA
15,Acaponeta,MX18001,NA,NA,NA,Nayarit,MX18,México,MX,1517529600000,1592438400000,NA
16,Acapulco de Juárez,MX12001,Acapulco de Juarez,NA,NA,Guerrero,MX12,México,MX,1517529600000,1592438400000,NA
17,Acateno,MX21002,NA,NA,NA,Puebla,MX21,México,MX,1517529600000,1592438400000,NA
18,Acatepec,MX12076,NA,NA,NA,Guerrero,MX12,México,MX,1517529600000,1592438400000,NA
19,Acatic,MX14001,NA,NA,NA,Jalisco,MX14,México,MX,1517529600000,1592438400000,NA
20,Acatlán,MX13001,Acatlan,NA,NA,Hidalgo,MX13,México,MX,1517529600000,1592438400000,NA
21,Acatlán,MX21003,Acatlan,NA,NA,Puebla,MX21,México,MX,1517529600000,1592438400000,NA
22,Acatlán,MX30002,Acatlan,NA,NA,Veracruz de Ignacio de la Llave,MX30,México,MX,1517529600000,1592438400000,NA
23,Acatlán de Juárez,MX14002,Acatlan de Juarez,NA,NA,Jalisco,MX14,México,MX,1517529600000,1592438400000,NA
24,Acatlán de Pérez Figueroa,MX20002,Acatlán de Perez Figueroa,NA,NA,Oaxaca,MX20,México,MX,1517529600000,1592438400000,NA
25,Acatzingo,MX21004,NA,NA,NA,Puebla,MX21,México,MX,1517529600000,1592438400000,NA
