OBJECTID,admin3Name_fr,admin3Pcode,admin3RefName,admin3AltName1_fr,admin3AltName2_fr,admin2Name_fr,admin2Pcode,admin1Name_fr,admin1Pcode,admin0Name_fr,admin0Pcode,date,validOn,validTo
1,Abéïbara,ML080101,Abeibara,NA,NA,Abeibara,ML0801,Kidal,ML08,Mali (le),ML,1369958400000,1564704000000,NA
2,Adarmalane,ML060201,NA,NA,NA,Goundam,ML0602,Tombouctou,ML06,Mali (le),ML,1369958400000,1564704000000,NA
3,Adjelhoc,ML080301,NA,NA,NA,Tessalit,ML0803,Kidal,ML08,Mali (le),ML,1369958400000,1564704000000,NA
4,Alafia,ML060501,NA,NA,NA,Tombouctou,ML0605,Tombouctou,ML06,Mali (le),ML,1369958400000,1564704000000,NA
5,Allahina,ML020701,NA,NA,NA,Nara,ML0207,Koulikoro,ML02,Mali (le),ML,1369958400000,1564704000000,NA
6,Alzounoub,ML060202,NA,NA,NA,Goundam,ML0602,Tombouctou,ML06,Mali (le),ML,1369958400000,1564704000000,NA
7,Anchawadi,ML070301,NA,NA,NA,Gao,ML0703,Gao,ML07,Mali (le),ML,1369958400000,1564704000000,NA
8,Andéramboukane,ML070401,Anderamboukane,NA,NA,Ménaka,ML0704,Gao,ML07,Mali (le),ML,1369958400000,1564704000000,NA
9,Anefif,ML080201,NA,NA,NA,Kidal,ML0802,Kidal,ML08,Mali (le),ML,1369958400000,1564704000000,NA
10,Ansongo,ML070101,NA,NA,NA,Ansongo,ML0701,Gao,ML07,Mali (le),ML,1369958400000,1564704000000,NA
11,Arham,ML060101,NA,NA,NA,Diré,ML0601,Tombouctou,ML06,Mali (le),ML,1369958400000,1564704000000,NA
12,Badia,ML010501,NA,NA,NA,Kita,ML0105,Kayes,ML01,Mali (le),ML,1369958400000,1564704000000,NA
13,Bafoulabe,ML010101,NA,NA,NA,Bafoulabe,ML0101,Kayes,ML01,Mali (le),ML,1369958400000,1564704000000,NA
14,Baguindabougou,ML040601,NA,NA,NA,Ségou,ML0406,Ségou,ML04,Mali (le),ML,1369958400000,1564704000000,NA
15,Baguinéda Camp,ML020401,Baguineda Camp,NA,NA,Kati,ML0204,Koulikoro,ML02,Mali (le),ML,1369958400000,1564704000000,NA
16,Balan Bakama,ML020301,NA,NA,NA,Kangaba,ML0203,Koulikoro,ML02,Mali (le),ML,1369958400000,1564704000000,NA
17,Bamafélé,ML010102,Bamafele,NA,NA,Bafoulabe,ML0101,Kayes,ML01,Mali (le),ML,1369958400000,1564704000000,NA
18,Bamba,ML050501,NA,NA,NA,Koro,ML0505,Mopti,ML05,Mali (le),ML,1369958400000,1564704000000,NA
19,Bamba,ML070201,NA,NA,NA,Bourem,ML0702,Gao,ML07,Mali (le),ML,1369958400000,1564704000000,NA
