OBJECTID,admin2Name_en,admin2Pcode,admin2RefName,admin2AltName1_en,admin2AltName2_en,admin1Name_en,admin1Pcode,admin0Name_en,admin0Pcode,date,validOn,validTo
1,Akjoujt,MR0901,NA,NA,NA,Inchiri,MR09,Mauritania,MR,1591920000000,1596153600000,NA
2,Aleg,MR0301,NA,NA,NA,Brakna,MR03,Mauritania,MR,1591920000000,1596153600000,NA
3,Amourj,MR0701,NA,NA,NA,Hodh El Chargi,MR07,Mauritania,MR,1591920000000,1596153600000,NA
4,Aoujeft,MR0101,NA,NA,NA,Adrar,MR01,Mauritania,MR,1591920000000,1596153600000,NA
5,Arafat,MR1001,NA,NA,NA,Nouakchott,MR10,Mauritania,MR,1591920000000,1596153600000,NA
6,Atar,MR0102,NA,NA,NA,Adrar,MR01,Mauritania,MR,1591920000000,1596153600000,NA
7,Bababe,MR0302,NA,NA,NA,Brakna,MR03,Mauritania,MR,1591920000000,1596153600000,NA
8,Barkeol,MR0201,NA,NA,NA,Assaba,MR02,Mauritania,MR,1591920000000,1596153600000,NA
9,Basseknou,MR0702,NA,NA,NA,Hodh El Chargi,MR07,Mauritania,MR,1591920000000,1596153600000,NA
10,Benichab,MR0902,NA,NA,NA,Inchiri,MR09,Mauritania,MR,1591920000000,1596153600000,NA
11,Bir Moghrein,MR1301,NA,NA,NA,Tris-Zemmour,MR13,Mauritania,MR,1591920000000,1596153600000,NA
12,Boghe,MR0303,NA,NA,NA,Brakna,MR03,Mauritania,MR,1591920000000,1596153600000,NA
13,Boumdeid,MR0202,NA,NA,NA,Assaba,MR02,Mauritania,MR,1591920000000,1596153600000,NA
14,Boutilimitt,MR1201,NA,NA,NA,Trarza,MR12,Mauritania,MR,1591920000000,1596153600000,NA
15,Chami,MR0401,NA,NA,NA,Dakhlet-Nouadhibou,MR04,Mauritania,MR,1591920000000,1596153600000,NA
16,Chinguitti,MR0103,NA,NA,NA,Adrar,MR01,Mauritania,MR,1591920000000,1596153600000,NA
