OBJECTID,admin3Name_en,admin3Pcode,admin3RefName,admin3AltName1_en,admin3AltName2_en,admin2Name_en,admin2Pcode,admin1Name_en,admin1Pcode,admin0Name_en,admin0Pcode,date,validOn,validTo
1,Area 1,MW21031,NA,NA,NA,Lilongwe City,MW210,Central,MW2,Malawi,MW,1535932800000,1539648000000,NA
2,Area 10,MW21040,NA,NA,NA,Lilongwe City,MW210,Central,MW2,Malawi,MW,1535932800000,1539648000000,NA
3,Area 11,MW21041,NA,NA,NA,Lilongwe City,MW210,Central,MW2,Malawi,MW,1535932800000,1539648000000,NA
4,Area 12,MW21042,NA,NA,NA,Lilongwe City,MW210,Central,MW2,Malawi,MW,1535932800000,1539648000000,NA
5,Area 13,MW21043,NA,NA,NA,Lilongwe City,MW210,Central,MW2,Malawi,MW,1535932800000,1539648000000,NA
6,Area 14,MW21044,NA,NA,NA,Lilongwe City,MW210,Central,MW2,Malawi,MW,1535932800000,1539648000000,NA
7,Area 15,MW21045,NA,NA,NA,Lilongwe City,MW210,Central,MW2,Malawi,MW,1535932800000,1539648000000,NA
8,Area 16,MW21046,NA,NA,NA,Lilongwe City,MW210,Central,MW2,Malawi,MW,1535932800000,1539648000000,NA
9,Area 17,MW21047,NA,NA,NA,Lilongwe City,MW210,Central,MW2,Malawi,MW,1535932800000,1539648000000,NA
10,Area 18,MW21048,NA,NA,NA,Lilongwe City,MW210,Central,MW2,Malawi,MW,1535932800000,1539648000000,NA
11,Area 19,MW21049,NA,NA,NA,Lilongwe City,MW210,Central,MW2,Malawi,MW,1535932800000,1539648000000,NA
12,Area 2,MW21032,NA,NA,NA,Lilongwe City,MW210,Central,MW2,Malawi,MW,1535932800000,1539648000000,NA
13,Area 20,MW21050,NA,NA,NA,Lilongwe City,MW210,Central,MW2,Malawi,MW,1535932800000,1539648000000,NA
14,Area 21,MW21051,NA,NA,NA,Lilongwe City,MW210,Central,MW2,Malawi,MW,1535932800000,1539648000000,NA
