OBJECTID,admin2Name_en,admin2Pcode,admin2RefName,admin2AltName1_en,admin2AltName2_en,admin1Name_en,admin1Pcode,admin0Name_en,admin0Pcode,date,validOn,validTo
1,Alor Gajah,MY0601,NA,NA,NA,Melaka,MY06,Malaysia,MY,1606867200000,1613001600000,NA
2,Asajaya,MY1301,NA,NA,NA,Sarawak,MY13,Malaysia,MY,1606867200000,1613001600000,NA
3,Bachok,MY0301,NA,NA,NA,Kelantan,MY03,Malaysia,MY,1606867200000,1613001600000,NA
4,Baling,MY0201,NA,NA,NA,Kedeh,MY02,Malaysia,MY,1606867200000,1613001600000,NA
5,Bandar Baharu,MY0202,NA,NA,NA,Kedeh,MY02,Malaysia,MY,1606867200000,1613001600000,NA
6,Barat Daya,MY1101,NA,NA,NA,Pulau Pinang,MY11,Malaysia,MY,1606867200000,1613001600000,NA
7,Batang Padang,MY0901,NA,NA,NA,Perak,MY09,Malaysia,MY,1606867200000,1613001600000,NA
8,Batu Pahat,MY0101,NA,NA,NA,Johor,MY01,Malaysia,MY,1606867200000,1613001600000,NA
9,Bau,MY1302,NA,NA,NA,Sarawak,MY13,Malaysia,MY,1606867200000,1613001600000,NA
10,Beaufort,MY1201,NA,NA,NA,Sabah,MY12,Malaysia,MY,1606867200000,1613001600000,NA
11,Belaga,MY1303,NA,NA,NA,Sarawak,MY13,Malaysia,MY,1606867200000,1613001600000,NA
12,Beluran,MY1202,NA,NA,NA,Sabah,MY12,Malaysia,MY,1606867200000,1613001600000,NA
13,Bentong,MY0801,NA,NA,NA,Pahang,MY08,Malaysia,MY,1606867200000,1613001600000,NA
14,Bera,MY0802,NA,NA,NA,Pahang,MY08,Malaysia,MY,1606867200000,1613001600000,NA
15,Besut,MY1501,NA,NA,NA,Terengganu,MY15,Malaysia,MY,1606867200000,1613001600000,NA
16,Betong,MY1304,NA,NA,NA,Sarawak,MY13,Malaysia,MY,1606867200000,1613001600000,NA
17,Bintulu,MY1305,NA,NA,NA,Sarawak,MY13,Malaysia,MY,1606867200000,1613001600000,NA
18,Cameron Highlands,MY0803,NA,NA,NA,Pahang,MY08,Malaysia,MY,1606867200000,1613001600000,NA
19,Dalat,MY1306,NA,NA,NA,Sarawak,MY13,Malaysia,MY,1606867200000,1613001600000,NA
20,Daro,MY1307,NA,NA,NA,Sarawak,MY13,Malaysia,MY,1606867200000,1613001600000,NA
21,Dungun,MY1502,NA,NA,NA,Terengganu,MY15,Malaysia,MY,1606867200000,1613001600000,NA
22,Gombak,MY1701,NA,NA,NA,Selangor,MY17,Malaysia,MY,1606867200000,1613001600000,NA
23,Gua Musang,MY0302,NA,NA,NA,Kelantan,MY03,Malaysia,MY,1606867200000,1613001600000,NA
24,Hilir Perak,MY0902,NA,NA,NA,Perak,MY09,Malaysia,MY,1606867200000,1613001600000,NA
25,Hulu Terengganu,MY1503,NA,NA,NA,Terengganu,MY15,Malaysia,MY,1606867200000,1613001600000,NA
26,Jasin,MY0602,NA,NA,NA,Melaka,MY06,Malaysia,MY,1606867200000,1613001600000,NA
27,Jelebu,MY0701,NA,NA,NA,Negeri,MY07,Malaysia,MY,1606867200000,1613001600000,NA
28,Jeli,MY0303,NA,NA,NA,Kelantan,MY03,Malaysia,MY,1606867200000,1613001600000,NA
29,Jempol,MY0702,NA,NA,NA,Negeri,MY07,Malaysia,MY,1606867200000,1613001600000,NA
30,Jerantut,MY0804,NA,NA,NA,Pahang,MY08,Malaysia,MY,1606867200000,1613001600000,NA
31,Johor Bahru,MY0102,NA,NA,NA,Johor,MY01,Malaysia,MY,1606867200000,1613001600000,NA
32,Julau,MY1308,NA,NA,NA,Sarawak,MY13,Malaysia,MY,1606867200000,1613001600000,NA
33,Kampar,MY0904,NA,NA,NA,Perak,MY09,Malaysia,MY,1606867200000,1613001600000,NA
34,Kanowit,MY1309,NA,NA,NA,Sarawak,MY13,Malaysia,MY,1606867200000,1613001600000,NA
35,Kapit,MY1310,NA,NA,NA,Sarawak,MY13,Malaysia,MY,1606867200000,1613001600000,NA
36,Kemaman,MY1504,NA,NA,NA,Terengganu,MY15,Malaysia,MY,1606867200000,1613001600000,NA
37,Keningau,MY1203,NA,NA,NA,Sabah,MY12,Malaysia,MY,1606867200000,1613001600000,NA
38,Kerian,MY0905,NA,NA,NA,Perak,MY09,Malaysia,MY,1606867200000,1613001600000,NA
39,Kinabatangan,MY1204,NA,NA,NA,Sabah,MY12,Malaysia,MY,1606867200000,1613001600000,NA
40,Kinta,MY0906,NA,NA,NA,Perak,MY09,Malaysia,MY,1606867200000,1613001600000,NA
41,Klang,MY1704,NA,NA,NA,Selangor,MY17,Malaysia,MY,1606867200000,1613001600000,NA
42,Kluang,MY0103,NA,NA,NA,Johor,MY01,Malaysia,MY,1606867200000,1613001600000,NA
43,Kota Belud,MY1205,NA,NA,NA,Sabah,MY12,Malaysia,MY,1606867200000,1613001600000,NA
44,Kota Bharu,MY0304,NA,NA,NA,Kelantan,MY03,Malaysia,MY,1606867200000,1613001600000,NA
45,Kota Kinabalu,MY1206,NA,NA,NA,Sabah,MY12,Malaysia,MY,1606867200000,1613001600000,NA
46,Kota Marudu,MY1207,NA,NA,NA,Sabah,MY12,Malaysia,MY,1606867200000,1613001600000,NA
47,Kota Setar,MY0203,NA,NA,NA,Kedeh,MY02,Malaysia,MY,1606867200000,1613001600000,NA
48,Kota Tinggi,MY0104,NA,NA,NA,Johor,MY01,Malaysia,MY,1606867200000,1613001600000,NA
49,Kuala Kangsar,MY0907,NA,NA,NA,Perak,MY09,Malaysia,MY,1606867200000,1613001600000,NA
50,Kuala Krai,MY0305,NA,NA,NA,Kelantan,MY03,Malaysia,MY,1606867200000,1613001600000,NA
51,Kuala Langat,MY1705,NA,NA,NA,Selangor,MY17,Malaysia,MY,1606867200000,1613001600000,NA
52,Kuala Muda,MY0204,NA,NA,NA,Kedeh,MY02,Malaysia,MY,1606867200000,1613001600000,NA
53,Kuala Penyu,MY1208,NA,NA,NA,Sabah,MY12,Malaysia,MY,1606867200000,1613001600000,NA
54,Kuala Pilah,MY0703,NA,NA,NA,Negeri,MY07,Malaysia,MY,1606867200000,1613001600000,NA
55,Kuala Selangor,MY1706,NA,NA,NA,Selangor,MY17,Malaysia,MY,1606867200000,1613001600000,NA
56,Kuala Terengganu,MY1505,NA,NA,NA,Terengganu,MY15,Malaysia,MY,1606867200000,1613001600000,NA
57,Kuantan,MY0805,NA,NA,NA,Pahang,MY08,Malaysia,MY,1606867200000,1613001600000,NA
58,Kubang Pasu,MY0205,NA,NA,NA,Kedeh,MY02,Malaysia,MY,1606867200000,1613001600000,NA
59,Kuching,MY1311,NA,NA,NA,Sarawak,MY13,Malaysia,MY,1606867200000,1613001600000,NA
60,Kudat,MY1209,NA,NA,NA,Sabah,MY12,Malaysia,MY,1606867200000,1613001600000,NA
61,Kulaijaya,MY0105,NA,NA,NA,Johor,MY01,Malaysia,MY,1606867200000,1613001600000,NA
62,Kulim,MY0206,NA,NA,NA,Kedeh,MY02,Malaysia,MY,1606867200000,1613001600000,NA
63,Kunak,MY1210,NA,NA,NA,Sabah,MY12,Malaysia,MY,1606867200000,1613001600000,NA
64,Lahad Datu,MY1211,NA,NA,NA,Sabah,MY12,Malaysia,MY,1606867200000,1613001600000,NA
65,Langkawi,MY0207,NA,NA,NA,Kedeh,MY02,Malaysia,MY,1606867200000,1613001600000,NA
66,Larut Dan Matang,MY0908,NA,NA,NA,Perak,MY09,Malaysia,MY,1606867200000,1613001600000,NA
67,Lawas,MY1312,NA,NA,NA,Sarawak,MY13,Malaysia,MY,1606867200000,1613001600000,NA
68,Ledang,MY0106,NA,NA,NA,Johor,MY01,Malaysia,MY,1606867200000,1613001600000,NA
69,Limbang,MY1313,NA,NA,NA,Sarawak,MY13,Malaysia,MY,1606867200000,1613001600000,NA
70,Lipis,MY0806,NA,NA,NA,Pahang,MY08,Malaysia,MY,1606867200000,1613001600000,NA
