OBJECTID,admin2Name_en,admin2Pcode,admin2RefName,admin2AltName1_en,admin2AltName2_en,admin1Name_en,admin1Pcode,admin0Name_en,admin0Pcode,date,validOn,validTo
1,Aminius,NA0901,NA,NA,NA,Omaheke,NA09,Namibia,NA,1293840000000,1578528000000,NA
2,Anamulenge,NA1001,NA,NA,NA,Omusati,NA10,Namibia,NA,1293840000000,1578528000000,NA
3,Arandis,NA0201,NA,NA,NA,Erongo,NA02,Namibia,NA,1293840000000,1578528000000,NA
4,Berseba,NA0401,NA,NA,NA,Karas,NA04,Namibia,NA,1293840000000,1578528000000,NA
5,Daures,NA0202,NA,NA,NA,Erongo,NA02,Namibia,NA,1293840000000,1578528000000,NA
6,Eengodi,NA1201,NA,NA,NA,Oshikoto,NA12,Namibia,NA,1293840000000,1578528000000,NA
7,Eenhana,NA0801,NA,NA,NA,Ohangwena,NA08,Namibia,NA,1293840000000,1578528000000,NA
8,Elim,NA1002,NA,NA,NA,Omusati,NA10,Namibia,NA,1293840000000,1578528000000,NA
9,Endola,NA0802,NA,NA,NA,Ohangwena,NA08,Namibia,NA,1293840000000,1578528000000,NA
10,Engela,NA0803,NA,NA,NA,Ohangwena,NA08,Namibia,NA,1293840000000,1578528000000,NA
11,Epembe,NA0804,NA,NA,NA,Ohangwena,NA08,Namibia,NA,1293840000000,1578528000000,NA
12,Epukiro,NA0907,NA,NA,NA,Omaheke,NA09,Namibia,NA,1293840000000,1578528000000,NA
13,Epupa,NA0701,NA,NA,NA,Kunene,NA07,Namibia,NA,1293840000000,1578528000000,NA
14,Etayi,NA1003,NA,NA,NA,Omusati,NA10,Namibia,NA,1293840000000,1578528000000,NA
15,Gibeon,NA0301,NA,NA,NA,Hardap,NA03,Namibia,NA,1293840000000,1578528000000,NA
16,Gobabis,NA0902,NA,NA,NA,Omaheke,NA09,Namibia,NA,1293840000000,1578528000000,NA
17,Grootfontein,NA1301,NA,NA,NA,Otjozondjupa,NA13,Namibia,NA,1293840000000,1578528000000,NA
18,Guinas,NA1202,NA,NA,NA,Oshikoto,NA12,Namibia,NA,1293840000000,1578528000000,NA
19,John Pandeni (Soweto),NA0605,NA,NA,NA,Khomas,NA06,Namibia,NA,1293840000000,1578528000000,NA
20,Kabbe,NA0101,NA,NA,NA,Zambezi,NA01,Namibia,NA,1293840000000,1578528000000,NA
21,Kahenge,NA1401,NA,NA,NA,Kavango West,NA14,Namibia,NA,1293840000000,1578528000000,NA
22,Kalahari,NA0903,NA,NA,NA,Omaheke,NA09,Namibia,NA,1293840000000,1578528000000,NA
23,Kamanjab,NA0702,NA,NA,NA,Kunene,NA07,Namibia,NA,1293840000000,1578528000000,NA
24,Kapako,NA1402,NA,NA,NA,Kavango West,NA14,Namibia,NA,1293840000000,1578528000000,NA
25,Karasburg,NA0402,NA,NA,NA,Karas,NA04,Namibia,NA,1293840000000,1578528000000,NA
26,Karibib,NA0203,NA,NA,NA,Erongo,NA02,Namibia,NA,1293840000000,1578528000000,NA
27,Katima Mulilo Rural,NA0102,NA,NA,NA,Zambezi,NA01,Namibia,NA,1293840000000,1578528000000,NA
28,Katima Mulilo Urban,NA0103,NA,NA,NA,Zambezi,NA01,Namibia,NA,1293840000000,1578528000000,NA
29,Katutura Central,NA0602,NA,NA,NA,Khomas,NA06,Namibia,NA,1293840000000,1578528000000,NA
30,Katutura East,NA0603,NA,NA,NA,Khomas,NA06,Namibia,NA,1293840000000,1578528000000,NA
31,Keetmanshoop Rural,NA0403,NA,NA,NA,Karas,NA04,Namibia,NA,1293840000000,1578528000000,NA
32,Keetmanshoop Urban,NA0404,NA,NA,NA,Karas,NA04,Namibia,NA,1293840000000,1578528000000,NA
33,Khomasdal North,NA0604,NA,NA,NA,Khomas,NA06,Namibia,NA,1293840000000,1578528000000,NA
34,Khorixas,NA0703,NA,NA,NA,Kunene,NA07,Namibia,NA,1293840000000,1578528000000,NA
35,Kongola,NA0104,NA,NA,NA,Zambezi,NA01,Namibia,NA,1293840000000,1578528000000,NA
36,Linyanti,NA0105,NA,NA,NA,Zambezi,NA01,Namibia,NA,1293840000000,1578528000000,NA
37,Mariental Rural,NA0302,NA,NA,NA,Hardap,NA03,Namibia,NA,1293840000000,1578528000000,NA
38,Mariental Urban,NA0303,NA,NA,NA,Hardap,NA03,Namibia,NA,1293840000000,1578528000000,NA
39,Mashare,NA0503,NA,NA,NA,Kavango East,NA05,Namibia,NA,1293840000000,1578528000000,NA
40,Moses Garoeb,NA0610,NA,NA,NA,Khomas,NA06,Namibia,NA,1293840000000,1578528000000,NA
41,Mpungu,NA1404,NA,NA,NA,Kavango West,NA14,Namibia,NA,1293840000000,1578528000000,NA
42,Mukwe,NA0505,NA,NA,NA,Kavango East,NA05,Namibia,NA,1293840000000,1578528000000,NA
43,Naminus (Luderitz),NA0405,NA,NA,NA,Karas,NA04,Namibia,NA,1293840000000,1578528000000,NA
44,Ndiyona,NA0506,NA,NA,NA,Kavango East,NA05,Namibia,NA,1293840000000,1578528000000,NA
45,Ogongo,NA1004,NA,NA,NA,Omusati,NA10,Namibia,NA,1293840000000,1578528000000,NA
