OBJECTID,admin3Name_en,admin3Pcode,admin3RefName,admin3AltName1_en,admin3AltName2_en,admin2Name_en,admin2Pcode,SenDist_en,SenDistPcode,admin1Name_en,admin1Pcode,admin0Name_en,admin0Pcode,date,validOn,validTo
1,A Lawant,NG008022002,A Lawant,Alla  Lawanti, ,Marte,NG008022,Borno North,NG00802,Borno,NG008,Nigeria,NG,1490918400000,1555459200000,NA
2,Abbaram,NG008003007,Abbaram,Lawanti / Malam / Mastari / Abbaram, ,Bama,NG008003,Borno Central,NG00801,Borno,NG008,Nigeria,NG,1490918400000,1555459200000,NA
3,Adarawo,NG002021001,Adarawo,Adarawo, ,Yola South,NG002021,Adamawa Central,NG00201,Adamawa,NG002,Nigeria,NG,1490918400000,1555459200000,NA
4,Aduwa,NG008010001,Aduwa,Aduwa, ,Guzamala,NG008010,Borno North,NG00802,Borno,NG008,Nigeria,NG,1490918400000,1555459200000,NA
5,Afunori,NG036013001,Afunori,Mirba-Kabir/Mirba Sagir, ,Nguru,NG036013,Yobe North,NG03602,Yobe,NG036,Nigeria,NG,1490918400000,1555459200000,NA
6,Afuye,NG008008009,Afuye,Sogoma / Afuye, ,Dikwa,NG008008,Borno Central,NG00801,Borno,NG008,Nigeria,NG,1490918400000,1555459200000,NA
7,Ajigin A,NG008007001,Ajigin A,Ajign (A), ,Damboa,NG008007,Borno South,NG00803,Borno,NG008,Nigeria,NG,1490918400000,1555459200000,NA
8,Ajigin B,NG008007002,Ajigin B,Ajign (B), ,Damboa,NG008007,Borno South,NG00803,Borno,NG008,Nigeria,NG,1490918400000,1555459200000,NA
9,Ajiri,NG008016011,Ajiri,Sojiri/ Nguro - Nguro, ,Konduga,NG008016,Borno Central,NG00801,Borno,NG008,Nigeria,NG,1490918400000,1555459200000,NA
10,Ajiri,NG008019002,Ajiri,Anadua, ,Mafa,NG008019,Borno Central,NG00801,Borno,NG008,Nigeria,NG,1490918400000,1555459200000,NA
11,Ajiya,NG002020001,Ajiya,Ajiya, ,Yola North,NG002020,Adamawa Central,NG00201,Adamawa,NG002,Nigeria,NG,1490918400000,1555459200000,NA
12,Ala,NG008022001,Ala,Ala, ,Marte,NG008022,Borno North,NG00802,Borno,NG008,Nigeria,NG,1490918400000,1555459200000,NA
13,Alagarno,NG008017001,Alagarno,Alagarno, ,Kukawa,NG008017,Borno North,NG00802,Borno,NG008,Nigeria,NG,1490918400000,1555459200000,NA
14,Alagarno,NG036005001,Alagarno,Alagarno, ,Fune,NG036005,Yobe South,NG03603,Yobe,NG036,Nigeria,NG,1490918400000,1555459200000,NA
15,Alarge,NG008026001,Alarge,Alarge, ,Nganzai,NG008026,Borno North,NG00802,Borno,NG008,Nigeria,NG,1490918400000,1555459200000,NA
16,Alau,NG008013001,Alau,Alau, ,Jere,NG008013,Borno Central,NG00801,Borno,NG008,Nigeria,NG,1490918400000,1555459200000,NA
17,Alkalawa,NG002020002,Alkalawa,Alkalawa, ,Yola North,NG002020,Adamawa Central,NG00201,Adamawa,NG002,Nigeria,NG,1490918400000,1555459200000,NA
18,Amchaka,NG008003008,Amchaka,Marka / Malge / Amchaka, ,Bama,NG008003,Borno Central,NG00801,Borno,NG008,Nigeria,NG,1490918400000,1555459200000,NA
19,Andara,NG008003001,Andara,Andara / Ajiri /Wulba, ,Bama,NG008003,Borno Central,NG00801,Borno,NG008,Nigeria,NG,1490918400000,1555459200000,NA
20,Ardimini,NG008009001,Ardimini,Ardimini, ,Gubio,NG008009,Borno North,NG00802,Borno,NG008,Nigeria,NG,1490918400000,1555459200000,NA
21,Ardoram,NG008020001,Ardoram,Ardo Ram, ,Magumeri,NG008020,Borno North,NG00802,Borno,NG008,Nigeria,NG,1490918400000,1555459200000,NA
22,Arege,NG008001001,Arege,Arege, ,Abadam,NG008001,Borno North,NG00802,Borno,NG008,Nigeria,NG,1490918400000,1555459200000,NA
23,Asaga,NG008023001,Asaga,Asaga, ,Mobbar,NG008023,Borno North,NG00802,Borno,NG008,Nigeria,NG,1490918400000,1555459200000,NA
24,Asheikri 1,NG036006001,Asheikri 1,Asheikri, ,Geidam,NG036006,Yobe East,NG03601,Yobe,NG036,Nigeria,NG,1490918400000,1555459200000,NA
25,Asheikri 2,NG036006002,Asheikri 2,Kawuri, ,Geidam,NG036006,Yobe East,NG03601,Yobe,NG036,Nigeria,NG,1490918400000,1555459200000,NA
26,Ashigashiya,NG008011001,Ashigashiya,Ashigashiya, ,Gwoza,NG008011,Borno South,NG00803,Borno,NG008,Nigeria,NG,1490918400000,1555459200000,NA
27,Askira East,NG008002001,Askira East,Askira East, ,Askira/Uba,NG008002,Borno South,NG00803,Borno,NG008,Nigeria,NG,1490918400000,1555459200000,NA
28,Auno,NG008016001,Auno,Auno / Chabbol, ,Konduga,NG008016,Borno Central,NG00801,Borno,NG008,Nigeria,NG,1490918400000,1555459200000,NA
29,Ayi Yasku,NG008020002,Ayi Yasku,Ayi / Yasku, ,Magumeri,NG008020,Borno North,NG00802,Borno,NG008,Nigeria,NG,1490918400000,1555459200000,NA
30,Azir Multe,NG008007003,Azir Multe,Azur/Multe/Forfor, ,Damboa,NG008007,Borno South,NG00803,Borno,NG008,Nigeria,NG,1490918400000,1555459200000,NA
31,Babangida,NG036015001,Babangida,Babangida, ,Tarmua,NG036015,Yobe East,NG03601,Yobe,NG036,Nigeria,NG,1490918400000,1555459200000,NA
32,Badairi,NG008022011,Badairi,Ngeleiwa, ,Marte,NG008022,Borno North,NG00802,Borno,NG008,Nigeria,NG,1490918400000,1555459200000,NA
33,Badu,NG008026002,Badu,Badu, ,Nganzai,NG008026,Borno North,NG00802,Borno,NG008,Nigeria,NG,1490918400000,1555459200000,NA
34,Baga,NG008017002,Baga,Baga, ,Kukawa,NG008017,Borno North,NG00802,Borno,NG008,Nigeria,NG,1490918400000,1555459200000,NA
35,Bahuli,NG002014001,Bahuli,Bahuli, ,Mubi North,NG002014,Adamawa North,NG00202,Adamawa,NG002,Nigeria,NG,1490918400000,1555459200000,NA
36,Bajama,NG002012001,Bajama,Bajama, ,Mayo-Belwa,NG002012,Adamawa South,NG00203,Adamawa,NG002,Nigeria,NG,1490918400000,1555459200000,NA
37,Bakari Goso,NG002003001,Bakari Goso,Bakari Guso, ,Ganye,NG002003,Adamawa South,NG00203,Adamawa,NG002,Nigeria,NG,1490918400000,1555459200000,NA
38,Bako,NG002021002,Bako,Bako, ,Yola South,NG002021,Adamawa Central,NG00201,Adamawa,NG002,Nigeria,NG,1490918400000,1555459200000,NA
39,Bakta,NG002017001,Bakta,Bakta, ,Shelleng,NG002017,Adamawa South,NG00203,Adamawa,NG002,Nigeria,NG,1490918400000,1555459200000,NA
40,Balbaya,NG008004001,Balbaya,Balbaya, ,Bayo,NG008004,Borno South,NG00803,Borno,NG008,Nigeria,NG,1490918400000,1555459200000,NA
41,Balle,NG036006003,Balle,Balle/Gallaba/Meleri, ,Geidam,NG036006,Yobe East,NG03601,Yobe,NG036,Nigeria,NG,1490918400000,1555459200000,NA
42,Bangshika,NG002007001,Bangshika,Bangshika, ,Hong,NG002007,Adamawa Central,NG00201,Adamawa,NG002,Nigeria,NG,1490918400000,1555459200000,NA
43,Banjiram,NG002006001,Banjiram,Banjiram, ,Guyuk,NG002006,Adamawa South,NG00203,Adamawa,NG002,Nigeria,NG,1490918400000,1555459200000,NA
44,Banki,NG008003002,Banki,Buduwa / Bula Chirabe, ,Bama,NG008003,Borno Central,NG00801,Borno,NG008,Nigeria,NG,1490918400000,1555459200000,NA
45,Banowa,NG008001002,Banowa,Banowa, ,Abadam,NG008001,Borno North,NG00802,Borno,NG008,Nigeria,NG,1490918400000,1555459200000,NA
46,Bara,NG036008001,Bara,Bara, ,Gulani,NG036008,Yobe East,NG03601,Yobe,NG036,Nigeria,NG,1490918400000,1555459200000,NA
47,Bare,NG002016001,Bare,Bare, ,Numan,NG002016,Adamawa South,NG00203,Adamawa,NG002,Nigeria,NG,1490918400000,1555459200000,NA
48,Bare Bari,NG036014001,Bare Bari,Bare-Bare/Bauya/Lalai Dumbulwa, ,Potiskum,NG036014,Yobe South,NG03603,Yobe,NG036,Nigeria,NG,1490918400000,1555459200000,NA
