OBJECTID,admin2Name_es,admin2Pcode,admin2RefName,admin2AltName1_es,admin2AltName2_es,admin1Name_es,admin1Pcode,admin0Name_es,admin0Pcode,date,validOn,validTo
1,Achuapa,NI1001,NA,NA,NA,León,NI10,Nicaragua,NI,1507680000000,1597276800000,NA
2,Acoyapa,NI0601,NA,NA,NA,Chontales,NI06,Nicaragua,NI,1507680000000,1597276800000,NA
3,Altagracia,NI1701,NA,NA,NA,Rivas,NI17,Nicaragua,NI,1507680000000,1597276800000,NA
4,Belén,NI1702,Belen,NA,NA,Rivas,NI17,Nicaragua,NI,1507680000000,1597276800000,NA
5,Bluefields,NI0201,NA,NA,NA,Atlántico Sur,NI02,Nicaragua,NI,1507680000000,1597276800000,NA
6,Boaco,NI0301,NA,NA,NA,Boaco,NI03,Nicaragua,NI,1507680000000,1597276800000,NA
7,Bocana de Paiwas,NI0202,NA,Bocanas de Paiwa,NA,Atlántico Sur,NI02,Nicaragua,NI,1507680000000,1597276800000,NA
8,Bonanza,NI0101,NA,NA,NA,Atlántico Norte,NI01,Nicaragua,NI,1507680000000,1597276800000,NA
9,Buenos Aires,NI1703,NA,NA,NA,Rivas,NI17,Nicaragua,NI,1507680000000,1597276800000,NA
10,Camoapa,NI0302,NA,NA,NA,Boaco,NI03,Nicaragua,NI,1507680000000,1597276800000,NA
11,Catarina,NI1301,NA,NA,NA,Masaya,NI13,Nicaragua,NI,1507680000000,1597276800000,NA
12,Chichigalpa,NI0501,NA,NA,NA,Chinandega,NI05,Nicaragua,NI,1507680000000,1597276800000,NA
13,Chinandega,NI0502,NA,NA,NA,Chinandega,NI05,Nicaragua,NI,1507680000000,1597276800000,NA
14,Cinco Pinos,NI0503,NA,NA,NA,Chinandega,NI05,Nicaragua,NI,1507680000000,1597276800000,NA
15,Ciudad Antigua,NI1501,NA,NA,NA,Nueva Segovia,NI15,Nicaragua,NI,1507680000000,1597276800000,NA
16,Ciudad Darío,NI1401,Ciudad Dario,NA,NA,Matagalpa,NI14,Nicaragua,NI,1507680000000,1597276800000,NA
17,Ciudad Sandino,NI1502,NA,El Jícaro,NA,Nueva Segovia,NI15,Nicaragua,NI,1507680000000,1597276800000,NA
18,Comalapa,NI0602,NA,NA,NA,Chontales,NI06,Nicaragua,NI,1507680000000,1597276800000,NA
19,Condega,NI0701,NA,NA,NA,Estelí,NI07,Nicaragua,NI,1507680000000,1597276800000,NA
20,Corinto,NI0504,NA,NA,NA,Chinandega,NI05,Nicaragua,NI,1507680000000,1597276800000,NA
21,Dipilto,NI1503,NA,NA,NA,Nueva Segovia,NI15,Nicaragua,NI,1507680000000,1597276800000,NA
22,Diriá,NI0801,Diria,Diri,NA,Granada,NI08,Nicaragua,NI,1507680000000,1597276800000,NA
23,Diriamba,NI0401,NA,NA,NA,Carazo,NI04,Nicaragua,NI,1507680000000,1597276800000,NA
24,Diriomo,NI0802,NA,NA,NA,Granada,NI08,Nicaragua,NI,1507680000000,1597276800000,NA
25,Dolores,NI0402,NA,NA,NA,Carazo,NI04,Nicaragua,NI,1507680000000,1597276800000,NA
26,El Almendro,NI1601,NA,NA,NA,Río San Juan,NI16,Nicaragua,NI,1507680000000,1597276800000,NA
27,El Cuá,NI0901,El Cua,El Cu,NA,Jinotega,NI09,Nicaragua,NI,1507680000000,1597276800000,NA
28,El Jicaral,NI1002,NA,NA,NA,León,NI10,Nicaragua,NI,1507680000000,1597276800000,NA
29,El Rama,NI0203,NA,NA,NA,Atlántico Sur,NI02,Nicaragua,NI,1507680000000,1597276800000,NA
30,El Realejo,NI0505,NA,NA,NA,Chinandega,NI05,Nicaragua,NI,1507680000000,1597276800000,NA
31,El Rosario,NI0403,NA,NA,NA,Carazo,NI04,Nicaragua,NI,1507680000000,1597276800000,NA
32,El Sauce,NI1003,NA,NA,NA,León,NI10,Nicaragua,NI,1507680000000,1597276800000,NA
33,El Viejo,NI0506,NA,NA,NA,Chinandega,NI05,Nicaragua,NI,1507680000000,1597276800000,NA
34,Esquipulas,NI1402,NA,NA,NA,Matagalpa,NI14,Nicaragua,NI,1507680000000,1597276800000,NA
35,Estelí,NI0702,Esteli,NA,NA,Estelí,NI07,Nicaragua,NI,1507680000000,1597276800000,NA
36,Granada,NI0803,NA,NA,NA,Granada,NI08,Nicaragua,NI,1507680000000,1597276800000,NA
37,Jalapa,NI1504,NA,NA,NA,Nueva Segovia,NI15,Nicaragua,NI,1507680000000,1597276800000,NA
38,Jinotega,NI0902,NA,NA,NA,Jinotega,NI09,Nicaragua,NI,1507680000000,1597276800000,NA
39,Jinotepe,NI0404,NA,NA,NA,Carazo,NI04,Nicaragua,NI,1507680000000,1597276800000,NA
40,Juigalpa,NI0603,NA,NA,NA,Chontales,NI06,Nicaragua,NI,1507680000000,1597276800000,NA
41,Kukra Hill,NI0204,NA,NA,NA,Atlántico Sur,NI02,Nicaragua,NI,1507680000000,1597276800000,NA
42,La Concepción,NI1302,La Concepcion,NA,NA,Masaya,NI13,Nicaragua,NI,1507680000000,1597276800000,NA
43,La Concordia,NI0903,NA,NA,NA,Jinotega,NI09,Nicaragua,NI,1507680000000,1597276800000,NA
44,La Conquista,NI0405,NA,La ConquiSanta,NA,Carazo,NI04,Nicaragua,NI,1507680000000,1597276800000,NA
45,La Cruz de Río Grande,NI0205,La Cruz de Rio Grande,NA,NA,Atlántico Sur,NI02,Nicaragua,NI,1507680000000,1597276800000,NA
46,La Libertad,NI0604,NA,NA,NA,Chontales,NI06,Nicaragua,NI,1507680000000,1597276800000,NA
47,La Paz Centro,NI1004,NA,NA,NA,León,NI10,Nicaragua,NI,1507680000000,1597276800000,NA
48,La Paz de Carazo,NI0406,NA,NA,NA,Carazo,NI04,Nicaragua,NI,1507680000000,1597276800000,NA
49,La Trinidad,NI0703,NA,NA,NA,Estelí,NI07,Nicaragua,NI,1507680000000,1597276800000,NA
50,Lago de Managua,NI1201,NA,NA,NA,Managua,NI12,Nicaragua,NI,1507680000000,1597276800000,NA
51,Laguna de Perlas,NI0206,NA,NA,NA,Atlántico Sur,NI02,Nicaragua,NI,1507680000000,1597276800000,NA
52,Larreynaga-Malpaisillo,NI1005,NA,NA,NA,León,NI10,Nicaragua,NI,1507680000000,1597276800000,NA
53,Las Sabanas,NI1101,NA,NA,NA,Madriz,NI11,Nicaragua,NI,1507680000000,1597276800000,NA
54,León,NI1006,Leon,NA,NA,León,NI10,Nicaragua,NI,1507680000000,1597276800000,NA
55,Macuelizo,NI1505,NA,NA,NA,Nueva Segovia,NI15,Nicaragua,NI,1507680000000,1597276800000,NA
56,Managua,NI1202,NA,NA,NA,Managua,NI12,Nicaragua,NI,1507680000000,1597276800000,NA
57,Masatepe,NI1303,NA,NA,NA,Masaya,NI13,Nicaragua,NI,1507680000000,1597276800000,NA
58,Masaya,NI1304,NA,NA,NA,Masaya,NI13,Nicaragua,NI,1507680000000,1597276800000,NA
59,Matagalpa,NI1403,NA,NA,NA,Matagalpa,NI14,Nicaragua,NI,1507680000000,1597276800000,NA
60,Mateare,NI1203,NA,NA,NA,Managua,NI12,Nicaragua,NI,1507680000000,1597276800000,NA
61,Matiguás,NI1404,Matiguas,NA,NA,Matagalpa,NI14,Nicaragua,NI,1507680000000,1597276800000,NA
