OBJECTID,DistrictName_en,DistrictPcode,DistrictRefName,DistrictAltName1_en,DistrictAltName2_en,admin1Name_en,admin1Pcode,admin0Name_en,admin0Pcode,date,validOn,validTo
1,Achham,NP0769,NA,NA,NA,7,NP07,Nepal,NP,1543363200000,1556582400000,NA
2,Arghakhanchi,NP0550,NA,NA,NA,5,NP05,Nepal,NP,1543363200000,1556582400000,NA
3,Baglung,NP0443,NA,NA,NA,4,NP04,Nepal,NP,1543363200000,1556582400000,NA
4,Baitadi,NP0774,NA,NA,NA,7,NP07,Nepal,NP,1543363200000,1556582400000,NA
5,Bajhang,NP0767,NA,NA,NA,7,NP07,Nepal,NP,1543363200000,1556582400000,NA
6,Bajura,NP0768,NA,NA,NA,7,NP07,Nepal,NP,1543363200000,1556582400000,NA
7,Banke,NP0557,NA,NA,NA,5,NP05,Nepal,NP,1543363200000,1556582400000,NA
8,Bara,NP0233,NA,NA,NA,2,NP02,Nepal,NP,1543363200000,1556582400000,NA
9,Bardiya,NP0558,NA,NA,NA,5,NP05,Nepal,NP,1543363200000,1556582400000,NA
10,Bhaktapur,NP0326,NA,NA,NA,3,NP03,Nepal,NP,1543363200000,1556582400000,NA
11,Bhojpur,NP0110,NA,NA,NA,1,NP01,Nepal,NP,1543363200000,1556582400000,NA
12,Chitawan,NP0335,NA,NA,NA,3,NP03,Nepal,NP,1543363200000,1556582400000,NA
13,Dadeldhura,NP0773,NA,NA,NA,7,NP07,Nepal,NP,1543363200000,1556582400000,NA
14,Dailekh,NP0661,NA,NA,NA,6,NP06,Nepal,NP,1543363200000,1556582400000,NA
15,Dang,NP0556,NA,NA,NA,5,NP05,Nepal,NP,1543363200000,1556582400000,NA
16,Darchula,NP0775,NA,NA,NA,7,NP07,Nepal,NP,1543363200000,1556582400000,NA
17,Dhading,NP0330,NA,NA,NA,3,NP03,Nepal,NP,1543363200000,1556582400000,NA
18,Dhankuta,NP0107,NA,NA,NA,1,NP01,Nepal,NP,1543363200000,1556582400000,NA
19,Dhanusha,NP0217,NA,NA,NA,2,NP02,Nepal,NP,1543363200000,1556582400000,NA
20,Dolakha,NP0322,NA,NA,NA,3,NP03,Nepal,NP,1543363200000,1556582400000,NA
21,Dolpa,NP0662,NA,NA,NA,6,NP06,Nepal,NP,1543363200000,1556582400000,NA
22,Doti,NP0770,NA,NA,NA,7,NP07,Nepal,NP,1543363200000,1556582400000,NA
23,Gorkha,NP0436,NA,NA,NA,4,NP04,Nepal,NP,1543363200000,1556582400000,NA
24,Gulmi,NP0551,NA,NA,NA,5,NP05,Nepal,NP,1543363200000,1556582400000,NA
25,Humla,NP0666,NA,NA,NA,6,NP06,Nepal,NP,1543363200000,1556582400000,NA
26,Ilam,NP0103,NA,NA,NA,1,NP01,Nepal,NP,1543363200000,1556582400000,NA
27,Jajarkot,NP0660,NA,NA,NA,6,NP06,Nepal,NP,1543363200000,1556582400000,NA
28,Jhapa,NP0104,NA,NA,NA,1,NP01,Nepal,NP,1543363200000,1556582400000,NA
29,Jumla,NP0663,NA,NA,NA,6,NP06,Nepal,NP,1543363200000,1556582400000,NA
30,Kabhrepalanchok,NP0324,NA,NA,NA,3,NP03,Nepal,NP,1543363200000,1556582400000,NA
31,Kailali,NP0771,NA,NA,NA,7,NP07,Nepal,NP,1543363200000,1556582400000,NA
32,Kalikot,NP0664,NA,NA,NA,6,NP06,Nepal,NP,1543363200000,1556582400000,NA
33,Kanchanpur,NP0772,NA,NA,NA,7,NP07,Nepal,NP,1543363200000,1556582400000,NA
34,Kapilbastu,NP0549,NA,NA,NA,5,NP05,Nepal,NP,1543363200000,1556582400000,NA
35,Kaski,NP0439,NA,NA,NA,4,NP04,Nepal,NP,1543363200000,1556582400000,NA
