OBJECTID,admin3Name_en,admin3Pcode,admin3RefName,admin3AltName1_en,admin3AltName2_en,admin2Name_en,admin2Pcode,admin1Name_en,admin1Pcode,admin0Name_en,admin0Pcode,date,validOn,validTo
1,Abbottabad,PK20101,NA,NA,NA,Abbottabad,PK201,Khyber Pakhtunkhwa,PK2,Pakistan,PK,1543536000000,1545091200000,NA
2,Ahmadupr East,PK60305,NA,NA,NA,Bahawalpur,PK603,Punjab,PK6,Pakistan,PK,1543536000000,1545091200000,NA
3,Ahmedpur Sial,PK61201,NA,NA,NA,Jhang,PK612,Punjab,PK6,Pakistan,PK,1543536000000,1545091200000,NA
4,Alai,PK20301,NA,NA,NA,Batagram,PK203,Khyber Pakhtunkhwa,PK2,Pakistan,PK,1543536000000,1545091200000,NA
5,Alipur,PK62301,NA,NA,NA,Muzaffargarh,PK623,Punjab,PK6,Pakistan,PK,1543536000000,1545091200000,NA
6,Alpuri,PK22001,NA,NA,NA,Shangla,PK220,Khyber Pakhtunkhwa,PK2,Pakistan,PK,1543536000000,1545091200000,NA
7,Ambar Utman Khel,PK23501,NA,NA,NA,Mohmand,PK235,Khyber Pakhtunkhwa,PK2,Pakistan,PK,1543536000000,1545091200000,NA
8,Arif Wala,PK62701,NA,NA,NA,Pakpattan,PK627,Punjab,PK6,Pakistan,PK,1543536000000,1545091200000,NA
9,Attock,PK60101,NA,NA,NA,Attock,PK601,Punjab,PK6,Pakistan,PK,1543536000000,1545091200000,NA
10,Awaran,PK70101,NA,NA,NA,Awaran,PK701,Balochistan,PK7,Pakistan,PK,1543536000000,1545091200000,NA
11,Baba Kot,PK72201,NA,NA,NA,Nasirabad,PK722,Balochistan,PK7,Pakistan,PK,1543536000000,1545091200000,NA
12,Babuzai,PK22201,NA,NA,NA,Swat,PK222,Khyber Pakhtunkhwa,PK2,Pakistan,PK,1543536000000,1545091200000,NA
13,Badin,PK80101,NA,NA,NA,Badin,PK801,Sindh,PK8,Pakistan,PK,1543536000000,1545091200000,NA
