OBJECTID,admin3Name_es,admin3Pcode,admin3RefName,admin3AltName1_es,admin3AltName2_es,admin2Name_es,admin2Pcode,admin1Name_es,admin1Pcode,admin0Name_en,admin0Name_es,admin0Pcode,date,validOn,validTo
1,Abancay,PE030101,NA,NA,NA,Abancay,PE0301,Apurimac,PE03,Peru,Perú (el),PE,1437696000000,1594684800000,NA
2,Abelardo Pardo Lezameta,PE020502,NA,NA,NA,Bolognesi,PE0205,Ancash,PE02,Peru,Perú (el),PE,1437696000000,1594684800000,NA
3,Acari,PE040302,NA,NA,NA,Caraveli,PE0403,Arequipa,PE04,Peru,Perú (el),PE,1437696000000,1594684800000,NA
4,Acas,PE021402,NA,NA,NA,Ocros,PE0214,Ancash,PE02,Peru,Perú (el),PE,1437696000000,1594684800000,NA
5,Accha,PE081002,NA,NA,NA,Paruro,PE0810,Cusco,PE08,Peru,Perú (el),PE,1437696000000,1594684800000,NA
6,Accomarca,PE051102,NA,NA,NA,Vilcas Huaman,PE0511,Ayacucho,PE05,Peru,Perú (el),PE,1437696000000,1594684800000,NA
7,Achaya,PE210202,NA,NA,NA,Azangaro,PE2102,Puno,PE21,Peru,Perú (el),PE,1437696000000,1594684800000,NA
8,Achoma,PE040502,NA,NA,NA,Caylloma,PE0405,Arequipa,PE04,Peru,Perú (el),PE,1437696000000,1594684800000,NA
9,Aco,PE020902,NA,NA,NA,Corongo,PE0209,Ancash,PE02,Peru,Perú (el),PE,1437696000000,1594684800000,NA
10,Aco,PE120202,NA,NA,NA,Concepcion,PE1202,Junin,PE12,Peru,Perú (el),PE,1437696000000,1594684800000,NA
11,Acobamba,PE021902,NA,NA,NA,Sihuas,PE0219,Ancash,PE02,Peru,Perú (el),PE,1437696000000,1594684800000,NA
12,Acobamba,PE090201,NA,NA,NA,Acobamba,PE0902,Huancavelica,PE09,Peru,Perú (el),PE,1437696000000,1594684800000,NA
13,Acobamba,PE120702,NA,NA,NA,Tarma,PE1207,Junin,PE12,Peru,Perú (el),PE,1437696000000,1594684800000,NA
14,Acobambilla,PE090102,NA,NA,NA,Huancavelica,PE0901,Huancavelica,PE09,Peru,Perú (el),PE,1437696000000,1594684800000,NA
15,Acochaca,PE020402,NA,NA,NA,Asuncion,PE0204,Ancash,PE02,Peru,Perú (el),PE,1437696000000,1594684800000,NA
16,Acocro,PE050102,NA,NA,NA,Huamanga,PE0501,Ayacucho,PE05,Peru,Perú (el),PE,1437696000000,1594684800000,NA
17,Acolla,PE120402,NA,NA,NA,Jauja,PE1204,Junin,PE12,Peru,Perú (el),PE,1437696000000,1594684800000,NA
18,Acomayo,PE080201,NA,NA,NA,Acomayo,PE0802,Cusco,PE08,Peru,Perú (el),PE,1437696000000,1594684800000,NA
19,Acopampa,PE020602,NA,NA,NA,Carhuaz,PE0206,Ancash,PE02,Peru,Perú (el),PE,1437696000000,1594684800000,NA
20,Acopia,PE080202,NA,NA,NA,Acomayo,PE0802,Cusco,PE08,Peru,Perú (el),PE,1437696000000,1594684800000,NA
21,Acora,PE210102,NA,NA,NA,Puno,PE2101,Puno,PE21,Peru,Perú (el),PE,1437696000000,1594684800000,NA
22,Acoria,PE090103,NA,NA,NA,Huancavelica,PE0901,Huancavelica,PE09,Peru,Perú (el),PE,1437696000000,1594684800000,NA
23,Acos,PE080203,NA,NA,NA,Acomayo,PE0802,Cusco,PE08,Peru,Perú (el),PE,1437696000000,1594684800000,NA
24,Acos Vinchos,PE050103,NA,NA,NA,Huamanga,PE0501,Ayacucho,PE05,Peru,Perú (el),PE,1437696000000,1594684800000,NA
25,Acostambo,PE090702,NA,NA,NA,Tayacaja,PE0907,Huancavelica,PE09,Peru,Perú (el),PE,1437696000000,1594684800000,NA
26,Acraquia,PE090703,NA,NA,NA,Tayacaja,PE0907,Huancavelica,PE09,Peru,Perú (el),PE,1437696000000,1594684800000,NA
27,Aczo,PE020302,NA,NA,NA,Antonio Raymondi,PE0203,Ancash,PE02,Peru,Perú (el),PE,1437696000000,1594684800000,NA
28,Agallpampa,PE130602,NA,NA,NA,Otuzco,PE1306,La Libertad,PE13,Peru,Perú (el),PE,1437696000000,1594684800000,NA
29,Agua Blanca,PE220302,NA,NA,NA,El Dorado,PE2203,San Martin,PE22,Peru,Perú (el),PE,1437696000000,1594684800000,NA
30,Aguas Verdes,PE240302,NA,NA,NA,Zarumilla,PE2403,Tumbes,PE24,Peru,Perú (el),PE,1437696000000,1594684800000,NA
31,Ahuac,PE120902,NA,NA,NA,Chupaca,PE1209,Junin,PE12,Peru,Perú (el),PE,1437696000000,1594684800000,NA
32,Ahuaycha,PE090704,NA,NA,NA,Tayacaja,PE0907,Huancavelica,PE09,Peru,Perú (el),PE,1437696000000,1594684800000,NA
33,Aija,PE020201,NA,NA,NA,Aija,PE0202,Ancash,PE02,Peru,Perú (el),PE,1437696000000,1594684800000,NA
34,Ajoyani,PE210302,NA,NA,NA,Carabaya,PE2103,Puno,PE21,Peru,Perú (el),PE,1437696000000,1594684800000,NA
35,Alberto Leveau,PE220902,NA,NA,NA,San Martin,PE2209,San Martin,PE22,Peru,Perú (el),PE,1437696000000,1594684800000,NA
36,Alca,PE040802,NA,NA,NA,La Union,PE0408,Arequipa,PE04,Peru,Perú (el),PE,1437696000000,1594684800000,NA
37,Alcamenca,PE051002,NA,NA,NA,Victor Fajardo,PE0510,Ayacucho,PE05,Peru,Perú (el),PE,1437696000000,1594684800000,NA
38,Alexander Von Humboldt,PE250305,NA,NA,NA,Padre Abad,PE2503,Ucayali,PE25,Peru,Perú (el),PE,1437696000000,1594684800000,NA
39,Alfonso Ugarte,PE021903,NA,NA,NA,Sihuas,PE0219,Ancash,PE02,Peru,Perú (el),PE,1437696000000,1594684800000,NA
40,Alis,PE151002,NA,NA,NA,Yauyos,PE1510,Lima,PE15,Peru,Perú (el),PE,1437696000000,1594684800000,NA
41,Allauca,PE151003,NA,NA,NA,Yauyos,PE1510,Lima,PE15,Peru,Perú (el),PE,1437696000000,1594684800000,NA
42,Alonso de Alvarado,PE220502,NA,NA,NA,Lamas,PE2205,San Martin,PE22,Peru,Perú (el),PE,1437696000000,1594684800000,NA
43,Alto Biavo,PE220202,NA,NA,NA,Bellavista,PE2202,San Martin,PE22,Peru,Perú (el),PE,1437696000000,1594684800000,NA
44,Alto de la Alianza,PE230102,NA,NA,NA,Tacna,PE2301,Tacna,PE23,Peru,Perú (el),PE,1437696000000,1594684800000,NA
45,Alto Inambari,PE211209,NA,NA,NA,Sandia,PE2112,Puno,PE21,Peru,Perú (el),PE,1437696000000,1594684800000,NA
46,Alto Laran,PE110202,NA,NA,NA,Chincha,PE1102,Ica,PE11,Peru,Perú (el),PE,1437696000000,1594684800000,NA
47,Alto Nanay,PE160102,NA,NA,NA,Maynas,PE1601,Loreto,PE16,Peru,Perú (el),PE,1437696000000,1594684800000,NA
48,Alto Pichigua,PE080808,NA,NA,NA,Espinar,PE0808,Cusco,PE08,Peru,Perú (el),PE,1437696000000,1594684800000,NA
49,Alto Saposoa,PE220402,NA,NA,NA,Huallaga,PE2204,San Martin,PE22,Peru,Perú (el),PE,1437696000000,1594684800000,NA
50,Alto Selva Alegre,PE040102,NA,NA,NA,Arequipa,PE0401,Arequipa,PE04,Peru,Perú (el),PE,1437696000000,1594684800000,NA
51,Alto Tapiche,PE160502,NA,NA,NA,Requena,PE1605,Loreto,PE16,Peru,Perú (el),PE,1437696000000,1594684800000,NA
52,Amantani,PE210103,NA,NA,NA,Puno,PE2101,Puno,PE21,Peru,Perú (el),PE,1437696000000,1594684800000,NA
53,Amarilis,PE100102,NA,NA,NA,Huanuco,PE1001,Huanuco,PE10,Peru,Perú (el),PE,1437696000000,1594684800000,NA
54,Amashca,PE020603,NA,NA,NA,Carhuaz,PE0206,Ancash,PE02,Peru,Perú (el),PE,1437696000000,1594684800000,NA
55,Ambar,PE150802,NA,NA,NA,Huaura,PE1508,Lima,PE15,Peru,Perú (el),PE,1437696000000,1594684800000,NA
56,Ambo,PE100201,NA,NA,NA,Ambo,PE1002,Huanuco,PE10,Peru,Perú (el),PE,1437696000000,1594684800000,NA
57,Amotape,PE200502,NA,NA,NA,Paita,PE2005,Piura,PE20,Peru,Perú (el),PE,1437696000000,1594684800000,NA
58,Ananea,PE211002,NA,NA,NA,San Antonio de Putina,PE2110,Puno,PE21,Peru,Perú (el),PE,1437696000000,1594684800000,NA
59,Anapia,PE211302,NA,NA,NA,Yunguyo,PE2113,Puno,PE21,Peru,Perú (el),PE,1437696000000,1594684800000,NA
60,Ancahuasi,PE080302,NA,NA,NA,Anta,PE0803,Cusco,PE08,Peru,Perú (el),PE,1437696000000,1594684800000,NA
61,Anchihuay,PE050510,NA,NA,NA,La Mar,PE0505,Ayacucho,PE05,Peru,Perú (el),PE,1437696000000,1594684800000,NA
62,Anchonga,PE090302,NA,NA,NA,Angaraes,PE0903,Huancavelica,PE09,Peru,Perú (el),PE,1437696000000,1594684800000,NA
63,Anco,PE050502,NA,NA,NA,La Mar,PE0505,Ayacucho,PE05,Peru,Perú (el),PE,1437696000000,1594684800000,NA
64,Anco,PE090502,NA,NA,NA,Churcampa,PE0905,Huancavelica,PE09,Peru,Perú (el),PE,1437696000000,1594684800000,NA
65,Anco-Huallo,PE030602,NA,NA,NA,Chincheros,PE0306,Apurimac,PE03,Peru,Perú (el),PE,1437696000000,1594684800000,NA
66,Ancon,PE150102,NA,NA,NA,Lima,PE1501,Lima,PE15,Peru,Perú (el),PE,1437696000000,1594684800000,NA
67,Andabamba,PE061302,NA,NA,NA,Santa Cruz,PE0613,Cajamarca,PE06,Peru,Perú (el),PE,1437696000000,1594684800000,NA
68,Andabamba,PE090202,NA,NA,NA,Acobamba,PE0902,Huancavelica,PE09,Peru,Perú (el),PE,1437696000000,1594684800000,NA
69,Andagua,PE040402,NA,NA,NA,Castilla,PE0404,Arequipa,PE04,Peru,Perú (el),PE,1437696000000,1594684800000,NA
70,Andahuaylas,PE030201,NA,NA,NA,Andahuaylas,PE0302,Apurimac,PE03,Peru,Perú (el),PE,1437696000000,1594684800000,NA
71,Andahuaylillas,PE081202,NA,NA,NA,Quispicanchi,PE0812,Cusco,PE08,Peru,Perú (el),PE,1437696000000,1594684800000,NA
72,Andajes,PE150902,NA,NA,NA,Oyon,PE1509,Lima,PE15,Peru,Perú (el),PE,1437696000000,1594684800000,NA
73,Andamarca,PE120203,NA,NA,NA,Concepcion,PE1202,Junin,PE12,Peru,Perú (el),PE,1437696000000,1594684800000,NA
74,Andarapa,PE030202,NA,NA,NA,Andahuaylas,PE0302,Apurimac,PE03,Peru,Perú (el),PE,1437696000000,1594684800000,NA
75,Andaray,PE040602,NA,NA,NA,Condesuyos,PE0406,Arequipa,PE04,Peru,Perú (el),PE,1437696000000,1594684800000,NA
76,Andaymarca,PE090720,NA,NA,NA,Tayacaja,PE0907,Huancavelica,PE09,Peru,Perú (el),PE,1437696000000,1594684800000,NA
77,Andoas,PE160706,NA,NA,NA,Datem del Marañon,PE1607,Loreto,PE16,Peru,Perú (el),PE,1437696000000,1594684800000,NA
78,Andres Avelino Caceres Dorregaray,PE050116,NA,NA,NA,Huamanga,PE0501,Ayacucho,PE05,Peru,Perú (el),PE,1437696000000,1594684800000,NA
79,Angasmarca,PE131002,NA,NA,NA,Santiago de Chuco,PE1310,La Libertad,PE13,Peru,Perú (el),PE,1437696000000,1594684800000,NA
80,Anguia,PE060402,NA,NA,NA,Chota,PE0604,Cajamarca,PE06,Peru,Perú (el),PE,1437696000000,1594684800000,NA
81,Anra,PE021002,NA,NA,NA,Huari,PE0210,Ancash,PE02,Peru,Perú (el),PE,1437696000000,1594684800000,NA
82,Anta,PE020604,NA,NA,NA,Carhuaz,PE0206,Ancash,PE02,Peru,Perú (el),PE,1437696000000,1594684800000,NA
83,Anta,PE080301,NA,NA,NA,Anta,PE0803,Cusco,PE08,Peru,Perú (el),PE,1437696000000,1594684800000,NA
84,Anta,PE090203,NA,NA,NA,Acobamba,PE0902,Huancavelica,PE09,Peru,Perú (el),PE,1437696000000,1594684800000,NA
85,Antabamba,PE030301,NA,NA,NA,Antabamba,PE0303,Apurimac,PE03,Peru,Perú (el),PE,1437696000000,1594684800000,NA
86,Antauta,PE210802,NA,NA,NA,Melgar,PE2108,Puno,PE21,Peru,Perú (el),PE,1437696000000,1594684800000,NA
87,Antioquia,PE150702,NA,NA,NA,Huarochiri,PE1507,Lima,PE15,Peru,Perú (el),PE,1437696000000,1594684800000,NA
88,Antonio Raymondi,PE020503,NA,NA,NA,Bolognesi,PE0205,Ancash,PE02,Peru,Perú (el),PE,1437696000000,1594684800000,NA
89,Aparicio Pomares,PE101104,NA,NA,NA,Yarowilca,PE1011,Huanuco,PE10,Peru,Perú (el),PE,1437696000000,1594684800000,NA
90,Apata,PE120403,NA,NA,NA,Jauja,PE1204,Junin,PE12,Peru,Perú (el),PE,1437696000000,1594684800000,NA
91,Aplao,PE040401,NA,NA,NA,Castilla,PE0404,Arequipa,PE04,Peru,Perú (el),PE,1437696000000,1594684800000,NA
92,Apongo,PE051003,NA,NA,NA,Victor Fajardo,PE0510,Ayacucho,PE05,Peru,Perú (el),PE,1437696000000,1594684800000,NA
93,Aquia,PE020504,NA,NA,NA,Bolognesi,PE0205,Ancash,PE02,Peru,Perú (el),PE,1437696000000,1594684800000,NA
94,Arahuay,PE150402,NA,NA,NA,Canta,PE1504,Lima,PE15,Peru,Perú (el),PE,1437696000000,1594684800000,NA
95,Aramango,PE010202,NA,NA,NA,Bagua,PE0102,Amazonas,PE01,Peru,Perú (el),PE,1437696000000,1594684800000,NA
96,Arancay,PE100502,NA,NA,NA,Huamalies,PE1005,Huanuco,PE10,Peru,Perú (el),PE,1437696000000,1594684800000,NA
97,Arapa,PE210203,NA,NA,NA,Azangaro,PE2102,Puno,PE21,Peru,Perú (el),PE,1437696000000,1594684800000,NA
98,Arenal,PE200503,NA,NA,NA,Paita,PE2005,Piura,PE20,Peru,Perú (el),PE,1437696000000,1594684800000,NA
99,Arequipa,PE040101,NA,NA,NA,Arequipa,PE0401,Arequipa,PE04,Peru,Perú (el),PE,1437696000000,1594684800000,NA
100,Arma,PE090402,NA,NA,NA,Castrovirreyna,PE0904,Huancavelica,PE09,Peru,Perú (el),PE,1437696000000,1594684800000,NA
101,Ascension,PE090118,NA,NA,NA,Huancavelica,PE0901,Huancavelica,PE09,Peru,Perú (el),PE,1437696000000,1594684800000,NA
102,Ascope,PE130201,NA,NA,NA,Ascope,PE1302,La Libertad,PE13,Peru,Perú (el),PE,1437696000000,1594684800000,NA
103,Asia,PE150502,NA,NA,NA,Cañete,PE1505,Lima,PE15,Peru,Perú (el),PE,1437696000000,1594684800000,NA
104,Asillo,PE210204,NA,NA,NA,Azangaro,PE2102,Puno,PE21,Peru,Perú (el),PE,1437696000000,1594684800000,NA
105,Asquipata,PE051004,NA,NA,NA,Victor Fajardo,PE0510,Ayacucho,PE05,Peru,Perú (el),PE,1437696000000,1594684800000,NA
106,Asuncion,PE010102,NA,NA,NA,Chachapoyas,PE0101,Amazonas,PE01,Peru,Perú (el),PE,1437696000000,1594684800000,NA
107,Asuncion,PE060102,NA,NA,NA,Cajamarca,PE0601,Cajamarca,PE06,Peru,Perú (el),PE,1437696000000,1594684800000,NA
108,Ataquero,PE020605,NA,NA,NA,Carhuaz,PE0206,Ancash,PE02,Peru,Perú (el),PE,1437696000000,1594684800000,NA
109,Ataura,PE120404,NA,NA,NA,Jauja,PE1204,Junin,PE12,Peru,Perú (el),PE,1437696000000,1594684800000,NA
110,Atavillos Alto,PE150602,NA,NA,NA,Huaral,PE1506,Lima,PE15,Peru,Perú (el),PE,1437696000000,1594684800000,NA
111,Atavillos Bajo,PE150603,NA,NA,NA,Huaral,PE1506,Lima,PE15,Peru,Perú (el),PE,1437696000000,1594684800000,NA
112,Ate,PE150103,NA,NA,NA,Lima,PE1501,Lima,PE15,Peru,Perú (el),PE,1437696000000,1594684800000,NA
113,Atico,PE040303,NA,NA,NA,Caraveli,PE0403,Arequipa,PE04,Peru,Perú (el),PE,1437696000000,1594684800000,NA
114,Atiquipa,PE040304,NA,NA,NA,Caraveli,PE0403,Arequipa,PE04,Peru,Perú (el),PE,1437696000000,1594684800000,NA
115,Atuncolla,PE210104,NA,NA,NA,Puno,PE2101,Puno,PE21,Peru,Perú (el),PE,1437696000000,1594684800000,NA
116,Aucallama,PE150604,NA,NA,NA,Huaral,PE1506,Lima,PE15,Peru,Perú (el),PE,1437696000000,1594684800000,NA
117,Aucara,PE050602,NA,NA,NA,Lucanas,PE0506,Ayacucho,PE05,Peru,Perú (el),PE,1437696000000,1594684800000,NA
118,Aurahua,PE090403,NA,NA,NA,Castrovirreyna,PE0904,Huancavelica,PE09,Peru,Perú (el),PE,1437696000000,1594684800000,NA
119,Awajun,PE220802,NA,NA,NA,Rioja,PE2208,San Martin,PE22,Peru,Perú (el),PE,1437696000000,1594684800000,NA
120,Ayabaca,PE200201,NA,NA,NA,Ayabaca,PE2002,Piura,PE20,Peru,Perú (el),PE,1437696000000,1594684800000,NA
121,Ayacucho,PE050101,NA,NA,NA,Huamanga,PE0501,Ayacucho,PE05,Peru,Perú (el),PE,1437696000000,1594684800000,NA
122,Ayahuanco,PE050402,NA,NA,NA,Huanta,PE0504,Ayacucho,PE05,Peru,Perú (el),PE,1437696000000,1594684800000,NA
123,Ayapata,PE210303,NA,NA,NA,Carabaya,PE2103,Puno,PE21,Peru,Perú (el),PE,1437696000000,1594684800000,NA
124,Ayavi,PE090602,NA,NA,NA,Huaytara,PE0906,Huancavelica,PE09,Peru,Perú (el),PE,1437696000000,1594684800000,NA
125,Ayaviri,PE151004,NA,NA,NA,Yauyos,PE1510,Lima,PE15,Peru,Perú (el),PE,1437696000000,1594684800000,NA
126,Ayaviri,PE210801,NA,NA,NA,Melgar,PE2108,Puno,PE21,Peru,Perú (el),PE,1437696000000,1594684800000,NA
127,Ayna,PE050503,NA,NA,NA,La Mar,PE0505,Ayacucho,PE05,Peru,Perú (el),PE,1437696000000,1594684800000,NA
128,Ayo,PE040403,NA,NA,NA,Castilla,PE0404,Arequipa,PE04,Peru,Perú (el),PE,1437696000000,1594684800000,NA
129,Azangaro,PE151005,NA,NA,NA,Yauyos,PE1510,Lima,PE15,Peru,Perú (el),PE,1437696000000,1594684800000,NA
130,Azangaro,PE210201,NA,NA,NA,Azangaro,PE2102,Puno,PE21,Peru,Perú (el),PE,1437696000000,1594684800000,NA
131,Bagua,PE010201,NA,NA,NA,Bagua,PE0102,Amazonas,PE01,Peru,Perú (el),PE,1437696000000,1594684800000,NA
132,Bagua Grande,PE010701,NA,NA,NA,Utcubamba,PE0107,Amazonas,PE01,Peru,Perú (el),PE,1437696000000,1594684800000,NA
133,Bajo Biavo,PE220203,NA,NA,NA,Bellavista,PE2202,San Martin,PE22,Peru,Perú (el),PE,1437696000000,1594684800000,NA
134,Balsapuerto,PE160202,NA,NA,NA,Alto Amazonas,PE1602,Loreto,PE16,Peru,Perú (el),PE,1437696000000,1594684800000,NA
135,Balsas,PE010103,NA,NA,NA,Chachapoyas,PE0101,Amazonas,PE01,Peru,Perú (el),PE,1437696000000,1594684800000,NA
136,Bambamarca,PE060701,NA,NA,NA,Hualgayoc,PE0607,Cajamarca,PE06,Peru,Perú (el),PE,1437696000000,1594684800000,NA
137,Bambamarca,PE130302,NA,NA,NA,Bolivar,PE1303,La Libertad,PE13,Peru,Perú (el),PE,1437696000000,1594684800000,NA
138,Bambas,PE020903,NA,NA,NA,Corongo,PE0209,Ancash,PE02,Peru,Perú (el),PE,1437696000000,1594684800000,NA
