OBJECTID,admin3Name_en,admin3Pcode,admin3RefName,admin3AltName1_en,admin3AltName2_en,admin2Name_en,admin2Pcode,admin1Name_en,admin1Pcode,admin0Name_en,admin0Pcode,date,validOn,validTo
1,Afore Rural LLG,PG060103,NA,NA,NA,Ijivitari District,PG0601,Northern (Oro) Province,PG06,Papua New Guinea,PG,1424736000000,1557273600000,NA
2,Agarabi Rural LLG,PG110418,NA,NA,NA,Kainanatu District,PG1104,Eastern Highlands Province,PG11,Papua New Guinea,PG,1424736000000,1557273600000,NA
3,Ahi Rural LLG,PG120515,NA,NA,NA,Lae District,PG1205,Morobe Province,PG12,Papua New Guinea,PG,1424736000000,1557273600000,NA
4,Aiya Rural LLG,PG070332,NA,NA,NA,Kagua/Erave District,PG0703,Southern Highlands Province,PG07,Papua New Guinea,PG,1424736000000,1557273600000,NA
5,Albiges/Mablep Rural LLG,PG140310,NA,NA,NA,Maprik District,PG1403,East Sepik Province,PG14,Papua New Guinea,PG,1424736000000,1557273600000,NA
6,Almami Rural LLG,PG130101,NA,NA,NA,Bogia District,PG1301,Madang Province,PG13,Papua New Guinea,PG,1424736000000,1557273600000,NA
7,Alotau Urban LLG,PG050107,NA,NA,NA,Alotau District,PG0501,Milne Bay Province,PG05,Papua New Guinea,PG,1424736000000,1557273600000,NA
8,Amanab Rural LLG,PG150412,NA,NA,NA,Vanimo/Green River District,PG1504,West Sepik (Sandaun) Province,PG15,Papua New Guinea,PG,1424736000000,1557273600000,NA
9,Amazon Bay Rural LLG,PG030101,NA,NA,NA,Abau District,PG0301,Central Province,PG03,Papua New Guinea,PG,1424736000000,1557273600000,NA
10,Ambenob Rural LLG,PG130204,NA,NA,NA,Madang District,PG1302,Madang Province,PG13,Papua New Guinea,PG,1424736000000,1557273600000,NA
11,Ambum Rural LLG,PG080203,NA,NA,NA,Kompiam District,PG0802,Enga Province,PG08,Papua New Guinea,PG,1424736000000,1557273600000,NA
12,Ambunti Rural LLG,PG140101,NA,NA,NA,Ambunti/Drekikier District,PG1401,East Sepik Province,PG14,Papua New Guinea,PG,1424736000000,1557273600000,NA
13,Anglimp Rural LLG,PG220101,NA,NA,NA,Anglimp/South Waghi District,PG2201,Jiwaka Province,PG22,Papua New Guinea,PG,1424736000000,1557273600000,NA
