OBJECTID,admin2Name_en,admin2Pcode,admin2RefName,admin2AltName1_en,admin2AltName2_en,admin1Name_en,admin1Pcode,admin0Name_en,admin0Pcode,date,validOn,validTo
1,Anak,KP0910,NA,NA,NA,South Hwanghae,KP09,Democratic People's Republic of Korea (the),KP,1356998400000,1561334400000,NA
2,Anbyon,KP0403,NA,NA,NA,Kangwon,KP04,Democratic People's Republic of Korea (the),KP,1356998400000,1561334400000,NA
3,Anju City,KP0703,NA,NA,NA,South Pyongan,KP07,Democratic People's Republic of Korea (the),KP,1356998400000,1561334400000,NA
4,Changdo,KP0408,NA,NA,NA,Kangwon,KP04,Democratic People's Republic of Korea (the),KP,1356998400000,1561334400000,NA
5,Changsong,KP0623,NA,NA,NA,North Pyongan,KP06,Democratic People's Republic of Korea (the),KP,1356998400000,1561334400000,NA
6,Chollima,KP1107,NA,NA,NA,Nampo,KP11,Democratic People's Republic of Korea (the),KP,1356998400000,1561334400000,NA
7,Cholsan,KP0608,NA,NA,NA,North Pyongan,KP06,Democratic People's Republic of Korea (the),KP,1356998400000,1561334400000,NA
8,Cholwon,KP0413,NA,NA,NA,Kangwon,KP04,Democratic People's Republic of Korea (the),KP,1356998400000,1561334400000,NA
9,Chongdan,KP0917,NA,NA,NA,South Hwanghae,KP09,Democratic People's Republic of Korea (the),KP,1356998400000,1561334400000,NA
10,Chongjin City,KP0205,NA,NA,NA,North Hamgyong,KP02,Democratic People's Republic of Korea (the),KP,1356998400000,1561334400000,NA
11,Chongnam,KP0726,NA,NA,NA,South Pyongan,KP07,Democratic People's Republic of Korea (the),KP,1356998400000,1561334400000,NA
12,Chonma,KP0619,NA,NA,NA,North Pyongan,KP06,Democratic People's Republic of Korea (the),KP,1356998400000,1561334400000,NA
13,Chonnae,KP0417,NA,NA,NA,Kangwon,KP04,Democratic People's Republic of Korea (the),KP,1356998400000,1561334400000,NA
14,Chosan,KP0513,NA,NA,NA,Jagang,KP05,Democratic People's Republic of Korea (the),KP,1356998400000,1561334400000,NA
15,Haeju City,KP0901,NA,NA,NA,South Hwanghae,KP09,Democratic People's Republic of Korea (the),KP,1356998400000,1561334400000,NA
16,Hamhung City,KP0307,NA,NA,NA,South Hamgyong,KP03,Democratic People's Republic of Korea (the),KP,1356998400000,1561334400000,NA
17,Hamju,KP0310,NA,NA,NA,South Hamgyong,KP03,Democratic People's Republic of Korea (the),KP,1356998400000,1561334400000,NA
18,Hochon,KP0324,NA,NA,NA,South Hamgyong,KP03,Democratic People's Republic of Korea (the),KP,1356998400000,1561334400000,NA
19,Hoechang,KP0723,NA,NA,NA,South Pyongan,KP07,Democratic People's Republic of Korea (the),KP,1356998400000,1561334400000,NA
20,Hoeryong City,KP0203,NA,NA,NA,North Hamgyong,KP02,Democratic People's Republic of Korea (the),KP,1356998400000,1561334400000,NA
21,Hoeyang,KP0410,NA,NA,NA,Kangwon,KP04,Democratic People's Republic of Korea (the),KP,1356998400000,1561334400000,NA
22,Hongwon,KP0320,NA,NA,NA,South Hamgyong,KP03,Democratic People's Republic of Korea (the),KP,1356998400000,1561334400000,NA
23,Huichon City,KP0503,NA,NA,NA,Jagang,KP05,Democratic People's Republic of Korea (the),KP,1356998400000,1561334400000,NA
24,Hwadae,KP0212,NA,NA,NA,North Hamgyong,KP02,Democratic People's Republic of Korea (the),KP,1356998400000,1561334400000,NA
25,Hwangju,KP0805,NA,NA,NA,North Hwanghae,KP08,Democratic People's Republic of Korea (the),KP,1356998400000,1561334400000,NA
26,Hwaphyong,KP0508,NA,NA,NA,Jagang,KP05,Democratic People's Republic of Korea (the),KP,1356998400000,1561334400000,NA
27,Hyangsan,KP0616,NA,NA,NA,North Pyongan,KP06,Democratic People's Republic of Korea (the),KP,1356998400000,1561334400000,NA
28,Hyesan City,KP0101,NA,NA,NA,Ryanggang,KP01,Democratic People's Republic of Korea (the),KP,1356998400000,1561334400000,NA
