OBJECTID,admin2Name_en,admin2Name_ar,admin2Pcode,admin2RefName,admin2AltName1_en,admin2AltName2_en,admin2AltName1_ar,admin2AltName2_ar,admin1Name_en,admin1Name_ar,admin1Pcode,admin0Name_en,admin0Name_ar,admin0Pcode,date,validOn,validTo
1,Abassiya,العباسية,SD07090,NA,NA,NA,NA,NA,South Kordofan,جنوب كردفان,SD07,Sudan (the),السودان‎,SD,1583884800000,1598832000000,NA
2,Abu Hamad,أبو حمد,SD16008,NA,NA,NA,NA,NA,River Nile,نهر النيل,SD16,Sudan (the),السودان‎,SD,1583884800000,1598832000000,NA
3,Abu Hujar,أبو حجار,SD14037,NA,NA,NA,NA,NA,Sennar,سنار,SD14,Sudan (the),السودان‎,SD,1583884800000,1598832000000,NA
4,Abu Jabrah,أبو جابرة,SD05140,NA,NA,NA,NA,NA,East Darfur,شرق دارفور,SD05,Sudan (the),السودان‎,SD,1583884800000,1598832000000,NA
5,Abu Jubayhah,أبو جبيهة,SD07088,NA,NA,NA,NA,NA,South Kordofan,جنوب كردفان,SD07,Sudan (the),السودان‎,SD,1583884800000,1598832000000,NA
6,Abu Karinka,أبو كارنكا,SD05155,NA,NA,NA,NA,NA,East Darfur,شرق دارفور,SD05,Sudan (the),السودان‎,SD,1583884800000,1598832000000,NA
7,Abu Kershola,أبو كرشولا,SD07104,NA,NA,NA,NA,NA,South Kordofan,جنوب كردفان,SD07,Sudan (the),السودان‎,SD,1583884800000,1598832000000,NA
8,Abu Zabad,أبو زبد,SD18028,NA,NA,NA,NA,NA,West Kordofan,غرب كردفان,SD18,Sudan (the),السودان‎,SD,1583884800000,1598832000000,NA
9,Abyei,أبيي,SD18087,NA,NA,NA,NA,NA,West Kordofan,غرب كردفان,SD18,Sudan (the),السودان‎,SD,1583884800000,1598832000000,NA
10,Abyei PCA area,إدارية أبيي,SD19001,NA,NA,NA,NA,NA,Abyei PCA,إدارية أبيي,SD19,Sudan (the),السودان‎,SD,1583884800000,1598832000000,NA
11,Ad Dabbah,الدبة,SD17019,NA,NA,NA,NA,NA,Northern,الشمالية,SD17,Sudan (the),السودان‎,SD,1583884800000,1598832000000,NA
12,Ad Dali,الدالي,SD14039,NA,NA,NA,NA,NA,Sennar,سنار,SD14,Sudan (the),السودان‎,SD,1583884800000,1598832000000,NA
13,Ad Damar,الدامر,SD16011,NA,NA,NA,NA,NA,River Nile,نهر النيل,SD16,Sudan (the),السودان‎,SD,1583884800000,1598832000000,NA
14,Ad Dinder,الدندر,SD14040,NA,NA,NA,NA,NA,Sennar,سنار,SD14,Sudan (the),السودان‎,SD,1583884800000,1598832000000,NA
15,Ad Diwaim,الدويم,SD09044,NA,NA,NA,NA,NA,White Nile,النيل الأبيض,SD09,Sudan (the),السودان‎,SD,1583884800000,1598832000000,NA
16,Ad Du'ayn,الضعين,SD05142,Ad Duayn,NA,NA,NA,NA,East Darfur,شرق دارفور,SD05,Sudan (the),السودان‎,SD,1583884800000,1598832000000,NA
17,Adila,عديلة,SD05139,NA,NA,NA,NA,NA,East Darfur,شرق دارفور,SD05,Sudan (the),السودان‎,SD,1583884800000,1598832000000,NA
18,Ag Geneina,الجنينة,SD04115,NA,NA,NA,NA,NA,West Darfur,غرب دارفور,SD04,Sudan (the),السودان‎,SD,1583884800000,1598832000000,NA
19,Agig,عقيق,SD10072,NA,NA,NA,NA,NA,Red Sea,البحر الأحمر,SD10,Sudan (the),السودان‎,SD,1583884800000,1598832000000,NA
20,Aj Jabalain,الجبلين,SD09051,NA,NA,NA,NA,NA,White Nile,النيل الأبيض,SD09,Sudan (the),السودان‎,SD,1583884800000,1598832000000,NA
21,Al Buhaira,البحيرة,SD16014,NA,NA,NA,NA,NA,River Nile,نهر النيل,SD16,Sudan (the),السودان‎,SD,1583884800000,1598832000000,NA
22,Al Buram,البرام,SD07099,NA,NA,NA,NA,NA,South Kordofan,جنوب كردفان,SD07,Sudan (the),السودان‎,SD,1583884800000,1598832000000,NA
23,Al Burgaig,البرقيق,SD17016,NA,NA,NA,NA,NA,Northern,الشمالية,SD17,Sudan (the),السودان‎,SD,1583884800000,1598832000000,NA
24,Al Butanah,البطانة,SD12073,NA,NA,NA,NA,NA,Gedaref,القضارف,SD12,Sudan (the),السودان‎,SD,1583884800000,1598832000000,NA
25,Al Dibab,الدبب,SD18103,NA,NA,NA,NA,NA,West Kordofan,غرب كردفان,SD18,Sudan (the),السودان‎,SD,1583884800000,1598832000000,NA
26,Al Fao,الفاو,SD12074,NA,NA,NA,NA,NA,Gedaref,القضارف,SD12,Sudan (the),السودان‎,SD,1583884800000,1598832000000,NA
27,Al Fashaga,الفشقة,SD12075,NA,NA,NA,NA,NA,Gedaref,القضارف,SD12,Sudan (the),السودان‎,SD,1583884800000,1598832000000,NA
28,Al Fasher,الفاشر,SD02114,NA,NA,NA,NA,NA,North Darfur,شمال دارفور,SD02,Sudan (the),السودان‎,SD,1583884800000,1598832000000,NA
29,Al Firdous,الفردوس,SD05152,NA,NA,NA,NA,NA,East Darfur,شرق دارفور,SD05,Sudan (the),السودان‎,SD,1583884800000,1598832000000,NA
30,Al Galabat Al Gharbyah - Kassab,القلابات الغربية - كساب,SD12078,NA,NA,NA,NA,NA,Gedaref,القضارف,SD12,Sudan (the),السودان‎,SD,1583884800000,1598832000000,NA
31,Al Ganab,القنب,SD10069,NA,NA,NA,NA,NA,Red Sea,البحر الأحمر,SD10,Sudan (the),السودان‎,SD,1583884800000,1598832000000,NA
32,Al Gitaina,القطينة,SD09050,NA,NA,NA,NA,NA,White Nile,النيل الأبيض,SD09,Sudan (the),السودان‎,SD,1583884800000,1598832000000,NA
33,Al Golid,القولد,SD17018,NA,NA,NA,NA,NA,Northern,الشمالية,SD17,Sudan (the),السودان‎,SD,1583884800000,1598832000000,NA
34,Al Hasahisa,الحصاحيصا,SD15034,NA,NA,NA,NA,NA,Aj Jazirah,الجزيرة,SD15,Sudan (the),السودان‎,SD,1583884800000,1598832000000,NA
35,Al Idia,الأضية,SD18104,NA,NA,NA,NA,NA,West Kordofan,غرب كردفان,SD18,Sudan (the),السودان‎,SD,1583884800000,1598832000000,NA
36,Al Kamlin,الكاملين,SD15035,NA,NA,NA,NA,NA,Aj Jazirah,الجزيرة,SD15,Sudan (the),السودان‎,SD,1583884800000,1598832000000,NA
37,Al Khiwai,الخوي,SD18105,NA,NA,NA,NA,NA,West Kordofan,غرب كردفان,SD18,Sudan (the),السودان‎,SD,1583884800000,1598832000000,NA
38,Al Koma,الكومة,SD02116,NA,NA,NA,NA,NA,North Darfur,شمال دارفور,SD02,Sudan (the),السودان‎,SD,1583884800000,1598832000000,NA
39,Al Kurmuk,الكرمك,SD08106,NA,NA,NA,NA,NA,Blue Nile,النيل الأزرق,SD08,Sudan (the),السودان‎,SD,1583884800000,1598832000000,NA
40,Al Lagowa,لقاوة,SD18102,NA,NA,NA,NA,NA,West Kordofan,غرب كردفان,SD18,Sudan (the),السودان‎,SD,1583884800000,1598832000000,NA
41,Al Lait,اللعيت,SD02169,NA,NA,NA,NA,NA,North Darfur,شمال دارفور,SD02,Sudan (the),السودان‎,SD,1583884800000,1598832000000,NA
42,Al Leri,الليري,SD07105,NA,NA,NA,NA,NA,South Kordofan,جنوب كردفان,SD07,Sudan (the),السودان‎,SD,1583884800000,1598832000000,NA
43,Al Mafaza,المفازة,SD12082,NA,NA,NA,NA,NA,Gedaref,القضارف,SD12,Sudan (the),السودان‎,SD,1583884800000,1598832000000,NA
44,Al Malha,المالحة,SD02117,NA,NA,NA,NA,NA,North Darfur,شمال دارفور,SD02,Sudan (the),السودان‎,SD,1583884800000,1598832000000,NA
45,Al Manaqil,المناقل,SD15036,NA,NA,NA,NA,NA,Aj Jazirah,الجزيرة,SD15,Sudan (the),السودان‎,SD,1583884800000,1598832000000,NA
46,Al Matama,المتمة,SD16009,NA,NA,NA,NA,NA,River Nile,نهر النيل,SD16,Sudan (the),السودان‎,SD,1583884800000,1598832000000,NA
47,Al Meiram,الميرم,SD18106,NA,NA,NA,NA,NA,West Kordofan,غرب كردفان,SD18,Sudan (the),السودان‎,SD,1583884800000,1598832000000,NA
48,Al Quoz,القوز,SD07094,NA,NA,NA,NA,NA,South Kordofan,جنوب كردفان,SD07,Sudan (the),السودان‎,SD,1583884800000,1598832000000,NA
49,Al Qurashi,القرشي,SD15037,NA,NA,NA,NA,NA,Aj Jazirah,الجزيرة,SD15,Sudan (the),السودان‎,SD,1583884800000,1598832000000,NA
50,Al Qureisha,القريشة,SD12076,NA,NA,NA,NA,NA,Gedaref,القضارف,SD12,Sudan (the),السودان‎,SD,1583884800000,1598832000000,NA
