OBJECTID,admin3Name_fr,admin3Pcode,admin3RefName,admin3AltName1_fr,admin3AltName2_fr,admin2Name_fr,admin2Pcode,admin1Name_fr,admin1Pcode,admin0Name_fr,admin0Pcode,date,validOn,validTo
1,Agnam Civol,SN090202,NA,NA,NA,Matam,SN0902,Matam,SN09,Senegal,SN,1501804800000,1556236800000,NA
2,Almadies,SN010101,NA,NA,NA,Dakar,SN0101,Dakar,SN01,Senegal,SN,1501804800000,1556236800000,NA
3,Baba Garage,SN020103,NA,NA,NA,Bambey,SN0201,Diourbel,SN02,Senegal,SN,1501804800000,1556236800000,NA
4,Bala,SN120203,NA,NA,NA,Goudiry,SN1202,Tambacounda,SN12,Senegal,SN,1501804800000,1556236800000,NA
5,Bamba Tialene,SN120302,NA,NA,NA,Koumpentoum,SN1203,Tambacounda,SN12,Senegal,SN,1501804800000,1556236800000,NA
6,Bandafassi,SN060101,NA,NA,NA,Kedougou,SN0601,Kedougou,SN06,Senegal,SN,1501804800000,1556236800000,NA
7,Barkedji,SN080203,NA,NA,NA,Linguere,SN0802,Louga,SN08,Senegal,SN,1501804800000,1556236800000,NA
8,Bellé,SN120103,Belle,NA,NA,Bakel,SN1201,Tambacounda,SN12,Senegal,SN,1501804800000,1556236800000,NA
9,Bembou,SN060302,NA,NA,NA,Saraya,SN0603,Kedougou,SN06,Senegal,SN,1501804800000,1556236800000,NA
10,Bogal,SN110102,NA,NA,NA,Bounkiling,SN1101,Sedhiou,SN11,Senegal,SN,1501804800000,1556236800000,NA
11,Bona,SN110101,NA,NA,NA,Bounkiling,SN1101,Sedhiou,SN11,Senegal,SN,1501804800000,1556236800000,NA
12,Bonconto,SN070301,NA,NA,NA,Velingara,SN0703,Kolda,SN07,Senegal,SN,1501804800000,1556236800000,NA
13,Bouinguel Bamba,SN120204,NA,NA,NA,Goudiry,SN1202,Tambacounda,SN12,Senegal,SN,1501804800000,1556236800000,NA
14,Cabrousse,SN140202,NA,NA,NA,Oussouye,SN1402,Ziguinchor,SN14,Senegal,SN,1501804800000,1556236800000,NA
15,Cas-Cas,SN100204,NA,NA,NA,Podor,SN1002,Saint Louis,SN10,Senegal,SN,1501804800000,1556236800000,NA
16,Colobane,SN030301,NA,NA,NA,Gossas,SN0303,Fatick,SN03,Senegal,SN,1501804800000,1556236800000,NA
17,Dakételi,SN060202,Daketeli,NA,NA,Salemata,SN0602,Kedougou,SN06,Senegal,SN,1501804800000,1556236800000,NA
18,Dar Salam,SN060201,NA,NA,NA,Salemata,SN0602,Kedougou,SN06,Senegal,SN,1501804800000,1556236800000,NA
19,Darou Minam 2,SN040401,NA,NA,NA,Malem Hodar,SN0404,Kaffrine,SN04,Senegal,SN,1501804800000,1556236800000,NA
20,Darou Mousty,SN080102,NA,NA,NA,Kebemer,SN0801,Louga,SN08,Senegal,SN,1501804800000,1556236800000,NA
21,Diakhao,SN030101,NA,NA,NA,Fatick,SN0301,Fatick,SN03,Senegal,SN,1501804800000,1556236800000,NA
22,Dianké Makan,SN120201,Dianke Makan,NA,NA,Goudiry,SN1202,Tambacounda,SN12,Senegal,SN,1501804800000,1556236800000,NA
23,Diaroumé,SN110103,Diaroume,NA,NA,Bounkiling,SN1101,Sedhiou,SN11,Senegal,SN,1501804800000,1556236800000,NA
24,Diendé,SN110301,Diende,NA,NA,Sedhiou,SN1103,Sedhiou,SN11,Senegal,SN,1501804800000,1556236800000,NA
25,Dioulakolon,SN070103,NA,NA,NA,Kolda,SN0701,Kolda,SN07,Senegal,SN,1501804800000,1556236800000,NA
26,Djibabouya,SN110302,NA,NA,NA,Sedhiou,SN1103,Sedhiou,SN11,Senegal,SN,1501804800000,1556236800000,NA
27,Djibanar,SN110202,NA,NA,NA,Goudomp,SN1102,Sedhiou,SN11,Senegal,SN,1501804800000,1556236800000,NA
28,Djilor,SN030201,NA,NA,NA,Foundiougne,SN0302,Fatick,SN03,Senegal,SN,1501804800000,1556236800000,NA
29,Djirédji,SN110303,Djiredji,NA,NA,Sedhiou,SN1103,Sedhiou,SN11,Senegal,SN,1501804800000,1556236800000,NA
30,Dodji,SN080204,NA,NA,NA,Linguere,SN0802,Louga,SN08,Senegal,SN,1501804800000,1556236800000,NA
31,Fafacourou,SN070203,NA,NA,NA,Medina Yoroufoula,SN0702,Kolda,SN07,Senegal,SN,1501804800000,1556236800000,NA
32,Fimla,SN030102,NA,NA,NA,Fatick,SN0301,Fatick,SN03,Senegal,SN,1501804800000,1556236800000,NA
33,Fissel,SN130103,NA,NA,NA,Mbour,SN1301,Thies,SN13,Senegal,SN,1501804800000,1556236800000,NA
34,Fongolembi,SN060102,NA,NA,NA,Kedougou,SN0601,Kedougou,SN06,Senegal,SN,1501804800000,1556236800000,NA
35,Gamadji Sarre,SN100201,NA,NA,NA,Podor,SN1002,Saint Louis,SN10,Senegal,SN,1501804800000,1556236800000,NA
36,Gniby,SN040201,NA,NA,NA,Kaffrine,SN0402,Kaffrine,SN04,Senegal,SN,1501804800000,1556236800000,NA
37,Grand Dakar,SN010102,NA,NA,NA,Dakar,SN0101,Dakar,SN01,Senegal,SN,1501804800000,1556236800000,NA
38,Guediawaye,SN010201,NA,NA,NA,Guediawaye,SN0102,Dakar,SN01,Senegal,SN,1501804800000,1556236800000,NA
39,Ida Mouride,SN040302,NA,NA,NA,Koungheul,SN0403,Kaffrine,SN04,Senegal,SN,1501804800000,1556236800000,NA
40,Kael,SN020303,NA,NA,NA,Mbacke,SN0203,Diourbel,SN02,Senegal,SN,1501804800000,1556236800000,NA
41,Karantaba,SN110203,NA,NA,NA,Goudomp,SN1102,Sedhiou,SN11,Senegal,SN,1501804800000,1556236800000,NA
42,Kataba1,SN140101,NA,NA,NA,Bignona,SN1401,Ziguinchor,SN14,Senegal,SN,1501804800000,1556236800000,NA
43,Katakel,SN040202,NA,NA,NA,Kaffrine,SN0402,Kaffrine,SN04,Senegal,SN,1501804800000,1556236800000,NA
44,Keur Mboucki,SN040102,NA,NA,NA,Birkelane,SN0401,Kaffrine,SN04,Senegal,SN,1501804800000,1556236800000,NA
45,Keur Momar Sarr,SN080301,NA,NA,NA,Louga,SN0803,Louga,SN08,Senegal,SN,1501804800000,1556236800000,NA
46,Keur Moussa,SN130201,NA,NA,NA,Thies,SN1302,Thies,SN13,Senegal,SN,1501804800000,1556236800000,NA
47,Kiniéba,SN120101,Kinieba,NA,NA,Bakel,SN1201,Tambacounda,SN12,Senegal,SN,1501804800000,1556236800000,NA
48,Koki,SN080302,NA,NA,NA,Louga,SN0803,Louga,SN08,Senegal,SN,1501804800000,1556236800000,NA
49,Koulor,SN120202,NA,NA,NA,Goudiry,SN1202,Tambacounda,SN12,Senegal,SN,1501804800000,1556236800000,NA
50,Koumbal,SN050202,NA,NA,NA,Kaolack,SN0502,Kaolack,SN05,Senegal,SN,1501804800000,1556236800000,NA
51,Koussanar,SN120403,NA,NA,NA,Tambacounda,SN1204,Tambacounda,SN12,Senegal,SN,1501804800000,1556236800000,NA
52,Koutiaba Wolof,SN120301,NA,NA,NA,Koumpentoum,SN1203,Tambacounda,SN12,Senegal,SN,1501804800000,1556236800000,NA
53,Lambaye,SN020101,NA,NA,NA,Bambey,SN0201,Diourbel,SN02,Senegal,SN,1501804800000,1556236800000,NA
54,Loudia Wolof,SN140201,NA,NA,NA,Oussouye,SN1402,Ziguinchor,SN14,Senegal,SN,1501804800000,1556236800000,NA
55,Lour Escale,SN040303,NA,NA,NA,Koungheul,SN0403,Kaffrine,SN04,Senegal,SN,1501804800000,1556236800000,NA
56,Mabo,SN040101,NA,NA,NA,Birkelane,SN0401,Kaffrine,SN04,Senegal,SN,1501804800000,1556236800000,NA
57,Makacoulibantang,SN120402,NA,NA,NA,Tambacounda,SN1204,Tambacounda,SN12,Senegal,SN,1501804800000,1556236800000,NA
58,Mampatim,SN070101,NA,NA,NA,Kolda,SN0701,Kolda,SN07,Senegal,SN,1501804800000,1556236800000,NA
59,Mbadakhoune,SN050101,NA,NA,NA,Guinguineo,SN0501,Kaolack,SN05,Senegal,SN,1501804800000,1556236800000,NA
60,Mbane,SN100102,NA,NA,NA,Dagana,SN1001,Saint Louis,SN10,Senegal,SN,1501804800000,1556236800000,NA
61,Mbediene,SN080303,NA,NA,NA,Louga,SN0803,Louga,SN08,Senegal,SN,1501804800000,1556236800000,NA
62,Medina Sabakh,SN050303,NA,NA,NA,Nioro Du Rip,SN0503,Kaolack,SN05,Senegal,SN,1501804800000,1556236800000,NA
63,Meouane,SN130303,NA,NA,NA,Tivaoune,SN1303,Thies,SN13,Senegal,SN,1501804800000,1556236800000,NA
64,Merina Dakhar,SN130304,NA,NA,NA,Tivaoune,SN1303,Thies,SN13,Senegal,SN,1501804800000,1556236800000,NA
65,Missira,SN120401,NA,NA,NA,Tambacounda,SN1204,Tambacounda,SN12,Senegal,SN,1501804800000,1556236800000,NA
66,Missira Wadene,SN040301,NA,NA,NA,Koungheul,SN0403,Kaffrine,SN04,Senegal,SN,1501804800000,1556236800000,NA
67,Moudéri,SN120102,Mouderi,NA,NA,Bakel,SN1201,Tambacounda,SN12,Senegal,SN,1501804800000,1556236800000,NA
68,Ndame,SN020301,NA,NA,NA,Mbacke,SN0203,Diourbel,SN02,Senegal,SN,1501804800000,1556236800000,NA
69,Ndande,SN080101,NA,NA,NA,Kebemer,SN0801,Louga,SN08,Senegal,SN,1501804800000,1556236800000,NA
70,Ndiaye,SN100101,NA,NA,NA,Dagana,SN1001,Saint Louis,SN10,Senegal,SN,1501804800000,1556236800000,NA
71,Ndiedieng,SN050203,NA,NA,NA,Kaolack,SN0502,Kaolack,SN05,Senegal,SN,1501804800000,1556236800000,NA
72,Ndindy,SN020202,NA,NA,NA,Diourbel,SN0202,Diourbel,SN02,Senegal,SN,1501804800000,1556236800000,NA
73,Ndorna,SN070201,NA,NA,NA,Medina Yoroufoula,SN0702,Kolda,SN07,Senegal,SN,1501804800000,1556236800000,NA
74,Ndoulo,SN020201,NA,NA,NA,Diourbel,SN0202,Diourbel,SN02,Senegal,SN,1501804800000,1556236800000,NA
75,Ngoye,SN020102,NA,NA,NA,Bambey,SN0201,Diourbel,SN02,Senegal,SN,1501804800000,1556236800000,NA
76,Nguelou,SN050102,NA,NA,NA,Guinguineo,SN0501,Kaolack,SN05,Senegal,SN,1501804800000,1556236800000,NA
77,Niaguis,SN140301,NA,NA,NA,Ziguinchor,SN1403,Ziguinchor,SN14,Senegal,SN,1501804800000,1556236800000,NA
78,Niakhar,SN030104,NA,NA,NA,Fatick,SN0301,Fatick,SN03,Senegal,SN,1501804800000,1556236800000,NA
79,Niakhene,SN130301,NA,NA,NA,Tivaoune,SN1303,Thies,SN13,Senegal,SN,1501804800000,1556236800000,NA
80,Nianing,SN070202,NA,NA,NA,Medina Yoroufoula,SN0702,Kolda,SN07,Senegal,SN,1501804800000,1556236800000,NA
81,Niassia,SN140302,NA,NA,NA,Ziguinchor,SN1403,Ziguinchor,SN14,Senegal,SN,1501804800000,1556236800000,NA
82,Niayes,SN010301,NA,NA,NA,Pikine,SN0103,Dakar,SN01,Senegal,SN,1501804800000,1556236800000,NA
83,Niodior,SN030203,NA,NA,NA,Foundiougne,SN0302,Fatick,SN03,Senegal,SN,1501804800000,1556236800000,NA
84,Noto,SN130203,NA,NA,NA,Thies,SN1302,Thies,SN13,Senegal,SN,1501804800000,1556236800000,NA
85,Ogo,SN090201,NA,NA,NA,Matam,SN0902,Matam,SN09,Senegal,SN,1501804800000,1556236800000,NA
86,Orkadiere,SN090102,NA,NA,NA,Kanel,SN0901,Matam,SN09,Senegal,SN,1501804800000,1556236800000,NA
87,Ouadiour,SN030302,NA,NA,NA,Gossas,SN0303,Fatick,SN03,Senegal,SN,1501804800000,1556236800000,NA
88,Pakour,SN070302,NA,NA,NA,Velingara,SN0703,Kolda,SN07,Senegal,SN,1501804800000,1556236800000,NA
89,Pambal,SN130302,NA,NA,NA,Tivaoune,SN1303,Thies,SN13,Senegal,SN,1501804800000,1556236800000,NA
90,Paoscoto,SN050301,NA,NA,NA,Nioro Du Rip,SN0503,Kaolack,SN05,Senegal,SN,1501804800000,1556236800000,NA
91,Parcelles Assainies,SN010103,NA,NA,NA,Dakar,SN0101,Dakar,SN01,Senegal,SN,1501804800000,1556236800000,NA
92,Pikine Dagoudane,SN010303,NA,NA,NA,Pikine,SN0103,Dakar,SN01,Senegal,SN,1501804800000,1556236800000,NA
93,Plateau,SN010104,NA,NA,NA,Dakar,SN0101,Dakar,SN01,Senegal,SN,1501804800000,1556236800000,NA
94,Rao,SN100301,NA,NA,NA,Saint Louis,SN1003,Saint Louis,SN10,Senegal,SN,1501804800000,1556236800000,NA
95,Rufisque Bargny,SN010402,NA,NA,NA,Rufisque,SN0104,Dakar,SN01,Senegal,SN,1501804800000,1556236800000,NA
96,Sabodala,SN060301,NA,NA,NA,Saraya,SN0603,Kedougou,SN06,Senegal,SN,1501804800000,1556236800000,NA
97,Sagata Djolof,SN080202,NA,NA,NA,Linguere,SN0802,Louga,SN08,Senegal,SN,1501804800000,1556236800000,NA
98,Sagatta Gueth,SN080103,NA,NA,NA,Kebemer,SN0801,Louga,SN08,Senegal,SN,1501804800000,1556236800000,NA
99,Sagna,SN040402,NA,NA,NA,Malem Hodar,SN0404,Kaffrine,SN04,Senegal,SN,1501804800000,1556236800000,NA
100,Sakal,SN080304,NA,NA,NA,Louga,SN0803,Louga,SN08,Senegal,SN,1501804800000,1556236800000,NA
101,Salde,SN100203,NA,NA,NA,Podor,SN1002,Saint Louis,SN10,Senegal,SN,1501804800000,1556236800000,NA
102,Sangalkam,SN010401,NA,NA,NA,Rufisque,SN0104,Dakar,SN01,Senegal,SN,1501804800000,1556236800000,NA
103,Saré Bidji,SN070102,Sare Bidji,NA,NA,Kolda,SN0701,Kolda,SN07,Senegal,SN,1501804800000,1556236800000,NA
104,Sare Coly Sallé,SN070303,Sare Coly Salle,NA,NA,Velingara,SN0703,Kolda,SN07,Senegal,SN,1501804800000,1556236800000,NA
105,Sessene,SN130101,NA,NA,NA,Mbour,SN1301,Thies,SN13,Senegal,SN,1501804800000,1556236800000,NA
106,Sibassoor/Ngothie,SN050201,NA,NA,NA,Kaolack,SN0502,Kaolack,SN05,Senegal,SN,1501804800000,1556236800000,NA
107,Simbandi Brassou,SN110201,NA,NA,NA,Goudomp,SN1102,Sedhiou,SN11,Senegal,SN,1501804800000,1556236800000,NA
108,Sindia,SN130102,NA,NA,NA,Mbour,SN1301,Thies,SN13,Senegal,SN,1501804800000,1556236800000,NA
109,Sindian,SN140104,NA,NA,NA,Bignona,SN1401,Ziguinchor,SN14,Senegal,SN,1501804800000,1556236800000,NA
110,Sinthiou Banambe/Wouro Sidy,SN090101,NA,NA,NA,Kanel,SN0901,Matam,SN09,Senegal,SN,1501804800000,1556236800000,NA
111,Taif,SN020302,NA,NA,NA,Mbacke,SN0203,Diourbel,SN02,Senegal,SN,1501804800000,1556236800000,NA
112,Tanghori,SN140102,NA,NA,NA,Bignona,SN1401,Ziguinchor,SN14,Senegal,SN,1501804800000,1556236800000,NA
113,Tattaguine,SN030103,NA,NA,NA,Fatick,SN0301,Fatick,SN03,Senegal,SN,1501804800000,1556236800000,NA
114,Tendouk,SN140103,NA,NA,NA,Bignona,SN1401,Ziguinchor,SN14,Senegal,SN,1501804800000,1556236800000,NA
115,Thiaroye,SN010302,NA,NA,NA,Pikine,SN0103,Dakar,SN01,Senegal,SN,1501804800000,1556236800000,NA
116,Thille Boubakar,SN100202,NA,NA,NA,Podor,SN1002,Saint Louis,SN10,Senegal,SN,1501804800000,1556236800000,NA
117,Tieneba,SN130202,NA,NA,NA,Thies,SN1302,Thies,SN13,Senegal,SN,1501804800000,1556236800000,NA
118,Toubakouta,SN030202,NA,NA,NA,Foundiougne,SN0302,Fatick,SN03,Senegal,SN,1501804800000,1556236800000,NA
119,Velingara,SN090301,NA,NA,NA,Ranerou,SN0903,Matam,SN09,Senegal,SN,1501804800000,1556236800000,NA
120,Wak Ngouna,SN050302,NA,NA,NA,Nioro Du Rip,SN0503,Kaolack,SN05,Senegal,SN,1501804800000,1556236800000,NA
121,Yang Yang,SN080201,NA,NA,NA,Linguere,SN0802,Louga,SN08,Senegal,SN,1501804800000,1556236800000,NA
