OBJECTID,admin3Name_en,admin3Pcode,admin3RefName,admin3AltName1_en,admin3AltName2_en,admin2Name_en,admin2Pcode,admin1Name_en,admin1Pcode,admin0Name_en,admin0Pcode,date,validOn,validTo
1,Yakemu Kpukumu,SL030412,Yakemu Kpukumu,NA,NA,Pujehun,SL0304,Southern,SL03,Sierra Leone,SL,1470009600000,1476662400000,NA
2,Koya,SL020412,Koya,NA,NA,Port Loko,SL0204,Northern,SL02,Sierra Leone,SL,1470009600000,1476662400000,NA
3,Bureh Kasseh Ma,SL020401,Bureh Kasseh Ma,NA,NA,Port Loko,SL0204,Northern,SL02,Sierra Leone,SL,1470009600000,1476662400000,NA
4,Panga Kabonde,SL030404,Panga Kabonde,NA,NA,Pujehun,SL0304,Southern,SL03,Sierra Leone,SL,1470009600000,1476662400000,NA
5,Galliness Perri,SL030402,Galliness Perri,NA,NA,Pujehun,SL0304,Southern,SL03,Sierra Leone,SL,1470009600000,1476662400000,NA
6,Kpaka,SL030403,Kpaka,NA,NA,Pujehun,SL0304,Southern,SL03,Sierra Leone,SL,1470009600000,1476662400000,NA
7,Bum,SL030202,Bum,NA,NA,Bonthe,SL0302,Southern,SL03,Sierra Leone,SL,1470009600000,1476662400000,NA
8,Komboya,SL030109,Komboya,NA,NA,Bo,SL0301,Southern,SL03,Sierra Leone,SL,1470009600000,1476662400000,NA
9,Valunia,SL030114,Valunia,NA,NA,Bo,SL0301,Southern,SL03,Sierra Leone,SL,1470009600000,1476662400000,NA
10,Barri,SL030401,Barri,NA,NA,Pujehun,SL0304,Southern,SL03,Sierra Leone,SL,1470009600000,1476662400000,NA
11,Buya Romende,SL020402,Buya Romende,NA,NA,Port Loko,SL0204,Northern,SL02,Sierra Leone,SL,1470009600000,1476662400000,NA
12,Bramaia,SL020201,Bramaia,NA,NA,Kambia,SL0202,Northern,SL02,Sierra Leone,SL,1470009600000,1476662400000,NA
13,Kpanda Kemo,SL030206,Kpanda Kemo,NA,NA,Bonthe,SL0302,Southern,SL03,Sierra Leone,SL,1470009600000,1476662400000,NA
14,Kwamebai Krim,SL030207,Kwamebai Krim,NA,NA,Bonthe,SL0302,Southern,SL03,Sierra Leone,SL,1470009600000,1476662400000,NA
15,Nongoba Bullom,SL030208,Nongoba Bullom,NA,NA,Bonthe,SL0302,Southern,SL03,Sierra Leone,SL,1470009600000,1476662400000,NA
16,Sittia,SL030209,Sittia,NA,NA,Bonthe,SL0302,Southern,SL03,Sierra Leone,SL,1470009600000,1476662400000,NA
17,Makpele,SL030405,Makpele,NA,NA,Pujehun,SL0304,Southern,SL03,Sierra Leone,SL,1470009600000,1476662400000,NA
18,Malen,SL030406,Malen,NA,NA,Pujehun,SL0304,Southern,SL03,Sierra Leone,SL,1470009600000,1476662400000,NA
19,Mono Sakrim,SL030407,Mono Sakrim,NA,NA,Pujehun,SL0304,Southern,SL03,Sierra Leone,SL,1470009600000,1476662400000,NA
20,Sowa,SL030411,Sowa,NA,NA,Pujehun,SL0304,Southern,SL03,Sierra Leone,SL,1470009600000,1476662400000,NA
21,Panga krim,SL030408,Panga krim,NA,NA,Pujehun,SL0304,Southern,SL03,Sierra Leone,SL,1470009600000,1476662400000,NA
22,Penguia,SL010112,Penguia,NA,NA,Kailahun,SL0101,Eastern,SL01,Sierra Leone,SL,1470009600000,1476662400000,NA
23,Pejeh(Futa peje,SL030409,Pejeh(Futa peje,NA,NA,Pujehun,SL0304,Southern,SL03,Sierra Leone,SL,1470009600000,1476662400000,NA
24,Soro Gbema,SL030410,Soro Gbema,NA,NA,Pujehun,SL0304,Southern,SL03,Sierra Leone,SL,1470009600000,1476662400000,NA
25,Bendu-Cha,SL030201,Bendu-Cha,NA,NA,Bonthe,SL0302,Southern,SL03,Sierra Leone,SL,1470009600000,1476662400000,NA
26,Sulima,SL020309,Sulima,NA,NA,Koinadugu,SL0203,Northern,SL02,Sierra Leone,SL,1470009600000,1476662400000,NA
27,Dema,SL030203,Dema,NA,NA,Bonthe,SL0302,Southern,SL03,Sierra Leone,SL,1470009600000,1476662400000,NA
28,Imperri,SL030204,Imperri,NA,NA,Bonthe,SL0302,Southern,SL03,Sierra Leone,SL,1470009600000,1476662400000,NA
29,Jong,SL030205,Jong,NA,NA,Bonthe,SL0302,Southern,SL03,Sierra Leone,SL,1470009600000,1476662400000,NA
30,Sanda Loko,SL020110,Sanda Loko,NA,NA,Bombali,SL0201,Northern,SL02,Sierra Leone,SL,1470009600000,1476662400000,NA
31,Sogbeni,SL030210,Sogbeni,NA,NA,Bonthe,SL0302,Southern,SL03,Sierra Leone,SL,1470009600000,1476662400000,NA
32,Yawbeko,SL030211,Yawbeko,NA,NA,Bonthe,SL0302,Southern,SL03,Sierra Leone,SL,1470009600000,1476662400000,NA
