OBJECTID,admin2Name_es,admin2Pcode,admin2RefName,admin2AltName1_es,admin2AltName2_es,admin1Name_es,admin1Pcode,admin0Name_es,admin0Pcode,date,validOn,validTo
1,Ahuachapán,SV0101,Ahuachapan,NA,NA,Ahuachapán,SV01,El Salvador,SV,1590710400000,1612396800000,NA
2,Apaneca,SV0102,NA,NA,NA,Ahuachapán,SV01,El Salvador,SV,1590710400000,1612396800000,NA
3,Atiquizaya,SV0103,NA,NA,NA,Ahuachapán,SV01,El Salvador,SV,1590710400000,1612396800000,NA
4,Concepción de Ataco,SV0104,Concepcion de Ataco,NA,NA,Ahuachapán,SV01,El Salvador,SV,1590710400000,1612396800000,NA
5,El Refugio,SV0105,NA,NA,NA,Ahuachapán,SV01,El Salvador,SV,1590710400000,1612396800000,NA
6,Guaymango,SV0106,NA,NA,NA,Ahuachapán,SV01,El Salvador,SV,1590710400000,1612396800000,NA
7,Jujutla,SV0107,NA,NA,NA,Ahuachapán,SV01,El Salvador,SV,1590710400000,1612396800000,NA
8,San Francisco Menéndez,SV0108,San Francisco Menendez,NA,NA,Ahuachapán,SV01,El Salvador,SV,1590710400000,1612396800000,NA
9,San Lorenzo,SV0109,NA,NA,NA,Ahuachapán,SV01,El Salvador,SV,1590710400000,1612396800000,NA
10,San Pedro Puxtla,SV0110,NA,NA,NA,Ahuachapán,SV01,El Salvador,SV,1590710400000,1612396800000,NA
11,Tacuba,SV0111,NA,NA,NA,Ahuachapán,SV01,El Salvador,SV,1590710400000,1612396800000,NA
12,Turín,SV0112,Turin,NA,NA,Ahuachapán,SV01,El Salvador,SV,1590710400000,1612396800000,NA
13,Cinquera,SV0201,NA,NA,NA,Cabañas,SV02,El Salvador,SV,1590710400000,1612396800000,NA
14,Dolores,SV0209,NA,NA,NA,Cabañas,SV02,El Salvador,SV,1590710400000,1612396800000,NA
15,Guacotecti,SV0202,NA,NA,NA,Cabañas,SV02,El Salvador,SV,1590710400000,1612396800000,NA
16,Ilobasco,SV0203,NA,NA,NA,Cabañas,SV02,El Salvador,SV,1590710400000,1612396800000,NA
17,Jutiapa,SV0204,NA,NA,NA,Cabañas,SV02,El Salvador,SV,1590710400000,1612396800000,NA
18,San Isidro,SV0205,NA,NA,NA,Cabañas,SV02,El Salvador,SV,1590710400000,1612396800000,NA
19,Sensuntepeque,SV0206,NA,NA,NA,Cabañas,SV02,El Salvador,SV,1590710400000,1612396800000,NA
20,Tejutepeque,SV0207,NA,NA,NA,Cabañas,SV02,El Salvador,SV,1590710400000,1612396800000,NA
21,Victoria,SV0208,NA,NA,NA,Cabañas,SV02,El Salvador,SV,1590710400000,1612396800000,NA
22,Agua Caliente,SV0301,NA,NA,NA,Chalatenango,SV03,El Salvador,SV,1590710400000,1612396800000,NA
23,Arcatao,SV0302,NA,NA,NA,Chalatenango,SV03,El Salvador,SV,1590710400000,1612396800000,NA
24,Azacualpa,SV0303,NA,NA,NA,Chalatenango,SV03,El Salvador,SV,1590710400000,1612396800000,NA
25,Chalatenango,SV0307,NA,NA,NA,Chalatenango,SV03,El Salvador,SV,1590710400000,1612396800000,NA
