OBJECTID,admin1Name_en,admin1Pcode,admin1RefName,admin1AltName1_en,admin1AltName2_en,admin0Name_en,admin0Pcode,date,validOn,validTo
1,Awdal,SO11,Awdal,NA,NA,Somalia,SO,1402012800000,1491350400000,NA
2,Bakool,SO25,Bakool,NA,NA,Somalia,SO,1402012800000,1491350400000,NA
3,Banadir,SO22,Banadir,Banaadir,NA,Somalia,SO,1402012800000,1491350400000,NA
4,Bari,SO16,Bari,NA,NA,Somalia,SO,1402012800000,1491350400000,NA
5,Bay,SO24,Bay,NA,NA,Somalia,SO,1402012800000,1491350400000,NA
6,Galgaduud,SO19,Galgaduud,Galgadud,NA,Somalia,SO,1402012800000,1491350400000,NA
7,Gedo,SO26,Gedo,NA,NA,Somalia,SO,1402012800000,1491350400000,NA
8,Hiraan,SO20,Hiraan,Hiiraan,NA,Somalia,SO,1402012800000,1491350400000,NA
9,Middle Juba,SO27,Middle Juba,Jubbada Dhexe,NA,Somalia,SO,1402012800000,1491350400000,NA
10,Lower Juba,SO28,Lower Juba,Jubbada Hoose,NA,Somalia,SO,1402012800000,1491350400000,NA
11,Mudug,SO18,Mudug,NA,NA,Somalia,SO,1402012800000,1491350400000,NA
12,Nugaal,SO17,Nugaal,Nugal,NA,Somalia,SO,1402012800000,1491350400000,NA
13,Sanaag,SO15,Sanaag,Sanag,NA,Somalia,SO,1402012800000,1491350400000,NA
14,Middle Shabelle,SO21,Middle Shabelle,Shabeellaha Dhexe,NA,Somalia,SO,1402012800000,1491350400000,NA
15,Lower Shabelle,SO23,Lower Shabelle,Shabeellaha Hoose,NA,Somalia,SO,1402012800000,1491350400000,NA
16,Sool,SO14,Sool,NA,NA,Somalia,SO,1402012800000,1491350400000,NA
17,Togdheer,SO13,Togdheer,Tog-dheer,NA,Somalia,SO,1402012800000,1491350400000,NA
18,Woqooyi Galbeed,SO12,Woqooyi Galbeed,West Galbeed,NA,Somalia,SO,1402012800000,1491350400000,NA
