OBJECTID,admin2Name_en,admin2Pcode,admin2RefName,admin2AltName1_en,admin2AltName2_en,admin1Name_en,admin1Pcode,admin0Name_en,admin0Pcode,date,validOn,ValidTo
1,Juba,SS0101,NA,NA,NA,Central Equatoria,SS01,South Sudan,SS,1534291200000,1534464000000,1625011200000
2,Kajo-keji,SS0102,NA,NA,NA,Central Equatoria,SS01,South Sudan,SS,1534291200000,1534464000000,1625011200000
3,Lainya,SS0103,NA,NA,NA,Central Equatoria,SS01,South Sudan,SS,1534291200000,1534464000000,1625011200000
4,Morobo,SS0104,NA,NA,NA,Central Equatoria,SS01,South Sudan,SS,1534291200000,1534464000000,1625011200000
5,Terekeka,SS0105,NA,Terkeka,NA,Central Equatoria,SS01,South Sudan,SS,1534291200000,1534464000000,1625011200000
6,Yei,SS0106,NA,NA,NA,Central Equatoria,SS01,South Sudan,SS,1534291200000,1534464000000,1625011200000
7,Budi,SS0201,NA,NA,NA,Eastern Equatoria,SS02,South Sudan,SS,1534291200000,1534464000000,1625011200000
8,Ikotos,SS0202,NA,Ikwoto,NA,Eastern Equatoria,SS02,South Sudan,SS,1534291200000,1534464000000,1625011200000
9,Kapoeta East,SS0203,NA,NA,NA,Eastern Equatoria,SS02,South Sudan,SS,1534291200000,1534464000000,1625011200000
10,Kapoeta North,SS0204,NA,NA,NA,Eastern Equatoria,SS02,South Sudan,SS,1534291200000,1534464000000,1625011200000
11,Kapoeta South,SS0205,NA,NA,NA,Eastern Equatoria,SS02,South Sudan,SS,1534291200000,1534464000000,1625011200000
12,Lafon,SS0206,NA,Lopa,Lapon,Eastern Equatoria,SS02,South Sudan,SS,1534291200000,1534464000000,1625011200000
13,Magwi,SS0207,NA,NA,NA,Eastern Equatoria,SS02,South Sudan,SS,1534291200000,1534464000000,1625011200000
14,Torit,SS0208,NA,NA,NA,Eastern Equatoria,SS02,South Sudan,SS,1534291200000,1534464000000,1625011200000
15,Akobo,SS0301,NA,NA,NA,Jonglei,SS03,South Sudan,SS,1534291200000,1534464000000,1625011200000
16,Ayod,SS0302,NA,NA,NA,Jonglei,SS03,South Sudan,SS,1534291200000,1534464000000,1625011200000
17,Bor South,SS0303,NA,NA,NA,Jonglei,SS03,South Sudan,SS,1534291200000,1534464000000,1625011200000
18,Canal/Pigi,SS0304,NA,Khorflus,Khorfulus,Jonglei,SS03,South Sudan,SS,1534291200000,1534464000000,1625011200000
19,Duk,SS0305,NA,NA,NA,Jonglei,SS03,South Sudan,SS,1534291200000,1534464000000,1625011200000
