OBJECTID,admin2Name_en,admin2Name_ar,admin2Pcode,admin2RefName,admin2AltName1_en,admin2AltName2_en,admin2AltName1_ar,admin2AltName2_ar,admin1Name_en,admin1Name_ar,admin1Pcode,admin0Name_en,admin0Name_ar,admin0Pcode,date,validOn,validTo
1,A'zaz,اعزاز,SY0204,Azaz,NA,NA,NA,NA,Aleppo,حلب,SY02,Syrian Arab Republic,الجمهورية العربية السورية,SY,1496275200000,1608163200000,NA
2,Abu Kamal,البوكمال,SY0902,NA,NA,NA,NA,NA,Deir-ez-Zor,دير الزور,SY09,Syrian Arab Republic,الجمهورية العربية السورية,SY,1496275200000,1608163200000,NA
3,Afrin,عفرين,SY0203,NA,NA,NA,NA,NA,Aleppo,حلب,SY02,Syrian Arab Republic,الجمهورية العربية السورية,SY,1496275200000,1608163200000,NA
4,Ain Al Arab,عين العرب,SY0206,NA,NA,NA,NA,NA,Aleppo,حلب,SY02,Syrian Arab Republic,الجمهورية العربية السورية,SY,1496275200000,1608163200000,NA
5,Al-Haffa,الحفة,SY0603,NA,NA,NA,NA,NA,Lattakia,اللاذقية,SY06,Syrian Arab Republic,الجمهورية العربية السورية,SY,1496275200000,1608163200000,NA
6,Al-Hasakeh,مركز الحسكة,SY0800,NA,NA,NA,NA,NA,Al-Hasakeh,الحسكة,SY08,Syrian Arab Republic,الجمهورية العربية السورية,SY,1496275200000,1608163200000,NA
7,Al-Malikeyyeh,المالكية,SY0803,NA,NA,NA,NA,NA,Al-Hasakeh,الحسكة,SY08,Syrian Arab Republic,الجمهورية العربية السورية,SY,1496275200000,1608163200000,NA
8,Al-Qardaha,القرداحة,SY0604,NA,NA,NA,NA,NA,Lattakia,اللاذقية,SY06,Syrian Arab Republic,الجمهورية العربية السورية,SY,1496275200000,1608163200000,NA
9,Al-Qusayr,القصير,SY0402,NA,NA,NA,NA,NA,Homs,حمص,SY04,Syrian Arab Republic,الجمهورية العربية السورية,SY,1496275200000,1608163200000,NA
10,Al Bab,الباب,SY0202,NA,NA,NA,NA,NA,Aleppo,حلب,SY02,Syrian Arab Republic,الجمهورية العربية السورية,SY,1496275200000,1608163200000,NA
11,Al Fiq,فيق,SY1402,NA,NA,NA,NA,NA,Quneitra,القنيطرة,SY14,Syrian Arab Republic,الجمهورية العربية السورية,SY,1496275200000,1608163200000,NA
12,Al Ma'ra,معرة النعمان,SY0702,Al Mara,NA,NA,NA,NA,Idleb,إدلب,SY07,Syrian Arab Republic,الجمهورية العربية السورية,SY,1496275200000,1608163200000,NA
13,Al Makhrim,المخرم,SY0406,NA,NA,NA,NA,NA,Homs,حمص,SY04,Syrian Arab Republic,الجمهورية العربية السورية,SY,1496275200000,1608163200000,NA
14,Al Mayadin,الميادين,SY0903,NA,NA,NA,NA,NA,Deir-ez-Zor,دير الزور,SY09,Syrian Arab Republic,الجمهورية العربية السورية,SY,1496275200000,1608163200000,NA
15,Al Qutayfah,القطيفة,SY0303,NA,NA,NA,NA,NA,Rural Damascus,ريف دمشق,SY03,Syrian Arab Republic,الجمهورية العربية السورية,SY,1496275200000,1608163200000,NA
16,An Nabk,النبك,SY0306,NA,NA,NA,NA,NA,Rural Damascus,ريف دمشق,SY03,Syrian Arab Republic,الجمهورية العربية السورية,SY,1496275200000,1608163200000,NA
17,Ar-Raqqa,مركز الرقة,SY1101,NA,NA,NA,NA,NA,Ar-Raqqa,الرقة,SY11,Syrian Arab Republic,الجمهورية العربية السورية,SY,1496275200000,1608163200000,NA
18,Ar-Rastan,الرستن,SY0404,NA,NA,NA,NA,NA,Homs,حمص,SY04,Syrian Arab Republic,الجمهورية العربية السورية,SY,1496275200000,1608163200000,NA
19,Ariha,أريحا,SY0705,NA,NA,NA,NA,NA,Idleb,إدلب,SY07,Syrian Arab Republic,الجمهورية العربية السورية,SY,1496275200000,1608163200000,NA
20,As-Safira,السفيرة,SY0207,NA,NA,NA,NA,NA,Aleppo,حلب,SY02,Syrian Arab Republic,الجمهورية العربية السورية,SY,1496275200000,1608163200000,NA
21,As-Salamiyeh,السلمية,SY0503,NA,NA,NA,NA,NA,Hama,حماة,SY05,Syrian Arab Republic,الجمهورية العربية السورية,SY,1496275200000,1608163200000,NA
22,As-Sanamayn,الصنمين,SY1202,NA,NA,NA,NA,NA,Dar'a,درعا,SY12,Syrian Arab Republic,الجمهورية العربية السورية,SY,1496275200000,1608163200000,NA
23,As-Suqaylabiyah,السقيلبية,SY0502,NA,NA,NA,NA,NA,Hama,حماة,SY05,Syrian Arab Republic,الجمهورية العربية السورية,SY,1496275200000,1608163200000,NA
24,As-Sweida,مركز السويداء,SY1300,NA,NA,NA,NA,NA,As-Sweida,السويداء,SY13,Syrian Arab Republic,الجمهورية العربية السورية,SY,1496275200000,1608163200000,NA
25,At Tall,التل,SY0304,NA,NA,NA,NA,NA,Rural Damascus,ريف دمشق,SY03,Syrian Arab Republic,الجمهورية العربية السورية,SY,1496275200000,1608163200000,NA
26,Ath-Thawrah,الثورة,SY1103,NA,NA,NA,NA,NA,Ar-Raqqa,الرقة,SY11,Syrian Arab Republic,الجمهورية العربية السورية,SY,1496275200000,1608163200000,NA
27,Az-Zabdani,الزبداني,SY0307,NA,NA,NA,NA,NA,Rural Damascus,ريف دمشق,SY03,Syrian Arab Republic,الجمهورية العربية السورية,SY,1496275200000,1608163200000,NA
28,Banyas,بانياس,SY1002,NA,NA,NA,NA,NA,Tartous,طرطوس,SY10,Syrian Arab Republic,الجمهورية العربية السورية,SY,1496275200000,1608163200000,NA
29,Damascus,دمشق,SY0100,NA,NA,NA,NA,NA,Damascus,دمشق,SY01,Syrian Arab Republic,الجمهورية العربية السورية,SY,1496275200000,1608163200000,NA
30,Dar'a,درعا,SY1200,Dara,NA,NA,NA,NA,Dar'a,درعا,SY12,Syrian Arab Republic,الجمهورية العربية السورية,SY,1496275200000,1608163200000,NA
31,Darayya,داريا,SY0309,NA,NA,NA,NA,NA,Rural Damascus,ريف دمشق,SY03,Syrian Arab Republic,الجمهورية العربية السورية,SY,1496275200000,1608163200000,NA
32,Deir-ez-Zor,مركز دير الزور,SY0901,NA,NA,NA,NA,NA,Deir-ez-Zor,دير الزور,SY09,Syrian Arab Republic,الجمهورية العربية السورية,SY,1496275200000,1608163200000,NA
33,Dreikish,دريكيش,SY1004,NA,NA,NA,NA,NA,Tartous,طرطوس,SY10,Syrian Arab Republic,الجمهورية العربية السورية,SY,1496275200000,1608163200000,NA
34,Duma,دوما,SY0302,NA,NA,NA,NA,NA,Rural Damascus,ريف دمشق,SY03,Syrian Arab Republic,الجمهورية العربية السورية,SY,1496275200000,1608163200000,NA
35,Hama,مركز حماة,SY0501,NA,NA,NA,NA,NA,Hama,حماة,SY05,Syrian Arab Republic,الجمهورية العربية السورية,SY,1496275200000,1608163200000,NA
36,Harim,حارم,SY0703,NA,NA,NA,NA,NA,Idleb,إدلب,SY07,Syrian Arab Republic,الجمهورية العربية السورية,SY,1496275200000,1608163200000,NA
37,Homs,مركز حمص,SY0401,NA,NA,NA,NA,NA,Homs,حمص,SY04,Syrian Arab Republic,الجمهورية العربية السورية,SY,1496275200000,1608163200000,NA
38,Idleb,مركز إدلب,SY0700,NA,NA,NA,NA,NA,Idleb,إدلب,SY07,Syrian Arab Republic,الجمهورية العربية السورية,SY,1496275200000,1608163200000,NA
39,Izra',ازرع,SY1203,Izra,NA,NA,NA,NA,Dar'a,درعا,SY12,Syrian Arab Republic,الجمهورية العربية السورية,SY,1496275200000,1608163200000,NA
40,Jablah,جبلة,SY0602,NA,NA,NA,NA,NA,Lattakia,اللاذقية,SY06,Syrian Arab Republic,الجمهورية العربية السورية,SY,1496275200000,1608163200000,NA
41,Jarablus,جرابلس,SY0208,NA,NA,NA,NA,NA,Aleppo,حلب,SY02,Syrian Arab Republic,الجمهورية العربية السورية,SY,1496275200000,1608163200000,NA
42,Jebel Saman,جبل سمعان,SY0200,NA,NA,NA,NA,NA,Aleppo,حلب,SY02,Syrian Arab Republic,الجمهورية العربية السورية,SY,1496275200000,1608163200000,NA
43,Jisr-Ash-Shugur,جسر الشغور,SY0704,NA,NA,NA,NA,NA,Idleb,إدلب,SY07,Syrian Arab Republic,الجمهورية العربية السورية,SY,1496275200000,1608163200000,NA
44,Lattakia,مركز اللاذقية,SY0600,NA,NA,NA,NA,NA,Lattakia,اللاذقية,SY06,Syrian Arab Republic,الجمهورية العربية السورية,SY,1496275200000,1608163200000,NA
45,Masyaf,مصياف,SY0504,NA,NA,NA,NA,NA,Hama,حماة,SY05,Syrian Arab Republic,الجمهورية العربية السورية,SY,1496275200000,1608163200000,NA
46,Menbij,منبج,SY0205,NA,NA,NA,NA,NA,Aleppo,حلب,SY02,Syrian Arab Republic,الجمهورية العربية السورية,SY,1496275200000,1608163200000,NA
47,Muhradah,محردة,SY0505,NA,NA,NA,NA,NA,Hama,حماة,SY05,Syrian Arab Republic,الجمهورية العربية السورية,SY,1496275200000,1608163200000,NA
48,Qadmous,القدموس,SY1006,NA,NA,NA,NA,NA,Tartous,طرطوس,SY10,Syrian Arab Republic,الجمهورية العربية السورية,SY,1496275200000,1608163200000,NA
