OBJECTID,admin2Name_fr,admin2Pcode,admin2RefName,admin2Name_MAJ,admin2AltName1_fr,admin2AltName2_fr,admin1Name_fr,admin1Pcode,admin0Name_fr,admin0Pcode,date,validOn,ValidTo
1,Batha Ouest,TD0101,Batha Ouest,BATHA OUEST,NA,NA,Batha,TD01,Tchad,TD,1459987200000,1497484800000,NA
2,Batha Est,TD0102,Batha Est,BATHA EST,NA,NA,Batha,TD01,Tchad,TD,1459987200000,1497484800000,NA
3,Fitri,TD0103,Fitri,FITRI,NA,NA,Batha,TD01,Tchad,TD,1459987200000,1497484800000,NA
4,Borkou,TD0201,Borkou,BORKOU,NA,NA,Borkou,TD02,Tchad,TD,1459987200000,1497484800000,NA
5,Baguirmi,TD0301,Baguirmi,BAGUIRMI,NA,NA,Chari-Baguirmi,TD03,Tchad,TD,1459987200000,1497484800000,NA
6,Chari,TD0302,Chari,CHARI,NA,NA,Chari-Baguirmi,TD03,Tchad,TD,1459987200000,1497484800000,NA
7,Loug-Chari,TD0303,Loug-Chari,LOUG-CHARI,NA,NA,Chari-Baguirmi,TD03,Tchad,TD,1459987200000,1497484800000,NA
8,Guéra,TD0401,Guera,GUERA,NA,NA,Guéra,TD04,Tchad,TD,1459987200000,1497484800000,NA
9,Abtouyour,TD0402,Abtouyour,ABTOUYOUR,NA,NA,Guéra,TD04,Tchad,TD,1459987200000,1497484800000,NA
10,Barh-Signaka,TD0403,Barh-Signaka,BARH-SIGNAKA,NA,NA,Guéra,TD04,Tchad,TD,1459987200000,1497484800000,NA
11,Mangalmé,TD0404,Mangalme,MANGALME,NA,NA,Guéra,TD04,Tchad,TD,1459987200000,1497484800000,NA
12,Dagana,TD0501,Dagana,DAGANA,NA,NA,Hadjer-Lamis,TD05,Tchad,TD,1459987200000,1497484800000,NA
13,Dababa,TD0502,Dababa,DABABA,NA,NA,Hadjer-Lamis,TD05,Tchad,TD,1459987200000,1497484800000,NA
14,Haraze-Al-Biar,TD0503,Haraze-Al-Biar,HARAZE-AL-BIAR,NA,NA,Hadjer-Lamis,TD05,Tchad,TD,1459987200000,1497484800000,NA
15,Kanem,TD0601,Kanem,KANEM,NA,NA,Kanem,TD06,Tchad,TD,1459987200000,1497484800000,NA
16,Nord Kanem,TD0602,Nord Kanem,NORD KANEM,NA,NA,Kanem,TD06,Tchad,TD,1459987200000,1497484800000,NA
17,Wadi Bissam,TD0603,Wadi-Bissam,WADI-BISSAM,NA,NA,Kanem,TD06,Tchad,TD,1459987200000,1497484800000,NA
18,Mamdi,TD0701,Mamdi,MAMDI,NA,NA,Lac,TD07,Tchad,TD,1459987200000,1497484800000,NA
19,Wayi,TD0702,Wayi,WAYI,NA,NA,Lac,TD07,Tchad,TD,1459987200000,1497484800000,NA
20,Lac Wey,TD0801,Lac Wey,LAC WEY,NA,NA,Logone Occidental,TD08,Tchad,TD,1459987200000,1497484800000,NA
21,Dodjé,TD0802,Dodje,DODJE,NA,NA,Logone Occidental,TD08,Tchad,TD,1459987200000,1497484800000,NA
22,Guéni,TD0803,Gueni,GUENI,NA,NA,Logone Occidental,TD08,Tchad,TD,1459987200000,1497484800000,NA
23,Ngourkosso,TD0804,Ngourkosso,NGOURKOSSO,NA,NA,Logone Occidental,TD08,Tchad,TD,1459987200000,1497484800000,NA
24,La Pendé,TD0901,La Pende,LA PENDE,NA,NA,Logone Oriental,TD09,Tchad,TD,1459987200000,1497484800000,NA
25,Kouh Est,TD0902,Kouh Est,KOUH EST,NA,NA,Logone Oriental,TD09,Tchad,TD,1459987200000,1497484800000,NA
26,Kouh Ouest,TD0903,Kouh Ouest,KOUH OUEST,NA,NA,Logone Oriental,TD09,Tchad,TD,1459987200000,1497484800000,NA
27,La Nya,TD0904,La Nya,LA NYA,NA,NA,Logone Oriental,TD09,Tchad,TD,1459987200000,1497484800000,NA
28,La Nya Pendé,TD0905,La Nya Pende,LA NYA PENDE,NA,NA,Logone Oriental,TD09,Tchad,TD,1459987200000,1497484800000,NA
29,Monts de Lam,TD0906,Monts de Lam,MONTS DE LAM,NA,NA,Logone Oriental,TD09,Tchad,TD,1459987200000,1497484800000,NA
30,Mandoul Oriental,TD1001,Mandoul Oriental,MANDOUL ORIENTAL,NA,NA,Mandoul,TD10,Tchad,TD,1459987200000,1497484800000,NA
