OBJECTID,admin3Name_fr,admin3Pcode,admin3RefName,admin3AltName1_fr,admin3AltName2_fr,admin2Name_fr,admin2Pcode,admin1Name_fr,admin1Pcode,admin0Name_fr,admin0Pcode,date,validOn,validTo
1,Abobo,TG030801,NA,NA,NA,Zio,TG0308,Maritime,TG03,Togo,TG,1608076800000,1609977600000,NA
2,Adeta,TG040701,NA,NA,NA,Kpele,TG0407,Plateaux,TG04,Togo,TG,1608076800000,1609977600000,NA
3,Adetikope,TG030901,NA,NA,NA,Agoe-Nyive,TG0309,Maritime,TG03,Togo,TG,1608076800000,1609977600000,NA
4,Adiva,TG040101,NA,NA,NA,Amou,TG0401,Plateaux,TG04,Togo,TG,1608076800000,1609977600000,NA
5,Adjahun Fiagbe,TG040301,NA,NA,NA,Agou,TG0403,Plateaux,TG04,Togo,TG,1608076800000,1609977600000,NA
6,Adjengere,TG010301,NA,NA,NA,Sotouboua,TG0103,Centrale,TG01,Togo,TG,1608076800000,1609977600000,NA
7,Adogbenou,TG041101,NA,NA,NA,Anie,TG0411,Plateaux,TG04,Togo,TG,1608076800000,1609977600000,NA
8,Adzakpa,TG040302,NA,NA,NA,Agou,TG0403,Plateaux,TG04,Togo,TG,1608076800000,1609977600000,NA
9,Afagnan / Afagnagan,TG030201,NA,NA,NA,Bas-Mono,TG0302,Maritime,TG03,Togo,TG,1608076800000,1609977600000,NA
10,Affem,TG010401,NA,NA,NA,Tchamba,TG0104,Centrale,TG01,Togo,TG,1608076800000,1609977600000,NA
11,Aflao Gakli,TG030301,NA,NA,NA,Golfe,TG0303,Maritime,TG03,Togo,TG,1608076800000,1609977600000,NA
12,Agbandi,TG010101,NA,NA,NA,Blitta,TG0101,Centrale,TG01,Togo,TG,1608076800000,1609977600000,NA
13,Agbandi-Yaka,TG020501,NA,NA,NA,Doufelgou,TG0205,Kara,TG02,Togo,TG,1608076800000,1609977600000,NA
14,Agbelouve,TG030802,NA,NA,NA,Zio,TG0308,Maritime,TG03,Togo,TG,1608076800000,1609977600000,NA
15,Agbodrafo,TG030401,NA,NA,NA,Lacs,TG0304,Maritime,TG03,Togo,TG,1608076800000,1609977600000,NA
16,Agoenyive,TG030902,NA,NA,NA,Agoe-Nyive,TG0309,Maritime,TG03,Togo,TG,1608076800000,1609977600000,NA
17,Agome,TG041201,NA,NA,NA,Kloto,TG0412,Plateaux,TG04,Togo,TG,1608076800000,1609977600000,NA
18,Agome-Tomegbe,TG041202,NA,NA,NA,Kloto,TG0412,Plateaux,TG04,Togo,TG,1608076800000,1609977600000,NA
19,Agome Glozou/Agbetiko,TG030202,NA,NA,NA,Bas-Mono,TG0302,Maritime,TG03,Togo,TG,1608076800000,1609977600000,NA
20,Agotime Nord,TG040303,NA,NA,NA,Agou,TG0403,Plateaux,TG04,Togo,TG,1608076800000,1609977600000,NA
21,Agou-Akplolo,TG040309,NA,NA,NA,Agou,TG0403,Plateaux,TG04,Togo,TG,1608076800000,1609977600000,NA
22,Agou Agbetiko/Agou Dzidjole,TG040304,NA,NA,NA,Agou,TG0403,Plateaux,TG04,Togo,TG,1608076800000,1609977600000,NA
23,Agou Atigbe,TG040305,NA,NA,NA,Agou,TG0403,Plateaux,TG04,Togo,TG,1608076800000,1609977600000,NA
24,Agou Gadzepe,TG040306,NA,NA,NA,Agou,TG0403,Plateaux,TG04,Togo,TG,1608076800000,1609977600000,NA
25,Agou Kebo,TG040307,NA,NA,NA,Agou,TG0403,Plateaux,TG04,Togo,TG,1608076800000,1609977600000,NA
26,Agou Yiboe/Kati,TG040308,NA,NA,NA,Agou,TG0403,Plateaux,TG04,Togo,TG,1608076800000,1609977600000,NA
27,Agouegan,TG030402,NA,NA,NA,Lacs,TG0304,Maritime,TG03,Togo,TG,1608076800000,1609977600000,NA
28,Agoulou,TG010501,NA,NA,NA,Tchaoudjo,TG0105,Centrale,TG01,Togo,TG,1608076800000,1609977600000,NA
29,Ahassome,TG040801,NA,NA,NA,Moyen-Mono,TG0408,Plateaux,TG04,Togo,TG,1608076800000,1609977600000,NA
30,Ahepe,TG030701,NA,NA,NA,Yoto,TG0307,Maritime,TG03,Togo,TG,1608076800000,1609977600000,NA
31,Ahlon,TG040401,NA,NA,NA,Danyi,TG0404,Plateaux,TG04,Togo,TG,1608076800000,1609977600000,NA
32,Akata,TG040702,NA,NA,NA,Kpele,TG0407,Plateaux,TG04,Togo,TG,1608076800000,1609977600000,NA
33,Akepe,TG030101,NA,NA,NA,Ave,TG0301,Maritime,TG03,Togo,TG,1608076800000,1609977600000,NA
34,Aklakou,TG030403,NA,NA,NA,Lacs,TG0304,Maritime,TG03,Togo,TG,1608076800000,1609977600000,NA
35,Akoumape,TG030601,NA,NA,NA,Vo,TG0306,Maritime,TG03,Togo,TG,1608076800000,1609977600000,NA
36,Akpare,TG040901,NA,NA,NA,Ogou,TG0409,Plateaux,TG04,Togo,TG,1608076800000,1609977600000,NA
37,Akponte,TG020601,NA,NA,NA,Keran,TG0206,Kara,TG02,Togo,TG,1608076800000,1609977600000,NA
38,Aledjo,TG020101,NA,NA,NA,Assoli,TG0201,Kara,TG02,Togo,TG,1608076800000,1609977600000,NA
39,Aleheride/Amaide,TG010502,NA,NA,NA,Tchaoudjo,TG0105,Centrale,TG01,Togo,TG,1608076800000,1609977600000,NA
40,Alibi,TG010402,NA,NA,NA,Tchamba,TG0104,Centrale,TG01,Togo,TG,1608076800000,1609977600000,NA
41,Aloum,TG020502,NA,NA,NA,Doufelgou,TG0205,Kara,TG02,Togo,TG,1608076800000,1609977600000,NA
42,Amou-Oblo,TG040102,NA,NA,NA,Amou,TG0401,Plateaux,TG04,Togo,TG,1608076800000,1609977600000,NA
43,Amoussime,TG030702,NA,NA,NA,Yoto,TG0307,Maritime,TG03,Togo,TG,1608076800000,1609977600000,NA
44,Amoussou Kope,TG040310,NA,NA,NA,Agou,TG0403,Plateaux,TG04,Togo,TG,1608076800000,1609977600000,NA
45,Amoutive,TG030302,NA,NA,NA,Golfe,TG0303,Maritime,TG03,Togo,TG,1608076800000,1609977600000,NA
46,Aneho,TG030404,NA,NA,NA,Lacs,TG0304,Maritime,TG03,Togo,TG,1608076800000,1609977600000,NA
47,Anfoin,TG030405,NA,NA,NA,Lacs,TG0304,Maritime,TG03,Togo,TG,1608076800000,1609977600000,NA
48,Anie,TG041102,NA,NA,NA,Anie,TG0411,Plateaux,TG04,Togo,TG,1608076800000,1609977600000,NA
49,Anyron Kope,TG030602,NA,NA,NA,Vo,TG0306,Maritime,TG03,Togo,TG,1608076800000,1609977600000,NA
50,Aouda,TG010302,NA,NA,NA,Sotouboua,TG0103,Centrale,TG01,Togo,TG,1608076800000,1609977600000,NA
51,Assahoun/Ando Peme,TG030102,NA,NA,NA,Ave,TG0301,Maritime,TG03,Togo,TG,1608076800000,1609977600000,NA
52,Assrama,TG040601,NA,NA,NA,Haho,TG0406,Plateaux,TG04,Togo,TG,1608076800000,1609977600000,NA
53,Atalote,TG020602,NA,NA,NA,Keran,TG0206,Kara,TG02,Togo,TG,1608076800000,1609977600000,NA
54,Atchangbade,TG020701,NA,NA,NA,Kozah,TG0207,Kara,TG02,Togo,TG,1608076800000,1609977600000,NA
55,Atchinedji,TG041103,NA,NA,NA,Anie,TG0411,Plateaux,TG04,Togo,TG,1608076800000,1609977600000,NA
56,Atchintse,TG010102,NA,NA,NA,Blitta,TG0101,Centrale,TG01,Togo,TG,1608076800000,1609977600000,NA
57,Atsave,TG040602,NA,NA,NA,Haho,TG0406,Plateaux,TG04,Togo,TG,1608076800000,1609977600000,NA
58,Attitogon,TG030203,NA,NA,NA,Bas-Mono,TG0302,Maritime,TG03,Togo,TG,1608076800000,1609977600000,NA
59,Avedje,TG040103,NA,NA,NA,Amou,TG0401,Plateaux,TG04,Togo,TG,1608076800000,1609977600000,NA
60,Awandjelo,TG020702,NA,NA,NA,Kozah,TG0207,Kara,TG02,Togo,TG,1608076800000,1609977600000,NA
61,Badin,TG040501,NA,NA,NA,Est-Mono,TG0405,Plateaux,TG04,Togo,TG,1608076800000,1609977600000,NA
62,Badja,TG030103,NA,NA,NA,Ave,TG0301,Maritime,TG03,Togo,TG,1608076800000,1609977600000,NA
63,Badou,TG040201,NA,NA,NA,Wawa,TG0402,Plateaux,TG04,Togo,TG,1608076800000,1609977600000,NA
64,Bafilo,TG020102,NA,NA,NA,Assoli,TG0201,Kara,TG02,Togo,TG,1608076800000,1609977600000,NA
65,Baga,TG020503,NA,NA,NA,Doufelgou,TG0205,Kara,TG02,Togo,TG,1608076800000,1609977600000,NA
66,Baghan,TG020201,NA,NA,NA,Bassar,TG0202,Kara,TG02,Togo,TG,1608076800000,1609977600000,NA
67,Bago,TG010403,NA,NA,NA,Tchamba,TG0104,Centrale,TG01,Togo,TG,1608076800000,1609977600000,NA
68,Bagou,TG051501,NA,NA,NA,Tandjoare,TG0515,Savanes,TG05,Togo,TG,1608076800000,1609977600000,NA
69,Baguida,TG030303,NA,NA,NA,Golfe,TG0303,Maritime,TG03,Togo,TG,1608076800000,1609977600000,NA
70,Balanka,TG010404,NA,NA,NA,Tchamba,TG0104,Centrale,TG01,Togo,TG,1608076800000,1609977600000,NA
71,Bangeli,TG020202,NA,NA,NA,Bassar,TG0202,Kara,TG02,Togo,TG,1608076800000,1609977600000,NA
72,Bapure,TG020401,NA,NA,NA,Dankpen,TG0204,Kara,TG02,Togo,TG,1608076800000,1609977600000,NA
73,Barkoissi,TG051401,NA,NA,NA,Oti,TG0514,Savanes,TG05,Togo,TG,1608076800000,1609977600000,NA
74,Bassar,TG020203,NA,NA,NA,Bassar,TG0202,Kara,TG02,Togo,TG,1608076800000,1609977600000,NA
75,Biankouri,TG051701,NA,NA,NA,Cinkasse,TG0517,Savanes,TG05,Togo,TG,1608076800000,1609977600000,NA
76,Bidjenga,TG051601,NA,NA,NA,Tone,TG0516,Savanes,TG05,Togo,TG,1608076800000,1609977600000,NA
77,Bitchabe,TG020204,NA,NA,NA,Bassar,TG0202,Kara,TG02,Togo,TG,1608076800000,1609977600000,NA
78,Blitta-Gare,TG010104,NA,NA,NA,Blitta,TG0101,Centrale,TG01,Togo,TG,1608076800000,1609977600000,NA
79,Blitta Village,TG010103,NA,NA,NA,Blitta,TG0101,Centrale,TG01,Togo,TG,1608076800000,1609977600000,NA
80,Boade,TG051702,NA,NA,NA,Cinkasse,TG0517,Savanes,TG05,Togo,TG,1608076800000,1609977600000,NA
81,Bodjonde,TG010303,NA,NA,NA,Sotouboua,TG0103,Centrale,TG01,Togo,TG,1608076800000,1609977600000,NA
82,Bogou,TG051502,NA,NA,NA,Tandjoare,TG0515,Savanes,TG05,Togo,TG,1608076800000,1609977600000,NA
83,Bohou,TG020703,NA,NA,NA,Kozah,TG0207,Kara,TG02,Togo,TG,1608076800000,1609977600000,NA
84,Bolou Kpeta,TG030803,NA,NA,NA,Zio,TG0308,Maritime,TG03,Togo,TG,1608076800000,1609977600000,NA
85,Bombouaka,TG051503,NA,NA,NA,Tandjoare,TG0515,Savanes,TG05,Togo,TG,1608076800000,1609977600000,NA
86,Borgou,TG051301,NA,NA,NA,Kpendjal,TG0513,Savanes,TG05,Togo,TG,1608076800000,1609977600000,NA
87,Boufale,TG020301,NA,NA,NA,Binah,TG0203,Kara,TG02,Togo,TG,1608076800000,1609977600000,NA
88,Boulade,TG020103,NA,NA,NA,Assoli,TG0201,Kara,TG02,Togo,TG,1608076800000,1609977600000,NA
89,Boulogou,TG051504,NA,NA,NA,Tandjoare,TG0515,Savanes,TG05,Togo,TG,1608076800000,1609977600000,NA
90,Boulohou,TG010201,NA,NA,NA,Plaine du Mo,TG0102,Centrale,TG01,Togo,TG,1608076800000,1609977600000,NA
91,Cinkasse,TG051703,NA,NA,NA,Cinkasse,TG0517,Savanes,TG05,Togo,TG,1608076800000,1609977600000,NA
92,Dagbati,TG030603,NA,NA,NA,Vo,TG0306,Maritime,TG03,Togo,TG,1608076800000,1609977600000,NA
93,Dako/Daoude,TG020104,NA,NA,NA,Assoli,TG0201,Kara,TG02,Togo,TG,1608076800000,1609977600000,NA
94,Dalave,TG030804,NA,NA,NA,Zio,TG0308,Maritime,TG03,Togo,TG,1608076800000,1609977600000,NA
95,Dalia,TG040603,NA,NA,NA,Haho,TG0406,Plateaux,TG04,Togo,TG,1608076800000,1609977600000,NA
96,Danyi-Kakpa,TG040403,NA,NA,NA,Danyi,TG0404,Plateaux,TG04,Togo,TG,1608076800000,1609977600000,NA
97,Danyi Kpeto-Evita,TG040402,NA,NA,NA,Danyi,TG0404,Plateaux,TG04,Togo,TG,1608076800000,1609977600000,NA
98,Dapaong,TG051602,NA,NA,NA,Tone,TG0516,Savanes,TG05,Togo,TG,1608076800000,1609977600000,NA
99,Datcha,TG040902,NA,NA,NA,Ogou,TG0409,Plateaux,TG04,Togo,TG,1608076800000,1609977600000,NA
100,Davie,TG030805,NA,NA,NA,Zio,TG0308,Maritime,TG03,Togo,TG,1608076800000,1609977600000,NA
101,Defale,TG020504,NA,NA,NA,Doufelgou,TG0205,Kara,TG02,Togo,TG,1608076800000,1609977600000,NA
102,Diguengue,TG010105,NA,NA,NA,Blitta,TG0101,Centrale,TG01,Togo,TG,1608076800000,1609977600000,NA
103,Dikpeleou,TG010106,NA,NA,NA,Blitta,TG0101,Centrale,TG01,Togo,TG,1608076800000,1609977600000,NA
104,Dimori,TG020205,NA,NA,NA,Bassar,TG0202,Kara,TG02,Togo,TG,1608076800000,1609977600000,NA
105,Djagble,TG030806,NA,NA,NA,Zio,TG0308,Maritime,TG03,Togo,TG,1608076800000,1609977600000,NA
106,Djamde,TG020704,NA,NA,NA,Kozah,TG0207,Kara,TG02,Togo,TG,1608076800000,1609977600000,NA
107,Djarkpanga,TG010202,NA,NA,NA,Plaine du Mo,TG0102,Centrale,TG01,Togo,TG,1608076800000,1609977600000,NA
108,Djemegni,TG040604,NA,NA,NA,Haho,TG0406,Plateaux,TG04,Togo,TG,1608076800000,1609977600000,NA
109,Djon,TG041001,NA,NA,NA,Akebou,TG0410,Plateaux,TG04,Togo,TG,1608076800000,1609977600000,NA
110,Doufouli,TG010107,NA,NA,NA,Blitta,TG0101,Centrale,TG01,Togo,TG,1608076800000,1609977600000,NA
111,Doukpergou,TG051505,NA,NA,NA,Tandjoare,TG0515,Savanes,TG05,Togo,TG,1608076800000,1609977600000,NA
112,Doume,TG040202,NA,NA,NA,Wawa,TG0402,Plateaux,TG04,Togo,TG,1608076800000,1609977600000,NA
113,Dzolo,TG030104,NA,NA,NA,Ave,TG0301,Maritime,TG03,Togo,TG,1608076800000,1609977600000,NA
114,Dzrekpo,TG030604,NA,NA,NA,Vo,TG0306,Maritime,TG03,Togo,TG,1608076800000,1609977600000,NA
115,Ekpegnon,TG040104,NA,NA,NA,Amou,TG0401,Plateaux,TG04,Togo,TG,1608076800000,1609977600000,NA
116,Elavagnon,TG040502,NA,NA,NA,Est-Mono,TG0405,Plateaux,TG04,Togo,TG,1608076800000,1609977600000,NA
117,Elavagnon/Atigba,TG040404,NA,NA,NA,Danyi,TG0404,Plateaux,TG04,Togo,TG,1608076800000,1609977600000,NA
