OBJECTID,admin3Name_en,admin3Name_th,admin3Pcode,admin3RefName,admin3AltName1_en,admin3AltName2_en,admin3AltName1_th,admin3AltName2_th,admin2Name_en,admin2Name_th,admin2Pcode,admin1Name_en,admin1Name_th,admin1Pcode,admin0Name_en,admin0Name_th,admin0Pcode,date,validOn,validTo
1,A Hi,อาฮี,TH420803,NA,NA,NA,NA,NA,Tha Li,ท่าลี่,TH4208,Loei,เลย,TH42,Thailand,ประเทศไทย,TH,1550448000000,1550707200000,NA
2,A Noru,อาเนาะรู,TH940102,NA,NA,NA,NA,NA,Mueang Pattani,เมืองปัตตานี,TH9401,Pattani,ปัตตานี,TH94,Thailand,ประเทศไทย,TH,1550448000000,1550707200000,NA
3,A Phon,อาโพน,TH321305,NA,NA,NA,NA,NA,Buachet,บัวเชด,TH3213,Surin,สุรินทร์,TH32,Thailand,ประเทศไทย,TH,1550448000000,1550707200000,NA
4,A Song,อาซ่อง,TH950615,NA,NA,NA,NA,NA,Raman,รามัน,TH9506,Yala,ยะลา,TH95,Thailand,ประเทศไทย,TH,1550448000000,1550707200000,NA
5,Ai Na Lai,อ่ายนาไลย,TH550711,NA,NA,NA,NA,NA,Wiang Sa,เวียงสา,TH5507,Nan,น่าน,TH55,Thailand,ประเทศไทย,TH,1550448000000,1550707200000,NA
6,Aiyoe Weng,อัยเยอร์เวง,TH950204,NA,NA,NA,NA,NA,Betong,เบตง,TH9502,Yala,ยะลา,TH95,Thailand,ประเทศไทย,TH,1550448000000,1550707200000,NA
7,Ak Khakham,อัคคะคำ,TH450804,NA,NA,NA,NA,NA,Pho Chai,โพธิ์ชัย,TH4508,Roi Et,ร้อยเอ็ด,TH45,Thailand,ประเทศไทย,TH,1550448000000,1550707200000,NA
8,Akat,อากาศ,TH471101,NA,NA,NA,NA,NA,Akat Amnuai,อากาศอำนวย,TH4711,Sakon Nakhon,สกลนคร,TH47,Thailand,ประเทศไทย,TH,1550448000000,1550707200000,NA
9,Ammarit,อมฤต,TH140802,NA,NA,NA,NA,NA,Phak Hai,ผักไห่,TH1408,Phra Nakhon Si Ayutthaya,พระนครศรีอยุธยา,TH14,Thailand,ประเทศไทย,TH,1550448000000,1550707200000,NA
10,Amnat,อำนาจ,TH370701,NA,NA,NA,NA,NA,Lue Amnat,ลืออำนาจ,TH3707,Amnat Charoen,อำนาจเจริญ,TH37,Thailand,ประเทศไทย,TH,1550448000000,1550707200000,NA
11,Amphaeng,อำแพง,TH740310,NA,NA,NA,NA,NA,Ban Phaeo,บ้านแพ้ว,TH7403,Samut Sakhon,สมุทรสาคร,TH74,Thailand,ประเทศไทย,TH,1550448000000,1550707200000,NA
12,Amphawa,อัมพวา,TH750301,NA,NA,NA,NA,NA,Amphawa,อัมพวา,TH7503,Samut Songkhram,สมุทรสงคราม,TH75,Thailand,ประเทศไทย,TH,1550448000000,1550707200000,NA
13,Ang Hin,อ่างหิน,TH700808,NA,NA,NA,NA,NA,Pak Tho,ปากท่อ,TH7008,Ratchaburi,ราชบุรี,TH70,Thailand,ประเทศไทย,TH,1550448000000,1550707200000,NA
14,Ang Kaeo,อ่างแก้ว,TH150401,NA,NA,NA,NA,NA,Pho Thong,โพธิ์ทอง,TH1504,Ang Thong,อ่างทอง,TH15,Thailand,ประเทศไทย,TH,1550448000000,1550707200000,NA
15,Ang Khiri,อ่างคีรี,TH220508,NA,NA,NA,NA,NA,Makham,มะขาม,TH2205,Chanthaburi,จันทบุรี,TH22,Thailand,ประเทศไทย,TH,1550448000000,1550707200000,NA
16,Ang Sila,อ่างศิลา,TH200117,NA,NA,NA,NA,NA,Mueang Chon Buri,เมืองชลบุรี,TH2001,Chon Buri,ชลบุรี,TH20,Thailand,ประเทศไทย,TH,1550448000000,1550707200000,NA
17,Ang Sila,อ่างศิลา,TH341914,NA,NA,NA,NA,NA,Phibun Mangsahan,พิบูลมังสาหาร,TH3419,Ubon Ratchathani,อุบลราชธานี,TH34,Thailand,ประเทศไทย,TH,1550448000000,1550707200000,NA
18,Ang Thong,อ่างทอง,TH560313,NA,NA,NA,NA,NA,Chiang Kham,เชียงคำ,TH5603,Phayao,พะเยา,TH56,Thailand,ประเทศไทย,TH,1550448000000,1550707200000,NA
19,Ang Thong,อ่างทอง,TH600504,NA,NA,NA,NA,NA,Banphot Phisai,บรรพตพิสัย,TH6005,Nakhon Sawan,นครสวรรค์,TH60,Thailand,ประเทศไทย,TH,1550448000000,1550707200000,NA
20,Ang Thong,อ่างทอง,TH620103,NA,NA,NA,NA,NA,Mueang Kamphaeng Phet,เมืองกำแพงเพชร,TH6201,Kamphaeng Phet,กำแพงเพชร,TH62,Thailand,ประเทศไทย,TH,1550448000000,1550707200000,NA
21,Ang Thong,อ่างทอง,TH700108,NA,NA,NA,NA,NA,Mueang Ratchaburi,เมืองราชบุรี,TH7001,Ratchaburi,ราชบุรี,TH70,Thailand,ประเทศไทย,TH,1550448000000,1550707200000,NA
22,Ang Thong,อ่างทอง,TH770302,NA,NA,NA,NA,NA,Thap Sakae,ทับสะแก,TH7703,Prachuap Khiri Khan,ประจวบคีรีขันธ์,TH77,Thailand,ประเทศไทย,TH,1550448000000,1550707200000,NA
23,Ang Thong,อ่างทอง,TH840401,NA,NA,NA,NA,NA,Ko Samui,เกาะสมุย,TH8404,Surat Thani,สุราษฎร์ธานี,TH84,Thailand,ประเทศไทย,TH,1550448000000,1550707200000,NA
24,Ang Thong,อ่างทอง,TH931103,NA,NA,NA,NA,NA,Srinagarindra,ศรีนครินทร์,TH9311,Phatthalung,พัทลุง,TH93,Thailand,ประเทศไทย,TH,1550448000000,1550707200000,NA
25,Anusawari,อนุสาวรีย์,TH100502,NA,NA,NA,NA,NA,Bang Khen,บางเขน,TH1005,Bangkok,กรุงเทพมหานคร,TH10,Thailand,ประเทศไทย,TH,1550448000000,1550707200000,NA
26,Ao Luek Noi,อ่าวลึกน้อย,TH810505,NA,NA,NA,NA,NA,Ao Luek,อ่าวลึก,TH8105,Krabi,กระบี่,TH81,Thailand,ประเทศไทย,TH,1550448000000,1550707200000,NA
27,Ao Luek Nuea,อ่าวลึกเหนือ,TH810506,NA,NA,NA,NA,NA,Ao Luek,อ่าวลึก,TH8105,Krabi,กระบี่,TH81,Thailand,ประเทศไทย,TH,1550448000000,1550707200000,NA
28,Ao Luek Tai,อ่าวลึกใต้,TH810501,NA,NA,NA,NA,NA,Ao Luek,อ่าวลึก,TH8105,Krabi,กระบี่,TH81,Thailand,ประเทศไทย,TH,1550448000000,1550707200000,NA
29,Ao Nang,อ่าวนาง,TH810116,NA,NA,NA,NA,NA,Mueang Krabi,เมืองกระบี่,TH8101,Krabi,กระบี่,TH81,Thailand,ประเทศไทย,TH,1550448000000,1550707200000,NA
30,Ao Noi,อ่าวน้อย,TH770105,NA,NA,NA,NA,NA,Mueang Prachuap Khiri Khan,เมืองประจวบคีรีข,TH7701,Prachuap Khiri Khan,ประจวบคีรีขันธ์,TH77,Thailand,ประเทศไทย,TH,1550448000000,1550707200000,NA
31,Ao Tong,อ่าวตง,TH920703,NA,NA,NA,NA,NA,Wang Wiset,วังวิเศษ,TH9207,Trang,ตรัง,TH92,Thailand,ประเทศไทย,TH,1550448000000,1550707200000,NA
32,Ao Yai,อ่าวใหญ่,TH230106,NA,NA,NA,NA,NA,Mueang Trat,เมืองตราด,TH2301,Trat,ตราด,TH23,Thailand,ประเทศไทย,TH,1550448000000,1550707200000,NA
33,Aranyakham Wari,อรัญคามวารี,TH841404,NA,NA,NA,NA,NA,Khian Sa,เคียนซา,TH8414,Surat Thani,สุราษฎร์ธานี,TH84,Thailand,ประเทศไทย,TH,1550448000000,1550707200000,NA
34,Aranyaprathet,อรัญประเทศ,TH270601,NA,NA,NA,NA,NA,Aranyaprathet,อรัญประเทศ,TH2706,Sa Kaeo,สระแก้ว,TH27,Thailand,ประเทศไทย,TH,1550448000000,1550707200000,NA
35,Aranyik,อรัญญิก,TH650117,NA,NA,NA,NA,NA,Mueang Phitsanulok,เมืองพิษณุโลก,TH6501,Phitsanulok,พิษณุโลก,TH65,Thailand,ประเทศไทย,TH,1550448000000,1550707200000,NA
36,Arun Ammarin,อรุณอมรินทร์,TH102009,NA,NA,NA,NA,NA,Bangkok Noi,บางกอกน้อย,TH1020,Bangkok,กรุงเทพมหานคร,TH10,Thailand,ประเทศไทย,TH,1550448000000,1550707200000,NA
37,Asa,อาษา,TH260304,NA,NA,NA,NA,NA,Ban Na,บ้านนา,TH2603,Nakhon Nayok,นครนายก,TH26,Thailand,ประเทศไทย,TH,1550448000000,1550707200000,NA
38,At Samat,อาจสามารถ,TH451401,NA,NA,NA,NA,NA,At Samat,อาจสามารถ,TH4514,Roi Et,ร้อยเอ็ด,TH45,Thailand,ประเทศไทย,TH,1550448000000,1550707200000,NA
39,At Samat,อาจสามารถ,TH480107,NA,NA,NA,NA,NA,Mueang Nakhon Phanom,เมืองนครพนม,TH4801,Nakhon Phanom,นครพนม,TH48,Thailand,ประเทศไทย,TH,1550448000000,1550707200000,NA
40,Ba,บะ,TH320306,NA,NA,NA,NA,NA,Tha Tum,ท่าตูม,TH3203,Surin,สุรินทร์,TH32,Thailand,ประเทศไทย,TH,1550448000000,1550707200000,NA
41,Ba-Ngo Sato,บาโงสะโต,TH960508,NA,NA,NA,NA,NA,Ra-Ngae,ระแงะ,TH9605,Narathiwat,นราธิวาส,TH96,Thailand,ประเทศไทย,TH,1550448000000,1550707200000,NA
42,Ba-Ngoi,บาโงย,TH950611,NA,NA,NA,NA,NA,Raman,รามัน,TH9506,Yala,ยะลา,TH95,Thailand,ประเทศไทย,TH,1550448000000,1550707200000,NA
43,Ba-Ngoi Sinae,บาโงยซิแน,TH950507,NA,NA,NA,NA,NA,Yaha,ยะหา,TH9505,Yala,ยะลา,TH95,Thailand,ประเทศไทย,TH,1550448000000,1550707200000,NA
44,Ba Wi,บ้าหวี,TH921002,NA,NA,NA,NA,NA,Hat Samran,หาดสำราญ,TH9210,Trang,ตรัง,TH92,Thailand,ประเทศไทย,TH,1550448000000,1550707200000,NA
45,Bacho,บาเจาะ,TH950302,NA,NA,NA,NA,NA,Bannang Sata,บันนังสตา,TH9503,Yala,ยะลา,TH95,Thailand,ประเทศไทย,TH,1550448000000,1550707200000,NA
46,Bacho,บาเจาะ,TH960301,NA,NA,NA,NA,NA,Bacho,บาเจาะ,TH9603,Narathiwat,นราธิวาส,TH96,Thailand,ประเทศไทย,TH,1550448000000,1550707200000,NA
47,Bahi,บะฮี,TH470409,NA,NA,NA,NA,NA,Phanna Nikhom,พรรณานิคม,TH4704,Sakon Nakhon,สกลนคร,TH47,Thailand,ประเทศไทย,TH,1550448000000,1550707200000,NA
48,Bahoi,บาโหย,TH900608,NA,NA,NA,NA,NA,Saba Yoi,สะบ้าย้อย,TH9006,Songkhla,สงขลา,TH90,Thailand,ประเทศไทย,TH,1550448000000,1550707200000,NA
49,Bak Dai,บักได,TH321401,NA,NA,NA,NA,NA,Phanom Dong Rak,พนมดงรัก,TH3214,Surin,สุรินทร์,TH32,Thailand,ประเทศไทย,TH,1550448000000,1550707200000,NA
50,Bak Dong,บักดอง,TH330802,NA,NA,NA,NA,NA,Khun Han,ขุนหาญ,TH3308,Si Sa Ket,ศรีสะเกษ,TH33,Thailand,ประเทศไทย,TH,1550448000000,1550707200000,NA
51,Bak Ruea,บากเรือ,TH350605,NA,NA,NA,NA,NA,Maha Chana Chai,มหาชนะชัย,TH3506,Yasothon,ยโสธร,TH35,Thailand,ประเทศไทย,TH,1550448000000,1550707200000,NA
52,Bala,บาละ,TH950702,NA,NA,NA,NA,NA,Kabang,กาบัง,TH9507,Yala,ยะลา,TH95,Thailand,ประเทศไทย,TH,1550448000000,1550707200000,NA
53,Balo,บาลอ,TH950610,NA,NA,NA,NA,NA,Raman,รามัน,TH9506,Yala,ยะลา,TH95,Thailand,ประเทศไทย,TH,1550448000000,1550707200000,NA
54,Baloi,บาโลย,TH940913,NA,NA,NA,NA,NA,Yaring,ยะหริ่ง,TH9409,Pattani,ปัตตานี,TH94,Thailand,ประเทศไทย,TH,1550448000000,1550707200000,NA
55,Ban Aen,บ้านแอ่น,TH501704,NA,NA,NA,NA,NA,Doi Tao,ดอยเต่า,TH5017,Chiang Mai,เชียงใหม่,TH50,Thailand,ประเทศไทย,TH,1550448000000,1550707200000,NA
56,Ban Bak,บ้านบาก,TH451608,NA,NA,NA,NA,NA,Si Somdet,ศรีสมเด็จ,TH4516,Roi Et,ร้อยเอ็ด,TH45,Thailand,ประเทศไทย,TH,1550448000000,1550707200000,NA
57,Ban Bak,บ้านบาก,TH490305,NA,NA,NA,NA,NA,Don Tan,ดอนตาล,TH4903,Mukdahan,มุกดาหาร,TH49,Thailand,ประเทศไทย,TH,1550448000000,1550707200000,NA
58,Ban Bat,บ้านบาตร,TH100804,NA,NA,NA,NA,NA,Pom Prap Sattru Phai,ป้อมปราบศัตรูพ่า,TH1008,Bangkok,กรุงเทพมหานคร,TH10,Thailand,ประเทศไทย,TH,1550448000000,1550707200000,NA
59,Ban Bo,บ้านบ่อ,TH740104,NA,NA,NA,NA,NA,Mueang Samut Sakhon,เมืองสมุทรสาคร,TH7401,Samut Sakhon,สมุทรสาคร,TH74,Thailand,ประเทศไทย,TH,1550448000000,1550707200000,NA
60,Ban Boek,บ้านเบิก,TH160510,NA,NA,NA,NA,NA,Tha Wung,ท่าวุ้ง,TH1605,Lop Buri,ลพบุรี,TH16,Thailand,ประเทศไทย,TH,1550448000000,1550707200000,NA
61,Ban Bom,บ้านบอม,TH521005,NA,NA,NA,NA,NA,Mae Tha,แม่ทะ,TH5210,Lampang,ลำปาง,TH52,Thailand,ประเทศไทย,TH,1550448000000,1550707200000,NA
62,Ban Bua,บ้านบัว,TH310104,NA,NA,NA,NA,NA,Mueang Buri Ram,เมืองบุรีรัมย์,TH3101,Buri Ram,บุรีรัมย์,TH31,Thailand,ประเทศไทย,TH,1550448000000,1550707200000,NA
63,Ban Bua,บ้านบัว,TH360410,NA,NA,NA,NA,NA,Kaset Sombun,เกษตรสมบูรณ์,TH3604,Chaiyaphum,ชัยภูมิ,TH36,Thailand,ประเทศไทย,TH,1550448000000,1550707200000,NA
64,Ban Bueng,บ้านบึง,TH200201,NA,NA,NA,NA,NA,Ban Bueng,บ้านบึง,TH2002,Chon Buri,ชลบุรี,TH20,Thailand,ประเทศไทย,TH,1550448000000,1550707200000,NA
65,Ban Bueng,บ้านบึง,TH610611,NA,NA,NA,NA,NA,Ban Rai,บ้านไร่,TH6106,Uthai Thani,อุทัยธานี,TH61,Thailand,ประเทศไทย,TH,1550448000000,1550707200000,NA
66,Ban Bueng,บ้านบึง,TH701002,NA,NA,NA,NA,NA,Ban Kha,บ้านคา,TH7010,Ratchaburi,ราชบุรี,TH70,Thailand,ประเทศไทย,TH,1550448000000,1550707200000,NA
67,Ban Bung,บ้านบุ่ง,TH660110,NA,NA,NA,NA,NA,Mueang Phichit,เมืองพิจิตร,TH6601,Phichit,พิจิตร,TH66,Thailand,ประเทศไทย,TH,1550448000000,1550707200000,NA
68,Ban Cha,บ้านจ่า,TH170206,NA,NA,NA,NA,NA,Bang Rachan,บางระจัน,TH1702,Sing Buri,สิงห์บุรี,TH17,Thailand,ประเทศไทย,TH,1550448000000,1550707200000,NA
69,Ban Cha-Uat,บ้านชะอวด,TH801902,NA,NA,NA,NA,NA,Chulabhorn,จุฬาภรณ์,TH8019,Nakhon Si Thammarat,นครศรีธรรมราช,TH80,Thailand,ประเทศไทย,TH,1550448000000,1550707200000,NA
70,Ban Chaeng,บ้านแจ้ง,TH451403,NA,NA,NA,NA,NA,At Samat,อาจสามารถ,TH4514,Roi Et,ร้อยเอ็ด,TH45,Thailand,ประเทศไทย,TH,1550448000000,1550707200000,NA
71,Ban Chai,บ้านชัย,TH411107,NA,NA,NA,NA,NA,Ban Dung,บ้านดุง,TH4111,Udon Thani,อุดรธานี,TH41,Thailand,ประเทศไทย,TH,1550448000000,1550707200000,NA
72,Ban Chan,บ้านจั่น,TH410117,NA,NA,NA,NA,NA,Mueang Udon Thani,เมืองอุดรธานี,TH4101,Udon Thani,อุดรธานี,TH41,Thailand,ประเทศไทย,TH,1550448000000,1550707200000,NA
73,Ban Chan,บ้านจันทน์,TH411106,NA,NA,NA,NA,NA,Ban Dung,บ้านดุง,TH4111,Udon Thani,อุดรธานี,TH41,Thailand,ประเทศไทย,TH,1550448000000,1550707200000,NA
74,Ban Chan,บ้านจันทร์,TH502501,NA,NA,NA,NA,NA,Galyani Vadhana,กัลยาณิวัฒนา,TH5025,Chiang Mai,เชียงใหม่,TH50,Thailand,ประเทศไทย,TH,1550448000000,1550707200000,NA
75,Ban Chan,บ้านจาน,TH310903,NA,NA,NA,NA,NA,Phutthaisong,พุทไธสง,TH3109,Buri Ram,บุรีรัมย์,TH31,Thailand,ประเทศไทย,TH,1550448000000,1550707200000,NA
76,Ban Chan,บ้านจารย์,TH321008,NA,NA,NA,NA,NA,Sangkha,สังขะ,TH3210,Surin,สุรินทร์,TH32,Thailand,ประเทศไทย,TH,1550448000000,1550707200000,NA
77,Ban Chang,บ้านฉาง,TH130104,NA,NA,NA,NA,NA,Mueang Pathum Thani,เมืองปทุมธานี,TH1301,Pathum Thani,ปทุมธานี,TH13,Thailand,ประเทศไทย,TH,1550448000000,1550707200000,NA
78,Ban Chang,บ้านฉาง,TH210203,NA,NA,NA,NA,NA,Ban Chang,บ้านฉาง,TH2102,Rayong,ระยอง,TH21,Thailand,ประเทศไทย,TH,1550448000000,1550707200000,NA
79,Ban Chang,บ้านช้าง,TH141402,NA,NA,NA,NA,NA,Uthai,อุทัย,TH1414,Phra Nakhon Si Ayutthaya,พระนครศรีอยุธยา,TH14,Thailand,ประเทศไทย,TH,1550448000000,1550707200000,NA
80,Ban Chang,บ้านช้าง,TH200618,NA,NA,NA,NA,NA,Phanat Nikhom,พนัสนิคม,TH2006,Chon Buri,ชลบุรี,TH20,Thailand,ประเทศไทย,TH,1550448000000,1550707200000,NA
81,Ban Chang,บ้านช้าง,TH500611,NA,NA,NA,NA,NA,Mae Taeng,แม่แตง,TH5006,Chiang Mai,เชียงใหม่,TH50,Thailand,ประเทศไทย,TH,1550448000000,1550707200000,NA
82,Ban Chang,บ้านช้าง,TH720709,NA,NA,NA,NA,NA,Song Phi Nong,สองพี่น้อง,TH7207,Suphan Buri,สุพรรณบุรี,TH72,Thailand,ประเทศไทย,TH,1550448000000,1550707200000,NA
83,Ban Chang Lo,บ้านช่างหล่อ,TH102005,NA,NA,NA,NA,NA,Bangkok Noi,บางกอกน้อย,TH1020,Bangkok,กรุงเทพมหานคร,TH10,Thailand,ประเทศไทย,TH,1550448000000,1550707200000,NA
84,Ban Chi,บ้านชี,TH160605,NA,NA,NA,NA,NA,Ban Mi,บ้านหมี่,TH1606,Lop Buri,ลพบุรี,TH16,Thailand,ประเทศไทย,TH,1550448000000,1550707200000,NA
85,Ban Chian,บ้านเชี่ยน,TH180602,NA,NA,NA,NA,NA,Hankha,หันคา,TH1806,Chai Nat,ชัยนาท,TH18,Thailand,ประเทศไทย,TH,1550448000000,1550707200000,NA
86,Ban Chiang,บ้านเจียง,TH361401,NA,NA,NA,NA,NA,Phakdi Chumphon,ภักดีชุมพล,TH3614,Chaiyaphum,ชัยภูมิ,TH36,Thailand,ประเทศไทย,TH,1550448000000,1550707200000,NA
87,Ban Chiang,บ้านเชียง,TH410609,NA,NA,NA,NA,NA,Nong Han,หนองหาน,TH4106,Udon Thani,อุดรธานี,TH41,Thailand,ประเทศไทย,TH,1550448000000,1550707200000,NA
88,Ban Chiet,บ้านจีต,TH412401,NA,NA,NA,NA,NA,Ku Kaeo,กู่แก้ว,TH4124,Udon Thani,อุดรธานี,TH41,Thailand,ประเทศไทย,TH,1550448000000,1550707200000,NA
89,Ban Chop,บ้านชบ,TH321015,NA,NA,NA,NA,NA,Sangkha,สังขะ,TH3210,Surin,สุรินทร์,TH32,Thailand,ประเทศไทย,TH,1550448000000,1550707200000,NA
90,Ban Chuan,บ้านชวน,TH360701,NA,NA,NA,NA,NA,Bamnet Narong,บำเหน็จณรงค์,TH3607,Chaiyaphum,ชัยภูมิ,TH36,Thailand,ประเทศไทย,TH,1550448000000,1550707200000,NA
91,Ban Chung,บ้านชุ้ง,TH140304,NA,NA,NA,NA,NA,Nakhon Luang,นครหลวง,TH1403,Phra Nakhon Si Ayutthaya,พระนครศรีอยุธยา,TH14,Thailand,ประเทศไทย,TH,1550448000000,1550707200000,NA
