OBJECTID,admin3Name_en,admin3Pcode,admin3RefName,admin3AltName1_en,admin3AltName2_en,admin2Name_en,admin2Pcode,admin1Name_en,admin1Pcode,admin0Name_en,admin0Pcode,date,validOn,validTo
1,Abafala,TL030315,NA,NA,NA,Quelicai,TL0303,Baucau,TL03,Timor-Leste,TL,1165708800000,1599782400000,NA
2,Abani,TL120401,NA,NA,NA,Passabe,TL1204,Oecussi,TL12,Timor-Leste,TL,1165708800000,1599782400000,NA
3,Abat Oan,TL110503,NA,NA,NA,Barique/Natarbora,TL1105,Manatuto,TL11,Timor-Leste,TL,1165708800000,1599782400000,NA
4,Abo,TL030308,NA,NA,NA,Quelicai,TL0303,Baucau,TL03,Timor-Leste,TL,1165708800000,1599782400000,NA
5,Acadiru Hun,TL060202,NA,NA,NA,Nain Feto,TL0602,Dili,TL06,Timor-Leste,TL,1165708800000,1599782400000,NA
6,Acubilitoho,TL020202,NA,NA,NA,Liquidoe,TL0202,Aileu,TL02,Timor-Leste,TL,1165708800000,1599782400000,NA
7,Açumano,TL080206,Acumano,NA,NA,Liquiçá,TL0802,Liquiçá,TL08,Timor-Leste,TL,1165708800000,1599782400000,NA
8,Acumau,TL020301,NA,NA,NA,Remexio,TL0203,Aileu,TL02,Timor-Leste,TL,1165708800000,1599782400000,NA
9,Afabubu,TL090401,NA,NA,NA,Luro,TL0904,Lautém,TL09,Timor-Leste,TL,1165708800000,1599782400000,NA
10,Afaca,TL030310,NA,NA,NA,Quelicai,TL0303,Baucau,TL03,Timor-Leste,TL,1165708800000,1599782400000,NA
11,Afaloicai,TL030401,NA,NA,NA,Baguia,TL0304,Baucau,TL03,Timor-Leste,TL,1165708800000,1599782400000,NA
12,Afaloicai,TL130104,NA,NA,NA,Uatucarbau,TL1301,Viqueque,TL13,Timor-Leste,TL,1165708800000,1599782400000,NA
13,Afaloicai,TL130306,NA,NA,NA,Uato-Lari,TL1303,Viqueque,TL13,Timor-Leste,TL,1165708800000,1599782400000,NA
14,Ahic,TL130503,NA,NA,NA,Lacluta,TL1305,Viqueque,TL13,Timor-Leste,TL,1165708800000,1599782400000,NA
15,Ai-Assa,TL040601,NA,NA,NA,Bobonaro,TL0406,Bobonaro,TL04,Timor-Leste,TL,1165708800000,1599782400000,NA
16,Aidabaleten,TL040401,NA,NA,NA,Atabae,TL0404,Bobonaro,TL04,Timor-Leste,TL,1165708800000,1599782400000,NA
17,Ailebere,TL090301,NA,NA,NA,Iliomar,TL0903,Lautém,TL09,Timor-Leste,TL,1165708800000,1599782400000,NA
18,Ailelo,TL070504,NA,NA,NA,Hatolia,TL0705,Ermera,TL07,Timor-Leste,TL,1165708800000,1599782400000,NA
19,Ailili,TL110106,NA,NA,NA,Manatuto,TL1101,Manatuto,TL11,Timor-Leste,TL,1165708800000,1599782400000,NA
20,Ainaro,TL010101,NA,NA,NA,Ainaro,TL0101,Ainaro,TL01,Timor-Leste,TL,1165708800000,1599782400000,NA
21,Aisirimou,TL020101,NA,NA,NA,Aileu Vila,TL0201,Aileu,TL02,Timor-Leste,TL,1165708800000,1599782400000,NA
22,Aiteas,TL110102,NA,NA,NA,Manatuto,TL1101,Manatuto,TL11,Timor-Leste,TL,1165708800000,1599782400000,NA
23,Aitemua,TL100401,NA,NA,NA,Turiscai,TL1004,Manufahi,TL10,Timor-Leste,TL,1165708800000,1599782400000,NA
24,Aituha,TL100201,NA,NA,NA,Alas,TL1002,Manufahi,TL10,Timor-Leste,TL,1165708800000,1599782400000,NA
25,Aitutu,TL010304,NA,NA,NA,Maubisse,TL0103,Ainaro,TL01,Timor-Leste,TL,1165708800000,1599782400000,NA
26,Alaua Craic,TL030402,NA,NA,NA,Baguia,TL0304,Baucau,TL03,Timor-Leste,TL,1165708800000,1599782400000,NA
27,Alaua Leten,TL030403,NA,NA,NA,Baguia,TL0304,Baucau,TL03,Timor-Leste,TL,1165708800000,1599782400000,NA
28,Asulau,TL070503,NA,NA,NA,Hatolia,TL0705,Ermera,TL07,Timor-Leste,TL,1165708800000,1599782400000,NA
29,Atabae,TL040402,NA,NA,NA,Atabae,TL0404,Bobonaro,TL04,Timor-Leste,TL,1165708800000,1599782400000,NA
30,Atadame/Malabe,TL070409,NA,NA,NA,Atsabe,TL0704,Ermera,TL07,Timor-Leste,TL,1165708800000,1599782400000,NA
31,Atara,TL070402,NA,NA,NA,Atsabe,TL0704,Ermera,TL07,Timor-Leste,TL,1165708800000,1599782400000,NA
32,Atauro Vila/Maumeta,TL060401,NA,NA,NA,Atauro,TL0604,Dili,TL06,Timor-Leste,TL,1165708800000,1599782400000,NA
33,Atelari,TL030201,NA,NA,NA,Laga,TL0302,Baucau,TL03,Timor-Leste,TL,1165708800000,1599782400000,NA
34,Atu-Aben,TL040602,NA,NA,NA,Bobonaro,TL0406,Bobonaro,TL04,Timor-Leste,TL,1165708800000,1599782400000,NA
35,Atudara,TL040204,NA,NA,NA,Cailaco,TL0402,Bobonaro,TL04,Timor-Leste,TL,1165708800000,1599782400000,NA
36,Aubeon,TL110501,NA,NA,NA,Barique/Natarbora,TL1105,Manatuto,TL11,Timor-Leste,TL,1165708800000,1599782400000,NA
37,Baboi Craic,TL070403,NA,NA,NA,Atsabe,TL0704,Ermera,TL07,Timor-Leste,TL,1165708800000,1599782400000,NA
38,Babulo,TL130305,NA,NA,NA,Uato-Lari,TL1303,Viqueque,TL13,Timor-Leste,TL,1165708800000,1599782400000,NA
39,Babulu,TL100103,NA,NA,NA,Same,TL1001,Manufahi,TL10,Timor-Leste,TL,1165708800000,1599782400000,NA
40,Bado Ho'o,TL030601,Bado Hoo,NA,NA,Venilale,TL0306,Baucau,TL03,Timor-Leste,TL,1165708800000,1599782400000,NA
41,Baduro,TL090201,NA,NA,NA,Lautém,TL0902,Lautém,TL09,Timor-Leste,TL,1165708800000,1599782400000,NA
42,Baguia,TL030301,NA,NA,NA,Quelicai,TL0303,Baucau,TL03,Timor-Leste,TL,1165708800000,1599782400000,NA
43,Baha Mori,TL030602,NA,NA,NA,Venilale,TL0306,Baucau,TL03,Timor-Leste,TL,1165708800000,1599782400000,NA
44,Bahalarauain,TL130402,NA,NA,NA,Viqueque,TL1304,Viqueque,TL13,Timor-Leste,TL,1165708800000,1599782400000,NA
45,Bahatata,TL130105,NA,NA,NA,Uatucarbau,TL1301,Viqueque,TL13,Timor-Leste,TL,1165708800000,1599782400000,NA
