OBJECTID,admin4Name_en,admin4Pcode,admin4RefName,admin4AltName1_en,admin4AltName2_en,admin3Name_en,admin3Pcode,admin2Name_en,admin2Pcode,admin1Name_en,admin1Pcode,admin0Name_en,admin0Pcode,date,validOn,validTo
1,Abako,UG30670101,NA,NA,NA,Moroto,UG306701,Alebtong,UG3067,Northern,UG3,Uganda,UG,1591833600000,1598227200000,NA
2,Abanga,UG31000101,NA,NA,NA,Okoro,UG310001,Zombo,UG3100,Northern,UG3,Uganda,UG,1591833600000,1598227200000,NA
3,Abarilela,UG20270101,NA,NA,NA,Amuria,UG202701,Amuria,UG2027,Eastern,UG2,Uganda,UG,1591833600000,1598227200000,NA
4,Aber,UG30960101,NA,NA,NA,Oyam,UG309601,Oyam,UG3096,Northern,UG3,Uganda,UG,1591833600000,1598227200000,NA
5,Abia,UG30670102,NA,NA,NA,Moroto,UG306701,Alebtong,UG3067,Northern,UG3,Uganda,UG,1591833600000,1598227200000,NA
6,Abim,UG30640101,NA,NA,NA,Labwor,UG306401,Abim,UG3064,Northern,UG3,Uganda,UG,1591833600000,1598227200000,NA
7,Abim Town Council,UG30640102,NA,NA,NA,Labwor,UG306401,Abim,UG3064,Northern,UG3,Uganda,UG,1591833600000,1598227200000,NA
8,Abindu Division,UG30910101,NA,NA,NA,Nebbi Municipality,UG309101,Nebbi,UG3091,Northern,UG3,Uganda,UG,1591833600000,1598227200000,NA
9,Abok,UG30960102,NA,NA,NA,Oyam,UG309601,Oyam,UG3096,Northern,UG3,Uganda,UG,1591833600000,1598227200000,NA
10,Aboke,UG30790101,NA,NA,NA,Kole,UG307901,Kole,UG3079,Northern,UG3,Uganda,UG,1591833600000,1598227200000,NA
11,Abongomola,UG30810101,NA,NA,NA,Kwania,UG308101,Kwania,UG3081,Northern,UG3,Uganda,UG,1591833600000,1598227200000,NA
12,Abuku,UG30780101,NA,NA,NA,Koboko,UG307801,Koboko,UG3078,Northern,UG3,Uganda,UG,1591833600000,1598227200000,NA
13,Acaba,UG30960103,NA,NA,NA,Oyam,UG309601,Oyam,UG3096,Northern,UG3,Uganda,UG,1591833600000,1598227200000,NA
14,Acholibur,UG30970101,NA,NA,NA,Aruu,UG309701,Pader,UG3097,Northern,UG3,Uganda,UG,1591833600000,1598227200000,NA
15,Acowa,UG20460101,NA,NA,NA,Kapelebyong,UG204601,Kapelebyong,UG2046,Eastern,UG2,Uganda,UG,1591833600000,1598227200000,NA
16,Adeknino,UG30730101,NA,NA,NA,Dokolo,UG307301,Dokolo,UG3073,Northern,UG3,Uganda,UG,1591833600000,1598227200000,NA
17,Adekokwok,UG30830101,NA,NA,NA,Erute,UG308301,Lira,UG3083,Northern,UG3,Uganda,UG,1591833600000,1598227200000,NA
18,Adilang,UG30660101,NA,NA,NA,Agago,UG306601,Agago,UG3066,Northern,UG3,Uganda,UG,1591833600000,1598227200000,NA
19,Adjumani Town Council,UG30650101,NA,NA,NA,East Moyo,UG306501,Adjumani,UG3065,Northern,UG3,Uganda,UG,1591833600000,1598227200000,NA
20,Adok,UG30730102,NA,NA,NA,Dokolo,UG307301,Dokolo,UG3073,Northern,UG3,Uganda,UG,1591833600000,1598227200000,NA
21,Adropi,UG30650102,NA,NA,NA,East Moyo,UG306501,Adjumani,UG3065,Northern,UG3,Uganda,UG,1591833600000,1598227200000,NA
22,Aduku,UG30810102,NA,NA,NA,Kwania,UG308101,Kwania,UG3081,Northern,UG3,Uganda,UG,1591833600000,1598227200000,NA
23,Aduku Town Council,UG30810103,NA,NA,NA,Kwania,UG308101,Kwania,UG3081,Northern,UG3,Uganda,UG,1591833600000,1598227200000,NA
24,Adumi,UG30720201,NA,NA,NA,Ayivu,UG307202,Arua,UG3072,Northern,UG3,Uganda,UG,1591833600000,1598227200000,NA
25,Adwari,UG30950101,NA,NA,NA,Otuke,UG309501,Otuke,UG3095,Northern,UG3,Uganda,UG,1591833600000,1598227200000,NA
26,Adyel Division,UG30830201,NA,NA,NA,Lira Municipality,UG308302,Lira,UG3083,Northern,UG3,Uganda,UG,1591833600000,1598227200000,NA
27,Agago Town Council,UG30660102,NA,NA,NA,Agago,UG306601,Agago,UG3066,Northern,UG3,Uganda,UG,1591833600000,1598227200000,NA
28,Agali,UG30830102,NA,NA,NA,Erute,UG308301,Lira,UG3083,Northern,UG3,Uganda,UG,1591833600000,1598227200000,NA
29,Agikdak,UG30680101,NA,NA,NA,Kioga,UG306801,Amolatar,UG3068,Northern,UG3,Uganda,UG,1591833600000,1598227200000,NA
30,Agoro,UG30820101,NA,NA,NA,Lamwo,UG308201,Lamwo,UG3082,Northern,UG3,Uganda,UG,1591833600000,1598227200000,NA
31,Agule,UG20590201,NA,NA,NA,Pallisa,UG205902,Pallisa,UG2059,Eastern,UG2,Uganda,UG,1591833600000,1598227200000,NA
32,Agulu Division,UG30710101,NA,NA,NA,Apac Municipality,UG307101,Apac,UG3071,Northern,UG3,Uganda,UG,1591833600000,1598227200000,NA
33,Agwata,UG30730103,NA,NA,NA,Dokolo,UG307301,Dokolo,UG3073,Northern,UG3,Uganda,UG,1591833600000,1598227200000,NA
34,Agweng,UG30830103,NA,NA,NA,Erute,UG308301,Lira,UG3083,Northern,UG3,Uganda,UG,1591833600000,1598227200000,NA
35,Agwingiri,UG30680102,NA,NA,NA,Kioga,UG306801,Amolatar,UG3068,Northern,UG3,Uganda,UG,1591833600000,1598227200000,NA
36,Aii-Vu,UG30720301,NA,NA,NA,Terego,UG307203,Arua,UG3072,Northern,UG3,Uganda,UG,1591833600000,1598227200000,NA
37,Ajia,UG30720401,NA,NA,NA,Vurra,UG307204,Arua,UG3072,Northern,UG3,Uganda,UG,1591833600000,1598227200000,NA
38,Akaa,UG31000102,NA,NA,NA,Okoro,UG310001,Zombo,UG3100,Northern,UG3,Uganda,UG,1591833600000,1598227200000,NA
39,Akalo,UG30790102,NA,NA,NA,Kole,UG307901,Kole,UG3079,Northern,UG3,Uganda,UG,1591833600000,1598227200000,NA
40,Akere Division,UG30710102,NA,NA,NA,Apac Municipality,UG307101,Apac,UG3071,Northern,UG3,Uganda,UG,1591833600000,1598227200000,NA
41,Akeriau,UG20270102,NA,NA,NA,Amuria,UG202701,Amuria,UG2027,Eastern,UG2,Uganda,UG,1591833600000,1598227200000,NA
42,Akisim,UG20590202,NA,NA,NA,Pallisa,UG205902,Pallisa,UG2059,Eastern,UG2,Uganda,UG,1591833600000,1598227200000,NA
43,Akokoro,UG30710201,NA,NA,NA,Maruzi,UG307102,Apac,UG3071,Northern,UG3,Uganda,UG,1591833600000,1598227200000,NA
44,Akoromit,UG20460102,NA,NA,NA,Kapelebyong,UG204601,Kapelebyong,UG2046,Eastern,UG2,Uganda,UG,1591833600000,1598227200000,NA
