OBJECTID,admin3Name_es,admin3Pcode,admin3RefName,admin3AltName1_es,admin3AltName2_es,admin2Name_es,admin2Pcode,admin1Name_es,admin1Pcode,admin0Name_en,admin0Name_es,admin0Pcode,date,validOn,validTo
1,Altagracia,VE010101,NA,NA,NA,Libertador,VE0101,Distrito Capital,VE01,Venezuela (Bolivarian Republic of),Venezuela (República Bolivariana de),VE,1525219200000,1614038400000,NA
2,Antimano,VE010102,NA,NA,NA,Libertador,VE0101,Distrito Capital,VE01,Venezuela (Bolivarian Republic of),Venezuela (República Bolivariana de),VE,1525219200000,1614038400000,NA
3,Candelaria,VE010103,NA,NA,NA,Libertador,VE0101,Distrito Capital,VE01,Venezuela (Bolivarian Republic of),Venezuela (República Bolivariana de),VE,1525219200000,1614038400000,NA
4,Caricuao,VE010104,NA,NA,NA,Libertador,VE0101,Distrito Capital,VE01,Venezuela (Bolivarian Republic of),Venezuela (República Bolivariana de),VE,1525219200000,1614038400000,NA
5,Catedral,VE010105,NA,NA,NA,Libertador,VE0101,Distrito Capital,VE01,Venezuela (Bolivarian Republic of),Venezuela (República Bolivariana de),VE,1525219200000,1614038400000,NA
6,Coche,VE010106,NA,NA,NA,Libertador,VE0101,Distrito Capital,VE01,Venezuela (Bolivarian Republic of),Venezuela (República Bolivariana de),VE,1525219200000,1614038400000,NA
7,El Junquito,VE010107,NA,NA,NA,Libertador,VE0101,Distrito Capital,VE01,Venezuela (Bolivarian Republic of),Venezuela (República Bolivariana de),VE,1525219200000,1614038400000,NA
8,El Paraíso,VE010108,El Paraiso,NA,NA,Libertador,VE0101,Distrito Capital,VE01,Venezuela (Bolivarian Republic of),Venezuela (República Bolivariana de),VE,1525219200000,1614038400000,NA
9,El Recreo,VE010109,NA,NA,NA,Libertador,VE0101,Distrito Capital,VE01,Venezuela (Bolivarian Republic of),Venezuela (República Bolivariana de),VE,1525219200000,1614038400000,NA
10,El Valle,VE010110,NA,NA,NA,Libertador,VE0101,Distrito Capital,VE01,Venezuela (Bolivarian Republic of),Venezuela (República Bolivariana de),VE,1525219200000,1614038400000,NA
11,La Pastora,VE010111,NA,NA,NA,Libertador,VE0101,Distrito Capital,VE01,Venezuela (Bolivarian Republic of),Venezuela (República Bolivariana de),VE,1525219200000,1614038400000,NA
12,La Vega,VE010112,NA,NA,NA,Libertador,VE0101,Distrito Capital,VE01,Venezuela (Bolivarian Republic of),Venezuela (República Bolivariana de),VE,1525219200000,1614038400000,NA
13,Macarao,VE010113,NA,NA,NA,Libertador,VE0101,Distrito Capital,VE01,Venezuela (Bolivarian Republic of),Venezuela (República Bolivariana de),VE,1525219200000,1614038400000,NA
