OBJECTID,admin2Name_en,admin2Name_vi,admin2Pcode,admin2RefName,admin2AltName1_en,admin2AltName2_en,admin2AltName1_vi,admin2AltName2_vi,admin1Name_en,admin1Name_vi,admin1Pcode,admin0Name_en,admin0Name_vi,admin0Pcode,date,validOn,validTo
1,A Luoi,Huyện A Lưới,VN41115,NA,NA,NA,NA,NA,Thua Thien Hue,Thừa Thiên Huế,VN411,Viet Nam,Việt Nam,VN,1569888000000,1578009600000,NA
2,An Bien,Huyện An Biên,VN81315,NA,NA,NA,NA,NA,Kien Giang,Kiên Giang,VN813,Viet Nam,Việt Nam,VN,1569888000000,1578009600000,NA
3,An Duong,Huyện An Dương,VN10313,NA,NA,NA,NA,NA,Hai Phong city,TP. Hải Phòng,VN103,Viet Nam,Việt Nam,VN,1569888000000,1578009600000,NA
4,An Khe,Thị xã An Khê,VN60311,NA,NA,NA,NA,NA,Gia Lai,Gia Lai,VN603,Viet Nam,Việt Nam,VN,1569888000000,1578009600000,NA
5,An Lao,Huyện An Lão,VN10315,NA,NA,NA,NA,NA,Hai Phong city,TP. Hải Phòng,VN103,Viet Nam,Việt Nam,VN,1569888000000,1578009600000,NA
6,An Lao,Huyện An Lão,VN50703,NA,NA,NA,NA,NA,Binh Dinh,Bình Định,VN507,Viet Nam,Việt Nam,VN,1569888000000,1578009600000,NA
7,An Minh,Huyện An Minh,VN81317,NA,NA,NA,NA,NA,Kien Giang,Kiên Giang,VN813,Viet Nam,Việt Nam,VN,1569888000000,1578009600000,NA
8,An Nhon,Thị xã An Nhơn,VN50717,NA,NA,NA,NA,NA,Binh Dinh,Bình Định,VN507,Viet Nam,Việt Nam,VN,1569888000000,1578009600000,NA
9,An Phu,Huyện An Phú,VN80505,NA,NA,NA,NA,NA,An Giang,An Giang,VN805,Viet Nam,Việt Nam,VN,1569888000000,1578009600000,NA
10,An Thi,Huyện Ân Thi,VN10907,NA,NA,NA,NA,NA,Hung Yen,Hưng Yên,VN109,Viet Nam,Việt Nam,VN,1569888000000,1578009600000,NA
11,Anh Son,Huyện Anh Sơn,VN40327,NA,NA,NA,NA,NA,Nghe An,Nghệ An,VN403,Viet Nam,Việt Nam,VN,1569888000000,1578009600000,NA
12,Ayun Pa,Thị xã Ayun Pa,VN60321,NA,NA,NA,NA,NA,Gia Lai,Gia Lai,VN603,Viet Nam,Việt Nam,VN,1569888000000,1578009600000,NA
13,Ba Be,Huyện Ba Bể,VN20703,NA,NA,NA,NA,NA,Bac Kan,Bắc Kạn,VN207,Viet Nam,Việt Nam,VN,1569888000000,1578009600000,NA
14,Ba Che,Huyện Ba Chẽ,VN22515,NA,NA,NA,NA,NA,Quang Ninh,Quảng Ninh,VN225,Viet Nam,Việt Nam,VN,1569888000000,1578009600000,NA
15,Ba Dinh,Quận Ba Đình,VN10101,NA,NA,NA,NA,NA,Ha Noi,TP. Hà Nội,VN101,Viet Nam,Việt Nam,VN,1569888000000,1578009600000,NA
16,Ba Don,Thị xã Ba Đồn,VN40707,NA,NA,NA,NA,NA,Quang Binh,Quảng Bình,VN407,Viet Nam,Việt Nam,VN,1569888000000,1578009600000,NA
17,Ba Ria,TP. Bà Rịa,VN71703,NA,NA,NA,NA,NA,Ba Ria - Vung Tau,Bà Rịa - Vũng Tàu,VN717,Viet Nam,Việt Nam,VN,1569888000000,1578009600000,NA
