OBJECTID,admin2Name_en,admin2Pcode,admin2RefName,admin2AltName1_en,admin2AltName2_en,admin1Name_en,admin1Pcode,admin0Name_en,admin0Pcode,date,validOn,validTo
1,Aneityum,VU06021,NA,NA,NA,Tafea,VU06,Vanuatu,VU,1509408000000,1535068800000,NA
2,Aniwa,VU06005,NA,NA,NA,Tafea,VU06,Vanuatu,VU,1509408000000,1535068800000,NA
3,Canal - Fanafo,VU02061,NA,NA,NA,Sanma,VU02,Vanuatu,VU,1509408000000,1535068800000,NA
4,Central Malekula,VU04008,NA,NA,NA,Malampa,VU04,Vanuatu,VU,1509408000000,1535068800000,NA
5,Central Pentecost 1,VU03060,NA,NA,NA,Penama,VU03,Vanuatu,VU,1509408000000,1535068800000,NA
6,Central Pentecost 2,VU03018,NA,NA,NA,Penama,VU03,Vanuatu,VU,1509408000000,1535068800000,NA
7,East Ambae,VU03051,NA,NA,NA,Penama,VU03,Vanuatu,VU,1509408000000,1535068800000,NA
8,East Malo,VU02042,NA,NA,NA,Sanma,VU02,Vanuatu,VU,1509408000000,1535068800000,NA
9,East Santo,VU02056,NA,NA,NA,Sanma,VU02,Vanuatu,VU,1509408000000,1535068800000,NA
10,Emau,VU05034,NA,NA,NA,Shefa,VU05,Vanuatu,VU,1509408000000,1535068800000,NA
11,Erakor,VU05040,NA,NA,NA,Shefa,VU05,Vanuatu,VU,1509408000000,1535068800000,NA
12,Eratap,VU05003,NA,NA,NA,Shefa,VU05,Vanuatu,VU,1509408000000,1535068800000,NA
13,Eton,VU05037,NA,NA,NA,Shefa,VU05,Vanuatu,VU,1509408000000,1535068800000,NA
14,Futuna,VU06004,NA,NA,NA,Tafea,VU06,Vanuatu,VU,1509408000000,1535068800000,NA
15,Gaua,VU01053,NA,NA,NA,Torba,VU01,Vanuatu,VU,1509408000000,1535068800000,NA
16,Ifira,VU05039,NA,NA,NA,Shefa,VU05,Vanuatu,VU,1509408000000,1535068800000,NA
17,Luganville,VU02001,NA,NA,NA,Sanma,VU02,Vanuatu,VU,1509408000000,1535068800000,NA
18,Makimae,VU05033,NA,NA,NA,Shefa,VU05,Vanuatu,VU,1509408000000,1535068800000,NA
19,Malorua,VU05041,NA,NA,NA,Shefa,VU05,Vanuatu,VU,1509408000000,1535068800000,NA
20,Mele,VU05057,NA,NA,NA,Shefa,VU05,Vanuatu,VU,1509408000000,1535068800000,NA
21,Merelava,VU01065,NA,NA,NA,Torba,VU01,Vanuatu,VU,1509408000000,1535068800000,NA
22,Middle Bush Tanna,VU06062,NA,NA,NA,Tafea,VU06,Vanuatu,VU,1509408000000,1535068800000,NA
23,Mota,VU01064,NA,NA,NA,Torba,VU01,Vanuatu,VU,1509408000000,1535068800000,NA
24,Motalava,VU01063,NA,NA,NA,Torba,VU01,Vanuatu,VU,1509408000000,1535068800000,NA
25,Nguna,VU05036,NA,NA,NA,Shefa,VU05,Vanuatu,VU,1509408000000,1535068800000,NA
26,North Ambae,VU03050,NA,NA,NA,Penama,VU03,Vanuatu,VU,1509408000000,1535068800000,NA
27,North Ambrym,VU04011,NA,NA,NA,Malampa,VU04,Vanuatu,VU,1509408000000,1535068800000,NA
28,North East Malekula,VU04007,NA,NA,NA,Malampa,VU04,Vanuatu,VU,1509408000000,1535068800000,NA
29,North Efate,VU05035,NA,NA,NA,Shefa,VU05,Vanuatu,VU,1509408000000,1535068800000,NA
30,North Erromango,VU06019,NA,NA,NA,Tafea,VU06,Vanuatu,VU,1509408000000,1535068800000,NA
31,North Maewo,VU03014,NA,NA,NA,Penama,VU03,Vanuatu,VU,1509408000000,1535068800000,NA
32,North Pentecost,VU03017,NA,NA,NA,Penama,VU03,Vanuatu,VU,1509408000000,1535068800000,NA
33,North Santo,VU02047,NA,NA,NA,Sanma,VU02,Vanuatu,VU,1509408000000,1535068800000,NA
34,North Tanna,VU06026,NA,NA,NA,Tafea,VU06,Vanuatu,VU,1509408000000,1535068800000,NA
35,North Tongoa,VU05031,NA,NA,NA,Shefa,VU05,Vanuatu,VU,1509408000000,1535068800000,NA
36,North West Malekula,VU04006,NA,NA,NA,Malampa,VU04,Vanuatu,VU,1509408000000,1535068800000,NA
37,North West Santo,VU02044,NA,NA,NA,Sanma,VU02,Vanuatu,VU,1509408000000,1535068800000,NA
38,Paama,VU04013,NA,NA,NA,Malampa,VU04,Vanuatu,VU,1509408000000,1535068800000,NA
39,Pango,VU05038,NA,NA,NA,Shefa,VU05,Vanuatu,VU,1509408000000,1535068800000,NA
40,Port Vila,VU05002,NA,NA,NA,Shefa,VU05,Vanuatu,VU,1509408000000,1535068800000,NA
41,South Ambae,VU03049,NA,NA,NA,Penama,VU03,Vanuatu,VU,1509408000000,1535068800000,NA
42,South East Ambrym,VU04012,NA,NA,NA,Malampa,VU04,Vanuatu,VU,1509408000000,1535068800000,NA
43,South East Malekula,VU04009,NA,NA,NA,Malampa,VU04,Vanuatu,VU,1509408000000,1535068800000,NA
44,South East Santo,VU02046,NA,NA,NA,Sanma,VU02,Vanuatu,VU,1509408000000,1535068800000,NA
45,South Epi,VU05027,NA,NA,NA,Shefa,VU05,Vanuatu,VU,1509408000000,1535068800000,NA
46,South Erromango,VU06020,NA,NA,NA,Tafea,VU06,Vanuatu,VU,1509408000000,1535068800000,NA
47,South Maewo,VU03015,NA,NA,NA,Penama,VU03,Vanuatu,VU,1509408000000,1535068800000,NA
48,South Malekula,VU04058,NA,NA,NA,Malampa,VU04,Vanuatu,VU,1509408000000,1535068800000,NA
49,South Pentecost,VU03016,NA,NA,NA,Penama,VU03,Vanuatu,VU,1509408000000,1535068800000,NA
50,South Santo,VU02045,NA,NA,NA,Sanma,VU02,Vanuatu,VU,1509408000000,1535068800000,NA
51,South Tanna,VU06022,NA,NA,NA,Tafea,VU06,Vanuatu,VU,1509408000000,1535068800000,NA
52,South West Malekula,VU04059,NA,NA,NA,Malampa,VU04,Vanuatu,VU,1509408000000,1535068800000,NA
53,South West Tanna,VU06023,NA,NA,NA,Tafea,VU06,Vanuatu,VU,1509408000000,1535068800000,NA
54,Tongariki,VU05032,NA,NA,NA,Shefa,VU05,Vanuatu,VU,1509408000000,1535068800000,NA
55,Torres,VU01055,NA,NA,NA,Torba,VU01,Vanuatu,VU,1509408000000,1535068800000,NA
