OBJECTID,admin1Name_en,admin1Pcode,admin0Name_en,admin0Pcode,date,validOn,validTo
1,Alibori,BE01,Benin,BE,1509062400000,1509062400000,NA
2,Atacora,BE02,Benin,BE,1509062400000,1509062400000,NA
3,Atlantique,BE03,Benin,BE,1509062400000,1509062400000,NA
4,Borgou,BE04,Benin,BE,1509062400000,1509062400000,NA
5,Collines,BE05,Benin,BE,1509062400000,1509062400000,NA
6,Couffo,BE06,Benin,BE,1509062400000,1509062400000,NA
7,Donga,BE07,Benin,BE,1509062400000,1509062400000,NA
8,Littoral,BE08,Benin,BE,1509062400000,1509062400000,NA
9,Mono,BE09,Benin,BE,1509062400000,1509062400000,NA
10,Oueme,BE10,Benin,BE,1509062400000,1509062400000,NA
11,Plateau,BE11,Benin,BE,1509062400000,1509062400000,NA
12,Zou,BE12,Benin,BE,1509062400000,1509062400000,NA
13,Boucle du Mouhoun,BF46,Burkina Faso,BF,1509062400000,1509062400000,NA
14,Cascades,BF47,Burkina Faso,BF,1509062400000,1509062400000,NA
15,Centre,BF13,Burkina Faso,BF,1509062400000,1509062400000,NA
16,Centre-Est,BF48,Burkina Faso,BF,1509062400000,1509062400000,NA
17,Centre-Nord,BF49,Burkina Faso,BF,1509062400000,1509062400000,NA
18,Centre-Ouest,BF50,Burkina Faso,BF,1509062400000,1509062400000,NA
19,Centre-Sud,BF51,Burkina Faso,BF,1509062400000,1509062400000,NA
20,Est,BF52,Burkina Faso,BF,1509062400000,1509062400000,NA
21,Hauts-Bassins,BF53,Burkina Faso,BF,1509062400000,1509062400000,NA
22,Nord,BF54,Burkina Faso,BF,1509062400000,1509062400000,NA
23,Plateau Central,BF55,Burkina Faso,BF,1509062400000,1509062400000,NA
24,Sahel,BF56,Burkina Faso,BF,1509062400000,1509062400000,NA
25,Sud-Ouest,BF57,Burkina Faso,BF,1509062400000,1509062400000,NA
26,Adamaoua,CM01,Cameroon,CM,1509062400000,1509062400000,NA
27,Centre,CM02,Cameroon,CM,1509062400000,1509062400000,NA
28,Est,CM03,Cameroon,CM,1509062400000,1509062400000,NA
29,Extreme-Nord,CM04,Cameroon,CM,1509062400000,1509062400000,NA
30,Littoral,CM05,Cameroon,CM,1509062400000,1509062400000,NA
31,Nord,CM06,Cameroon,CM,1509062400000,1509062400000,NA
32,Nord-Ouest,CM07,Cameroon,CM,1509062400000,1509062400000,NA
33,Ouest,CM08,Cameroon,CM,1509062400000,1509062400000,NA
34,Sud,CM09,Cameroon,CM,1509062400000,1509062400000,NA
35,Sud-Ouest,CM10,Cameroon,CM,1509062400000,1509062400000,NA
36,Bamingui-Bangoran,CF51,Central African Republic,CF,1509062400000,1509062400000,NA
37,Bangui,CF71,Central African Republic,CF,1509062400000,1509062400000,NA
38,Basse-Kotto,CF61,Central African Republic,CF,1509062400000,1509062400000,NA
39,Haut-Mbomou,CF63,Central African Republic,CF,1509062400000,1509062400000,NA
40,Haute-Kotto,CF52,Central African Republic,CF,1509062400000,1509062400000,NA
41,Kemo,CF41,Central African Republic,CF,1509062400000,1509062400000,NA
42,Lobaye,CF12,Central African Republic,CF,1509062400000,1509062400000,NA
43,Mambere Kadei,CF21,Central African Republic,CF,1509062400000,1509062400000,NA
44,Mbomou,CF62,Central African Republic,CF,1509062400000,1509062400000,NA
45,Nana-Gribizi,CF42,Central African Republic,CF,1509062400000,1509062400000,NA
46,Nana-Mambere,CF22,Central African Republic,CF,1509062400000,1509062400000,NA
47,Ombella M'Poko,CF11,Central African Republic,CF,1509062400000,1509062400000,NA
48,Ouaka,CF43,Central African Republic,CF,1509062400000,1509062400000,NA
49,Ouham,CF32,Central African Republic,CF,1509062400000,1509062400000,NA
50,Ouham Pende,CF31,Central African Republic,CF,1509062400000,1509062400000,NA
51,Sangha-Mbaere,CF23,Central African Republic,CF,1509062400000,1509062400000,NA
52,Vakaga,CF53,Central African Republic,CF,1509062400000,1509062400000,NA
53,Barh-El-Gazel,TD19,Chad,TD,1509062400000,1509062400000,NA
54,Batha,TD01,Chad,TD,1509062400000,1509062400000,NA
55,Borkou,TD02,Chad,TD,1509062400000,1509062400000,NA
56,Chari-Baguirmi,TD03,Chad,TD,1509062400000,1509062400000,NA
57,Ennedi-Est,TD20,Chad,TD,1509062400000,1509062400000,NA
58,Ennedi Ouest,TD23,Chad,TD,1509062400000,1509062400000,NA
59,Guera,TD04,Chad,TD,1509062400000,1509062400000,NA
60,Hadjer-Lamis,TD05,Chad,TD,1509062400000,1509062400000,NA
61,Kanem,TD06,Chad,TD,1509062400000,1509062400000,NA
62,Lac,TD07,Chad,TD,1509062400000,1509062400000,NA
63,Logone Occidental,TD08,Chad,TD,1509062400000,1509062400000,NA
64,Logone Oriental,TD09,Chad,TD,1509062400000,1509062400000,NA
65,Mandoul,TD10,Chad,TD,1509062400000,1509062400000,NA
66,Mayo-Kebbi Ouest,TD12,Chad,TD,1509062400000,1509062400000,NA
67,Mayo Kebbi Est,TD11,Chad,TD,1509062400000,1509062400000,NA
68,Moyen-Chari,TD13,Chad,TD,1509062400000,1509062400000,NA
69,N'Djamena,TD18,Chad,TD,1509062400000,1509062400000,NA
70,Ouadda┬┤,TD14,Chad,TD,1509062400000,1509062400000,NA
71,Salamat,TD15,Chad,TD,1509062400000,1509062400000,NA
72,Sila,TD21,Chad,TD,1509062400000,1509062400000,NA
73,Tandjile,TD16,Chad,TD,1509062400000,1509062400000,NA
74,Tibesti,TD22,Chad,TD,1509062400000,1509062400000,NA
75,Wadi Fira,TD17,Chad,TD,1509062400000,1509062400000,NA
76,Agneby-Tiassa,CI03,Côte d'Ivoire,CI,1509062400000,1509062400000,NA
77,Bafing,CI04,Côte d'Ivoire,CI,1509062400000,1509062400000,NA
78,Bagoue,CI05,Côte d'Ivoire,CI,1509062400000,1509062400000,NA
79,Belier,CI06,Côte d'Ivoire,CI,1509062400000,1509062400000,NA
80,Bere,CI07,Côte d'Ivoire,CI,1509062400000,1509062400000,NA
81,Bounkani,CI08,Côte d'Ivoire,CI,1509062400000,1509062400000,NA
82,Cavally,CI09,Côte d'Ivoire,CI,1509062400000,1509062400000,NA
83,District Autonome D'Abidjan,CI01,Côte d'Ivoire,CI,1509062400000,1509062400000,NA
84,District Autonome De Yamoussoukro,CI02,Côte d'Ivoire,CI,1509062400000,1509062400000,NA
85,Folon,CI10,Côte d'Ivoire,CI,1509062400000,1509062400000,NA
86,Gbeke,CI11,Côte d'Ivoire,CI,1509062400000,1509062400000,NA
87,Gbokle,CI12,Côte d'Ivoire,CI,1509062400000,1509062400000,NA
88,Goh,CI13,Côte d'Ivoire,CI,1509062400000,1509062400000,NA
89,Gontougo,CI14,Côte d'Ivoire,CI,1509062400000,1509062400000,NA
90,Grands Ponts,CI15,Côte d'Ivoire,CI,1509062400000,1509062400000,NA
91,Guemon,CI16,Côte d'Ivoire,CI,1509062400000,1509062400000,NA
92,Hambol,CI17,Côte d'Ivoire,CI,1509062400000,1509062400000,NA
93,Haut-Sassandra,CI18,Côte d'Ivoire,CI,1509062400000,1509062400000,NA
94,Iffou,CI19,Côte d'Ivoire,CI,1509062400000,1509062400000,NA
95,Indenie-Djuablin,CI20,Côte d'Ivoire,CI,1509062400000,1509062400000,NA
96,Kabadougou,CI21,Côte d'Ivoire,CI,1509062400000,1509062400000,NA
97,Loh-Djiboua,CI22,Côte d'Ivoire,CI,1509062400000,1509062400000,NA
98,Marahoue,CI23,Côte d'Ivoire,CI,1509062400000,1509062400000,NA
99,Me,CI24,Côte d'Ivoire,CI,1509062400000,1509062400000,NA
100,Moronou,CI25,Côte d'Ivoire,CI,1509062400000,1509062400000,NA
101,N'Zi,CI26,Côte d'Ivoire,CI,1509062400000,1509062400000,NA
102,Nawa,CI27,Côte d'Ivoire,CI,1509062400000,1509062400000,NA
103,Poro,CI28,Côte d'Ivoire,CI,1509062400000,1509062400000,NA
104,San Pedro,CI29,Côte d'Ivoire,CI,1509062400000,1509062400000,NA
105,Sud-Comoe,CI30,Côte d'Ivoire,CI,1509062400000,1509062400000,NA
106,Tchologo,CI31,Côte d'Ivoire,CI,1509062400000,1509062400000,NA
107,Tonkpi,CI32,Côte d'Ivoire,CI,1509062400000,1509062400000,NA
108,Worodougou,CI33,Côte d'Ivoire,CI,1509062400000,1509062400000,NA
109,Bas-Uele,CD52,Democratic Republic of Congo,CD,1509062400000,1509062400000,NA
110,Equateur,CD41,Democratic Republic of Congo,CD,1509062400000,1509062400000,NA
111,Haut-Katanga,CD71,Democratic Republic of Congo,CD,1509062400000,1509062400000,NA
112,Haut-Lomami,CD73,Democratic Republic of Congo,CD,1509062400000,1509062400000,NA
113,Haut-Uele,CD53,Democratic Republic of Congo,CD,1509062400000,1509062400000,NA
114,Ituri,CD54,Democratic Republic of Congo,CD,1509062400000,1509062400000,NA
115,Kasai,CD92,Democratic Republic of Congo,CD,1509062400000,1509062400000,NA
116,Kasai-Central,CD91,Democratic Republic of Congo,CD,1509062400000,1509062400000,NA
117,Kasai-Oriental,CD82,Democratic Republic of Congo,CD,1509062400000,1509062400000,NA
118,Kinshasa,CD10,Democratic Republic of Congo,CD,1509062400000,1509062400000,NA
119,Kongo-Central,CD20,Democratic Republic of Congo,CD,1509062400000,1509062400000,NA
120,Kwango,CD31,Democratic Republic of Congo,CD,1509062400000,1509062400000,NA
121,Kwilu,CD32,Democratic Republic of Congo,CD,1509062400000,1509062400000,NA
122,Lomami,CD81,Democratic Republic of Congo,CD,1509062400000,1509062400000,NA
123,Lualaba,CD72,Democratic Republic of Congo,CD,1509062400000,1509062400000,NA
124,Mai-Ndombe,CD33,Democratic Republic of Congo,CD,1509062400000,1509062400000,NA
125,Maniema,CD63,Democratic Republic of Congo,CD,1509062400000,1509062400000,NA
126,Mongala,CD44,Democratic Republic of Congo,CD,1509062400000,1509062400000,NA
127,Nord-Kivu,CD61,Democratic Republic of Congo,CD,1509062400000,1509062400000,NA
128,Nord-Ubangi,CD43,Democratic Republic of Congo,CD,1509062400000,1509062400000,NA
129,Sankuru,CD83,Democratic Republic of Congo,CD,1509062400000,1509062400000,NA
130,Sud-Kivu,CD62,Democratic Republic of Congo,CD,1509062400000,1509062400000,NA
131,Sud-Ubangi,CD42,Democratic Republic of Congo,CD,1509062400000,1509062400000,NA
132,Tanganyika,CD74,Democratic Republic of Congo,CD,1509062400000,1509062400000,NA
133,Tshopo,CD51,Democratic Republic of Congo,CD,1509062400000,1509062400000,NA
134,Tshuapa,CD45,Democratic Republic of Congo,CD,1509062400000,1509062400000,NA
135,Annobon,GQ98,Equatorial Guinea,GQ,1509062400000,1509062400000,NA
136,Bioko Norte,GQ99,Equatorial Guinea,GQ,1509062400000,1509062400000,NA
137,Bioko Sur,GQ00,Equatorial Guinea,GQ,1509062400000,1509062400000,NA
138,Centro Sur,GQ01,Equatorial Guinea,GQ,1509062400000,1509062400000,NA
139,Kientem,GQ02,Equatorial Guinea,GQ,1509062400000,1509062400000,NA
140,Littoral,GQ03,Equatorial Guinea,GQ,1509062400000,1509062400000,NA
141,Welenzas,GQ04,Equatorial Guinea,GQ,1509062400000,1509062400000,NA
142,Estuaire,GA01,Gabon,GA,1509062400000,1509062400000,NA
143,Haut-Ogooue,GA02,Gabon,GA,1509062400000,1509062400000,NA
144,Moyen-Ogooue,GA03,Gabon,GA,1509062400000,1509062400000,NA
145,Ngounie,GA04,Gabon,GA,1509062400000,1509062400000,NA
146,Nyanga,GA05,Gabon,GA,1509062400000,1509062400000,NA
147,Ogooue-Ivindo,GA06,Gabon,GA,1509062400000,1509062400000,NA
148,Ogooue-Lolo,GA07,Gabon,GA,1509062400000,1509062400000,NA
149,Ogooue-Maritime,GA08,Gabon,GA,1509062400000,1509062400000,NA
150,Woleu-Ntem,GA09,Gabon,GA,1509062400000,1509062400000,NA
151,Banjul,GM01,Gambia,GM,1509062400000,1509062400000,NA
152,Basse,GM02,Gambia,GM,1509062400000,1509062400000,NA
153,Brikama,GM03,Gambia,GM,1509062400000,1509062400000,NA
154,Janjanbureh,GM04,Gambia,GM,1509062400000,1509062400000,NA
155,Kanifing,GM05,Gambia,GM,1509062400000,1509062400000,NA
156,Kerewan,GM06,Gambia,GM,1509062400000,1509062400000,NA
157,Kuntaur,GM07,Gambia,GM,1509062400000,1509062400000,NA
158,Mansa Konko,GM08,Gambia,GM,1509062400000,1509062400000,NA
159,Ashanti,GH24,Ghana,GH,1509062400000,1509062400000,NA
160,Brong Ahafo,GH25,Ghana,GH,1509062400000,1509062400000,NA
161,Central,GH26,Ghana,GH,1509062400000,1509062400000,NA
162,Eastern,GH27,Ghana,GH,1509062400000,1509062400000,NA
163,Greater Accra,GH28,Ghana,GH,1509062400000,1509062400000,NA
