OBJECTID,admin2Name_en,admin2Name_ar,admin2Pcode,admin2RefName,admin2AltName1_en,admin2AltName2_en,admin2AltName1_ar,admin2AltName2_ar,admin1Name_en,admin1Name_ar,admin1Pcode,admin0Name_en,admin0Name_ar,admin0Pcode,date,validOn,validTo
1,Abs,عبس,YE1704,NA,NA,NA,NA,NA,Hajjah,حجه,YE17,Yemen,اليمن,YE,1548979200000,1574380800000,NA
2,Ad Dali',الضالع,YE3006,Ad Dali,NA,NA,NA,NA,Ad Dali',الضالع,YE30,Yemen,اليمن,YE,1548979200000,1574380800000,NA
3,Ad Dis,الديس,YE1914,NA,NA,NA,NA,NA,Hadramawt,حضرموت,YE19,Yemen,اليمن,YE,1548979200000,1574380800000,NA
4,Ad Dohi,الضحى,YE1809,NA,NA,NA,NA,NA,Al Hodeidah,الحديده,YE18,Yemen,اليمن,YE,1548979200000,1574380800000,NA
5,Ad Dulay'ah,الضليعه,YE1922,Ad Dulayah,NA,NA,NA,NA,Hadramawt,حضرموت,YE19,Yemen,اليمن,YE,1548979200000,1574380800000,NA
6,Ad Durayhimi,الدريهمي,YE1814,NA,NA,NA,NA,NA,Al Hodeidah,الحديده,YE18,Yemen,اليمن,YE,1548979200000,1574380800000,NA
7,Adh Dhahir,الظاهر,YE2207,NA,NA,NA,NA,NA,Sa'dah,صعده,YE22,Yemen,اليمن,YE,1548979200000,1574380800000,NA
8,Adh Dhihar,الظهار,YE1119,NA,NA,NA,NA,NA,Ibb,اب,YE11,Yemen,اليمن,YE,1548979200000,1574380800000,NA
9,Aflah Al Yaman,افلح اليمن,YE1714,NA,NA,NA,NA,NA,Hajjah,حجه,YE17,Yemen,اليمن,YE,1548979200000,1574380800000,NA
10,Aflah Ash Sham,افلح الشام,YE1710,NA,NA,NA,NA,NA,Hajjah,حجه,YE17,Yemen,اليمن,YE,1548979200000,1574380800000,NA
11,Ahwar,احور,YE1209,NA,NA,NA,NA,NA,Abyan,ابين,YE12,Yemen,اليمن,YE,1548979200000,1574380800000,NA
12,Al Abdiyah,العبديه,YE2611,NA,NA,NA,NA,NA,Ma'rib,مارب,YE26,Yemen,اليمن,YE,1548979200000,1574380800000,NA
13,Al Abr,العبر,YE1906,NA,NA,NA,NA,NA,Hadramawt,حضرموت,YE19,Yemen,اليمن,YE,1548979200000,1574380800000,NA
14,Al Arsh,العرش,YE1416,NA,NA,NA,NA,NA,Al Bayda,البيضاء,YE14,Yemen,اليمن,YE,1548979200000,1574380800000,NA
15,Al Ashah,العشه,YE2903,NA,NA,NA,NA,NA,Amran,عمران,YE29,Yemen,اليمن,YE,1548979200000,1574380800000,NA
16,Al Azariq,الازارق,YE3008,NA,NA,NA,NA,NA,Ad Dali',الضالع,YE30,Yemen,اليمن,YE,1548979200000,1574380800000,NA
17,Al Bayda,البيضاء,YE1410,NA,NA,NA,NA,NA,Al Bayda,البيضاء,YE14,Yemen,اليمن,YE,1548979200000,1574380800000,NA
18,Al Bayda City,مدينة البيضاء,YE1409,NA,NA,NA,NA,NA,Al Bayda,البيضاء,YE14,Yemen,اليمن,YE,1548979200000,1574380800000,NA
19,Al Burayqah,البريقه,YE2404,NA,NA,NA,NA,NA,Aden,عدن,YE24,Yemen,اليمن,YE,1548979200000,1574380800000,NA
20,Al Ghaydhah,الغيظه,YE2804,NA,NA,NA,NA,NA,Al Maharah,المهره,YE28,Yemen,اليمن,YE,1548979200000,1574380800000,NA
21,Al Ghayl,الغيل,YE1608,NA,NA,NA,NA,NA,Al Jawf,الجوف,YE16,Yemen,اليمن,YE,1548979200000,1574380800000,NA
22,Al Had,الحد,YE2501,NA,NA,NA,NA,NA,Lahj,لحج,YE25,Yemen,اليمن,YE,1548979200000,1574380800000,NA
23,Al Hada,الحداء,YE2001,NA,NA,NA,NA,NA,Dhamar,ذمار,YE20,Yemen,اليمن,YE,1548979200000,1574380800000,NA
24,Al Hali,الحالي,YE1823,NA,NA,NA,NA,NA,Al Hodeidah,الحديده,YE18,Yemen,اليمن,YE,1548979200000,1574380800000,NA
25,Al Hasayn,الحصين,YE3005,NA,NA,NA,NA,NA,Ad Dali',الضالع,YE30,Yemen,اليمن,YE,1548979200000,1574380800000,NA
26,Al Hashwah,الحشوه,YE2213,NA,NA,NA,NA,NA,Sa'dah,صعده,YE22,Yemen,اليمن,YE,1548979200000,1574380800000,NA
27,Al Hawak,الحوك,YE1821,NA,NA,NA,NA,NA,Al Hodeidah,الحديده,YE18,Yemen,اليمن,YE,1548979200000,1574380800000,NA
