OBJECTID,admin4Name_en,admin4Pcode,admin4RefName,admin4AltName1_en,admin4AltName2_en,admin3Name_en,admin3Pcode,admin2Name_en,admin2Pcode,admin1Name_en,admin1Pcode,admin0Name_en,admin0Pcode,date,validOn,validTo,ADM1_ID,ADM2_ID,ADM3_ID
1,001,ZA9344001,NA,NA,NA,Makhado,ZA9344,Vhembe,ZA934,Limpopo,ZA9,South Africa,ZA,1545868800000,1604880000000,NA,LIM,DC34,LIM344
2,002,ZA9344002,NA,NA,NA,Makhado,ZA9344,Vhembe,ZA934,Limpopo,ZA9,South Africa,ZA,1545868800000,1604880000000,NA,LIM,DC34,LIM344
3,003,ZA9344003,NA,NA,NA,Makhado,ZA9344,Vhembe,ZA934,Limpopo,ZA9,South Africa,ZA,1545868800000,1604880000000,NA,LIM,DC34,LIM344
4,004,ZA9344004,NA,NA,NA,Makhado,ZA9344,Vhembe,ZA934,Limpopo,ZA9,South Africa,ZA,1545868800000,1604880000000,NA,LIM,DC34,LIM344
5,005,ZA9344005,NA,NA,NA,Makhado,ZA9344,Vhembe,ZA934,Limpopo,ZA9,South Africa,ZA,1545868800000,1604880000000,NA,LIM,DC34,LIM344
6,006,ZA9344006,NA,NA,NA,Makhado,ZA9344,Vhembe,ZA934,Limpopo,ZA9,South Africa,ZA,1545868800000,1604880000000,NA,LIM,DC34,LIM344
7,007,ZA9344007,NA,NA,NA,Makhado,ZA9344,Vhembe,ZA934,Limpopo,ZA9,South Africa,ZA,1545868800000,1604880000000,NA,LIM,DC34,LIM344
8,008,ZA9344008,NA,NA,NA,Makhado,ZA9344,Vhembe,ZA934,Limpopo,ZA9,South Africa,ZA,1545868800000,1604880000000,NA,LIM,DC34,LIM344
9,009,ZA9344009,NA,NA,NA,Makhado,ZA9344,Vhembe,ZA934,Limpopo,ZA9,South Africa,ZA,1545868800000,1604880000000,NA,LIM,DC34,LIM344
10,010,ZA9344010,NA,NA,NA,Makhado,ZA9344,Vhembe,ZA934,Limpopo,ZA9,South Africa,ZA,1545868800000,1604880000000,NA,LIM,DC34,LIM344
11,011,ZA9344011,NA,NA,NA,Makhado,ZA9344,Vhembe,ZA934,Limpopo,ZA9,South Africa,ZA,1545868800000,1604880000000,NA,LIM,DC34,LIM344
12,012,ZA9344012,NA,NA,NA,Makhado,ZA9344,Vhembe,ZA934,Limpopo,ZA9,South Africa,ZA,1545868800000,1604880000000,NA,LIM,DC34,LIM344
13,013,ZA9344013,NA,NA,NA,Makhado,ZA9344,Vhembe,ZA934,Limpopo,ZA9,South Africa,ZA,1545868800000,1604880000000,NA,LIM,DC34,LIM344
