OBJECTID,admin2Name_en,admin2Pcode,admin2RefName,admin2AltName1_en,admin2AltName2_en,admin1Name_en,admin1Pcode,admin0Name_en,admin0Pcode,date,validOn,validTo
1,Chibombo,ZM1001,NA,NA,NA,Central,ZM10,Zambia,ZM,1578009600000,1606176000000,NA
2,Chisamba,ZM1007,NA,NA,NA,Central,ZM10,Zambia,ZM,1578009600000,1606176000000,NA
3,Chitambo,ZM1008,NA,NA,NA,Central,ZM10,Zambia,ZM,1578009600000,1606176000000,NA
4,Itezhi-tezhi,ZM1009,NA,NA,NA,Central,ZM10,Zambia,ZM,1578009600000,1606176000000,NA
5,Kabwe,ZM1002,NA,NA,NA,Central,ZM10,Zambia,ZM,1578009600000,1606176000000,NA
6,Luano,ZM1010,NA,NA,NA,Central,ZM10,Zambia,ZM,1578009600000,1606176000000,NA
7,Mkushi,ZM1004,NA,NA,NA,Central,ZM10,Zambia,ZM,1578009600000,1606176000000,NA
8,Mumbwa,ZM1005,NA,NA,NA,Central,ZM10,Zambia,ZM,1578009600000,1606176000000,NA
9,Ngabwe,ZM1011,NA,NA,NA,Central,ZM10,Zambia,ZM,1578009600000,1606176000000,NA
10,Serenje,ZM1006,NA,NA,NA,Central,ZM10,Zambia,ZM,1578009600000,1606176000000,NA
11,Chililabombwe,ZM2001,NA,NA,NA,Copperbelt,ZM20,Zambia,ZM,1578009600000,1606176000000,NA
12,Chingola,ZM2002,NA,NA,NA,Copperbelt,ZM20,Zambia,ZM,1578009600000,1606176000000,NA
13,Kalulushi,ZM2003,NA,NA,NA,Copperbelt,ZM20,Zambia,ZM,1578009600000,1606176000000,NA
14,Kitwe,ZM2004,NA,NA,NA,Copperbelt,ZM20,Zambia,ZM,1578009600000,1606176000000,NA
15,Luanshya,ZM2005,NA,NA,NA,Copperbelt,ZM20,Zambia,ZM,1578009600000,1606176000000,NA
16,Lufwanyama,ZM2006,NA,NA,NA,Copperbelt,ZM20,Zambia,ZM,1578009600000,1606176000000,NA
17,Masaiti,ZM2007,NA,NA,NA,Copperbelt,ZM20,Zambia,ZM,1578009600000,1606176000000,NA
