OBJECTID,admin3Name_en,admin3Pcode,admin3RefName,admin3AltName1_en,admin3AltName2_en,admin2Name_en,admin2Pcode,admin1Name_en,admin1Pcode,admin0Name_en,admin0Pcode,date,validOn,validTo
1,18,ZW150318,NA,NA,NA,Hwange,ZW1503,Matabeleland North,ZW15,Zimbabwe,ZW,1535673600000,1536624000000,NA
2,17,ZW170117,NA,NA,NA,Chirumhanzu,ZW1701,Midlands,ZW17,Zimbabwe,ZW,1535673600000,1536624000000,NA
3,33,ZW110433,NA,NA,NA,Makoni,ZW1104,Manicaland,ZW11,Zimbabwe,ZW,1535673600000,1536624000000,NA
4,12,ZW120812,NA,NA,NA,Mbire,ZW1208,Mashonaland Central,ZW12,Zimbabwe,ZW,1535673600000,1536624000000,NA
5,28,ZW150428,NA,NA,NA,Lupane,ZW1504,Matabeleland North,ZW15,Zimbabwe,ZW,1535673600000,1536624000000,NA
6,18,ZW150718,NA,NA,NA,Umguza,ZW1507,Matabeleland North,ZW15,Zimbabwe,ZW,1535673600000,1536624000000,NA
7,3,ZW102103,NA,NA,NA,Bulawayo,ZW1021,Bulawayo,ZW10,Zimbabwe,ZW,1535673600000,1536624000000,NA
8,1,ZW102101,NA,NA,NA,Bulawayo,ZW1021,Bulawayo,ZW10,Zimbabwe,ZW,1535673600000,1536624000000,NA
9,17,ZW180317,NA,NA,NA,Chivi,ZW1803,Masvingo,ZW18,Zimbabwe,ZW,1535673600000,1536624000000,NA
10,14,ZW180314,NA,NA,NA,Chivi,ZW1803,Masvingo,ZW18,Zimbabwe,ZW,1535673600000,1536624000000,NA
11,13,ZW160113,NA,NA,NA,Beitbridge,ZW1601,Matabeleland South,ZW16,Zimbabwe,ZW,1535673600000,1536624000000,NA
12,16,ZW180616,NA,NA,NA,Mwenezi,ZW1806,Masvingo,ZW18,Zimbabwe,ZW,1535673600000,1536624000000,NA
13,18,ZW170818,NA,NA,NA,Zvishavane,ZW1708,Midlands,ZW17,Zimbabwe,ZW,1535673600000,1536624000000,NA
14,1,ZW150301,NA,NA,NA,Hwange,ZW1503,Matabeleland North,ZW15,Zimbabwe,ZW,1535673600000,1536624000000,NA
15,26,ZW180126,NA,NA,NA,Bikita,ZW1801,Masvingo,ZW18,Zimbabwe,ZW,1535673600000,1536624000000,NA
16,25,ZW180125,NA,NA,NA,Bikita,ZW1801,Masvingo,ZW18,Zimbabwe,ZW,1535673600000,1536624000000,NA
17,2,ZW170202,NA,NA,NA,Gokwe North,ZW1702,Midlands,ZW17,Zimbabwe,ZW,1535673600000,1536624000000,NA
18,4,ZW150104,NA,NA,NA,Binga,ZW1501,Matabeleland North,ZW15,Zimbabwe,ZW,1535673600000,1536624000000,NA
